X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	002: [06-17-24 17:32]		003: [06-17-24 17:41]	
        30,5	   0,0104757	71,3	   0,0122586	74,7
     30,5024	   0,0117345	77,4	    0,012323	73,4
     30,5049	   0,0119803	72,9	   0,0123466	75,0
     30,5073	   0,0121105	76,4	   0,0123214	74,6
     30,5098	   0,0124603	71,7	   0,0123524	73,4
     30,5122	    0,012193	75,6	   0,0124127	74,1
     30,5147	   0,0125606	73,9	   0,0123938	75,5
     30,5171	   0,0122647	74,3	   0,0124485	72,6
     30,5196	   0,0126204	72,2	   0,0123474	73,0
      30,522	   0,0123745	75,4	   0,0125703	74,0
     30,5244	   0,0126739	74,2	   0,0124051	75,6
     30,5269	   0,0123987	74,3	   0,0125592	74,0
     30,5293	   0,0126133	74,8	   0,0124713	74,3
     30,5318	   0,0125272	72,9	   0,0126321	75,3
     30,5342	   0,0125558	75,8	   0,0125856	73,6
     30,5367	   0,0125938	74,3	   0,0126108	74,6
     30,5391	   0,0126912	75,2	   0,0126216	74,9
     30,5415	   0,0126751	73,7	   0,0126861	75,2
      30,544	   0,0126646	75,4	   0,0126296	74,1
     30,5464	    0,012769	75,0	   0,0127223	75,1
     30,5489	    0,012675	73,6	   0,0126832	73,7
     30,5513	    0,012817	75,2	    0,012738	74,4
     30,5538	   0,0127349	74,2	   0,0127293	75,7
     30,5562	   0,0128067	73,7	   0,0128539	73,5
     30,5587	   0,0128554	74,9	   0,0127059	74,7
     30,5611	   0,0127992	74,9	   0,0128489	74,6
     30,5635	   0,0129039	73,8	   0,0128384	74,3
      30,566	   0,0128671	74,9	   0,0128574	74,7
     30,5684	   0,0128234	76,0	   0,0129193	75,4
     30,5709	   0,0129668	73,6	   0,0129267	74,1
     30,5733	   0,0129537	74,1	   0,0129523	73,8
     30,5758	   0,0130003	75,3	   0,0129507	74,1
     30,5782	   0,0130475	73,4	   0,0129777	74,7
     30,5806	   0,0129962	75,1	   0,0130829	73,9
     30,5831	   0,0130853	75,3	   0,0129805	74,1
     30,5855	   0,0130565	73,5	   0,0131651	74,5
      30,588	    0,013161	75,2	   0,0130162	74,3
     30,5904	   0,0131108	75,4	   0,0132003	74,9
     30,5929	    0,013114	73,7	   0,0131603	73,8
     30,5953	   0,0132321	75,4	   0,0132307	73,3
     30,5978	   0,0131391	74,2	   0,0132401	73,9
     30,6002	   0,0132878	74,8	   0,0132062	75,3
     30,6026	    0,013234	74,9	   0,0133206	74,0
     30,6051	   0,0132274	74,8	   0,0132978	74,2
     30,6075	   0,0133371	74,4	   0,0133158	75,0
       30,61	    0,013309	75,3	   0,0133416	74,1
     30,6124	   0,0133094	73,9	   0,0133715	75,6
     30,6149	   0,0134749	75,9	   0,0133322	75,6
     30,6173	   0,0133541	73,7	    0,013434	72,9
     30,6197	   0,0134911	75,6	   0,0133755	74,7
     30,6222	   0,0134293	74,7	   0,0134945	74,2
     30,6246	   0,0135174	74,7	    0,013527	75,2
     30,6271	   0,0135837	74,3	   0,0135041	75,4
     30,6295	   0,0135236	75,3	   0,0135836	73,7
      30,632	    0,013581	73,9	   0,0135668	73,2
     30,6344	   0,0135625	75,0	   0,0135417	74,8
     30,6369	   0,0136637	74,7	   0,0136847	75,0
     30,6393	   0,0137219	73,1	   0,0136303	75,2
     30,6417	   0,0136548	75,6	   0,0137133	74,0
     30,6442	   0,0137098	73,8	   0,0137559	74,1
     30,6466	   0,0137509	75,8	   0,0137129	75,7
     30,6491	   0,0137582	74,3	   0,0137635	75,4
     30,6515	   0,0137236	74,1	   0,0137992	74,5
      30,654	   0,0138359	75,6	    0,013842	76,1
     30,6564	   0,0139194	74,2	   0,0138525	73,6
     30,6588	   0,0138231	74,9	   0,0139042	74,5
     30,6613	   0,0139888	75,2	   0,0139355	74,3
     30,6637	   0,0139892	73,8	   0,0139173	75,2
     30,6662	   0,0139274	77,0	    0,014055	74,4
     30,6686	   0,0140907	73,4	   0,0139709	75,3
     30,6711	   0,0139859	73,4	   0,0140063	74,6
     30,6735	   0,0140732	75,6	   0,0141077	75,1
      30,676	   0,0141807	73,6	   0,0140557	74,5
     30,6784	   0,0140786	75,0	   0,0140562	74,7
     30,6808	   0,0141477	74,8	    0,014175	74,8
     30,6833	   0,0142027	75,3	   0,0141857	73,3
     30,6857	   0,0141654	75,5	   0,0142117	75,1
     30,6882	   0,0143003	75,5	   0,0142808	74,6
     30,6906	   0,0142509	74,5	   0,0142721	75,4
     30,6931	   0,0143224	74,5	   0,0143243	72,7
     30,6955	    0,014345	73,4	   0,0144126	75,2
     30,6979	   0,0143573	75,4	   0,0143482	75,5
     30,7004	   0,0144364	74,2	    0,014455	73,5
     30,7028	   0,0144091	75,2	   0,0144427	75,4
     30,7053	   0,0145492	75,9	   0,0144232	74,3
     30,7077	    0,014511	73,6	   0,0145888	74,0
     30,7102	   0,0145171	74,7	   0,0145114	74,9
     30,7126	   0,0146083	75,7	   0,0145537	73,7
     30,7151	   0,0145441	74,3	   0,0146379	75,4
     30,7175	    0,014681	75,8	   0,0146206	74,7
     30,7199	   0,0146219	74,1	   0,0146999	74,2
     30,7224	   0,0147765	75,4	   0,0147512	76,0
     30,7248	    0,014735	75,2	   0,0146988	75,1
     30,7273	   0,0147847	74,0	   0,0148044	73,6
     30,7297	   0,0148307	75,2	   0,0148121	76,3
     30,7322	   0,0148577	73,9	   0,0148381	73,8
     30,7346	   0,0148903	75,7	   0,0149627	75,3
      30,737	   0,0150189	74,1	   0,0149578	75,4
     30,7395	   0,0149718	75,9	   0,0149492	74,0
     30,7419	   0,0150013	76,2	   0,0150336	76,2
     30,7444	   0,0150318	73,6	   0,0150377	73,5
     30,7468	    0,015098	75,8	   0,0151345	75,1
     30,7493	    0,015107	74,1	   0,0151486	74,3
     30,7517	   0,0151361	76,1	   0,0151247	76,4
     30,7542	   0,0151913	74,6	   0,0152025	75,6
     30,7566	   0,0152393	73,9	   0,0152271	74,5
      30,759	   0,0152653	75,7	   0,0152728	75,5
     30,7615	   0,0153336	74,0	   0,0153134	74,3
     30,7639	   0,0153264	74,5	   0,0153478	75,2
     30,7664	   0,0153956	74,9	   0,0154618	75,1
     30,7688	   0,0154595	75,1	   0,0154505	75,5
     30,7713	   0,0154491	75,4	   0,0154523	75,7
     30,7737	    0,015491	75,2	   0,0155902	74,3
     30,7761	   0,0155961	75,2	   0,0156068	76,1
     30,7786	   0,0155633	75,4	   0,0154889	74,4
      30,781	   0,0156283	76,0	     0,01576	74,2
     30,7835	     0,01573	74,5	   0,0157089	75,7
     30,7859	   0,0156599	76,2	   0,0153771	75,9
     30,7884	   0,0157819	73,9	   0,0156932	72,8
     30,7908	   0,0157915	75,7	   0,0158317	74,2
     30,7933	   0,0157716	76,6	   0,0158317	75,7
     30,7957	    0,016013	74,3	   0,0158846	75,4
     30,7981	   0,0159164	75,3	   0,0160078	75,2
     30,8006	    0,015865	74,6	   0,0159837	75,2
      30,803	    0,016002	76,9	   0,0159848	74,6
     30,8055	   0,0160566	74,9	   0,0160819	76,5
     30,8079	   0,0160601	75,6	   0,0161555	74,3
     30,8104	   0,0160545	74,0	   0,0161978	73,8
     30,8128	   0,0161979	76,0	    0,016257	75,7
     30,8152	   0,0162923	76,0	   0,0162507	74,4
     30,8177	   0,0162149	73,7	   0,0163134	75,4
     30,8201	   0,0163959	76,2	   0,0163735	74,0
     30,8226	    0,016453	74,2	   0,0164812	75,2
      30,825	   0,0163483	74,9	   0,0164972	75,6
     30,8275	   0,0164576	75,2	   0,0164546	75,1
     30,8299	    0,016508	75,3	   0,0165445	74,1
     30,8324	   0,0165866	75,1	   0,0166519	74,8
     30,8348	   0,0165894	75,7	   0,0165762	76,2
     30,8372	   0,0166508	74,5	   0,0167043	75,0
     30,8397	   0,0167497	76,5	   0,0168123	75,1
     30,8421	   0,0167491	74,6	   0,0167775	74,7
