X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	002: [06-25-24 15:50]		003: [06-25-24 15:58]	
          31	   0,0135388	74,9	   0,0166515	73,7
      31,002	   0,0160392	75,0	   0,0168045	74,0
     31,0039	   0,0157854	73,6	   0,0166563	74,5
     31,0059	    0,016839	74,3	    0,016795	73,7
     31,0078	   0,0163917	73,8	   0,0167429	74,9
     31,0098	   0,0170011	73,4	    0,016858	74,1
     31,0117	   0,0166381	74,5	   0,0168101	73,6
     31,0137	   0,0169819	73,0	   0,0168603	73,5
     31,0156	   0,0167645	74,4	   0,0168474	74,3
     31,0176	   0,0169645	74,7	   0,0168822	73,4
     31,0196	    0,016818	73,8	   0,0169199	74,3
     31,0215	   0,0169684	73,8	   0,0168973	73,6
     31,0235	   0,0168917	74,0	   0,0169838	74,2
     31,0254	   0,0169799	73,4	   0,0169591	74,5
     31,0274	   0,0169585	74,4	   0,0170068	73,7
     31,0293	   0,0170251	73,7	    0,016997	75,0
     31,0313	   0,0170309	74,5	   0,0170336	74,4
     31,0332	   0,0171006	74,1	   0,0171013	73,8
     31,0352	   0,0170426	74,6	   0,0170871	73,8
     31,0371	   0,0171042	73,4	   0,0170978	74,2
     31,0391	   0,0171149	74,7	   0,0170825	74,1
     31,0411	   0,0171264	73,7	   0,0171395	74,6
      31,043	   0,0171413	74,2	   0,0171297	73,7
      31,045	   0,0171719	73,7	   0,0171924	74,6
     31,0469	   0,0171671	73,7	    0,017207	74,9
     31,0489	   0,0171971	74,5	   0,0171807	74,2
     31,0508	   0,0172111	74,4	   0,0172692	74,1
     31,0528	   0,0172738	73,5	    0,017258	75,1
     31,0547	   0,0172026	74,0	   0,0173103	73,6
     31,0567	   0,0173788	74,0	   0,0172819	75,0
     31,0587	   0,0173059	74,3	   0,0172968	73,6
     31,0606	   0,0173149	74,0	   0,0173105	74,0
     31,0626	   0,0173554	73,6	   0,0173501	74,1
     31,0645	   0,0173555	74,8	   0,0174179	74,0
     31,0665	   0,0173467	74,5	    0,017379	73,8
     31,0684	   0,0174387	73,7	   0,0174937	74,5
     31,0704	    0,017433	73,3	    0,017409	74,5
     31,0723	   0,0174592	75,0	   0,0175283	73,8
     31,0743	   0,0174775	74,2	   0,0174461	74,4
     31,0762	    0,017493	73,7	   0,0175608	73,5
     31,0782	   0,0175541	74,6	   0,0175336	74,3
     31,0802	    0,017559	73,9	   0,0175869	74,5
     31,0821	   0,0176027	73,7	   0,0175526	74,4
     31,0841	   0,0175772	74,0	   0,0176229	73,5
      31,086	   0,0176102	75,1	   0,0175872	74,9
      31,088	   0,0176091	73,7	   0,0176164	73,5
     31,0899	   0,0176576	74,6	   0,0176679	74,4
     31,0919	   0,0176703	73,7	   0,0176179	74,0
     31,0938	   0,0176844	74,2	   0,0177497	73,7
     31,0958	   0,0177495	74,5	   0,0177306	74,4
     31,0978	   0,0177466	73,5	   0,0177379	74,9
     31,0997	   0,0177858	74,8	   0,0177645	74,3
     31,1017	   0,0178322	74,6	   0,0178501	74,2
     31,1036	   0,0177297	74,6	   0,0177998	74,9
     31,1056	   0,0179238	73,8	   0,0178972	74,0
     31,1075	   0,0177327	74,3	    0,017789	74,9
     31,1095	   0,0179662	74,5	   0,0179437	74,3
     31,1114	   0,0178707	74,1	   0,0178966	74,0
     31,1134	   0,0179546	75,1	   0,0179654	74,1
     31,1153	   0,0179834	73,7	    0,017965	74,5
     31,1173	   0,0179567	74,5	   0,0180089	74,8
     31,1193	   0,0180226	74,5	   0,0180054	74,0
     31,1212	   0,0180436	74,4	   0,0180779	73,6
     31,1232	    0,018053	73,5	   0,0180706	74,9
     31,1251	   0,0180247	74,3	   0,0181402	74,0
     31,1271	   0,0181446	74,4	   0,0181297	73,7
      31,129	    0,018069	73,4	   0,0180812	74,4
      31,131	   0,0181935	74,2	   0,0182162	74,1
     31,1329	   0,0180942	74,5	    0,018145	73,9
     31,1349	    0,018304	73,3	   0,0182219	74,5
     31,1369	   0,0181237	74,1	   0,0182211	74,1
     31,1388	   0,0182939	74,5	   0,0182255	74,0
     31,1408	     0,01828	74,7	   0,0182985	73,9
     31,1427	   0,0182948	74,1	   0,0182825	74,4
     31,1447	   0,0183036	74,3	    0,018387	73,8
     31,1466	   0,0182902	75,1	   0,0183328	74,4
     31,1486	   0,0183996	73,8	   0,0183711	73,8
     31,1505	     0,01832	74,5	   0,0184676	74,1
     31,1525	   0,0184758	74,7	   0,0184033	74,4
     31,1544	    0,018407	73,9	   0,0185237	74,8
     31,1564	    0,018537	74,5	   0,0184726	74,8
     31,1584	   0,0184643	74,9	   0,0185093	73,8
     31,1603	   0,0185777	74,2	   0,0185366	74,1
     31,1623	    0,018519	74,5	   0,0185923	74,8
     31,1642	   0,0185732	74,1	   0,0185987	73,9
     31,1662	   0,0185365	74,7	   0,0186111	73,5
     31,1681	   0,0186149	74,3	   0,0187026	74,7
     31,1701	   0,0186665	73,9	   0,0186649	74,4
      31,172	   0,0186674	74,9	   0,0187267	73,6
      31,174	   0,0187685	73,7	    0,018692	74,9
      31,176	   0,0186873	73,9	   0,0187308	74,7
     31,1779	   0,0187456	73,9	   0,0188598	74,0
     31,1799	   0,0188371	74,3	   0,0188229	73,9
     31,1818	   0,0187627	74,3	   0,0188501	74,4
     31,1838	   0,0188642	74,6	   0,0188702	73,8
     31,1857	   0,0188505	75,0	   0,0188698	74,2
     31,1877	   0,0189048	74,3	   0,0189751	74,5
     31,1896	   0,0189329	73,6	   0,0189298	73,6
     31,1916	    0,018959	74,3	   0,0190585	74,2
     31,1935	   0,0189979	74,3	   0,0189855	74,4
     31,1955	   0,0189986	75,0	   0,0190673	74,5
     31,1975	    0,019036	74,0	   0,0190731	74,6
     31,1994	   0,0190778	75,1	   0,0190886	74,4
     31,2014	   0,0190946	74,8	   0,0191642	75,1
     31,2033	   0,0191036	74,0	   0,0191449	74,3
     31,2053	   0,0191702	74,5	   0,0192076	74,4
     31,2072	   0,0191854	74,8	   0,0191967	75,4
     31,2092	    0,019233	74,1	    0,019278	74,4
     31,2111	   0,0192351	73,5	   0,0192971	74,2
     31,2131	    0,019289	74,5	   0,0192707	73,8
     31,2151	   0,0193033	74,4	   0,0194145	74,3
      31,217	   0,0193852	73,7	   0,0193705	73,7
      31,219	   0,0193366	74,2	   0,0193724	74,2
     31,2209	   0,0194686	74,7	   0,0194417	74,4
     31,2229	   0,0193941	73,5	   0,0194151	74,0
     31,2248	   0,0195201	74,3	   0,0194193	74,4
     31,2268	   0,0194811	74,3	   0,0195763	74,1
     31,2287	   0,0194583	75,2	   0,0195869	75,1
     31,2307	   0,0195736	74,6	   0,0195378	74,5
     31,2326	    0,019599	74,2	   0,0196928	74,0
     31,2346	   0,0195656	74,8	   0,0196684	75,1
     31,2366	   0,0196457	74,4	   0,0196898	74,0
     31,2385	   0,0197044	73,6	   0,0197061	74,7
     31,2405	   0,0196435	74,8	   0,0196904	73,0
