X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	003: [06-04-24 19:22]		004: [06-04-24 19:27]	
         100	    0,003001	74,2	  0,00275591	66,5
     100,108	  0,00277743	60,3	  0,00314023	64,9
     100,215	  0,00246926	77,7	  0,00315758	72,1
     100,323	  0,00289023	68,6	  0,00302674	68,2
      100,43	  0,00309565	57,5	  0,00295255	67,6
     100,538	  0,00296237	65,9	  0,00328439	68,9
     100,645	   0,0028638	75,7	  0,00295148	71,8
     100,753	  0,00292452	66,3	  0,00292912	66,9
      100,86	  0,00266244	63,6	  0,00284612	68,4
     100,968	  0,00279939	72,4	  0,00304523	73,8
     101,075	  0,00314927	64,4	  0,00309745	65,8
     101,183	  0,00301772	66,3	  0,00335287	67,3
      101,29	  0,00292657	74,0	  0,00300926	66,5
     101,398	  0,00343865	65,2	  0,00316954	67,8
     101,505	  0,00311459	70,1	  0,00315828	65,7
     101,613	  0,00334791	63,4	  0,00281505	79,8
      101,72	  0,00306581	68,1	  0,00297021	67,3
     101,828	  0,00300128	72,9	   0,0032057	63,7
     101,935	   0,0030488	64,8	  0,00301074	66,1
     102,043	    0,002952	64,4	  0,00341701	68,0
     102,151	  0,00324723	65,6	  0,00326346	57,1
     102,258	  0,00308022	67,3	  0,00320518	69,5
     102,366	  0,00323386	61,2	  0,00301453	64,0
     102,473	  0,00305922	76,4	  0,00333099	63,9
     102,581	  0,00305262	53,9	  0,00375003	53,5
     102,688	  0,00341768	75,1	  0,00371538	65,6
     102,796	  0,00298923	60,9	  0,00263963	67,4
     102,903	  0,00358785	60,7	  0,00315897	60,4
     103,011	  0,00326721	70,1	  0,00328744	73,4
     103,118	  0,00304448	66,8	   0,0034045	76,7
     103,226	  0,00346457	60,7	  0,00346621	71,5
     103,333	  0,00326928	63,5	  0,00328069	69,4
     103,441	   0,0029548	71,9	  0,00335946	65,6
     103,548	  0,00303662	70,7	  0,00313093	66,3
     103,656	  0,00315305	67,9	   0,0036879	62,1
     103,763	  0,00319206	70,9	  0,00371193	66,1
     103,871	  0,00322762	66,9	  0,00356914	65,9
     103,978	  0,00326666	69,3	  0,00328623	56,3
     104,086	  0,00306328	51,9	  0,00324785	59,9
     104,194	  0,00285649	68,7	  0,00293844	71,7
     104,301	  0,00294129	72,0	  0,00362264	69,2
     104,409	  0,00327667	60,3	  0,00319175	61,1
     104,516	  0,00326061	62,9	  0,00312623	63,9
     104,624	    0,003387	66,7	  0,00367169	72,7
