X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	003: [06-04-24 09:57]		005: [06-04-24 10:02]	
         120	  0,00510524	61,2	  0,00507731	59,9
     120,088	  0,00536111	63,3	  0,00488307	62,9
     120,176	  0,00539968	60,2	  0,00476769	61,5
     120,264	  0,00552209	65,4	  0,00507905	62,2
     120,352	  0,00521386	66,0	  0,00528213	66,3
      120,44	   0,0052982	60,9	  0,00507296	59,0
     120,528	  0,00539246	59,5	  0,00486592	59,1
     120,616	  0,00537229	66,2	  0,00534711	65,4
     120,704	  0,00501643	59,9	  0,00530646	60,2
     120,792	  0,00555161	64,2	  0,00499388	65,4
      120,88	  0,00519745	59,4	   0,0054376	61,7
     120,968	  0,00524552	63,7	  0,00495031	58,2
     121,056	  0,00555449	62,9	  0,00547322	58,5
     121,144	  0,00505567	61,1	   0,0048302	59,0
     121,232	  0,00569087	65,7	  0,00552639	65,8
      121,32	  0,00532793	63,6	  0,00527746	59,0
     121,408	  0,00588819	71,6	  0,00540384	67,4
     121,496	  0,00514836	56,6	  0,00516492	58,6
     121,584	  0,00549912	60,0	  0,00557396	65,8
     121,672	  0,00533141	61,5	  0,00530361	61,7
      121,76	  0,00588434	67,0	  0,00571741	62,2
     121,848	  0,00556004	59,2	  0,00533977	66,1
     121,935	  0,00529374	55,8	  0,00520522	56,5
     122,023	  0,00573148	59,4	  0,00585443	63,6
     122,111	  0,00557296	61,2	   0,0057407	64,5
     122,199	  0,00555006	64,9	  0,00558273	67,8
     122,287	  0,00572368	69,9	  0,00532213	58,7
     122,375	  0,00604503	66,2	  0,00564717	57,6
     122,463	   0,0059468	63,1	  0,00588636	61,0
     122,551	  0,00601107	61,6	  0,00554238	62,2
     122,639	  0,00573472	63,5	  0,00565356	64,2
     122,727	  0,00627535	62,9	  0,00567897	64,0
     122,815	   0,0062954	60,5	  0,00535917	62,2
     122,903	  0,00575387	56,9	  0,00574618	55,6
     122,991	  0,00593445	57,3	  0,00570523	55,1
     123,079	  0,00582454	60,3	  0,00571724	58,1
     123,167	   0,0058497	63,8	  0,00571606	57,3
     123,255	  0,00597752	63,9	  0,00600273	61,1
     123,343	  0,00620717	62,2	  0,00624919	59,1
     123,431	   0,0062797	66,0	  0,00633685	63,4
     123,519	  0,00614284	62,3	  0,00606285	58,1
     123,607	  0,00594348	61,4	  0,00603199	61,0
     123,695	  0,00607174	59,2	  0,00628233	68,1
     123,783	  0,00611305	59,1	  0,00619457	69,7
     123,871	  0,00638131	59,5	  0,00635427	63,9
     123,959	   0,0064501	64,0	  0,00620031	57,2
     124,047	  0,00635895	63,0	  0,00615755	62,8
     124,135	  0,00644289	59,0	  0,00606814	60,8
     124,223	   0,0066102	63,0	  0,00621027	63,2
     124,311	  0,00648003	64,9	  0,00650288	61,1
     124,399	  0,00659453	60,7	  0,00651051	61,6
     124,487	  0,00670411	61,6	  0,00618003	59,0
     124,575	  0,00664929	66,9	  0,00674976	64,9
     124,663	  0,00684248	60,6	  0,00624012	61,6
     124,751	   0,0068505	61,8	   0,0065795	61,6
     124,839	  0,00644628	59,8	  0,00646379	61,9
     124,927	  0,00681513	60,6	  0,00638516	62,5
     125,015	  0,00659601	60,1	  0,00688151	59,1
     125,103	  0,00705135	65,0	  0,00652331	57,3
     125,191	  0,00662864	61,5	  0,00680071	64,8
     125,279	  0,00718244	63,8	  0,00647622	54,7
     125,367	  0,00679884	60,8	  0,00699763	67,6
     125,455	   0,0071907	63,0	  0,00660046	55,4
     125,543	  0,00706171	57,7	  0,00702187	62,0
     125,631	   0,0068276	61,8	  0,00695199	66,4
     125,718	  0,00721211	60,7	  0,00666425	56,2
     125,806	  0,00728694	63,1	  0,00682753	58,4
     125,894	  0,00726599	64,5	   0,0068123	65,5
     125,982	  0,00740292	64,2	  0,00685794	58,4
      126,07	  0,00723078	58,5	  0,00735495	60,0
     126,158	  0,00717303	61,2	  0,00692983	54,9
     126,246	   0,0075945	59,7	  0,00704988	56,4
     126,334	  0,00741517	54,9	  0,00737369	67,2
     126,422	  0,00751947	54,5	  0,00705024	60,9
      126,51	   0,0073781	57,0	  0,00719188	55,7
     126,598	  0,00754354	62,0	  0,00732487	57,5
     126,686	   0,0076193	64,2	  0,00750022	60,5
     126,774	  0,00754888	63,3	   0,0076338	61,3
     126,862	  0,00760187	62,3	  0,00759258	62,7
      126,95	  0,00763429	59,2	  0,00747378	61,4
     127,038	  0,00778817	57,1	  0,00767078	63,1
     127,126	  0,00773826	58,8	  0,00791591	61,4
     127,214	  0,00814092	65,0	  0,00778938	63,4
     127,302	  0,00802861	61,4	  0,00765266	60,4
      127,39	  0,00817107	61,7	  0,00774042	57,1
     127,478	  0,00829936	58,7	  0,00774828	56,1
     127,566	  0,00838459	63,4	  0,00794536	60,6
     127,654	  0,00831726	64,0	  0,00816722	61,7
     127,742	  0,00835741	65,0	  0,00793361	60,4
      127,83	  0,00834733	55,7	  0,00801402	59,9
     127,918	  0,00844139	59,3	  0,00824058	64,5
     128,006	  0,00841298	59,7	  0,00818405	57,5
     128,094	   0,0084556	59,6	   0,0084223	65,3
     128,182	  0,00878811	62,6	   0,0082713	56,8
      128,27	   0,0087419	65,6	  0,00826008	61,0
     128,358	  0,00871741	57,6	   0,0083549	63,4
     128,446	  0,00877033	64,6	   0,0084708	64,0
     128,534	  0,00881097	58,2	  0,00826358	66,1
     128,622	  0,00904201	63,3	  0,00870634	54,4
      128,71	  0,00885926	63,1	    0,008582	65,5
     128,798	  0,00915214	64,9	  0,00851856	63,7
     128,886	  0,00915602	57,9	  0,00857803	60,9
     128,974	  0,00907477	64,8	  0,00873117	65,8
     129,062	  0,00925293	61,3	  0,00912954	59,8
      129,15	  0,00919854	63,7	  0,00916524	63,2
     129,238	  0,00950325	61,1	  0,00883744	60,0
     129,326	  0,00955302	63,4	  0,00902758	65,9
     129,413	  0,00935923	59,5	  0,00896197	59,3
     129,501	  0,00957709	63,3	     0,00924	64,5
     129,589	  0,00971187	60,2	  0,00924332	58,4
     129,677	  0,00963733	61,9	  0,00909516	62,7
