X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	003: [06-03-24 13:12]		004: [06-03-24 13:32]	
         130	  0,00487414	55,6	  0,00406939	67,9
      130,02	  0,00498043	61,8	  0,00421691	58,7
     130,039	  0,00495183	58,9	  0,00435887	51,1
     130,059	  0,00500162	68,1	  0,00420224	54,1
     130,078	  0,00508541	58,7	   0,0043367	60,6
     130,098	  0,00499489	62,3	  0,00446487	59,0
     130,117	  0,00495083	57,8	  0,00426415	62,9
     130,137	   0,0048061	56,1	  0,00423285	65,9
     130,156	  0,00512955	65,3	  0,00434735	65,5
     130,176	  0,00481781	58,2	   0,0041191	53,5
     130,196	  0,00501202	55,2	  0,00448918	52,7
     130,215	  0,00514132	61,0	  0,00443687	53,8
     130,235	  0,00507105	57,4	  0,00430158	65,7
     130,254	  0,00495528	57,0	  0,00440897	66,9
     130,274	   0,0051066	56,5	  0,00444461	57,4
     130,293	  0,00528764	61,5	  0,00442785	49,3
     130,313	  0,00575402	57,2	  0,00457715	49,6
     130,332	  0,00521192	61,4	  0,00413558	58,5
     130,352	  0,00521243	51,6	  0,00431438	51,0
     130,371	  0,00507275	64,2	  0,00457144	60,1
     130,391	  0,00538336	59,7	  0,00440113	56,7
     130,411	  0,00498682	63,0	  0,00452937	52,6
      130,43	  0,00509768	65,2	  0,00463343	47,1
      130,45	  0,00493884	66,8	  0,00439963	53,8
     130,469	  0,00514672	70,2	   0,0044726	61,5
     130,489	  0,00516923	65,5	  0,00434279	67,3
     130,508	  0,00511352	63,9	  0,00426825	68,3
     130,528	  0,00517658	60,5	  0,00451495	60,0
     130,547	  0,00525535	62,4	   0,0045079	58,4
     130,567	  0,00531621	57,3	  0,00420932	56,0
     130,587	   0,0053011	56,0	  0,00436219	64,9
     130,606	   0,0051187	61,2	  0,00431272	53,5
     130,626	   0,0048263	65,7	  0,00479252	55,2
     130,645	  0,00508894	71,9	  0,00441392	65,9
     130,665	  0,00545004	60,0	  0,00451497	67,9
     130,684	  0,00517026	59,9	   0,0046415	56,7
     130,704	  0,00527244	62,8	  0,00441856	70,2
     130,723	  0,00534109	56,7	  0,00422466	50,3
     130,743	  0,00561561	61,5	  0,00447209	59,4
     130,762	  0,00528261	62,5	  0,00440973	67,3
     130,782	  0,00541221	64,9	  0,00460606	57,4
     130,802	  0,00547933	60,6	   0,0047324	63,1
     130,821	   0,0055201	58,7	   0,0047018	55,8
     130,841	  0,00542291	62,6	  0,00467324	58,8
      130,86	  0,00543382	56,6	  0,00442961	69,2
      130,88	     0,00503	70,4	  0,00463027	48,5
     130,899	  0,00519203	60,8	  0,00440776	60,2
     130,919	  0,00510078	52,9	  0,00464214	50,8
     130,938	  0,00570051	53,8	  0,00460866	65,0
     130,958	  0,00540785	52,8	  0,00470032	60,8
     130,978	  0,00529677	70,0	   0,0046871	59,5
