X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	003: [05-25-24 15:46]		004: [05-25-24 16:01]	
         135	  0,00272162	11,1	  0,00336289	11,5
     135,029	  0,00261612	19,1	  0,00287332	-14,5
     135,059	  0,00276041	18,2	  0,00302872	 2,5
     135,088	  0,00266032	11,5	  0,00267994	11,8
     135,117	  0,00281194	 9,0	  0,00285431	12,6
     135,147	  0,00332418	 0,7	  0,00268991	25,1
     135,176	  0,00286753	 8,0	  0,00264427	12,8
     135,205	  0,00286324	 3,1	  0,00307491	-9,8
     135,235	  0,00289937	 9,9	  0,00269271	11,4
     135,264	  0,00308648	 4,9	  0,00301042	 4,0
     135,293	  0,00278047	15,2	  0,00303368	-5,7
     135,323	  0,00289443	-4,3	  0,00266534	 5,3
     135,352	    0,002793	20,0	  0,00267397	 5,8
     135,381	  0,00321991	-7,0	  0,00278237	21,8
     135,411	  0,00305476	 7,1	  0,00282251	 9,1
      135,44	  0,00317632	 2,1	  0,00278216	 9,9
     135,469	  0,00280304	18,3	  0,00316048	 2,1
     135,499	  0,00322033	-8,2	  0,00337379	-7,7
     135,528	  0,00318757	-2,6	  0,00321546	-5,7
     135,557	  0,00286556	 8,6	  0,00277844	15,3
     135,587	  0,00332334	-10,0	  0,00318761	 3,1
     135,616	  0,00295566	10,6	  0,00347671	-6,3
     135,645	  0,00287575	11,3	  0,00286904	 6,1
     135,674	  0,00328837	-4,8	  0,00320942	 1,5
     135,704	   0,0032403	-4,0	  0,00280872	 5,9
     135,733	  0,00320106	10,3	  0,00283999	14,4
     135,762	  0,00276961	19,9	  0,00311637	-1,5
     135,792	  0,00344522	-6,3	  0,00292503	15,3
     135,821	  0,00294122	 9,5	  0,00316332	-0,3
      135,85	  0,00284025	21,9	  0,00278754	18,8
      135,88	  0,00348764	-0,9	  0,00351756	-1,7
     135,909	  0,00315103	 1,5	  0,00328096	 3,7
     135,938	  0,00309335	 9,6	  0,00283531	10,7
     135,968	  0,00352851	-5,9	  0,00308002	 8,2
     135,997	  0,00294954	-0,1	  0,00284827	14,6
     136,026	  0,00295378	 7,9	  0,00315418	-4,2
     136,056	  0,00331932	 8,5	  0,00336105	-5,1
     136,085	  0,00328099	 2,0	  0,00321305	10,0
     136,114	  0,00343566	-2,5	  0,00311081	 4,6
     136,144	   0,0031536	-7,0	  0,00345056	-2,2
     136,173	  0,00301842	12,2	  0,00326455	 1,8
     136,202	  0,00308955	-0,7	  0,00295093	 9,1
     136,232	  0,00280236	13,2	  0,00300463	15,8
     136,261	  0,00293746	12,7	  0,00297652	 1,8
      136,29	  0,00296922	10,9	  0,00303261	16,5
      136,32	  0,00279918	 9,5	   0,0034159	-10,3
     136,349	  0,00298625	17,2	   0,0029577	-1,6
     136,378	  0,00325616	-6,9	  0,00337274	-8,5
     136,408	   0,0031999	 1,9	  0,00322262	-10,2
     136,437	  0,00362152	-4,8	  0,00328112	-4,5
     136,466	  0,00358681	-9,0	   0,0034562	 2,6
     136,496	  0,00346671	 8,9	  0,00316216	 0,4
     136,525	  0,00308806	13,5	  0,00294554	 3,3
     136,554	  0,00340352	-5,9	  0,00300588	12,9
     136,584	  0,00345199	-7,0	  0,00322865	 8,9
     136,613	  0,00343932	 2,5	  0,00323039	10,8
     136,642	  0,00319167	 8,8	  0,00339748	 0,2
     136,672	  0,00346916	 1,6	  0,00318447	 5,0
     136,701	  0,00314996	12,2	  0,00307786	11,0
      136,73	  0,00349015	-10,7	  0,00307827	12,2
      136,76	  0,00358108	 4,6	  0,00370123	-11,2
     136,789	  0,00305895	 5,6	  0,00306335	 4,8
     136,818	  0,00330014	11,6	  0,00336705	 5,2
     136,848	  0,00319927	-4,6	  0,00343003	 0,9
     136,877	  0,00325297	 7,6	  0,00325452	 8,1
     136,906	  0,00315988	11,7	  0,00347337	-10,8
     136,935	  0,00374512	 1,6	  0,00343971	 6,6
     136,965	  0,00384534	-6,5	  0,00377172	-2,3
     136,994	   0,0030979	12,9	  0,00321846	16,3
     137,023	  0,00348122	 8,8	  0,00311411	18,9
     137,053	  0,00379061	 1,1	  0,00349104	-4,5
     137,082	  0,00323443	-0,7	  0,00321653	 9,4
     137,111	  0,00359764	 8,7	  0,00332115	-6,2
     137,141	  0,00387654	-3,9	  0,00367282	-2,8
      137,17	  0,00365378	-2,9	  0,00362868	 0,9
     137,199	  0,00320016	10,1	  0,00302526	 7,8
     137,229	   0,0031443	 7,0	  0,00314165	 5,4
     137,258	  0,00312063	14,3	  0,00360679	-4,0
     137,287	  0,00326108	11,9	  0,00363481	 5,8
     137,317	  0,00317721	19,9	  0,00370026	 2,4
     137,346	   0,0034787	 8,0	  0,00352897	 5,6
     137,375	  0,00372789	-1,9	  0,00337856	 8,4
     137,405	  0,00317567	12,7	  0,00314115	 2,2
     137,434	   0,0034739	11,3	  0,00313971	 9,2
     137,463	  0,00391269	-6,3	  0,00329327	 1,1
     137,493	  0,00356599	 4,2	  0,00314882	12,7
     137,522	  0,00343018	 5,5	  0,00306863	16,8
     137,551	  0,00325187	 9,4	  0,00315952	 2,1
     137,581	  0,00322523	 5,9	  0,00350145	 4,7
      137,61	  0,00367779	-5,7	  0,00343196	 2,7
     137,639	  0,00381928	-1,5	  0,00388207	-3,8
     137,669	   0,0034194	 7,1	  0,00382647	 1,3
     137,698	  0,00327899	10,3	  0,00369441	-0,4
     137,727	  0,00353239	 0,9	  0,00317443	 7,6
     137,757	  0,00395885	-6,6	  0,00322422	 8,0
     137,786	  0,00366566	 4,6	  0,00359225	 7,7
     137,815	    0,003214	 8,7	  0,00360332	-3,7
     137,845	  0,00390032	-0,5	  0,00315363	13,0
     137,874	  0,00318257	 8,9	  0,00346803	 9,1
     137,903	  0,00378982	-8,5	  0,00389078	-4,9
     137,933	  0,00336515	10,4	   0,0032715	 6,7
     137,962	  0,00391093	-1,2	   0,0039057	-1,8
     137,991	  0,00336256	 8,8	  0,00327941	10,4
     138,021	   0,0035549	 1,1	  0,00345507	10,8
      138,05	  0,00323899	12,9	  0,00341987	 3,5
     138,079	  0,00416823	-4,9	  0,00321727	 4,7
     138,109	  0,00349304	-0,1	  0,00385329	-5,7
     138,138	  0,00364368	 7,9	  0,00311591	10,2
     138,167	  0,00392105	-10,1	  0,00387567	-10,5
     138,196	  0,00366706	-1,5	  0,00414534	 2,4
     138,226	  0,00359476	 2,1	  0,00336685	 6,3
     138,255	  0,00404028	 5,6	   0,0035299	 0,7
     138,284	  0,00376339	-2,9	  0,00386912	 5,5
     138,314	  0,00335259	15,2	   0,0031371	20,2
     138,343	  0,00346116	16,1	  0,00340406	 0,2
     138,372	  0,00321919	19,0	  0,00398068	-4,2
     138,402	  0,00409829	 0,7	  0,00346239	 3,3
     138,431	  0,00411828	 1,5	  0,00326729	15,5
      138,46	  0,00423385	 0,7	  0,00332704	 9,3
      138,49	  0,00422779	 2,5	   0,0038303	-1,7
     138,519	  0,00395586	-5,3	  0,00378678	-2,4
     138,548	  0,00404912	-4,6	  0,00407786	-8,7
     138,578	  0,00424951	-3,1	  0,00433542	-9,5
     138,607	  0,00413641	 2,6	  0,00429058	-3,6
     138,636	  0,00385327	 6,9	  0,00395989	 5,0
     138,666	  0,00417861	 3,2	  0,00374134	11,5
     138,695	  0,00372152	12,8	  0,00376879	13,8
     138,724	   0,0033842	 6,4	  0,00424808	-5,9
     138,754	  0,00357602	 4,7	  0,00425833	-6,9
     138,783	  0,00402577	-2,9	  0,00401662	 0,5
     138,812	  0,00424369	-1,1	  0,00431628	-9,7
     138,842	  0,00395449	 6,0	  0,00354441	 4,3
     138,871	  0,00352389	 4,1	  0,00363855	-1,8
       138,9	   0,0045303	-0,9	  0,00328773	10,0
      138,93	  0,00401078	 7,6	  0,00403823	 6,7
     138,959	  0,00389255	-2,9	  0,00423314	-2,4
     138,988	  0,00443128	-1,9	   0,0035509	 6,6
     139,018	  0,00377029	13,2	  0,00347037	15,4
     139,047	  0,00427794	-7,5	  0,00395702	 5,5
     139,076	  0,00428727	 1,0	  0,00421471	-6,9
     139,106	  0,00380721	-1,2	  0,00382351	 5,6
     139,135	  0,00422412	 8,1	  0,00433494	 0,1
     139,164	  0,00399028	 4,1	  0,00374603	 0,6
     139,194	  0,00410626	 8,2	  0,00429953	 0,7
     139,223	   0,0041323	-7,3	  0,00371375	 4,7
     139,252	  0,00375948	12,7	  0,00432579	-3,7
     139,282	  0,00396461	-2,7	  0,00353743	 8,6
     139,311	  0,00361016	10,4	  0,00420155	 0,8
      139,34	  0,00461043	-2,8	  0,00356584	15,9
      139,37	  0,00449134	-3,0	  0,00375138	 2,5
     139,399	  0,00386768	 1,1	  0,00434435	 1,3
     139,428	  0,00366914	17,5	   0,0040046	 8,3
     139,457	  0,00463256	-4,5	  0,00402453	-8,6
     139,487	  0,00446817	-1,3	   0,0043134	-2,5
     139,516	  0,00430369	-1,6	  0,00457023	-2,0
     139,545	  0,00375383	 8,7	  0,00359909	11,4
     139,575	  0,00413043	-0,9	  0,00354629	 5,7
     139,604	  0,00370506	 6,1	  0,00358694	10,5
     139,633	  0,00368913	10,6	  0,00426108	-8,6
     139,663	  0,00374938	 6,9	  0,00439673	-9,3
     139,692	  0,00416237	-3,2	  0,00456114	 0,2
     139,721	  0,00355876	 3,6	  0,00445549	 1,1
     139,751	  0,00431838	-1,2	  0,00449381	 1,6
      139,78	  0,00458387	-2,9	  0,00466007	-4,2
     139,809	  0,00472106	-1,4	  0,00430868	-1,8
     139,839	  0,00457757	 0,8	  0,00459222	-7,2
     139,868	  0,00376438	15,5	  0,00392804	-0,3
     139,897	  0,00370765	10,5	  0,00421892	-0,5
     139,927	  0,00415583	-4,6	  0,00343631	12,3
     139,956	  0,00444786	10,8	  0,00364028	 8,4
     139,985	  0,00421919	 7,4	  0,00440735	 4,5
     140,015	  0,00419756	 0,0	  0,00475535	-5,5
     140,044	  0,00500907	 0,9	  0,00455029	-0,0
     140,073	   0,0037821	13,4	  0,00348349	11,8
     140,103	  0,00429394	-6,2	  0,00424079	11,0
     140,132	  0,00466517	 6,2	  0,00463813	 3,2
     140,161	  0,00400406	 6,8	  0,00430844	-1,6
     140,191	  0,00508203	-10,3	  0,00415785	 6,3
      140,22	  0,00399403	10,5	  0,00473714	-5,2
     140,249	   0,0046915	-2,5	  0,00373181	11,9
     140,279	  0,00404289	12,9	  0,00453193	 0,2
     140,308	   0,0045785	-6,4	    0,003874	 7,4
     140,337	  0,00379244	12,4	   0,0050118	 3,6
     140,367	  0,00481164	-2,0	  0,00369729	 8,5
     140,396	  0,00402896	15,1	  0,00502158	-0,9
     140,425	  0,00480597	 0,3	  0,00411372	 4,4
     140,455	   0,0040848	-2,4	  0,00470934	-3,1
     140,484	  0,00518545	 3,6	  0,00416417	 4,4
     140,513	  0,00453766	-7,8	  0,00428913	 0,3
     140,543	  0,00409024	13,4	  0,00464527	-3,0
     140,572	  0,00508456	 0,8	  0,00438864	 7,0
     140,601	  0,00486487	-8,2	  0,00427494	-1,6
      140,63	  0,00386428	13,6	  0,00443769	 0,7
      140,66	  0,00413867	 8,1	  0,00481164	 1,2
     140,689	  0,00449306	11,5	  0,00444319	 3,6
     140,718	  0,00519767	-5,2	  0,00378279	 7,9
     140,748	  0,00482506	-3,7	  0,00412288	 3,6
     140,777	  0,00429873	 6,5	   0,0047054	-0,5
     140,806	  0,00454354	-0,8	  0,00501672	-1,4
     140,836	  0,00446344	 5,1	  0,00490703	-2,8
     140,865	  0,00393003	10,0	  0,00519247	 0,8
     140,894	   0,0042532	11,6	  0,00480678	 9,3
     140,924	  0,00420524	 4,6	  0,00483509	 5,2
     140,953	  0,00418879	-0,4	  0,00499945	-1,4
     140,982	  0,00418591	 3,0	  0,00517716	 0,7
     141,012	  0,00470198	-2,6	  0,00469188	 0,2
     141,041	  0,00428534	 3,6	  0,00536334	 0,4
      141,07	  0,00503907	 1,3	  0,00497864	-8,8
       141,1	  0,00550669	-3,1	  0,00443794	-1,7
     141,129	  0,00496607	 2,8	  0,00419915	 0,4
     141,158	   0,0043252	 7,8	  0,00397317	 9,8
     141,188	  0,00457865	 4,4	  0,00509672	-2,5
     141,217	  0,00546124	-1,6	  0,00528014	-3,2
     141,246	  0,00547493	 4,8	  0,00464961	 0,9
     141,276	  0,00438216	12,8	   0,0041795	 8,6
     141,305	  0,00474728	 1,5	  0,00493777	 0,4
     141,334	  0,00556576	 5,0	  0,00435452	-1,0
     141,364	  0,00443842	18,4	   0,0040353	11,1
     141,393	  0,00569559	-1,0	  0,00544361	 2,9
     141,422	  0,00451923	 3,8	  0,00435519	 7,1
     141,452	  0,00528967	-6,8	  0,00506684	 6,9
     141,481	  0,00525355	 7,6	  0,00460886	-5,5
      141,51	   0,0053943	-1,7	   0,0050784	 4,4
      141,54	  0,00489681	10,5	  0,00450813	-4,8
     141,569	  0,00541475	-9,5	  0,00547409	 0,1
     141,598	   0,0042635	11,0	  0,00423919	 7,0
     141,628	  0,00529034	 1,2	     0,00557	-0,4
     141,657	  0,00539981	-1,3	  0,00457565	 7,7
     141,686	  0,00441989	 1,4	   0,0045599	 6,9
     141,716	  0,00504927	 6,5	   0,0057259	-2,6
     141,745	  0,00586476	 2,6	  0,00449684	10,8
     141,774	  0,00566425	-6,4	  0,00419989	 1,6
     141,804	  0,00454652	 9,0	  0,00481846	 2,2
     141,833	  0,00456442	 1,9	  0,00524004	-1,9
     141,862	  0,00502984	 3,2	  0,00569374	 5,3
     141,891	  0,00502821	 9,9	  0,00460334	 5,2
     141,921	  0,00553504	-3,3	  0,00426013	11,7
      141,95	  0,00569638	-1,7	  0,00418615	 6,6
     141,979	  0,00551437	 1,3	  0,00456322	-2,5
     142,009	  0,00571217	-1,5	  0,00472371	 4,4
     142,038	  0,00571066	 4,3	  0,00452327	 2,6
     142,067	  0,00533947	 7,9	  0,00481685	 0,8
     142,097	  0,00553809	 5,7	  0,00445992	 8,2
     142,126	  0,00502215	12,2	  0,00434627	 0,9
     142,155	  0,00519555	 9,4	  0,00459328	 6,4
     142,185	  0,00455881	-0,4	   0,0045336	 9,8
     142,214	  0,00563352	-2,1	  0,00558904	 6,6
     142,243	  0,00607716	-4,2	  0,00545663	-2,5
     142,273	  0,00539723	 7,4	  0,00508019	-2,0
     142,302	  0,00490298	 2,2	  0,00446643	 4,2
     142,331	   0,0053968	 0,2	  0,00440152	 8,1
     142,361	  0,00571503	 6,1	   0,0055734	-2,4
      142,39	  0,00484056	 1,0	  0,00540461	-3,6
     142,419	  0,00562989	-3,6	  0,00454433	 3,7
     142,449	  0,00567805	 5,7	  0,00581309	 8,8
     142,478	  0,00512049	 3,1	  0,00538473	-3,2
     142,507	  0,00624728	-2,3	  0,00441916	 9,8
     142,537	  0,00463328	 8,0	  0,00565865	 0,3
     142,566	  0,00601436	 2,4	  0,00481185	 3,0
     142,595	  0,00490843	 1,6	   0,0060925	 3,3
     142,625	  0,00576931	 2,7	  0,00462123	-0,8
     142,654	  0,00565149	-2,1	  0,00551871	 5,7
     142,683	  0,00548501	 6,9	  0,00478187	 0,3
     142,713	   0,0063893	-3,2	  0,00607071	 0,2
     142,742	  0,00474032	11,9	  0,00503977	 4,2
     142,771	  0,00547473	 8,6	  0,00502004	 4,0
     142,801	  0,00626348	 2,0	  0,00603281	-7,3
      142,83	  0,00491537	 3,4	   0,0057457	 0,3
     142,859	  0,00606458	 8,3	  0,00486482	 0,7
     142,889	  0,00639087	-4,4	  0,00527482	 1,8
     142,918	  0,00660009	-5,2	  0,00612962	-1,5
     142,947	  0,00510665	-3,7	  0,00561875	 7,1
     142,977	  0,00510203	 1,3	  0,00507602	 9,4
     143,006	  0,00541215	13,4	  0,00497012	12,5
     143,035	  0,00550095	 7,1	  0,00532596	-2,4
     143,065	  0,00630891	 4,8	  0,00558519	 0,0
     143,094	  0,00630628	-1,0	  0,00575413	-3,7
     143,123	  0,00659196	 3,2	  0,00588252	-1,0
