X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	003: [06-27-24 15:57]		005: [06-27-24 16:04]	
         155	   0,0216274	56,1	    0,023776	56,7
     155,064	   0,0228783	57,4	   0,0237196	56,6
     155,127	   0,0230365	55,5	   0,0241009	56,0
     155,191	    0,023155	56,3	    0,024207	53,8
     155,254	   0,0233053	57,5	   0,0243134	58,0
     155,318	   0,0233558	57,6	   0,0246017	54,9
     155,381	   0,0237887	55,8	   0,0248906	57,4
     155,445	   0,0240182	56,6	   0,0250098	57,1
     155,508	    0,023954	56,0	    0,025358	57,1
     155,572	   0,0241708	56,3	   0,0253257	56,1
     155,635	   0,0245216	53,4	   0,0259943	55,8
     155,699	   0,0242489	56,2	   0,0264345	55,0
     155,762	   0,0247936	56,1	    0,026263	56,6
     155,826	   0,0251952	58,7	   0,0262774	55,7
      155,89	   0,0252824	56,4	   0,0265826	56,1
     155,953	   0,0251367	55,9	   0,0271837	56,1
     156,017	   0,0253172	56,7	   0,0275063	55,1
      156,08	   0,0260448	57,2	   0,0271927	56,1
     156,144	   0,0258054	55,4	   0,0277641	58,1
     156,207	   0,0259566	56,8	   0,0279553	57,4
     156,271	   0,0265192	56,7	   0,0280036	57,0
     156,334	   0,0264425	57,0	   0,0282338	55,5
     156,398	   0,0264499	55,9	   0,0289141	55,6
     156,461	   0,0270743	56,6	   0,0288742	55,5
     156,525	   0,0271383	56,1	   0,0294218	55,2
     156,588	   0,0277402	55,2	    0,029408	56,9
     156,652	   0,0275802	56,9	   0,0298993	55,0
     156,716	   0,0281223	56,4	   0,0296695	57,8
     156,779	   0,0282649	55,8	    0,030657	56,3
     156,843	   0,0281337	56,9	   0,0305302	57,4
     156,906	   0,0287428	54,9	   0,0312364	57,3
      156,97	   0,0285599	57,7	   0,0316452	55,5
     157,033	    0,028448	57,3	   0,0313608	57,9
     157,097	   0,0295402	55,0	   0,0322577	56,0
      157,16	    0,029492	56,1	   0,0320488	55,3
     157,224	   0,0297234	57,0	   0,0321461	57,7
     157,287	   0,0297992	56,1	   0,0329652	57,8
     157,351	   0,0305401	56,0	   0,0336583	56,6
     157,414	   0,0307779	57,2	   0,0334931	55,6
     157,478	     0,03066	56,7	   0,0335676	55,8
     157,542	   0,0310958	55,0	   0,0337839	57,3
     157,605	   0,0308556	55,8	    0,034418	58,4
     157,669	   0,0315119	54,7	   0,0347951	56,6
     157,732	   0,0317039	56,2	   0,0349265	57,2
     157,796	   0,0327288	55,8	   0,0353035	57,2
     157,859	   0,0331492	55,9	   0,0361449	58,1
     157,923	   0,0332859	55,2	   0,0364453	56,2
     157,986	    0,034004	56,2	   0,0370393	55,8
      158,05	   0,0339251	56,5	   0,0372435	57,0
     158,113	   0,0343049	56,8	   0,0374136	58,1
     158,177	   0,0341558	58,4	   0,0381876	56,2
      158,24	   0,0346182	57,0	   0,0384107	57,6
     158,304	    0,035175	57,3	   0,0391633	56,5
     158,368	   0,0362294	58,1	   0,0396145	57,4
     158,431	   0,0356924	58,5	    0,040363	57,5
     158,495	    0,036027	57,2	    0,040188	58,0
     158,558	   0,0371196	57,5	   0,0412691	57,0
     158,622	   0,0373514	57,7	   0,0414529	58,8
     158,685	   0,0377988	54,9	   0,0411733	56,1
     158,749	   0,0381102	56,6	   0,0425552	57,0
     158,812	   0,0385966	56,9	   0,0428954	56,6
     158,876	   0,0389482	56,9	   0,0433432	56,5
     158,939	   0,0393582	56,9	   0,0440208	57,6
     159,003	   0,0396608	57,3	   0,0447854	58,0
     159,066	   0,0403821	57,4	   0,0452735	56,0
      159,13	   0,0406263	55,9	   0,0462563	58,8
     159,194	   0,0410834	56,9	   0,0467841	56,3
     159,257	   0,0418742	56,9	   0,0477371	56,5
     159,321	    0,042714	57,9	   0,0480854	56,2
     159,384	   0,0431763	57,7	   0,0482526	58,2
     159,448	   0,0436275	57,7	   0,0490848	57,0
     159,511	   0,0440696	58,8	   0,0499465	55,7
     159,575	    0,044877	56,3	   0,0509577	57,6
     159,638	   0,0454864	56,3	   0,0517398	56,9
     159,702	   0,0462686	56,7	   0,0522477	57,6
     159,765	   0,0464876	56,3	   0,0532237	58,6
     159,829	   0,0475114	55,6	   0,0543507	57,4
     159,892	   0,0482651	56,9	   0,0552639	57,1
     159,956	   0,0485237	58,0	    0,055741	55,9
      160,02	   0,0493907	59,1	   0,0567245	59,6
     160,083	   0,0501385	56,3	   0,0579302	58,1
     160,147	    0,051191	56,3	   0,0590932	58,0
      160,21	   0,0520646	56,0	   0,0603262	57,0
     160,274	    0,052594	56,5	   0,0611413	57,7
     160,337	   0,0535011	55,2	   0,0623923	57,7
     160,401	   0,0541742	56,7	   0,0629014	57,4
     160,464	   0,0552629	57,9	   0,0646708	58,8
     160,528	   0,0558317	57,5	    0,065547	58,2
     160,591	   0,0570209	57,0	   0,0668209	56,6
     160,655	   0,0578428	55,7	   0,0682589	57,1
     160,718	   0,0593125	57,1	   0,0693059	57,1
     160,782	   0,0596044	57,8	   0,0713162	58,5
     160,846	   0,0603954	57,5	   0,0725335	58,4
     160,909	   0,0616776	57,8	   0,0742138	58,6
     160,973	   0,0627099	59,4	   0,0748835	58,9
     161,036	   0,0644735	57,1	   0,0775073	57,6
       161,1	    0,064781	58,1	   0,0788958	57,8
     161,163	   0,0661196	58,7	    0,080133	58,7
     161,227	   0,0672639	59,1	   0,0823536	58,5
      161,29	    0,069143	57,7	   0,0843004	56,9
     161,354	   0,0691777	56,4	    0,085889	58,1
     161,417	   0,0714079	57,4	   0,0867649	59,2
     161,481	   0,0727286	57,4	   0,0895949	59,8
     161,544	   0,0749552	57,1	   0,0916978	59,3
     161,608	     0,07574	58,3	   0,0941283	60,4
     161,672	   0,0778199	56,7	   0,0960178	58,0
     161,735	   0,0789457	59,2	   0,0982211	60,1
     161,799	   0,0808479	57,3	   0,0998995	58,7
     161,862	   0,0821299	58,5	    0,103541	59,9
     161,926	   0,0843723	57,0	    0,105691	59,4
     161,989	   0,0866295	59,6	    0,107318	61,0
     162,053	    0,088277	58,2	    0,109741	59,8
     162,116	   0,0899724	59,2	    0,112074	58,7
      162,18	   0,0920364	59,2	    0,115153	60,3
     162,243	   0,0948246	58,7	    0,118505	59,1
     162,307	   0,0961433	58,2	    0,121689	60,5
      162,37	   0,0993093	59,9	    0,123908	62,4
     162,434	     0,10186	59,8	    0,128045	60,1
     162,498	    0,103947	60,2	     0,13056	60,2
     162,561	    0,106732	60,6	    0,133663	60,9
     162,625	    0,108371	58,5	    0,136391	61,0
     162,688	    0,110953	62,2	    0,140563	62,0
     162,752	    0,114205	58,6	    0,143606	59,0
     162,815	    0,117168	59,4	    0,147083	61,0
     162,879	    0,119408	59,9	    0,150438	60,8
     162,942	    0,122825	60,0	    0,153052	63,3
     163,006	    0,125499	59,9	    0,156444	62,3
     163,069	    0,128307	61,4	    0,159665	62,1
     163,133	     0,13289	60,0	     0,16326	62,4
     163,196	    0,136263	60,6	    0,166411	62,7
      163,26	    0,138599	61,1	    0,170851	62,4
     163,324	    0,141761	60,6	    0,173505	62,7
     163,387	    0,144509	62,8	    0,177471	61,8
     163,451	    0,147769	63,6	    0,180797	62,5
     163,514	    0,151692	63,4	     0,18418	63,7
     163,578	    0,154879	61,2	    0,188093	63,4
     163,641	    0,158866	61,0	    0,190549	64,2
     163,705	    0,162322	62,0	    0,193632	63,7
     163,768	    0,165629	61,9	    0,197425	63,0
     163,832	    0,167861	62,6	    0,201122	63,3
     163,895	    0,172196	63,1	    0,204606	63,8
     163,959	    0,176044	62,5	    0,207559	66,2
     164,022	    0,180546	62,4	    0,211529	63,5
     164,086	    0,183002	62,4	    0,214911	65,0
      164,15	    0,186427	62,7	    0,217913	64,8
     164,213	    0,190538	64,9	     0,22168	64,5
     164,277	    0,194633	64,1	    0,225372	64,9
      164,34	    0,197625	63,0	    0,228109	64,6
     164,404	    0,200498	64,5	    0,231255	66,5
     164,467	    0,204221	64,3	    0,235394	65,7
     164,531	    0,207211	63,7	    0,239092	66,3
     164,594	     0,21055	66,8	    0,242471	67,6
     164,658	    0,214086	63,7	    0,244734	67,1
     164,721	    0,218332	63,8	    0,249373	66,5
     164,785	    0,221609	65,2	     0,25149	68,2
     164,848	    0,225098	64,6	    0,254656	65,8
     164,912	    0,228412	64,6	    0,257861	66,7
     164,976	    0,231798	64,7	    0,260892	68,9
     165,039	    0,235172	66,0	    0,264093	67,4
     165,103	     0,23815	66,6	    0,267888	66,5
     165,166	    0,241847	65,9	    0,269845	65,4
      165,23	    0,246035	66,2	    0,273666	66,0
     165,293	    0,249009	68,2	    0,275939	67,8
     165,357	     0,25124	68,0	    0,278999	69,0
      165,42	     0,25508	67,5	    0,281848	69,0
     165,484	    0,257916	65,7	    0,285047	67,9
     165,547	    0,260675	67,7	     0,28812	68,7
     165,611	    0,263499	66,0	    0,291293	65,9
     165,674	    0,266348	66,6	    0,293713	66,8
     165,738	    0,269878	67,4	     0,29631	68,4
     165,802	    0,273494	68,1	    0,299356	69,2
     165,865	    0,276524	67,9	    0,302406	68,8
     165,929	    0,278808	69,5	    0,304342	69,9
     165,992	    0,282654	69,1	    0,224053	-144,1
     166,056	    0,285438	69,2	    0,176148	-136,1
     166,119	    0,288734	69,2	    0,150479	-136,3
     166,183	    0,291953	70,4	    0,135414	-134,1
     166,246	    0,294798	66,2	    0,125993	-132,1
      166,31	    0,298037	68,6	     0,11972	-131,6
     166,373	    0,302253	67,4	    0,114647	-133,2
     166,437	    0,303702	65,9	     0,11179	-130,3
       166,5	     0,30648	69,6	    0,107338	-130,2
     166,564	    0,309433	71,8	    0,102983	-131,2
     166,628	    0,311792	69,9	    0,100934	-131,2
     166,691	    0,314782	70,4	   0,0956296	-129,7
     166,755	    0,317931	70,7	   0,0945318	-131,4
     166,818	    0,320554	70,6	   0,0911788	-130,5
     166,882	    0,323101	69,5	   0,0897322	-131,7
     166,945	    0,326413	69,9	   0,0872388	-130,8
     167,009	    0,329175	69,7	   0,0841002	-128,8
     167,072	     0,33215	69,8	   0,0830038	-130,2
     167,136	    0,334612	69,2	   0,0805586	-128,7
     167,199	    0,336748	71,3	   0,0797286	-129,7
     167,263	    0,340231	70,0	   0,0775633	-130,8
     167,326	    0,342265	72,3	   0,0758301	-130,1
      167,39	     0,34461	70,4	   0,0745363	-131,3
     167,454	    0,347695	71,9	   0,0735185	-130,7
     167,517	    0,349299	70,5	   0,0718863	-129,2
     167,581	     0,35297	71,1	   0,0703859	-128,8
     167,644	    0,355073	69,6	   0,0688767	-129,5
     167,708	    0,357199	73,9	   0,0677292	-128,2
     167,771	    0,360051	71,8	   0,0663661	-130,2
     167,835	    0,362649	73,1	   0,0660796	-128,8
     167,898	     0,36577	70,8	   0,0641164	-130,1
     167,962	    0,368412	70,6	   0,0640187	-129,3
     168,025	    0,370918	70,9	   0,0628434	-129,6
     168,089	    0,373417	70,6	   0,0615315	-129,0
     168,152	    0,376771	71,1	   0,0617674	-128,1
     168,216	    0,378402	71,8	   0,0598989	-128,7
      168,28	    0,381473	71,5	   0,0591093	-129,7
     168,343	    0,383492	72,1	   0,0581882	-128,7
     168,407	    0,386455	72,1	   0,0569832	-127,3
      168,47	    0,388283	71,9	   0,0560047	-128,0
     168,534	    0,391452	72,1	   0,0566332	-128,4
     168,597	    0,394125	71,0	   0,0555461	-130,7
     168,661	    0,396299	73,7	   0,0546176	-128,5
     168,724	    0,398772	73,7	   0,0537574	-129,3
     168,788	    0,401322	73,4	   0,0533427	-129,0
     168,851	    0,404253	73,3	   0,0527314	-126,0
     168,915	    0,406657	73,0	   0,0518945	-128,3
     168,979	    0,409033	74,5	   0,0515998	-128,6
     169,042	    0,411491	73,7	    0,050417	-128,0
     169,106	    0,413579	75,5	   0,0504028	-128,5
     169,169	    0,416323	73,0	   0,0490927	-128,7
     169,233	    0,418589	74,9	   0,0496512	-128,9
     169,296	    0,421398	74,7	   0,0485271	-129,4
      169,36	    0,423147	73,2	   0,0482417	-128,6
     169,423	    0,425523	75,7	   0,0475205	-129,7
     169,487	    0,427571	74,5	   0,0461686	-127,8
      169,55	    0,430622	75,0	   0,0463952	-128,3
     169,614	    0,432962	74,8	   0,0455129	-128,9
