X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	002: [06-26-24 18:51]		003: [06-26-24 19:01]	
        28,5	   0,0109709	74,6	   0,0129293	75,2
      28,502	   0,0122447	77,6	   0,0128474	76,4
     28,5039	   0,0124339	75,4	   0,0127675	76,1
     28,5059	   0,0128973	76,7	   0,0128117	75,4
     28,5078	    0,012676	75,7	   0,0127967	76,0
     28,5098	   0,0130073	75,6	   0,0128626	75,1
     28,5117	   0,0128037	76,8	    0,012855	75,1
     28,5137	   0,0129812	76,3	   0,0129124	76,5
     28,5156	   0,0128752	76,6	   0,0129425	76,8
     28,5176	   0,0129522	75,6	   0,0129596	76,2
     28,5196	   0,0129695	75,9	   0,0129414	76,1
     28,5215	   0,0129413	77,2	   0,0129735	76,6
     28,5235	   0,0130131	75,9	   0,0129758	76,5
     28,5254	   0,0129764	76,3	   0,0129495	76,1
     28,5274	   0,0130622	76,0	   0,0130596	75,1
     28,5293	   0,0130661	75,6	    0,012962	75,1
     28,5313	   0,0130684	76,4	    0,013108	75,4
     28,5332	   0,0130862	75,7	   0,0130247	76,1
     28,5352	   0,0131087	75,9	   0,0131522	75,6
     28,5371	   0,0131248	76,1	   0,0130508	75,9
     28,5391	   0,0131347	75,7	   0,0131662	75,8
     28,5411	   0,0131553	76,2	   0,0130904	76,8
      28,543	   0,0131571	76,0	   0,0132586	75,6
      28,545	   0,0132326	75,7	   0,0131427	76,3
     28,5469	   0,0132111	75,8	   0,0132768	76,4
     28,5489	   0,0132351	76,0	   0,0131666	76,4
     28,5508	   0,0132122	76,0	   0,0133357	76,1
     28,5528	   0,0133146	75,8	   0,0132049	75,0
     28,5547	   0,0132695	76,5	   0,0133555	75,9
     28,5567	   0,0133297	76,8	   0,0133016	75,7
     28,5587	   0,0133368	76,1	   0,0133549	76,5
     28,5606	   0,0133485	76,2	   0,0133285	75,7
     28,5626	   0,0133582	76,7	   0,0133716	76,6
     28,5645	   0,0133384	76,5	   0,0133751	76,5
     28,5665	   0,0134887	75,8	   0,0134018	76,2
     28,5684	   0,0134176	75,7	   0,0134742	76,0
     28,5704	   0,0134904	75,8	   0,0133914	76,1
     28,5723	   0,0134381	76,5	   0,0134727	76,1
     28,5743	    0,013526	76,6	   0,0135735	76,8
     28,5762	   0,0134998	76,2	   0,0134784	76,6
     28,5782	   0,0135696	77,2	   0,0135433	76,3
     28,5802	   0,0135715	76,5	    0,013484	75,6
     28,5821	   0,0136336	76,6	   0,0136214	76,4
     28,5841	   0,0135835	77,1	   0,0135944	75,7
      28,586	   0,0136374	76,7	   0,0136723	76,2
      28,588	   0,0136377	76,4	   0,0136522	75,5
     28,5899	   0,0137597	76,7	   0,0136548	76,1
     28,5919	   0,0136148	76,2	   0,0137305	76,6
     28,5938	   0,0137407	76,5	   0,0137154	75,8
     28,5958	   0,0137507	75,9	   0,0137755	75,8
     28,5978	   0,0137689	76,0	   0,0137444	76,3
     28,5997	    0,013786	76,7	   0,0138056	75,8
     28,6017	   0,0137915	76,4	   0,0137968	76,1
     28,6036	   0,0138283	76,2	   0,0138345	77,2
     28,6056	   0,0138675	76,8	   0,0138795	75,8
     28,6075	   0,0138434	75,9	   0,0139303	76,1
     28,6095	   0,0139085	75,8	   0,0138335	76,7
     28,6114	   0,0139062	76,2	   0,0139644	76,5
     28,6134	   0,0140033	76,8	   0,0138673	76,6
     28,6153	   0,0139508	76,6	   0,0140404	75,9
     28,6173	   0,0140116	76,2	   0,0139081	77,5
     28,6193	    0,014035	76,7	   0,0140756	76,1
     28,6212	   0,0140215	76,1	    0,014012	76,2
     28,6232	   0,0140933	75,8	    0,014164	76,2
     28,6251	   0,0140396	76,8	    0,014049	76,1
     28,6271	   0,0141147	76,4	   0,0141689	76,6
      28,629	     0,01412	76,9	   0,0140928	76,5
      28,631	   0,0141926	77,2	   0,0141965	76,2
     28,6329	   0,0141536	75,6	   0,0141327	76,3
     28,6349	   0,0142178	76,3	   0,0142294	76,0
     28,6369	   0,0142201	76,7	   0,0142205	77,2
     28,6388	   0,0142436	75,6	   0,0143048	76,4
     28,6408	    0,014265	75,8	   0,0142338	76,8
     28,6427	   0,0143468	76,1	   0,0143462	75,8
     28,6447	   0,0143083	76,4	   0,0142482	76,6
     28,6466	   0,0143742	76,4	   0,0144147	76,5
     28,6486	   0,0143605	76,5	   0,0143044	76,9
     28,6505	   0,0143526	76,4	    0,014392	76,2
     28,6525	   0,0143893	77,3	   0,0144439	76,1
     28,6544	   0,0144395	76,7	   0,0144908	76,3
     28,6564	   0,0144654	76,8	   0,0144768	77,2
     28,6584	   0,0145501	76,0	   0,0145129	76,7
     28,6603	   0,0144619	75,9	   0,0145708	76,8
     28,6623	   0,0145746	77,1	   0,0145027	75,9
