X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	002: [06-26-24 17:24]		003: [06-26-24 17:34]	
        30,5	  0,00892057	78,0	   0,0105218	73,9
      30,502	  0,00996027	71,5	   0,0106313	73,6
     30,5039	   0,0106158	74,0	   0,0106091	74,2
     30,5059	    0,010416	76,2	   0,0105488	75,3
     30,5078	   0,0105177	73,3	   0,0106714	74,0
     30,5098	   0,0107492	74,1	   0,0105621	73,3
     30,5117	   0,0106265	75,9	   0,0106401	74,2
     30,5137	   0,0105752	74,8	   0,0106328	73,9
     30,5156	   0,0107535	73,5	   0,0106168	74,5
     30,5176	   0,0106378	74,8	   0,0106897	73,7
     30,5196	   0,0106143	74,7	   0,0106893	73,8
     30,5215	    0,010674	74,1	    0,010695	74,5
     30,5235	   0,0107036	74,5	     0,01071	74,7
     30,5254	   0,0107456	74,1	   0,0107138	73,0
     30,5274	   0,0107255	74,8	   0,0107236	74,4
     30,5293	   0,0107939	75,1	   0,0107913	74,8
     30,5313	   0,0107369	74,0	   0,0107471	74,0
     30,5332	   0,0106885	73,6	   0,0107584	74,6
     30,5352	    0,010814	74,7	   0,0108136	75,5
     30,5371	   0,0107597	74,0	   0,0107917	74,2
     30,5391	   0,0107475	73,4	   0,0107911	73,9
     30,5411	   0,0107939	73,4	   0,0108234	74,0
      30,543	   0,0109024	75,0	   0,0107877	75,6
      30,545	   0,0107753	74,5	   0,0108641	75,2
     30,5469	   0,0108438	74,4	   0,0107921	73,8
     30,5489	   0,0108833	74,1	   0,0108172	74,7
     30,5508	   0,0108297	73,8	   0,0108863	75,1
     30,5528	   0,0109182	74,9	   0,0108952	72,9
     30,5547	   0,0108503	73,8	   0,0108426	73,6
     30,5567	   0,0109336	73,5	   0,0109431	74,7
     30,5587	   0,0108709	75,5	   0,0108627	74,3
     30,5606	   0,0109258	75,2	    0,010962	73,9
     30,5626	   0,0109587	73,8	   0,0109996	73,6
     30,5645	   0,0108457	74,5	   0,0109581	73,7
     30,5665	   0,0109573	73,9	   0,0109333	72,9
     30,5684	   0,0110536	74,2	   0,0109752	74,8
     30,5704	   0,0109352	74,4	   0,0110452	75,1
     30,5723	   0,0110104	74,2	   0,0109734	73,7
     30,5743	   0,0110295	74,7	   0,0110203	74,4
     30,5762	   0,0110514	75,2	   0,0111175	74,3
     30,5782	   0,0110526	75,6	   0,0109908	73,9
     30,5802	   0,0110225	73,3	     0,01111	75,0
     30,5821	   0,0110145	73,0	    0,011092	73,7
     30,5841	   0,0111371	75,0	   0,0110962	73,8
      30,586	   0,0110183	74,5	   0,0111352	73,5
      30,588	   0,0111223	75,6	   0,0111302	74,6
     30,5899	   0,0110178	73,2	   0,0111306	74,4
     30,5919	   0,0110886	72,9	   0,0111285	73,9
     30,5938	   0,0112429	74,5	    0,011162	74,0
     30,5958	    0,011036	75,0	   0,0111281	75,5
