
X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	002: [06-26-24 13:04]		003: [06-26-24 13:12]	
          31	   0,0095156	74,4	    0,011334	73,5
      31,002	   0,0109257	75,7	   0,0113338	74,0
     31,0039	   0,0108536	71,9	   0,0114062	74,0
     31,0059	   0,0114829	75,0	   0,0114195	74,7
     31,0078	   0,0111746	72,6	   0,0114322	72,5
     31,0098	   0,0115672	74,9	   0,0114785	75,2
     31,0117	   0,0112891	72,9	   0,0114525	73,2
     31,0137	   0,0115598	75,7	   0,0114508	74,8
     31,0156	   0,0114395	74,2	   0,0114955	72,7
     31,0176	   0,0115452	73,0	   0,0114989	72,3
     31,0196	    0,011443	73,4	   0,0115396	74,6
     31,0215	   0,0115274	74,6	   0,0115237	73,4
     31,0235	   0,0114701	73,0	   0,0115318	74,3
     31,0254	   0,0115858	74,8	   0,0115078	73,9
     31,0274	   0,0114887	73,3	   0,0116184	73,3
     31,0293	    0,011617	75,1	   0,0114735	74,2
     31,0313	   0,0115972	73,8	   0,0116298	73,1
     31,0332	    0,011582	73,1	   0,0115744	75,3
     31,0352	   0,0116361	75,0	   0,0116897	73,1
     31,0371	   0,0116592	73,2	    0,011589	73,7
     31,0391	   0,0116589	74,8	   0,0117083	74,0
     31,0411	   0,0116621	74,4	    0,011613	74,4
      31,043	   0,0116751	73,8	   0,0117195	73,6
      31,045	   0,0116886	74,1	   0,0116901	73,7
     31,0469	   0,0116417	74,1	   0,0117511	72,1
     31,0489	   0,0116812	74,0	   0,0117168	75,3
     31,0508	   0,0117393	74,2	   0,0117347	72,9
     31,0528	   0,0117074	73,9	    0,011769	73,2
     31,0547	   0,0117812	74,0	    0,011733	75,2
     31,0567	   0,0117675	74,9	   0,0117922	73,2
     31,0587	   0,0117618	74,1	     0,01184	74,5
     31,0606	   0,0118219	74,5	   0,0118485	73,4
     31,0626	   0,0117965	74,1	   0,0118554	72,1
     31,0645	   0,0118393	73,9	   0,0118088	74,1
     31,0665	   0,0118381	74,4	   0,0118973	73,3
     31,0684	   0,0118317	75,2	   0,0118949	75,0
     31,0704	   0,0119077	73,0	   0,0118645	74,9
     31,0723	   0,0118941	74,8	   0,0119191	73,3
     31,0743	    0,011901	72,8	     0,01194	74,6
     31,0762	   0,0119211	75,3	   0,0118692	73,3
     31,0782	   0,0119281	72,6	   0,0120566	73,1
     31,0802	   0,0119431	74,9	   0,0118994	74,2
     31,0821	   0,0119862	73,1	   0,0121041	72,2
     31,0841	   0,0119943	75,2	   0,0120164	74,6
      31,086	   0,0120409	74,5	   0,0119635	73,4
      31,088	   0,0119727	73,3	   0,0120368	73,5
     31,0899	   0,0120798	74,8	    0,012039	74,5
