X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	002: [06-17-24 10:48]		003: [06-17-24 10:55]	
          31	  0,00828974	70,9	   0,0100054	73,4
      31,002	   0,0093484	76,2	    0,010072	74,9
     31,0039	  0,00987051	70,5	   0,0099757	74,8
     31,0059	  0,00948195	74,1	   0,0100976	74,9
     31,0078	   0,0102187	75,0	   0,0100108	74,3
     31,0098	  0,00988728	73,0	   0,0100783	74,2
     31,0117	  0,00997045	76,4	   0,0100511	74,9
     31,0137	   0,0101764	72,7	   0,0100689	74,3
     31,0156	  0,00989913	75,2	   0,0101651	74,7
     31,0176	    0,010259	73,8	   0,0100605	75,3
     31,0196	   0,0100302	73,7	   0,0101549	73,9
     31,0215	   0,0101359	73,7	   0,0101482	74,5
     31,0235	   0,0101875	73,3	   0,0101696	73,3
     31,0254	   0,0101191	73,2	   0,0101881	74,2
     31,0274	   0,0101765	73,4	   0,0101507	74,0
     31,0293	   0,0101576	73,0	   0,0102002	75,2
     31,0313	   0,0101283	76,0	   0,0102183	74,9
     31,0332	   0,0102943	74,8	   0,0101858	73,4
     31,0352	   0,0101025	74,5	   0,0102079	71,4
     31,0371	   0,0102535	75,6	   0,0103026	74,2
     31,0391	   0,0102372	74,8	   0,0102158	73,4
     31,0411	   0,0102281	74,3	   0,0102934	73,7
      31,043	    0,010272	74,8	   0,0103147	72,4
      31,045	   0,0102555	73,6	   0,0102801	73,7
     31,0469	   0,0102906	74,5	   0,0102798	71,6
     31,0489	   0,0102842	73,2	   0,0103643	73,3
     31,0508	   0,0102825	76,0	   0,0103236	73,7
     31,0528	   0,0104076	75,4	   0,0103567	73,1
     31,0547	   0,0102467	75,4	   0,0103904	74,1
     31,0567	   0,0103972	74,4	   0,0103127	74,8
     31,0587	   0,0103312	74,7	   0,0104256	73,9
     31,0606	   0,0104529	75,4	   0,0104294	74,7
     31,0626	   0,0103962	75,0	   0,0103577	73,0
     31,0645	    0,010385	74,3	   0,0104556	74,6
     31,0665	    0,010428	74,1	   0,0103602	73,6
     31,0684	   0,0103551	74,1	   0,0104919	73,3
     31,0704	   0,0103798	73,3	   0,0104461	73,6
     31,0723	   0,0104502	74,9	   0,0104852	73,8
     31,0743	    0,010469	75,1	   0,0105753	74,7
     31,0762	   0,0104679	74,4	   0,0104728	75,3
     31,0782	   0,0105041	75,3	   0,0104746	74,6
     31,0802	   0,0105073	74,8	   0,0105505	75,5
     31,0821	   0,0104988	75,1	   0,0105264	73,7
     31,0841	   0,0105557	75,1	   0,0105743	75,2
      31,086	   0,0105825	74,7	   0,0105734	74,3
      31,088	   0,0105491	75,4	   0,0105663	73,8
     31,0899	   0,0105618	74,7	   0,0106184	73,4
     31,0919	   0,0105988	73,3	    0,010573	73,8
     31,0938	   0,0106107	74,5	   0,0106759	72,1
     31,0958	   0,0106389	73,8	   0,0106563	73,5
     31,0978	   0,0105449	75,1	   0,0106409	73,1
     31,0997	   0,0106703	74,9	   0,0106772	73,8
     31,1017	   0,0106357	74,6	   0,0106728	75,3
     31,1036	   0,0107108	75,4	   0,0106882	74,8
     31,1056	   0,0107074	74,6	    0,010728	74,3
     31,1075	   0,0106772	75,3	   0,0107285	75,3
     31,1095	   0,0107832	74,8	   0,0107287	75,3
     31,1114	   0,0107429	72,0	   0,0107576	74,5
     31,1134	   0,0107596	73,1	   0,0107864	76,0
     31,1153	   0,0107754	72,4	   0,0107201	75,6
     31,1173	   0,0107511	73,2	   0,0108669	73,9
     31,1193	   0,0107885	74,0	   0,0109007	74,2
     31,1212	   0,0107889	74,0	   0,0107693	74,2
     31,1232	   0,0108233	73,5	   0,0108963	74,0
     31,1251	    0,010817	75,0	   0,0108851	74,3
     31,1271	   0,0108958	73,0	   0,0109325	72,8
      31,129	    0,010844	74,6	   0,0109509	73,3
      31,131	   0,0108953	74,3	   0,0107933	72,7
     31,1329	   0,0109225	74,2	   0,0109575	72,3
     31,1349	    0,010853	73,9	   0,0109082	72,7
     31,1369	   0,0109264	74,4	   0,0108597	72,6
     31,1388	   0,0109285	73,6	   0,0110546	72,8
     31,1408	   0,0109159	73,1	   0,0109291	75,7
     31,1427	   0,0109813	73,9	   0,0109289	75,0
     31,1447	   0,0109572	74,5	   0,0111642	74,6
     31,1466	   0,0110399	74,0	   0,0109834	76,0
     31,1486	   0,0109681	72,7	   0,0110563	73,9
     31,1505	   0,0110534	73,7	    0,011078	75,3
     31,1525	   0,0110708	73,3	    0,011017	75,0
     31,1544	   0,0110254	72,9	   0,0111288	74,5
     31,1564	   0,0111136	73,1	   0,0110958	75,8
     31,1584	     0,01113	75,3	   0,0110953	73,3
     31,1603	   0,0111693	75,2	   0,0112128	73,3
     31,1623	   0,0111435	74,0	   0,0111485	73,9
     31,1642	    0,011177	75,3	   0,0111128	73,3
     31,1662	   0,0112108	74,7	   0,0112317	75,0
     31,1681	   0,0112114	75,1	   0,0111942	74,9
     31,1701	   0,0111713	75,2	   0,0112082	75,2
      31,172	   0,0112523	75,6	   0,0112775	75,8
      31,174	   0,0111898	74,8	   0,0112403	73,6
      31,176	   0,0112366	76,0	   0,0112554	74,9
     31,1779	   0,0113371	73,0	   0,0113392	75,0
     31,1799	   0,0112492	71,9	   0,0112719	75,4
     31,1818	   0,0113288	73,7	   0,0113335	72,0
     31,1838	   0,0114036	72,0	   0,0113523	73,1
     31,1857	   0,0112108	73,6	   0,0113893	73,5
     31,1877	   0,0113982	72,9	   0,0113303	73,4
     31,1896	   0,0114367	72,9	   0,0114169	72,9
     31,1916	   0,0113277	72,7	   0,0114292	73,9
     31,1935	    0,011366	73,4	   0,0114972	73,1
     31,1955	   0,0114512	73,4	   0,0114021	74,7
     31,1975	   0,0114664	73,6	   0,0114232	74,6
     31,1994	   0,0114483	75,9	    0,011562	73,8
     31,2014	   0,0115078	74,0	     0,01157	75,4
     31,2033	   0,0115228	74,5	   0,0114894	72,7
     31,2053	   0,0115222	73,6	   0,0116083	73,3
     31,2072	   0,0114987	74,5	   0,0115795	73,0
     31,2092	   0,0115529	73,3	   0,0115822	72,9
     31,2111	   0,0115178	72,8	   0,0116701	73,2
     31,2131	   0,0115864	71,8	   0,0116424	73,8
     31,2151	   0,0116311	73,4	   0,0115564	72,8
      31,217	   0,0116159	75,9	   0,0117046	74,9
      31,219	   0,0116133	75,0	   0,0117549	75,5
     31,2209	   0,0116511	76,4	   0,0116406	75,4
     31,2229	   0,0117373	75,1	   0,0117508	74,9
     31,2248	   0,0116932	75,3	   0,0117741	73,3
     31,2268	   0,0117276	75,7	   0,0117372	74,0
     31,2287	   0,0117409	75,5	   0,0117281	74,9
     31,2307	   0,0117165	75,0	   0,0118874	74,8
     31,2326	   0,0118003	75,9	   0,0117504	76,6
     31,2346	   0,0116969	73,4	   0,0117455	74,2
     31,2366	   0,0117699	73,2	   0,0118757	75,3
     31,2385	   0,0118776	73,5	   0,0118395	75,1
     31,2405	    0,011888	71,9	   0,0118948	75,6
     31,2424	   0,0118979	74,3	   0,0119626	74,9
     31,2444	   0,0119169	72,9	   0,0119017	72,7
     31,2463	   0,0119069	73,9	   0,0119484	73,0
     31,2483	   0,0119281	73,6	   0,0120251	72,9
     31,2502	   0,0120198	74,1	    0,011981	74,1
     31,2522	   0,0119541	74,6	   0,0119925	73,9
     31,2542	   0,0119454	74,5	   0,0120534	75,7
     31,2561	   0,0120564	75,2	   0,0120448	74,9
     31,2581	   0,0120115	73,9	   0,0120537	75,4
       31,26	   0,0120681	75,4	   0,0121121	75,0
      31,262	    0,012072	73,8	   0,0120971	73,3
     31,2639	   0,0120529	73,9	   0,0121159	73,9
     31,2659	   0,0121871	73,3	   0,0121261	75,8
     31,2678	     0,01216	73,3	   0,0122148	75,1
     31,2698	   0,0122182	72,5	   0,0122808	76,2
     31,2717	   0,0121789	75,5	    0,012229	74,4
     31,2737	   0,0121586	75,6	   0,0121921	73,2
     31,2757	    0,012181	74,5	   0,0123406	73,4
     31,2776	   0,0122763	73,5	   0,0123243	73,0
     31,2796	   0,0122601	73,3	   0,0122407	73,8
