X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	003: [06-04-24 20:23]		005: [06-04-24 20:29]	
         100	   0,0045359	63,3	  0,00533287	66,4
     100,108	  0,00497804	64,0	  0,00479118	72,7
     100,215	  0,00485832	64,7	  0,00506164	65,6
     100,323	  0,00462964	68,4	  0,00521194	68,7
      100,43	  0,00497894	67,5	  0,00531756	67,7
     100,538	  0,00517521	64,5	  0,00536546	67,5
     100,645	  0,00525401	69,3	  0,00527388	63,6
     100,753	  0,00511262	67,7	  0,00545453	62,5
      100,86	  0,00532754	65,4	  0,00520926	68,8
     100,968	  0,00525115	64,1	  0,00535303	71,0
     101,075	  0,00553498	65,6	  0,00530131	66,2
     101,183	  0,00499569	66,3	  0,00501609	64,8
      101,29	  0,00547022	69,7	  0,00542157	68,6
     101,398	  0,00493103	65,8	  0,00482159	62,0
     101,505	  0,00544095	69,6	  0,00556941	66,3
     101,613	  0,00550577	64,4	  0,00530935	63,0
      101,72	   0,0056494	72,6	   0,0056682	66,4
     101,828	  0,00470859	61,0	  0,00541521	67,7
     101,935	  0,00592349	63,7	  0,00526606	67,2
     102,043	  0,00494283	68,7	   0,0057007	68,9
     102,151	  0,00538365	72,7	  0,00565196	63,6
     102,258	  0,00532902	62,0	  0,00539436	73,0
     102,366	  0,00549505	68,8	  0,00536132	67,2
     102,473	  0,00604686	65,7	   0,0052829	65,1
     102,581	  0,00590227	66,0	  0,00570784	70,2
     102,688	  0,00557795	68,3	  0,00486494	67,3
     102,796	  0,00536989	64,3	  0,00523034	67,5
     102,903	  0,00600411	63,9	  0,00524705	70,2
     103,011	  0,00587434	63,1	  0,00534975	68,0
     103,118	  0,00531943	65,0	  0,00554999	67,7
     103,226	  0,00578573	64,9	  0,00560944	64,4
     103,333	  0,00569461	69,9	  0,00560512	64,3
     103,441	  0,00550148	67,6	  0,00576902	65,1
     103,548	  0,00610797	67,7	  0,00590183	65,8
     103,656	  0,00545685	65,5	  0,00565238	66,7
     103,763	  0,00593743	69,9	  0,00576235	68,9
     103,871	   0,0055006	72,6	  0,00555493	68,6
     103,978	  0,00537889	63,0	  0,00569481	69,6
     104,086	  0,00605382	62,7	  0,00537632	71,0
     104,194	  0,00615646	70,4	  0,00606168	61,4
     104,301	   0,0055284	64,8	  0,00577336	61,0
     104,409	  0,00587433	66,8	  0,00575309	69,2
     104,516	  0,00572814	65,5	  0,00590724	64,5
     104,624	  0,00592613	67,3	  0,00622103	64,1
     104,731	  0,00567385	69,9	  0,00537949	69,4
     104,839	  0,00600188	67,3	  0,00570261	64,8
     104,946	  0,00570672	65,4	  0,00608862	70,8
     105,054	  0,00621523	68,0	  0,00571611	67,4
     105,161	  0,00576662	61,4	  0,00566142	64,0
     105,269	  0,00593393	69,2	  0,00607671	62,1
     105,376	  0,00608316	66,2	  0,00617242	69,9
     105,484	   0,0055463	62,4	  0,00590196	64,4
     105,591	  0,00600076	67,8	  0,00597268	68,3
     105,699	  0,00639732	66,4	  0,00575445	66,6
     105,806	  0,00592458	61,4	  0,00562764	61,7
     105,914	  0,00557745	67,0	  0,00641325	63,6
     106,022	  0,00617232	66,9	  0,00618749	66,1
     106,129	  0,00636802	69,0	  0,00559666	68,1
     106,237	  0,00667941	66,2	  0,00565319	57,4
     106,344	  0,00627617	67,9	  0,00635845	65,3
     106,452	  0,00609044	62,4	  0,00680564	66,5
     106,559	  0,00583349	62,3	  0,00637368	67,7
     106,667	    0,005999	62,7	  0,00612715	63,7
     106,774	  0,00604959	66,1	  0,00639001	65,4
     106,882	  0,00632637	69,6	  0,00629171	66,2
     106,989	  0,00636598	65,5	   0,0063553	61,4
     107,097	  0,00625783	66,5	  0,00619719	67,1
     107,204	   0,0063888	64,3	   0,0066306	65,1
     107,312	  0,00641341	65,1	  0,00645863	62,5
     107,419	  0,00630216	67,4	  0,00632227	67,7
     107,527	  0,00634758	72,4	   0,0065467	64,7
     107,634	  0,00612782	58,4	  0,00703865	65,9
     107,742	  0,00649423	72,2	   0,0065861	65,3
     107,849	  0,00590298	65,6	  0,00677864	63,0
     107,957	  0,00691925	64,9	  0,00632657	66,5
     108,065	  0,00630898	64,8	  0,00752612	68,7
     108,172	  0,00697404	69,5	  0,00658689	65,0
      108,28	  0,00659826	66,0	  0,00671125	66,5
     108,387	  0,00680567	66,9	  0,00688177	63,2
     108,495	  0,00669957	66,7	  0,00647409	64,5
     108,602	  0,00667563	61,2	  0,00719358	63,7
      108,71	  0,00657284	61,9	  0,00695499	68,1
     108,817	  0,00647458	60,3	  0,00665103	67,5
     108,925	  0,00682252	67,2	   0,0067034	66,3
     109,032	  0,00706273	67,7	  0,00671587	65,0
      109,14	  0,00701076	62,4	  0,00683002	61,5
     109,247	  0,00712809	62,6	  0,00700074	64,7
     109,355	  0,00685377	60,7	  0,00717035	69,3
     109,462	  0,00720521	66,7	  0,00713008	66,8
      109,57	  0,00715013	67,1	  0,00680425	64,2
     109,677	  0,00680843	66,1	   0,0071209	68,6
     109,785	  0,00681581	66,9	  0,00733011	71,7
     109,892	   0,0074616	68,3	  0,00721407	65,6
         110	  0,00710469	66,2	   0,0075423	65,5
     110,108	  0,00687962	59,6	  0,00682689	61,8
     110,215	  0,00752856	67,3	  0,00718066	64,4
     110,323	  0,00694384	64,4	  0,00712746	64,1
      110,43	  0,00727024	60,4	  0,00715327	66,8
     110,538	  0,00719068	65,0	  0,00705948	64,2
     110,645	  0,00753858	68,3	   0,0074799	65,4
     110,753	  0,00719769	62,0	  0,00767309	65,5
      110,86	  0,00744171	66,6	  0,00719442	63,3
     110,968	  0,00757567	64,6	   0,0077526	67,9
     111,075	  0,00759696	61,6	  0,00744686	62,1
     111,183	  0,00764051	68,5	  0,00786547	65,9
      111,29	  0,00752165	63,0	  0,00750789	66,1
     111,398	  0,00760896	66,7	  0,00778108	65,2
     111,505	  0,00718918	61,1	  0,00762468	65,6
     111,613	  0,00760912	66,1	   0,0078571	65,8
      111,72	  0,00778507	62,9	  0,00773241	68,3
