X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	003: [06-04-24 10:31]		007: [06-04-24 10:36]	
         120	   0,0065806	68,4	   0,0070608	59,8
     120,088	  0,00712021	66,2	  0,00754608	63,9
     120,176	  0,00750604	57,5	  0,00819597	65,5
     120,264	  0,00821555	60,8	  0,00801292	65,5
     120,352	  0,00833273	64,5	  0,00812534	58,3
      120,44	  0,00770484	61,6	  0,00774737	61,6
     120,528	   0,0078102	61,3	  0,00819111	67,0
     120,616	  0,00834567	61,2	  0,00813664	59,3
     120,704	  0,00844345	62,6	  0,00780294	62,5
     120,792	  0,00768861	58,3	  0,00803962	66,7
      120,88	  0,00813031	57,0	  0,00836408	62,5
     120,968	  0,00796366	60,0	  0,00825029	59,2
     121,056	  0,00779239	58,2	  0,00806214	65,3
     121,144	  0,00856616	65,1	  0,00834048	60,6
     121,232	  0,00794504	60,7	  0,00791418	64,6
      121,32	  0,00854934	61,5	  0,00862035	61,5
     121,408	  0,00778481	58,4	   0,0080832	62,7
     121,496	  0,00857743	60,3	  0,00869923	59,9
     121,584	  0,00799194	60,7	  0,00818753	65,5
     121,672	  0,00896787	64,7	   0,0084978	58,8
      121,76	  0,00848567	61,7	  0,00829024	61,7
     121,848	  0,00831954	65,1	  0,00826499	58,5
     121,935	  0,00814301	56,4	  0,00853886	64,3
     122,023	  0,00870797	63,7	  0,00818825	60,4
     122,111	  0,00835123	56,2	  0,00875272	59,9
     122,199	  0,00852344	63,1	  0,00873738	63,0
     122,287	   0,0091278	61,9	   0,0083353	61,3
     122,375	  0,00859734	59,5	  0,00838535	59,5
     122,463	  0,00877537	66,2	  0,00892114	60,0
     122,551	  0,00850082	62,9	  0,00899025	62,7
     122,639	   0,0090405	61,2	  0,00898801	64,9
     122,727	  0,00931235	63,4	  0,00869528	64,1
     122,815	  0,00882686	59,4	  0,00910789	64,6
     122,903	  0,00887103	60,9	  0,00904151	64,5
     122,991	  0,00872146	57,7	  0,00923748	64,4
     123,079	  0,00891758	61,0	  0,00924613	62,2
     123,167	  0,00902707	63,3	   0,0091419	62,6
     123,255	  0,00868946	62,3	  0,00920551	65,6
     123,343	  0,00912613	64,3	  0,00893417	60,8
     123,431	  0,00903827	62,6	    0,009232	65,5
     123,519	  0,00896347	62,3	  0,00928341	61,8
     123,607	  0,00919911	63,3	  0,00943448	59,8
     123,695	  0,00932254	65,2	  0,00952228	61,5
     123,783	  0,00926829	61,8	  0,00923189	58,9
     123,871	  0,00902794	56,9	  0,00918219	64,0
