X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	003: [06-03-24 10:36]		004: [06-03-24 10:46]	
         130	  0,00525186	55,7	  0,00542184	53,7
      130,02	  0,00544101	62,0	  0,00488251	55,4
     130,039	  0,00530182	64,1	  0,00516845	56,9
     130,059	  0,00558275	58,7	  0,00484865	63,8
     130,078	  0,00525019	59,5	    0,005142	56,5
     130,098	  0,00519392	67,1	  0,00514611	60,2
     130,117	  0,00524833	59,3	  0,00479545	65,9
     130,137	  0,00571959	56,6	  0,00494118	65,1
     130,156	   0,0055921	60,8	  0,00484861	58,9
     130,176	  0,00533345	59,0	  0,00504576	67,7
     130,196	  0,00553793	59,7	  0,00532981	64,6
     130,215	  0,00548614	64,4	  0,00532846	61,5
     130,235	   0,0056291	53,4	  0,00514936	64,1
     130,254	  0,00555595	65,8	  0,00512748	67,0
     130,274	  0,00514895	56,3	   0,0053406	49,4
     130,293	  0,00535004	59,9	  0,00490292	67,3
     130,313	  0,00562255	58,8	  0,00507261	57,7
     130,332	    0,005004	59,8	  0,00484522	68,4
     130,352	  0,00543182	65,4	  0,00519437	60,9
     130,371	  0,00582119	62,9	  0,00545767	50,7
     130,391	  0,00575599	61,2	  0,00537894	64,0
     130,411	   0,0057296	68,8	  0,00511522	55,8
      130,43	  0,00617445	57,4	  0,00505314	62,6
      130,45	  0,00568414	62,1	  0,00526908	57,9
     130,469	  0,00557885	56,3	  0,00467514	61,6
     130,489	  0,00597174	59,8	  0,00559604	52,9
     130,508	  0,00570321	58,9	  0,00507975	68,4
     130,528	  0,00567733	66,5	  0,00519091	55,9
     130,547	  0,00568739	63,3	  0,00528135	64,1
     130,567	  0,00546185	70,6	  0,00486582	61,0
     130,587	  0,00565819	54,5	  0,00529597	63,7
     130,606	  0,00614892	58,8	  0,00519339	61,8
     130,626	  0,00590328	63,4	  0,00560724	51,5
     130,645	  0,00572478	61,4	  0,00526118	67,6
     130,665	  0,00607157	55,9	  0,00528017	67,0
     130,684	  0,00594541	66,4	  0,00521751	67,2
     130,704	  0,00570065	54,1	  0,00516966	58,4
     130,723	  0,00580515	62,9	  0,00561205	59,3
     130,743	  0,00569958	54,7	  0,00530998	58,4
     130,762	  0,00595916	61,5	  0,00556785	62,5
     130,782	  0,00579704	66,0	    0,005346	57,9
     130,802	  0,00598275	66,2	  0,00532463	67,5
     130,821	  0,00589144	64,0	   0,0053039	59,8
     130,841	  0,00584042	56,8	  0,00573896	60,4
      130,86	  0,00583101	67,3	  0,00576242	52,6
      130,88	  0,00579355	61,7	  0,00556576	58,1
     130,899	  0,00584851	68,3	  0,00528751	64,1
     130,919	  0,00587078	56,2	  0,00548282	69,2
     130,938	  0,00587079	62,5	  0,00500845	64,5
     130,958	  0,00601432	64,7	  0,00540236	64,5
     130,978	  0,00563726	60,4	  0,00535669	58,7
     130,997	  0,00646828	53,5	  0,00589101	60,6
     131,017	  0,00590118	66,2	  0,00553988	65,5
     131,036	  0,00595056	57,1	  0,00579693	65,3
     131,056	  0,00602348	58,8	  0,00567961	57,1
     131,075	  0,00577813	62,7	    0,005729	58,8
     131,095	  0,00622457	65,0	  0,00565733	56,8
     131,114	  0,00586347	61,2	  0,00561664	56,9
     131,134	  0,00623133	59,0	  0,00572977	54,4
     131,153	  0,00617692	59,3	  0,00569037	66,6
     131,173	  0,00608323	66,1	   0,0059993	63,7
     131,193	  0,00590129	65,1	  0,00565424	64,0
     131,212	  0,00622441	56,4	  0,00560918	57,8
     131,232	  0,00636809	62,0	   0,0056083	67,0
     131,251	  0,00600445	60,8	  0,00548367	63,5
     131,271	  0,00612051	56,2	  0,00567023	63,3
      131,29	  0,00601118	56,3	  0,00544406	62,1
      131,31	  0,00619287	57,9	  0,00590666	62,9
     131,329	  0,00569161	70,9	  0,00553653	60,7
     131,349	  0,00676555	62,8	  0,00608347	63,0
     131,369	  0,00614395	61,2	  0,00604386	59,7
     131,388	  0,00663692	54,7	  0,00573529	57,0
     131,408	  0,00582744	68,0	  0,00601652	53,1
     131,427	   0,0061297	67,2	  0,00615286	52,8
     131,447	  0,00629781	59,4	  0,00609054	56,3
     131,466	  0,00610614	64,8	  0,00594336	53,9
     131,486	  0,00613374	61,5	  0,00590091	59,2
     131,505	  0,00652338	53,2	  0,00586754	56,9
     131,525	  0,00644938	63,7	  0,00599599	59,7
     131,544	   0,0064485	61,4	  0,00573514	63,7
     131,564	  0,00648851	64,4	   0,0060659	61,4
     131,584	  0,00637156	68,3	  0,00594011	59,1
     131,603	  0,00666839	59,0	   0,0061513	56,6
     131,623	  0,00662288	53,7	  0,00597276	58,8
     131,642	  0,00625386	55,6	  0,00565669	67,7
     131,662	  0,00659251	64,4	  0,00614467	57,8
     131,681	  0,00648977	55,0	  0,00613267	55,3
     131,701	  0,00659328	58,5	  0,00595299	56,6
      131,72	  0,00650988	58,5	  0,00604016	65,8
      131,74	  0,00649895	60,4	  0,00613742	70,0
      131,76	  0,00662462	56,2	   0,0062099	60,1
     131,779	  0,00652946	59,6	  0,00611494	61,6
     131,799	  0,00665547	63,8	  0,00609356	63,9
     131,818	  0,00691764	66,0	  0,00602871	57,1
     131,838	  0,00657582	52,1	  0,00596764	62,8
     131,857	  0,00673234	64,8	    0,006272	59,6
     131,877	  0,00663736	57,1	    0,005913	58,5
     131,896	  0,00659604	58,9	  0,00626059	63,5
     131,916	  0,00701244	62,1	  0,00621412	60,6
     131,935	  0,00681354	56,3	  0,00611641	56,0
     131,955	  0,00674268	64,0	  0,00621421	66,8
     131,975	  0,00668381	60,4	  0,00621877	56,7
     131,994	  0,00629172	57,2	  0,00618659	62,8
     132,014	  0,00666903	66,1	  0,00641019	59,7
     132,033	  0,00654421	63,2	   0,0061348	64,5
     132,053	  0,00640591	66,8	  0,00606699	66,0
     132,072	  0,00701455	57,9	  0,00613232	61,7
     132,092	  0,00697619	56,8	  0,00629389	61,8
     132,111	   0,0068409	52,4	  0,00633706	57,2
     132,131	  0,00643717	67,4	  0,00639019	54,0
     132,151	  0,00677817	60,4	  0,00618154	54,2
      132,17	  0,00716908	59,0	  0,00625256	54,6
      132,19	  0,00722769	60,6	  0,00632814	65,0
     132,209	   0,0066615	70,5	  0,00586281	62,0
     132,229	  0,00708712	58,1	   0,0064463	64,5
     132,248	  0,00696749	64,9	   0,0063873	57,2
     132,268	  0,00712038	60,6	  0,00642564	63,2
     132,287	  0,00681362	60,8	  0,00651404	67,5
     132,307	  0,00707696	59,5	   0,0065646	52,3
     132,326	  0,00719863	61,8	  0,00672774	59,7
     132,346	   0,0071571	61,1	  0,00648749	58,8
     132,366	  0,00717473	59,9	    0,006617	54,7
     132,385	  0,00711109	55,5	  0,00685507	62,3
     132,405	  0,00683863	63,5	   0,0067861	56,2
     132,424	  0,00713321	52,4	  0,00644173	64,0
     132,444	  0,00753852	59,4	  0,00638888	65,0
     132,463	  0,00671826	65,1	  0,00686763	58,4
     132,483	  0,00669576	60,8	  0,00700836	55,0
     132,502	  0,00682157	64,3	  0,00641378	59,1
     132,522	  0,00728231	61,2	  0,00680332	65,1
     132,542	  0,00702664	61,2	  0,00669608	60,0
     132,561	    0,007327	58,6	  0,00627108	62,7
     132,581	  0,00730671	55,1	  0,00667387	65,6
       132,6	  0,00782099	60,0	   0,0067878	67,6
      132,62	  0,00755478	57,6	  0,00691923	54,8
     132,639	  0,00760411	57,2	  0,00687873	62,5
     132,659	  0,00766613	61,9	  0,00676313	61,9
     132,678	  0,00730096	62,4	  0,00666148	62,2
     132,698	  0,00724399	61,3	  0,00653228	65,4
     132,717	  0,00786202	60,5	  0,00680137	69,0
     132,737	   0,0073726	58,9	  0,00656432	62,9
     132,757	  0,00727516	54,9	  0,00651104	64,8
     132,776	  0,00764086	63,9	  0,00657154	61,4
     132,796	   0,0074085	61,8	  0,00754661	58,1
     132,815	  0,00774205	63,1	   0,0068217	56,1
     132,835	  0,00758074	64,6	  0,00667983	58,1
     132,854	  0,00766541	53,7	    0,007132	55,8
