X-Data [Hz]	Reference	Accelerometer Type 333B30 (C - Filtered) [g]	Phase [Deg]	Accelerometer Type 333B30 (C - Filtered) [g]	Phase [Deg]	
		003: [05-25-24 15:46]		004: [05-25-24 16:01]	
         135	       0,025	   0,0250364	 0,0	   0,0257952	 0,0
     135,029	       0,025	   0,0242717	 0,0	   0,0237892	 0,0
     135,059	       0,025	    0,024869	 0,0	   0,0254855	 0,0
     135,088	       0,025	   0,0236517	 0,0	   0,0242058	 0,0
     135,117	       0,025	   0,0235792	 0,0	   0,0264405	 0,0
     135,147	       0,025	   0,0264719	 0,0	   0,0241803	 0,0
     135,176	       0,025	    0,025678	 0,0	   0,0254282	 0,0
     135,205	       0,025	   0,0232655	 0,0	   0,0249571	 0,0
     135,235	       0,025	   0,0259065	 0,0	   0,0243708	 0,0
     135,264	       0,025	   0,0253108	 0,0	   0,0257177	 0,0
     135,293	       0,025	   0,0240756	 0,0	   0,0261752	 0,0
     135,323	       0,025	   0,0244255	 0,0	     0,02448	 0,0
     135,352	       0,025	   0,0254764	 0,0	   0,0249537	 0,0
     135,381	       0,025	   0,0250604	 0,0	   0,0249883	 0,0
     135,411	       0,025	   0,0256893	 0,0	   0,0259414	 0,0
      135,44	       0,025	   0,0261305	 0,0	    0,024872	 0,0
     135,469	       0,025	   0,0241553	 0,0	   0,0255306	 0,0
     135,499	       0,025	   0,0252434	 0,0	    0,028235	 0,0
     135,528	       0,025	   0,0254631	 0,0	   0,0244104	 0,0
     135,557	       0,025	    0,025676	 0,0	   0,0243534	 0,0
     135,587	       0,025	   0,0260762	 0,0	   0,0260353	 0,0
     135,616	       0,025	   0,0263133	 0,0	   0,0271202	 0,0
     135,645	       0,025	   0,0249282	 0,0	   0,0250242	 0,0
     135,674	       0,025	   0,0255014	 0,0	   0,0256238	 0,0
     135,704	       0,025	   0,0270828	 0,0	   0,0247353	 0,0
     135,733	       0,025	   0,0257475	 0,0	   0,0251097	 0,0
     135,762	       0,025	   0,0236895	 0,0	   0,0239409	 0,0
     135,792	       0,025	   0,0266423	 0,0	   0,0248527	 0,0
     135,821	       0,025	   0,0249067	 0,0	   0,0235769	 0,0
      135,85	       0,025	    0,026223	 0,0	   0,0256135	 0,0
      135,88	       0,025	   0,0260988	 0,0	   0,0272843	 0,0
     135,909	       0,025	   0,0258996	 0,0	   0,0261414	 0,0
     135,938	       0,025	   0,0259752	 0,0	   0,0226467	 0,0
     135,968	       0,025	    0,025005	 0,0	   0,0233881	 0,0
     135,997	       0,025	   0,0243858	 0,0	   0,0243132	 0,0
     136,026	       0,025	   0,0261177	 0,0	    0,025295	 0,0
     136,056	       0,025	   0,0267672	 0,0	   0,0257998	 0,0
     136,085	       0,025	   0,0260732	 0,0	   0,0267606	 0,0
     136,114	       0,025	   0,0239762	 0,0	   0,0277758	 0,0
     136,144	       0,025	   0,0244667	 0,0	   0,0249004	 0,0
     136,173	       0,025	   0,0249118	 0,0	   0,0246551	 0,0
     136,202	       0,025	   0,0242797	 0,0	   0,0249667	 0,0
     136,232	       0,025	   0,0254646	 0,0	   0,0258003	 0,0
     136,261	       0,025	   0,0241491	 0,0	   0,0271428	 0,0
      136,29	       0,025	   0,0238754	 0,0	   0,0245615	 0,0
      136,32	       0,025	   0,0236822	 0,0	   0,0263016	 0,0
     136,349	       0,025	   0,0267165	 0,0	   0,0238569	 0,0
     136,378	       0,025	   0,0252577	 0,0	   0,0248892	 0,0
     136,408	       0,025	   0,0265313	 0,0	   0,0250818	 0,0
     136,437	       0,025	   0,0252896	 0,0	    0,024731	 0,0
     136,466	       0,025	   0,0244462	 0,0	   0,0258089	 0,0
     136,496	       0,025	   0,0237309	 0,0	   0,0238207	 0,0
     136,525	       0,025	   0,0243453	 0,0	   0,0244503	 0,0
     136,554	       0,025	   0,0242981	 0,0	   0,0271389	 0,0
     136,584	       0,025	   0,0238933	 0,0	   0,0262331	 0,0
     136,613	       0,025	   0,0250093	 0,0	   0,0253214	 0,0
     136,642	       0,025	   0,0249606	 0,0	   0,0259246	 0,0
     136,672	       0,025	   0,0246762	 0,0	    0,024441	 0,0
     136,701	       0,025	    0,027117	 0,0	   0,0244841	 0,0
      136,73	       0,025	   0,0265244	 0,0	   0,0239207	 0,0
      136,76	       0,025	   0,0270496	 0,0	   0,0246557	 0,0
     136,789	       0,025	   0,0250121	 0,0	   0,0235541	 0,0
     136,818	       0,025	   0,0239284	 0,0	   0,0240777	 0,0
     136,848	       0,025	   0,0244841	 0,0	   0,0255738	 0,0
     136,877	       0,025	    0,024676	 0,0	   0,0256232	 0,0
     136,906	       0,025	   0,0239127	 0,0	   0,0256698	 0,0
     136,935	       0,025	   0,0266078	 0,0	   0,0255131	 0,0
     136,965	       0,025	   0,0260947	 0,0	   0,0265434	 0,0
     136,994	       0,025	   0,0242445	 0,0	   0,0247559	 0,0
     137,023	       0,025	   0,0244606	 0,0	   0,0255547	 0,0
     137,053	       0,025	   0,0259272	 0,0	   0,0243111	 0,0
     137,082	       0,025	   0,0232913	 0,0	   0,0247146	 0,0
     137,111	       0,025	   0,0263771	 0,0	   0,0243858	 0,0
     137,141	       0,025	   0,0251801	 0,0	   0,0256312	 0,0
      137,17	       0,025	   0,0256541	 0,0	   0,0267539	 0,0
     137,199	       0,025	   0,0267731	 0,0	    0,024102	 0,0
     137,229	       0,025	    0,023312	 0,0	   0,0235799	 0,0
     137,258	       0,025	   0,0234067	 0,0	   0,0258156	 0,0
     137,287	       0,025	   0,0235532	 0,0	   0,0249453	 0,0
     137,317	       0,025	   0,0243551	 0,0	   0,0240085	 0,0
     137,346	       0,025	   0,0256807	 0,0	   0,0249799	 0,0
     137,375	       0,025	   0,0234353	 0,0	   0,0262515	 0,0
