Source File Name:	magt1
Point Index:	1	[x = 0.0321152	y = 0.0231113	z = -1.23]
Component:	Root
Signal:	Time - Ref1 Force - Samples

Time	Time Signal
[ s ]	[ N ]
0	4.898224
0.0001	15.13504
0.0002	20.12576
0.0003	23.61699
0.0004	25.0366
0.0005	22.03135
0.0006	19.39834
0.0007	15.60837
0.0008	10.26744
0.0009	8.269445
0.001	2.806042
0.0011	-0.6394364
0.0012	0.9589155
0.0013	0.7907875
0.0014	-0.3161002
0.0015	-0.2567551
0.0016	-0.09896478
0.0017	-0.1220687
0.0018	-0.1222055
0.0019	-0.08438428
0.002	-0.06597096
0.0021	-0.1078845
0.0022	-0.121767
0.0023	-0.08465675
0.0024	-0.1377961
0.0025	-0.1857147
0.0026	-0.1532479
0.0027	-0.1581868
0.0028	-0.1960082
0.0029	-0.1704105
0.003	-0.1473612
0.0031	-0.162682
0.0032	-0.156127
0.0033	-0.1255515
0.0034	-0.1237487
0.0035	-0.1389921
0.0036	-0.1285403
0.0037	-0.1235518
0.0038	-0.1526392
0.0039	-0.1622273
0.004	-0.1523346
0.0041	-0.1715036
0.0042	-0.1817671
0.0043	-0.1661561
0.0044	-0.1655206
0.0045	-0.1690772
0.0046	-0.1555799
0.0047	-0.146535
0.0048	-0.1484951
0.0049	-0.1484234
0.005	-0.1427375
0.0051	-0.1457443
0.0052	-0.1569922
0.0053	-0.1556521
0.0054	-0.156837
0.0055	-0.16925
0.0056	-0.1680048
0.0057	-0.1634519
0.0058	-0.1686973
0.0059	-0.1659788
0.006	-0.1592151
0.0061	-0.1597294
0.0062	-0.1577531
0.0063	-0.1567212
0.0064	-0.155685
0.0065	-0.1574519
0.0066	-0.1605255
0.0067	-0.1592049
0.0068	-0.1622765
0.0069	-0.1679002
0.007	-0.1661265
0.0071	-0.1666828
0.0072	-0.1691106
0.0073	-0.1659831
0.0074	-0.1650535
0.0075	-0.1662355
0.0076	-0.1644797
0.0077	-0.1651818
0.0078	-0.1647686
0.0079	-0.1652232
0.008	-0.1664499
0.0081	-0.1657605
0.0082	-0.1677797
0.0083	-0.1697532
0.0084	-0.169085
0.0085	-0.1702677
0.0086	-0.172241
0.0087	-0.1708777
0.0088	-0.1707548
0.0089	-0.1716
0.009	-0.1702891
0.0091	-0.1719453
0.0092	-0.1714617
0.0093	-0.1718432
0.0094	-0.1726004
0.0095	-0.173415
0.0096	-0.1746717
0.0097	-0.1753359
0.0098	-0.1757513
0.0099	-0.1773542
0.01	-0.1776344
0.0101	-0.1771441
0.0102	-0.1784104
0.0103	-0.1777747
0.0104	-0.1773954
0.0105	-0.1778077
0.0106	-0.1768444
0.0107	-0.1778512
0.0108	-0.1784262
0.0109	-0.1790885
0.011	-0.1803896
0.0111	-0.1806854
0.0112	-0.1805058
0.0113	-0.1818165
0.0114	-0.1821795
0.0115	-0.1825371
0.0116	-0.1836902
0.0117	-0.1830537
0.0118	-0.1834722
0.0119	-0.1844201
0.012	-0.1848366
0.0121	-0.185667
0.0122	-0.1866097
0.0123	-0.1870721
0.0124	-0.1878831
0.0125	-0.188477
0.0126	-0.1883621
0.0127	-0.1886737
0.0128	-0.1882464
0.0129	-0.1891631
0.013	-0.1894719
0.0131	-0.189663
0.0132	-0.1900032
0.0133	-0.190515
0.0134	-0.1904483
0.0135	-0.190694
0.0136	-0.1906178
0.0137	-0.1898917
0.0138	-0.1911684
0.0139	-0.1915839
0.014	-0.1918532
0.0141	-0.1930613
0.0142	-0.192574
0.0143	-0.1930372
0.0144	-0.19293
0.0145	-0.1933556
0.0146	-0.1935307
0.0147	-0.1936377
0.0148	-0.1930852
0.0149	-0.1934604
0.015	-0.1936486
0.0151	-0.1940047
0.0152	-0.1945133
0.0153	-0.1945973
0.0154	-0.1945944
0.0155	-0.1949624
0.0156	-0.1943237
0.0157	-0.1946038
0.0158	-0.1949797
0.0159	-0.1950289
0.016	-0.1946447
0.0161	-0.1948141
0.0162	-0.1946036
0.0163	-0.1949863
0.0164	-0.1953586
0.0165	-0.1947107
0.0166	-0.1953158
0.0167	-0.1951475
0.0168	-0.195762
0.0169	-0.1952332
0.017	-0.1956412
0.0171	-0.1963426
0.0172	-0.1963764
0.0173	-0.1972608
0.0174	-0.1970063
0.0175	-0.1972035
0.0176	-0.1972342
0.0177	-0.1993573
0.0178	-0.2002655
0.0179	-0.1990621
0.018	-0.1997478
0.0181	-0.2000033
0.0182	-0.1995001
0.0183	-0.2002289
0.0184	-0.1998487
0.0185	-0.2023156
0.0186	-0.2003329
0.0187	-0.2059506
0.0188	-0.1984339
0.0189	-0.2109258
0.019	-0.1928652
0.0191	-0.2214807
0.0192	-0.1814742
0.0193	-0.238668
0.0194	-0.1567
0.0195	-0.2777818
0.0196	-0.09016307
0.0197	-0.4361251
0.0198	2.311014
0.0199	6.853878
0.02	7.538886
0.0201	6.232946
0.0202	5.90709
0.0203	3.048291
0.0204	0.139817
0.0205	-0.2148573
0.0206	-0.2829454
0.0207	-0.1927184
0.0208	-0.3629746
0.0209	0.547677
0.021	2.256411
0.0211	2.874239
0.0212	0.6410468
0.0213	0.4066578
0.0214	2.201749
0.0215	3.794625
0.0216	4.813645
0.0217	5.438492
0.0218	4.180018
0.0219	2.174717
0.022	1.994864
0.0221	0.6358036
0.0222	-0.2940671
0.0223	-0.19842
0.0224	-0.2113494
0.0225	-0.1678861
0.0226	-0.1909264
0.0227	-0.1446407
0.0228	-0.1525946
0.0229	-0.1822598
0.023	-0.1881354
0.0231	-0.1741952
0.0232	-0.2032223
0.0233	-0.2133011
0.0234	-0.1942135
0.0235	-0.1991468
0.0236	-0.2091232
0.0237	-0.1896184
0.0238	-0.1791495
0.0239	-0.1883382
0.024	-0.1858694
0.0241	-0.1784862
0.0242	-0.1882352
0.0243	-0.1974223
0.0244	-0.1925546
0.0245	-0.1963143
0.0246	-0.2077304
0.0247	-0.2052706
0.0248	-0.1993743
0.0249	-0.2049641
0.025	-0.2028965
0.0251	-0.1950073
0.0252	-0.1972906
0.0253	-0.1991972
0.0254	-0.1950902
0.0255	-0.1949132
0.0256	-0.198971
0.0257	-0.1991208
0.0258	-0.1982174
0.0259	-0.2019911
0.026	-0.2056668
0.0261	-0.2038972
0.0262	-0.2044706
0.0263	-0.2069306
0.0264	-0.2034597
0.0265	-0.2019874
0.0266	-0.203746
0.0267	-0.2017192
0.0268	-0.2005219
0.0269	-0.2017093
0.027	-0.2015018
0.0271	-0.2015718
0.0272	-0.2034906
0.0273	-0.2040966
0.0274	-0.2056972
0.0275	-0.2056238
0.0276	-0.2065733
0.0277	-0.2089919
0.0278	-0.2063285
0.0279	-0.2064652
0.028	-0.2064774
0.0281	-0.2060905
0.0282	-0.2057774
0.0283	-0.2066936
0.0284	-0.207339
0.0285	-0.2072866
0.0286	-0.207505
0.0287	-0.2080039
0.0288	-0.2086238
0.0289	-0.2083608
0.029	-0.2102282
0.0291	-0.2106606
0.0292	-0.2096036
0.0293	-0.2096455
0.0294	-0.2097016
0.0295	-0.2088512
0.0296	-0.2091907
0.0297	-0.2102448
0.0298	-0.2104843
0.0299	-0.21109
0.03	-0.2108204
0.0301	-0.2117608
0.0302	-0.2114141
0.0303	-0.2115685
0.0304	-0.2125043
0.0305	-0.2130579
0.0306	-0.2128817
0.0307	-0.2131135
0.0308	-0.213077
0.0309	-0.213077
0.031	-0.2139715
0.0311	-0.2136182
0.0312	-0.2128004
0.0313	-0.213474
0.0314	-0.2141115
0.0315	-0.2141684
0.0316	-0.2146791
0.0317	-0.215224
0.0318	-0.2155749
0.0319	-0.2158933
0.032	-0.2160105
0.0321	-0.2158761
0.0322	-0.2159141
0.0323	-0.2161416
0.0324	-0.2166203
0.0325	-0.2163376
0.0326	-0.2164198
0.0327	-0.2164427
0.0328	-0.2167775
0.0329	-0.2172195
0.033	-0.2174315
0.0331	-0.2179516
0.0332	-0.2176505
0.0333	-0.2178808
0.0334	-0.2176839
0.0335	-0.2184709
0.0336	-0.2188872
0.0337	-0.2194132
0.0338	-0.2196401
0.0339	-0.2194316
0.034	-0.2192797
0.0341	-0.2197992
0.0342	-0.220598
0.0343	-0.2212485
0.0344	-0.2213013
0.0345	-0.2212994
0.0346	-0.2211301
0.0347	-0.2214198
0.0348	-0.2211209
0.0349	-0.2213415
0.035	-0.2217641
0.0351	-0.2215046
0.0352	-0.2220254
0.0353	-0.222017
0.0354	-0.2228678
0.0355	-0.2235016
0.0356	-0.2227933
0.0357	-0.22329
0.0358	-0.2239524
0.0359	-0.2237418
0.036	-0.2240284
0.0361	-0.2245672
0.0362	-0.2245529
0.0363	-0.2248251
0.0364	-0.2243998
0.0365	-0.2245628
0.0366	-0.2246425
0.0367	-0.2249483
0.0368	-0.2253835
0.0369	-0.2254996
0.037	-0.2266796
0.0371	-0.2268339
0.0372	-0.226596
0.0373	-0.2269389
0.0374	-0.2273707
0.0375	-0.2287191
0.0376	-0.2290284
0.0377	-0.22896
0.0378	-0.2297629
0.0379	-0.2305356
0.038	-0.2302708
0.0381	-0.229781
0.0382	-0.2297128
0.0383	-0.2306509
0.0384	-0.2311494
0.0385	-0.230716
0.0386	-0.2303362
0.0387	-0.2316553
0.0388	-0.2321839
0.0389	-0.2328439
0.039	-0.2330187
0.0391	-0.2340451
0.0392	-0.2346395
0.0393	-0.2341775
0.0394	-0.2347605
0.0395	-0.2348808
0.0396	-0.2347224
0.0397	-0.2354917
0.0398	-0.2367535
0.0399	-0.2366783
0.04	-0.2365459
0.0401	-0.2369602
0.0402	-0.2367248
0.0403	-0.2369072
0.0404	-0.2379755
0.0405	-0.2383873
0.0406	-0.2387188
0.0407	-0.2389444
0.0408	-0.2393504
0.0409	-0.239729
0.041	-0.23983
0.0411	-0.2403194
0.0412	-0.2404269
0.0413	-0.2410311
0.0414	-0.2415732
0.0415	-0.2403591
0.0416	-0.2405718
0.0417	-0.2423146
0.0418	-0.2426839
0.0419	-0.2437945
0.042	-0.2441488
0.0421	-0.2436875
0.0422	-0.2440666
0.0423	-0.2450346
0.0424	-0.245051
0.0425	-0.2447799
0.0426	-0.2452947
0.0427	-0.245031
0.0428	-0.2455078
0.0429	-0.2451014
0.043	-0.2459604
0.0431	-0.2463755
0.0432	-0.2461703
0.0433	-0.2472001
0.0434	-0.2468995
0.0435	-0.24734
0.0436	-0.2482836
0.0437	-0.2478116
0.0438	-0.248729
0.0439	-0.2491482
0.044	-0.2497814
0.0441	-0.249769
0.0442	-0.2504795
0.0443	-0.2517374
0.0444	-0.2509269
0.0445	-0.250609
0.0446	-0.2508648
0.0447	-0.2506481
0.0448	-0.2500598
0.0449	-0.2510222
0.045	-0.2517743
0.0451	-0.2524332
0.0452	-0.2525042
0.0453	-0.2532464
0.0454	-0.253089
0.0455	-0.2529872
0.0456	-0.2536648
0.0457	-0.2543246
0.0458	-0.2546254
0.0459	-0.2543419
0.046	-0.2546697
0.0461	-0.2546864
0.0462	-0.2555057
0.0463	-0.2558607
0.0464	-0.2552474
0.0465	-0.2563964
0.0466	-0.2564574
0.0467	-0.2560572
0.0468	-0.2563421
0.0469	-0.2569956
0.047	-0.2569437
0.0471	-0.2573599
0.0472	-0.2570441
0.0473	-0.2570049
0.0474	-0.2579238
0.0475	-0.2579649
0.0476	-0.2589822
0.0477	-0.2578042
0.0478	-0.2578474
0.0479	-0.2580601
0.048	-0.257774
0.0481	-0.2583356
0.0482	-0.2585271
0.0483	-0.2596884
0.0484	-0.2597226
0.0485	-0.2599613
0.0486	-0.2586996
0.0487	-0.2593595
0.0488	-0.2599716
0.0489	-0.2600763
0.049	-0.2596713
0.0491	-0.2601407
0.0492	-0.2605793
0.0493	-0.2607009
0.0494	-0.2607647
0.0495	-0.2608436
0.0496	-0.2612515
0.0497	-0.2605663
0.0498	-0.2602649
0.0499	-0.2608266
0.05	-0.2610427
0.0501	-0.26221
0.0502	-0.2617204
0.0503	-0.2611137
0.0504	-0.2614771
0.0505	-0.2614024
0.0506	-0.2617926
0.0507	-0.2624258
0.0508	-0.2629683
0.0509	-0.262563
