Source File Name:	testeSEMmag
Point Index:	1	[x = 0.0321152	y = 0.0231113	z = -1.23]
Component:	Root
Signal:	Time - Vib Velocity - Samples

Time	Time Signal
[ s ]	[ m/s ]
0	0.004806853
0.0001	0.03346131
0.0002	0.0226916
0.0003	-0.01518076
0.0004	-0.05724259
0.0005	-0.08240031
0.0006	-0.1096308
0.0007	-0.1520252
0.0008	-0.1831931
0.0009	-0.1834806
0.001	-0.1614439
0.0011	-0.1610751
0.0012	-0.1674185
0.0013	-0.1869805
0.0014	-0.2360317
0.0015	-0.2679259
0.0016	-0.2649372
0.0017	-0.2684426
0.0018	-0.282015
0.0019	-0.2840384
0.002	-0.2756739
0.0021	-0.2595405
0.0022	-0.2649988
0.0023	-0.26765
0.0024	-0.2478465
0.0025	-0.2227916
0.0026	-0.1673469
0.0027	-0.0868758
0.0028	-0.01144167
0.0029	0.02363466
0.003	0.06949386
0.0031	0.1195782
0.0032	0.1636888
0.0033	0.1805896
0.0034	0.1933836
0.0035	0.2428616
0.0036	0.2913855
0.0037	0.3342207
0.0038	0.3529461
0.0039	0.3980655
0.004	0.4340259
0.0041	0.449659
0.0042	0.4376755
0.0043	0.42552
0.0044	0.436582
0.0045	0.4271464
0.0046	0.418656
0.0047	0.3983499
0.0048	0.412487
0.0049	0.4214582
0.005	0.4100449
0.0051	0.3885714
0.0052	0.3606577
0.0053	0.3493776
0.0054	0.3028792
0.0055	0.2528622
0.0056	0.1998594
0.0057	0.1731149
0.0058	0.1508159
0.0059	0.1042984
0.006	0.06923418
0.0061	0.03486483
0.0062	0.02320231
0.0063	-0.02515037
0.0064	-0.0855443
0.0065	-0.1370744
0.0066	-0.1781824
0.0067	-0.2094121
0.0068	-0.2680922
0.0069	-0.2994589
0.007	-0.3185839
0.0071	-0.3199624
0.0072	-0.3419024
0.0073	-0.3772242
0.0074	-0.3893818
0.0075	-0.4044576
0.0076	-0.4154291
0.0077	-0.4547141
0.0078	-0.469086
0.0079	-0.4642729
0.008	-0.4542613
0.0081	-0.4456859
0.0082	-0.4444174
0.0083	-0.4088182
0.0084	-0.3825213
0.0085	-0.3619581
0.0086	-0.3627709
0.0087	-0.3424422
0.0088	-0.3061544
0.0089	-0.2796971
0.009	-0.25261
0.0091	-0.2182542
0.0092	-0.1458223
0.0093	-0.08690535
0.0094	-0.03502798
0.0095	0.003073773
0.0096	0.05691747
0.0097	0.1060429
0.0098	0.1297049
0.0099	0.1537275
0.01	0.1870337
0.0101	0.2449462
0.0102	0.2808722
0.0103	0.3174
0.0104	0.3530977
0.0105	0.4009195
0.0106	0.4275042
0.0107	0.4257537
0.0108	0.4250646
0.0109	0.4249504
0.011	0.434248
0.0111	0.4152407
0.0112	0.4073773
0.0113	0.4135573
0.0114	0.4332693
0.0115	0.4358557
0.0116	0.4148273
0.0117	0.403621
0.0118	0.3863198
0.0119	0.3651164
0.012	0.3096066
0.0121	0.2609431
0.0122	0.2274308
0.0123	0.2018905
0.0124	0.1723082
0.0125	0.1280944
0.0126	0.1116112
0.0127	0.08956084
0.0128	0.05934539
0.0129	0.001439443
0.013	-0.05557602
0.0131	-0.09705405
0.0132	-0.149275
0.0133	-0.1986918
0.0134	-0.2534672
0.0135	-0.2716602
0.0136	-0.2850118
0.0137	-0.302328
0.0138	-0.326311
0.0139	-0.3475614
0.014	-0.3499711
0.0141	-0.3781714
0.0142	-0.4084825
0.0143	-0.4428951
0.0144	-0.448764
0.0145	-0.4431923
0.0146	-0.4479887
0.0147	-0.4412501
0.0148	-0.4271829
0.0149	-0.3876461
0.015	-0.3713731
0.0151	-0.3625536
0.0152	-0.3542083
0.0153	-0.3311168
0.0154	-0.3067147
0.0155	-0.2975715
0.0156	-0.2668886
0.0157	-0.2231635
0.0158	-0.1580599
0.0159	-0.1143801
0.016	-0.06737165
0.0161	-0.0135051
0.0162	0.04126786
0.0163	0.07972807
0.0164	0.09892054
0.0165	0.1394438
0.0166	0.1820634
0.0167	0.227827
0.0168	0.2541002
0.0169	0.2973572
0.017	0.347888
0.0171	0.3875799
0.0172	0.4049692
0.0173	0.4066442
0.0174	0.4247842
0.0175	0.4305745
0.0176	0.4304965
0.0177	0.4161274
0.0178	0.4222678
0.0179	0.4347461
0.018	0.4383326
0.0181	0.4336822
0.0182	0.421754
0.0183	0.422879
0.0184	0.4006938
0.0185	0.368506
0.0186	0.3214748
0.0187	0.2891844
0.0188	0.2647355
0.0189	0.2260463
0.019	0.192551
0.0191	0.1597843
0.0192	0.1479063
0.0193	0.1159167
0.0194	0.07067376
0.0195	0.01964771
0.0196	-0.02606632
0.0197	-0.06619006
0.0198	-0.1279133
0.0199	-0.1780948
0.02	-0.2173034
0.0201	-0.229552
0.0202	-0.2502766
0.0203	-0.2795376
0.0204	-0.2973909
0.0205	-0.3141546
0.0206	-0.326506
0.0207	-0.3660059
0.0208	-0.3978564
0.0209	-0.4206768
0.021	-0.4299661
0.0211	-0.4381293
0.0212	-0.4490544
0.0213	-0.4328563
0.0214	-0.4115908
0.0215	-0.386187
0.0216	-0.383299
0.0217	-0.3727738
0.0218	-0.3572282
0.0219	-0.3460128
0.022	-0.3383204
0.0221	-0.3304241
0.0222	-0.2894509
0.0223	-0.2434397
0.0224	-0.1908314
0.0225	-0.1478371
0.0226	-0.08908426
0.0227	-0.02863252
0.0228	0.01339608
0.0229	0.041313
0.023	0.06471484
0.0231	0.1090034
0.0232	0.1440143
0.0233	0.1829765
0.0234	0.2203967
0.0235	0.2765617
0.0236	0.3278618
0.0237	0.3586153
0.0238	0.3802803
0.0239	0.3959198
0.024	0.4159859
0.0241	0.4095787
0.0242	0.4030579
0.0243	0.4007959
0.0244	0.4167897
0.0245	0.4274955
0.0246	0.4253074
0.0247	0.4284692
0.0248	0.4287938
0.0249	0.4303657
0.025	0.4006497
0.0251	0.3657007
0.0252	0.3338211
0.0253	0.3074753
0.0254	0.2773734
0.0255	0.2343103
0.0256	0.2093562
0.0257	0.188895
0.0258	0.1720834
0.0259	0.1346011
0.026	0.09104704
0.0261	0.05224747
0.0262	0.007314386
0.0263	-0.04161689
0.0264	-0.1031366
0.0265	-0.1425162
0.0266	-0.1737937
0.0267	-0.2011334
0.0268	-0.2324958
0.0269	-0.2605497
0.027	-0.2731478
0.0271	-0.2972308
0.0272	-0.3271437
0.0273	-0.3677943
0.0274	-0.3929721
0.0275	-0.4093251
0.0276	-0.4271428
0.0277	-0.4407258
0.0278	-0.4450468
0.0279	-0.4250613
0.028	-0.4134232
0.0281	-0.4058399
0.0282	-0.4037946
0.0283	-0.3900333
0.0284	-0.374222
0.0285	-0.3716322
0.0286	-0.3644232
0.0287	-0.3466351
0.0288	-0.3044144
0.0289	-0.2672546
0.029	-0.2264448
0.0291	-0.1800742
0.0292	-0.1236598
0.0293	-0.07623396
0.0294	-0.04737044
0.0295	-0.01433627
0.0296	0.02141711
0.0297	0.06447218
0.0298	0.09356527
0.0299	0.1332373
0.03	0.1850524
0.0301	0.2434099
0.0302	0.287538
0.0303	0.3150357
0.0304	0.3464919
0.0305	0.3687087
0.0306	0.3817199
0.0307	0.374186
0.0308	0.3777178
0.0309	0.3891428
0.031	0.4028336
0.0311	0.4104855
0.0312	0.4137133
0.0313	0.429182
0.0314	0.4333413
0.0315	0.426049
0.0316	0.3978754
0.0317	0.3723841
0.0318	0.3471629
0.0319	0.3138278
0.032	0.2796933
0.0321	0.2479442
0.0322	0.2352564
0.0323	0.2170226
0.0324	0.1918448
0.0325	0.1566323
0.0326	0.1231643
0.0327	0.08979585
0.0328	0.03564127
0.0329	-0.02274524
0.033	-0.07917722
0.0331	-0.1154772
0.0332	-0.1507934
0.0333	-0.1878395
0.0334	-0.2159127
0.0335	-0.2352631
0.0336	-0.2477448
0.0337	-0.2787298
0.0338	-0.3137539
0.0339	-0.3468378
0.034	-0.3700302
0.0341	-0.3944969
0.0342	-0.4233142
0.0343	-0.4354462
0.0344	-0.4349137
0.0345	-0.4226181
0.0346	-0.4190593
0.0347	-0.4136762
0.0348	-0.4028254
0.0349	-0.3929135
0.035	-0.389623
0.0351	-0.3947273
0.0352	-0.3839553
0.0353	-0.3626867
0.0354	-0.3342883
0.0355	-0.3084798
0.0356	-0.2702965
0.0357	-0.2188989
0.0358	-0.1697719
0.0359	-0.1305842
0.036	-0.09981754
0.0361	-0.05853857
0.0362	-0.01889029
0.0363	0.01755699
0.0364	0.0503387
0.0365	0.09696954
0.0366	0.1526264
0.0367	0.2008013
0.0368	0.2405536
0.0369	0.2760004
0.037	0.3145557
0.0371	0.3368686
0.0372	0.3482997
0.0373	0.3540871
0.0374	0.369122
0.0375	0.3843787
0.0376	0.3911384
0.0377	0.39962
0.0378	0.4121705
0.0379	0.4288762
0.038	0.4265994
0.0381	0.4131376
0.0382	0.395561
0.0383	0.3810059
0.0384	0.3601564
0.0385	0.3272128
0.0386	0.2994217
0.0387	0.2779694
0.0388	0.2656531
0.0389	0.241861
0.039	0.2124111
0.0391	0.1844615
0.0392	0.1540159
0.0393	0.1156518
0.0394	0.06024555
0.0395	0.01046543
0.0396	-0.03382345
0.0397	-0.07167633
0.0398	-0.1111722
0.0399	-0.1476092
0.04	-0.1699455
0.0401	-0.1913527
0.0402	-0.2156624
0.0403	-0.2522248
0.0404	-0.2833993
0.0405	-0.3115518
0.0406	-0.3439123
0.0407	-0.3774019
0.0408	-0.4060414
0.0409	-0.41309
0.041	-0.4153113
0.0411	-0.4160437
0.0412	-0.4180501
0.0413	-0.4119
0.0414	-0.3992425
0.0415	-0.3974456
0.0416	-0.4017681
0.0417	-0.405416
0.0418	-0.3932475
0.0419	-0.3785143
0.042	-0.3609666
0.0421	-0.3341513
0.0422	-0.2921526
0.0423	-0.241798
0.0424	-0.2012989
0.0425	-0.1636449
0.0426	-0.1269989
0.0427	-0.08641904
0.0428	-0.05525028
0.0429	-0.02651895
0.043	0.01187427
0.0431	0.06133727
0.0432	0.1122618
0.0433	0.1556062
0.0434	0.2031372
0.0435	0.2496582
0.0436	0.2891253
0.0437	0.3087982
0.0438	0.3216534
0.0439	0.3378723
0.044	0.3555899
0.0441	0.3686494
0.0442	0.3763497
0.0443	0.3936031
0.0444	0.4125004
0.0445	0.4258788
0.0446	0.424892
0.0447	0.4201826
0.0448	0.4129827
0.0449	0.3978166
0.045	0.3744588
0.0451	0.346206
0.0452	0.3292179
0.0453	0.3134873
0.0454	0.2956195
0.0455	0.2712869
0.0456	0.2485739
0.0457	0.2281176
0.0458	0.1945215
0.0459	0.15184
0.046	0.1031466
0.0461	0.06326192
0.0462	0.02297537
0.0463	-0.02079082
0.0464	-0.06233775
0.0465	-0.09489582
0.0466	-0.1156029
0.0467	-0.1456934
0.0468	-0.180894
0.0469	-0.2184106
0.047	-0.2486815
0.0471	-0.2795635
0.0472	-0.3175001
0.0473	-0.348467
0.0474	-0.3705821
0.0475	-0.3782516
0.0476	-0.3877753
0.0477	-0.3953594
0.0478	-0.3967147
0.0479	-0.3930614
0.048	-0.3910616
0.0481	-0.3999566
0.0482	-0.4028047
0.0483	-0.4002224
0.0484	-0.3898446
0.0485	-0.3811314
0.0486	-0.3651491
0.0487	-0.3348295
0.0488	-0.2993164
0.0489	-0.2640062
0.049	-0.2361829
0.0491	-0.20022
0.0492	-0.1629574
0.0493	-0.1289028
0.0494	-0.1026708
0.0495	-0.07038667
0.0496	-0.02451761
0.0497	0.02409164
0.0498	0.07246929
0.0499	0.1177248
0.05	0.170059
0.0501	0.2157621
0.0502	0.2506014
0.0503	0.2740349
0.0504	0.2971525
0.0505	0.3212767
0.0506	0.3368852
0.0507	0.3507886
0.0508	0.3681233
0.0509	0.3947234
0.051	0.4137768
0.0511	0.4240367
0.0512	0.4274761
0.0513	0.4298053
0.0514	0.4267359
0.0515	0.4084392
0.0516	0.3865388
0.0517	0.3669064
0.0518	0.3559375
0.0519	0.3406545
0.052	0.3205119
0.0521	0.3030576
0.0522	0.2878867
0.0523	0.2696925
0.0524	0.2356028
0.0525	0.1948435
0.0526	0.151994
