X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	002: [06-29-24 13:51]		003: [06-29-24 13:54]	
         134	   0,0119645	65,4	   0,0128716	59,5
     134,016	   0,0125762	62,7	   0,0140201	55,9
     134,031	   0,0125962	59,3	   0,0138177	62,4
     134,047	   0,0118989	62,8	   0,0139239	64,4
     134,063	   0,0116635	66,4	   0,0140361	65,0
     134,078	   0,0123118	61,4	   0,0138078	57,8
     134,094	   0,0125457	63,3	   0,0137436	56,5
     134,109	   0,0132268	58,2	   0,0143687	56,7
     134,125	   0,0124516	64,8	   0,0136475	64,5
     134,141	   0,0126774	55,5	   0,0135472	59,5
     134,156	    0,012417	57,9	   0,0141924	65,2
     134,172	    0,012639	55,3	   0,0141353	64,4
     134,188	   0,0123448	59,9	    0,013905	56,5
     134,203	   0,0128309	65,4	   0,0147633	62,9
     134,219	    0,012865	56,8	   0,0146258	65,6
     134,235	   0,0130646	60,8	   0,0147472	59,9
      134,25	   0,0131492	59,6	   0,0144814	65,4
     134,266	   0,0129682	58,7	   0,0140433	56,9
     134,282	   0,0126172	56,3	   0,0145777	57,6
     134,297	   0,0129691	58,6	   0,0143041	58,8
     134,313	   0,0131748	60,9	   0,0143996	55,2
     134,328	    0,012831	64,5	   0,0150141	60,8
     134,344	   0,0133097	66,6	   0,0146422	61,6
      134,36	   0,0133818	60,3	   0,0147173	58,9
     134,375	   0,0129059	60,0	   0,0144808	62,0
     134,391	   0,0128554	61,8	   0,0148373	59,1
     134,407	   0,0134116	63,5	   0,0147431	61,2
     134,422	   0,0136089	60,5	   0,0149845	62,6
     134,438	   0,0132308	59,3	   0,0153758	65,5
     134,454	   0,0132402	58,8	   0,0155537	64,3
     134,469	   0,0138315	58,8	    0,015059	65,3
     134,485	   0,0136896	55,7	   0,0153298	59,2
       134,5	   0,0134713	60,3	   0,0152019	63,5
     134,516	   0,0141223	56,0	   0,0150735	56,9
     134,532	   0,0138816	60,8	   0,0155662	58,0
     134,547	   0,0138547	58,8	   0,0158558	60,8
     134,563	   0,0138244	63,3	   0,0157583	61,3
     134,579	   0,0138404	64,3	   0,0158429	62,7
     134,594	   0,0143755	59,1	   0,0153692	58,0
      134,61	   0,0141083	60,3	   0,0152696	66,8
     134,626	   0,0140635	59,9	   0,0148553	65,4
     134,641	   0,0142261	61,5	   0,0150274	60,9
     134,657	   0,0146277	57,9	   0,0148836	61,7
     134,673	    0,014154	64,0	   0,0154489	60,7
     134,688	   0,0140611	60,0	   0,0157525	56,4
     134,704	   0,0141892	65,0	   0,0159586	58,8
     134,719	    0,014137	63,2	   0,0155771	64,2
     134,735	   0,0141679	63,5	   0,0159216	61,0
     134,751	   0,0142283	60,1	   0,0158111	64,3
     134,766	   0,0150287	60,6	   0,0156007	64,7
     134,782	   0,0149081	63,9	   0,0155764	62,1
     134,798	   0,0153213	62,2	   0,0159048	63,0
     134,813	   0,0147122	64,2	    0,015741	57,8
     134,829	   0,0149093	64,2	   0,0164685	62,7
     134,845	    0,015234	62,7	   0,0161653	60,9
      134,86	   0,0151919	62,3	   0,0163626	65,1
     134,876	   0,0153253	63,3	   0,0163094	65,9
     134,891	    0,015041	65,1	   0,0163435	59,4
     134,907	   0,0151084	66,0	   0,0167928	60,7
     134,923	   0,0154776	60,1	   0,0163065	60,3
     134,938	   0,0152776	59,0	   0,0167577	64,4
     134,954	     0,01523	57,5	   0,0167451	60,7
