X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	003: [06-04-24 20:36]		006: [06-04-24 20:42]	
         100	  0,00540868	67,6	  0,00667461	69,7
     100,108	  0,00594859	64,5	  0,00612541	65,0
     100,215	  0,00581032	67,8	  0,00606672	67,0
     100,323	  0,00604571	70,9	  0,00631091	67,2
      100,43	  0,00637704	68,6	  0,00630597	64,8
     100,538	  0,00610602	69,8	  0,00633774	69,5
     100,645	  0,00630459	66,5	  0,00607918	68,5
     100,753	   0,0065969	67,7	  0,00617529	71,0
      100,86	  0,00597875	71,6	  0,00682514	65,9
     100,968	  0,00616178	65,6	  0,00641816	65,0
     101,075	  0,00640582	67,9	  0,00609101	70,4
     101,183	  0,00640662	67,5	  0,00658417	66,2
      101,29	  0,00643623	68,6	  0,00636858	68,2
     101,398	  0,00636397	65,6	  0,00602923	68,3
     101,505	  0,00650858	70,2	  0,00658934	65,7
     101,613	  0,00635052	67,9	  0,00648215	65,9
      101,72	  0,00608067	64,6	  0,00653842	70,4
     101,828	  0,00624915	69,5	  0,00642344	65,8
     101,935	  0,00672422	68,4	  0,00671056	66,1
     102,043	  0,00613273	67,5	  0,00619836	69,1
     102,151	  0,00669211	66,5	  0,00652323	65,9
     102,258	   0,0066146	64,7	  0,00636513	66,0
     102,366	  0,00663185	64,3	  0,00659512	66,6
     102,473	  0,00635854	68,0	  0,00681768	68,2
     102,581	  0,00682869	65,1	  0,00622018	65,9
     102,688	  0,00671395	67,6	  0,00624402	65,2
     102,796	   0,0068011	65,9	  0,00663977	62,4
     102,903	  0,00662054	66,4	  0,00667379	64,9
     103,011	  0,00690466	66,9	  0,00685182	64,8
     103,118	  0,00685122	67,6	  0,00659082	65,2
     103,226	  0,00654684	65,6	  0,00692365	64,4
     103,333	   0,0062068	67,5	  0,00653527	64,8
     103,441	  0,00659455	62,7	  0,00694415	64,3
     103,548	  0,00746196	61,5	  0,00670752	65,1
     103,656	  0,00730448	68,8	  0,00707199	64,9
     103,763	   0,0074155	72,0	  0,00719535	66,1
     103,871	  0,00666099	70,4	  0,00685166	64,5
     103,978	  0,00668539	64,5	  0,00666054	62,2
     104,086	  0,00730696	69,1	  0,00697552	71,0
     104,194	  0,00644225	65,0	  0,00724165	67,7
     104,301	  0,00667456	60,6	  0,00741479	67,0
     104,409	  0,00735899	64,5	  0,00703641	64,5
     104,516	  0,00672634	69,1	  0,00728792	66,9
     104,624	  0,00722058	67,4	  0,00699281	66,8
     104,731	  0,00749471	65,6	  0,00715654	66,3
     104,839	   0,0069244	65,4	  0,00732657	66,1
     104,946	  0,00706604	64,8	  0,00709506	66,7
     105,054	  0,00687579	65,1	   0,0071496	68,3
     105,161	  0,00739256	64,7	  0,00726987	64,8
     105,269	  0,00695113	64,8	  0,00711736	65,2
     105,376	  0,00770491	65,3	  0,00715588	63,2
     105,484	  0,00721903	70,8	  0,00739604	62,8
     105,591	   0,0074431	71,6	  0,00751962	64,6
     105,699	  0,00763737	67,9	  0,00693891	67,0
     105,806	  0,00694466	64,6	  0,00720071	66,5
     105,914	  0,00733172	63,7	  0,00710248	65,0
     106,022	  0,00734341	68,0	  0,00717062	62,3
     106,129	  0,00784741	65,0	   0,0073623	67,9
     106,237	  0,00754655	67,3	  0,00744924	66,9
     106,344	  0,00749849	70,8	   0,0073976	65,4
     106,452	  0,00765955	68,9	  0,00768839	65,2
     106,559	  0,00786217	68,9	  0,00768396	64,4
     106,667	  0,00750362	67,9	  0,00737268	64,8
     106,774	  0,00740133	64,0	  0,00776897	69,6
     106,882	  0,00799638	65,5	  0,00811178	67,7
     106,989	  0,00766655	66,5	  0,00749266	64,2
     107,097	  0,00765374	64,8	   0,0074018	66,8
     107,204	  0,00767699	66,3	  0,00781283	62,3
     107,312	   0,0078863	65,9	  0,00774076	64,9
     107,419	  0,00747447	64,0	  0,00778789	64,6
     107,527	   0,0079184	66,9	  0,00770769	65,4
     107,634	  0,00787716	66,6	  0,00757672	64,9
     107,742	  0,00794495	66,1	  0,00813379	64,4
     107,849	  0,00799177	64,1	  0,00741125	63,5
     107,957	  0,00787802	63,6	  0,00827088	67,9
     108,065	  0,00809105	67,2	  0,00807954	68,7
     108,172	   0,0079488	63,5	  0,00809755	63,9
      108,28	  0,00771069	67,5	  0,00839532	68,0
     108,387	  0,00866415	65,6	  0,00813772	63,2
     108,495	  0,00830732	63,3	   0,0081441	68,3
     108,602	  0,00798744	58,3	  0,00824755	62,6
      108,71	  0,00817075	67,8	   0,0083434	63,8
     108,817	  0,00824683	66,3	   0,0086567	68,4
