Source File Name:	magt3
Point Index:	1	[x = 0.0321152	y = 0.0231113	z = -1.23]
Component:	Root
Signal:	Time - Ref1 Force - Samples

Time	Time Signal
[ s ]	[ N ]
0	5.343901
0.0001	16.61879
0.0002	21.74352
0.0003	25.25932
0.0004	26.79459
0.0005	23.65256
0.0006	21.02124
0.0007	17.409
0.0008	11.96726
0.0009	10.10988
0.001	4.299692
0.0011	0.3981222
0.0012	2.072561
0.0013	1.591735
0.0014	-0.4102049
0.0015	-0.286355
0.0016	-0.1447926
0.0017	-0.1578967
0.0018	-0.1994222
0.0019	-0.1321161
0.002	-0.11184
0.0021	-0.1729669
0.0022	-0.1885761
0.0023	-0.148781
0.0024	-0.2179637
0.0025	-0.2728251
0.0026	-0.2337308
0.0027	-0.2310053
0.0028	-0.2771154
0.0029	-0.2457291
0.003	-0.2076252
0.0031	-0.2300452
0.0032	-0.2288823
0.0033	-0.1920306
0.0034	-0.1959652
0.0035	-0.2213467
0.0036	-0.2114962
0.0037	-0.2053277
0.0038	-0.2372556
0.0039	-0.2465328
0.004	-0.2294304
0.0041	-0.244894
0.0042	-0.2556504
0.0043	-0.2346858
0.0044	-0.2290669
0.0045	-0.2357211
0.0046	-0.2228183
0.0047	-0.2115825
0.0048	-0.2179041
0.0049	-0.2205447
0.005	-0.2142788
0.0051	-0.2185592
0.0052	-0.2323678
0.0053	-0.2299447
0.0054	-0.228432
0.0055	-0.2389725
0.0056	-0.2376727
0.0057	-0.2301499
0.0058	-0.2325485
0.0059	-0.2314838
0.006	-0.2240491
0.0061	-0.2251551
0.0062	-0.2266832
0.0063	-0.2250543
0.0064	-0.2244288
0.0065	-0.228852
0.0066	-0.2335334
0.0067	-0.2313582
0.0068	-0.2342227
0.0069	-0.2401505
0.007	-0.2381288
0.0071	-0.2372694
0.0072	-0.2404403
0.0073	-0.2384466
0.0074	-0.236829
0.0075	-0.2400461
0.0076	-0.2397186
0.0077	-0.2402419
0.0078	-0.2413845
0.0079	-0.2431246
0.008	-0.2453986
0.0081	-0.2450925
0.0082	-0.2483793
0.0083	-0.2507302
0.0084	-0.2500925
0.0085	-0.2515612
0.0086	-0.2528313
0.0087	-0.2513684
0.0088	-0.2511196
0.0089	-0.253556
0.009	-0.2525811
0.0091	-0.2536147
0.0092	-0.2535494
0.0093	-0.2550243
0.0094	-0.2562323
0.0095	-0.2568643
0.0096	-0.2590156
0.0097	-0.2600362
0.0098	-0.2601888
0.0099	-0.2608927
0.01	-0.262339
0.0101	-0.2610694
0.0102	-0.2623025
0.0103	-0.2631787
0.0104	-0.2627038
0.0105	-0.2637514
0.0106	-0.2642926
0.0107	-0.2656427
0.0108	-0.2664095
0.0109	-0.2670231
0.011	-0.2676056
0.0111	-0.2680752
0.0112	-0.2682991
0.0113	-0.2695097
0.0114	-0.270016
0.0115	-0.2700189
0.0116	-0.2718821
0.0117	-0.2713515
0.0118	-0.2719713
0.0119	-0.2726947
0.012	-0.2732698
0.0121	-0.2740769
0.0122	-0.2745011
0.0123	-0.2750464
0.0124	-0.2759417
0.0125	-0.2765992
0.0126	-0.2772424
0.0127	-0.2779432
0.0128	-0.2775682
0.0129	-0.277632
0.013	-0.2776582
0.0131	-0.2778279
0.0132	-0.2791322
0.0133	-0.2798471
0.0134	-0.2800975
0.0135	-0.2815527
0.0136	-0.2816513
0.0137	-0.2820415
0.0138	-0.283668
0.0139	-0.2844468
0.014	-0.2843447
0.0141	-0.284904
0.0142	-0.2846377
0.0143	-0.2853216
0.0144	-0.2855998
0.0145	-0.2870496
0.0146	-0.2874962
0.0147	-0.2877219
0.0148	-0.2879226
0.0149	-0.2887414
0.015	-0.2883979
0.0151	-0.2887127
0.0152	-0.289997
0.0153	-0.2903891
0.0154	-0.2908062
0.0155	-0.2917416
0.0156	-0.2917788
0.0157	-0.2917916
0.0158	-0.2918336
0.0159	-0.2921416
0.016	-0.2926514
0.0161	-0.2929725
0.0162	-0.2933886
0.0163	-0.2942367
0.0164	-0.2946147
0.0165	-0.2949823
0.0166	-0.2957856
0.0167	-0.2958504
0.0168	-0.2961366
0.0169	-0.2958753
0.017	-0.2968322
0.0171	-0.2970745
0.0172	-0.2962955
0.0173	-0.2972456
0.0174	-0.2985885
0.0175	-0.2987153
0.0176	-0.2989182
0.0177	-0.3007497
0.0178	-0.3009236
0.0179	-0.301323
0.018	-0.3008214
0.0181	-0.3011025
0.0182	-0.3015969
0.0183	-0.3022597
0.0184	-0.3027237
0.0185	-0.3030714
0.0186	-0.3035178
0.0187	-0.3036763
0.0188	-0.3038151
0.0189	-0.3037903
0.019	-0.3041698
0.0191	-0.3050537
0.0192	-0.3045586
0.0193	-0.3039188
0.0194	-0.3040201
0.0195	-0.3049839
0.0196	-0.3060663
0.0197	-0.3072153
0.0198	-0.3068277
0.0199	-0.3072985
0.02	-0.3078289
0.0201	-0.3081138
0.0202	-0.3086161
0.0203	-0.3086455
0.0204	-0.308222
0.0205	-0.3080256
0.0206	-0.3084643
0.0207	-0.3091608
0.0208	-0.3099045
0.0209	-0.3105335
0.021	-0.310738
0.0211	-0.3105971
0.0212	-0.3104773
0.0213	-0.311108
0.0214	-0.3108203
0.0215	-0.31122
0.0216	-0.3116483
0.0217	-0.3119145
0.0218	-0.312343
0.0219	-0.3129187
0.022	-0.3127506
0.0221	-0.3142029
0.0222	-0.3144648
0.0223	-0.3148755
0.0224	-0.3151272
0.0225	-0.3148329
0.0226	-0.3152373
0.0227	-0.3149883
0.0228	-0.3151634
0.0229	-0.3154139
0.023	-0.3156457
0.0231	-0.3159318
0.0232	-0.3165956
0.0233	-0.3165389
0.0234	-0.3167262
0.0235	-0.3167872
0.0236	-0.316769
0.0237	-0.3162819
0.0238	-0.3160032
0.0239	-0.3169377
0.024	-0.3164048
0.0241	-0.3164599
0.0242	-0.3168892
0.0243	-0.3177163
0.0244	-0.3173696
0.0245	-0.3174525
0.0246	-0.318129
0.0247	-0.3186263
0.0248	-0.3186212
0.0249	-0.3178954
0.025	-0.3178504
0.0251	-0.3181108
0.0252	-0.3188673
0.0253	-0.319288
0.0254	-0.3191412
0.0255	-0.3200905
0.0256	-0.3201828
0.0257	-0.3205268
0.0258	-0.320851
0.0259	-0.3209161
0.026	-0.3207158
0.0261	-0.3208677
0.0262	-0.3215624
0.0263	-0.3207324
0.0264	-0.3208345
0.0265	-0.3214364
0.0266	-0.3216955
0.0267	-0.3215898
0.0268	-0.3219682
0.0269	-0.32269
0.027	-0.3224986
0.0271	-0.3222613
0.0272	-0.3219958
0.0273	-0.3223555
0.0274	-0.3227996
0.0275	-0.3231313
0.0276	-0.3233262
0.0277	-0.323499
0.0278	-0.3230982
0.0279	-0.3231493
0.028	-0.3221022
0.0281	-0.3230727
0.0282	-0.3229722
0.0283	-0.3224451
0.0284	-0.3229114
0.0285	-0.3227421
0.0286	-0.3232171
0.0287	-0.3229733
0.0288	-0.3231646
0.0289	-0.3229885
0.029	-0.3225001
0.0291	-0.3222161
0.0292	-0.3224513
0.0293	-0.3229039
0.0294	-0.3221609
0.0295	-0.3226986
0.0296	-0.3226551
0.0297	-0.3235772
0.0298	-0.3235249
0.0299	-0.323121
0.03	-0.3236997
0.0301	-0.323864
0.0302	-0.3244068
0.0303	-0.3236696
0.0304	-0.3237531
0.0305	-0.3239649
0.0306	-0.3235916
0.0307	-0.3230839
0.0308	-0.3241431
0.0309	-0.3234339
0.031	-0.3238032
0.0311	-0.324095
0.0312	-0.3243123
0.0313	-0.3241684
0.0314	-0.3246218
0.0315	-0.3245426
0.0316	-0.3248795
0.0317	-0.3255793
0.0318	-0.3251686
0.0319	-0.3260507
0.032	-0.3268083
0.0321	-0.3257746
0.0322	-0.3258542
0.0323	-0.3266114
0.0324	-0.3273889
0.0325	-0.3271992
0.0326	-0.3270674
0.0327	-0.3279948
0.0328	-0.3276569
0.0329	-0.32702
0.033	-0.3280344
0.0331	-0.3282404
0.0332	-0.3274565
0.0333	-0.3273126
0.0334	-0.3272732
0.0335	-0.327539
0.0336	-0.3285151
0.0337	-0.3284671
0.0338	-0.3280694
0.0339	-0.3281047
0.034	-0.328124
0.0341	-0.3292578
0.0342	-0.3296602
0.0343	-0.3297433
0.0344	-0.3304543
0.0345	-0.3293934
0.0346	-0.3286803
0.0347	-0.3285812
0.0348	-0.3287259
0.0349	-0.3296927
0.035	-0.3300748
0.0351	-0.3305455
0.0352	-0.3305414
0.0353	-0.3300665
0.0354	-0.3299327
0.0355	-0.3310139
0.0356	-0.3312525
0.0357	-0.3313499
0.0358	-0.3320514
0.0359	-0.3313744
0.036	-0.3317548
0.0361	-0.3323675
0.0362	-0.3325035
0.0363	-0.3326946
0.0364	-0.3334269
0.0365	-0.3332484
0.0366	-0.3332676
0.0367	-0.3332533
0.0368	-0.3340787
0.0369	-0.334318
0.037	-0.3344176
0.0371	-0.3350212
0.0372	-0.3349096
0.0373	-0.3351124
0.0374	-0.3357365
0.0375	-0.3360184
0.0376	-0.336367
0.0377	-0.3357907
0.0378	-0.3358241
0.0379	-0.3365155
0.038	-0.336771
0.0381	-0.3373626
0.0382	-0.3374389
0.0383	-0.3376534
0.0384	-0.3368126
0.0385	-0.3373636
0.0386	-0.3375375
0.0387	-0.3377694
0.0388	-0.3375827
0.0389	-0.3378242
0.039	-0.3381948
0.0391	-0.3383159
0.0392	-0.3382528
0.0393	-0.3387803
0.0394	-0.3387774
0.0395	-0.3390446
0.0396	-0.3394362
0.0397	-0.3394496
0.0398	-0.3390665
0.0399	-0.3393314
0.04	-0.3396132
0.0401	-0.3398167
0.0402	-0.3401404
0.0403	-0.3398234
0.0404	-0.3406838
0.0405	-0.3415479
0.0406	-0.3416163
0.0407	-0.3418121
0.0408	-0.3424924
0.0409	-0.3424029
0.041	-0.3421772
0.0411	-0.3415663
0.0412	-0.3423674
0.0413	-0.3428846
0.0414	-0.3427369
0.0415	-0.3436368
0.0416	-0.3432476
0.0417	-0.3429591
0.0418	-0.3432474
0.0419	-0.3438905
0.042	-0.3442738
0.0421	-0.3438332
0.0422	-0.3439158
0.0423	-0.344207
0.0424	-0.344224
0.0425	-0.3445671
0.0426	-0.343952
0.0427	-0.344102
0.0428	-0.3445951
0.0429	-0.3445516
0.043	-0.3448225
0.0431	-0.3453515
0.0432	-0.3450752
0.0433	-0.3445627
0.0434	-0.3444675
0.0435	-0.3447476
0.0436	-0.3447551
0.0437	-0.3453249
0.0438	-0.3453133
0.0439	-0.3449976
0.044	-0.3450469
0.0441	-0.3446995
0.0442	-0.3450159
0.0443	-0.3456935
0.0444	-0.3457097
0.0445	-0.3454394
0.0446	-0.3448407
0.0447	-0.3454174
0.0448	-0.3454959
0.0449	-0.3448874
0.045	-0.3447556
0.0451	-0.3449724
0.0452	-0.3455816
0.0453	-0.3455091
0.0454	-0.3453531
0.0455	-0.3451077
0.0456	-0.3450049
0.0457	-0.3459111
0.0458	-0.345784
0.0459	-0.3448196
0.046	-0.3453209
0.0461	-0.3454397
0.0462	-0.3448131
0.0463	-0.3446168
0.0464	-0.3450183
0.0465	-0.3446633
0.0466	-0.3445593
0.0467	-0.3439162
0.0468	-0.3441899
0.0469	-0.344192
0.047	-0.3440107
0.0471	-0.3443876
0.0472	-0.3442371
0.0473	-0.3436618
0.0474	-0.343832
0.0475	-0.3440968
0.0476	-0.3444848
0.0477	-0.3443517
0.0478	-0.3441159
0.0479	-0.3442955
0.048	-0.3432302
0.0481	-0.3434796
0.0482	-0.3431233
0.0483	-0.3426919
0.0484	-0.3432001
0.0485	-0.3431356
0.0486	-0.3425554
0.0487	-0.3425425
0.0488	-0.3431993
0.0489	-0.3437202
0.049	-0.3434667
0.0491	-0.3432249
0.0492	-0.3433894
0.0493	-0.3424578
0.0494	-0.3427612
0.0495	-0.3429774
0.0496	-0.3430557
0.0497	-0.342312
0.0498	-0.3423364
0.0499	-0.3424706
0.05	-0.3423674
0.0501	-0.3421344
0.0502	-0.3421623
0.0503	-0.3421522
0.0504	-0.3424247
0.0505	-0.3416995
0.0506	-0.3419359
