X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	002: [05-25-24 17:22]	
         135	  0,00474561	17,5
     135,029	  0,00546241	-10,8
     135,059	  0,00556905	 5,4
     135,088	  0,00518051	 5,2
     135,117	  0,00536034	10,1
     135,147	  0,00476129	17,1
     135,176	  0,00482961	13,4
     135,205	  0,00473225	17,9
     135,235	  0,00520136	10,8
     135,264	  0,00579996	 2,3
     135,293	  0,00531383	 5,7
     135,323	  0,00562388	-5,4
     135,352	  0,00551513	-5,6
     135,381	  0,00484768	12,7
     135,411	  0,00491328	14,6
      135,44	  0,00498946	12,1
     135,469	   0,0057403	-4,9
     135,499	  0,00493374	 6,2
     135,528	  0,00488045	21,8
     135,557	  0,00596162	-1,7
     135,587	  0,00524731	-3,0
     135,616	   0,0053697	10,0
     135,645	  0,00565735	-3,0
     135,674	  0,00491163	15,2
     135,704	  0,00574664	 0,4
     135,733	  0,00498158	16,1
     135,762	  0,00579373	 4,0
     135,792	  0,00503994	17,3
     135,821	  0,00599935	-0,2
      135,85	  0,00512698	11,7
      135,88	  0,00602624	-9,3
     135,909	  0,00620089	-3,7
     135,938	  0,00533755	 1,3
     135,968	  0,00614526	-11,7
     135,997	  0,00581961	 1,0
     136,026	   0,0050158	12,6
     136,056	  0,00617774	-11,4
     136,085	  0,00587132	-5,4
     136,114	  0,00592188	-0,7
     136,144	  0,00524204	16,8
     136,173	  0,00510531	16,0
     136,202	  0,00586065	-7,5
     136,232	  0,00552549	-2,1
     136,261	  0,00641163	-7,7
      136,29	  0,00624734	-7,1
      136,32	  0,00599733	-7,0
     136,349	  0,00557468	-1,0
     136,378	  0,00550908	-1,9
     136,408	   0,0061714	-4,5
     136,437	  0,00549688	 2,4
     136,466	   0,0052359	14,0
     136,496	  0,00583552	 9,0
     136,525	  0,00591948	 6,8
     136,554	  0,00639192	-1,1
     136,584	  0,00539898	14,8
     136,613	   0,0053383	15,4
     136,642	  0,00545348	10,9
     136,672	  0,00652494	-2,3
     136,701	  0,00545584	11,6
      136,73	  0,00624648	 5,9
      136,76	  0,00672645	-6,7
     136,789	  0,00557514	 6,7
     136,818	   0,0065716	 1,8
     136,848	  0,00589066	-7,3
     136,877	  0,00656807	-1,4
     136,906	   0,0058542	-1,0
     136,935	  0,00579119	12,7
     136,965	  0,00558473	10,3
     136,994	  0,00599809	 9,7
     137,023	  0,00528001	13,7
     137,053	   0,0062018	-7,1
     137,082	  0,00582058	10,7
     137,111	  0,00529263	18,6
     137,141	  0,00665966	-6,0
      137,17	  0,00687762	-6,1
     137,199	  0,00616451	 5,4
     137,229	  0,00539742	17,2
     137,258	  0,00609527	 2,2
     137,287	  0,00720577	-7,1
     137,317	  0,00677022	-3,1
     137,346	  0,00664668	 0,1
     137,375	  0,00575494	10,7
     137,405	  0,00641875	 6,9
     137,434	  0,00588556	10,7
     137,463	  0,00593713	12,9
     137,493	  0,00562075	14,5
     137,522	  0,00618654	11,3
     137,551	  0,00715558	-0,4
     137,581	  0,00692749	 4,1
      137,61	  0,00734343	-5,8
     137,639	  0,00735248	-4,6
     137,669	  0,00593215	 3,1
     137,698	  0,00602325	13,7
     137,727	  0,00682954	 4,1
     137,757	  0,00708544	 0,6
     137,786	  0,00679969	-10,6
     137,815	  0,00586213	13,5
     137,845	   0,0069996	 4,9
     137,874	  0,00729042	-7,3
     137,903	  0,00600524	15,2
     137,933	  0,00754671	-6,2
     137,962	   0,0065371	-6,8
     137,991	  0,00636013	11,2
     138,021	  0,00721029	-3,9
      138,05	  0,00647197	11,8
     138,079	  0,00735046	-5,4
     138,109	   0,0063247	10,8
     138,138	  0,00716636	-8,3
     138,167	  0,00718084	 5,4
     138,196	  0,00617384	 5,7
     138,226	  0,00721829	-5,7
     138,255	  0,00645797	12,3
     138,284	  0,00593762	 8,9
     138,314	  0,00695043	-3,5
     138,343	  0,00743071	 3,5
     138,372	  0,00673751	12,1
     138,402	  0,00593525	13,5
     138,431	  0,00617734	 1,9
      138,46	  0,00744289	-8,5
      138,49	  0,00763618	-7,3
     138,519	  0,00780706	-4,3
     138,548	  0,00760059	-0,5
     138,578	  0,00637178	12,5
     138,607	  0,00640003	14,0
     138,636	  0,00652086	12,7
     138,666	  0,00734854	 2,5
     138,695	  0,00737294	 4,2
     138,724	  0,00760865	-6,2
     138,754	  0,00784016	-9,5
     138,783	  0,00651573	 2,2
     138,812	  0,00635424	 8,3
     138,842	  0,00695879	 8,5
     138,871	  0,00751129	 4,8
       138,9	  0,00763634	-7,3
      138,93	    0,007216	-6,2
     138,959	  0,00662608	 9,6
     138,988	  0,00795894	-3,9
     139,018	   0,0069698	-5,1
     139,047	   0,0062089	14,4
     139,076	  0,00785699	 0,5
     139,106	  0,00618408	10,1
     139,135	  0,00747055	 6,6
     139,164	  0,00656083	 2,3
     139,194	  0,00809346	-3,5
     139,223	  0,00639314	 9,0
     139,252	  0,00801141	-1,6
     139,282	  0,00634066	13,2
     139,311	  0,00789306	-8,9
      139,34	  0,00760826	 7,6
      139,37	  0,00652333	13,0
     139,399	  0,00702067	 2,2
     139,428	  0,00763447	 5,9
     139,457	  0,00716799	10,6
     139,487	  0,00662585	 4,9
     139,516	  0,00721068	-0,0
     139,545	  0,00799708	 0,2
     139,575	  0,00840048	-2,0
     139,604	  0,00788262	 3,5
     139,633	  0,00683493	14,2
     139,663	   0,0068688	14,7
     139,692	   0,0067307	 3,0
     139,721	   0,0066787	10,9
     139,751	  0,00672136	 5,5
      139,78	  0,00682383	12,1
     139,809	  0,00684563	 7,1
     139,839	  0,00675076	13,6
     139,868	  0,00758316	 7,9
     139,897	  0,00849636	 3,2
     139,927	  0,00870007	-3,1
     139,956	  0,00819408	-6,7
     139,985	  0,00668507	 5,8
     140,015	  0,00735751	 9,9
     140,044	  0,00813879	 4,3
     140,073	  0,00819035	-3,5
     140,103	  0,00778314	-0,7
     140,132	  0,00733382	12,3
     140,161	  0,00840135	-4,7
     140,191	    0,007027	 3,5
      140,22	  0,00862849	 3,1
     140,249	  0,00847517	-1,6
     140,279	  0,00774968	 5,4
     140,308	  0,00881411	-4,6
     140,337	  0,00714084	15,1
     140,367	  0,00887999	-5,8
     140,396	  0,00722607	10,6
     140,425	  0,00844659	-5,8
     140,455	   0,0078674	 9,6
     140,484	  0,00771756	-3,0
     140,513	  0,00893884	 0,6
     140,543	  0,00740248	 8,7
     140,572	  0,00820212	-2,2
     140,601	  0,00939213	-0,4
      140,63	  0,00751676	10,3
      140,66	  0,00713051	 7,6
     140,689	  0,00818412	 1,8
     140,718	  0,00925848	 1,1
     140,748	  0,00915268	-0,2
     140,777	  0,00794854	10,2
     140,806	  0,00754978	 9,8
     140,836	  0,00754281	10,0
     140,865	  0,00748555	 7,3
     140,894	  0,00736475	14,7
     140,924	  0,00769804	 4,2
     140,953	  0,00760818	 2,5
     140,982	  0,00819844	-1,6
     141,012	  0,00767959	12,2
     141,041	  0,00790329	12,6
      141,07	  0,00810687	11,6
       141,1	  0,00861717	 9,1
     141,129	  0,00971399	 1,2
     141,158	    0,008899	-6,4
     141,188	  0,00780528	 2,4
     141,217	  0,00785499	 4,8
     141,246	  0,00874706	 9,4
     141,276	  0,00950318	-4,6
     141,305	  0,00929671	-8,0
     141,334	  0,00753945	 7,9
     141,364	  0,00933204	 6,6
     141,393	  0,00850393	 1,0
     141,422	  0,00816713	14,4
     141,452	  0,00972608	 2,3
     141,481	  0,00799189	 4,6
      141,51	  0,00961913	 6,2
      141,54	  0,00796839	 6,8
     141,569	  0,00966299	 2,7
     141,598	  0,00867676	-2,2
     141,628	  0,00891359	 9,8
     141,657	  0,00851854	-1,4
     141,686	   0,0103651	 0,5
     141,716	  0,00827201	10,4
     141,745	  0,00927604	-4,4
     141,774	   0,0104018	 1,5
     141,804	  0,00864802	 9,1
     141,833	  0,00848354	 1,1
     141,862	   0,0104376	-5,6
     141,891	   0,0106211	 1,6
     141,921	  0,00912976	 7,8
      141,95	  0,00909762	 9,2
     141,979	  0,00853758	 7,6
     142,009	  0,00827606	11,7
     142,038	  0,00850979	 8,7
     142,067	  0,00852216	 1,2
     142,097	  0,00844991	 3,1
     142,126	  0,00855516	 6,2
     142,155	  0,00917074	 1,1
     142,185	  0,00867155	 6,2
     142,214	  0,00858555	 7,2
     142,243	  0,00955128	 8,5
     142,273	  0,00940238	 9,9
     142,302	   0,0106265	-1,2
     142,331	   0,0103512	-2,0
     142,361	  0,00952435	 1,7
      142,39	  0,00951068	 7,9
     142,419	   0,0111525	-0,3
     142,449	   0,0105839	-6,8
     142,478	   0,0088165	 6,7
     142,507	   0,0112372	 0,6
     142,537	  0,00981758	-3,4
     142,566	  0,00916141	12,6
     142,595	   0,0107376	-5,5
     142,625	  0,00893813	 7,7
     142,654	   0,0113274	-8,2
     142,683	  0,00946416	 1,8
     142,713	   0,0113122	 1,2
     142,742	  0,00910641	 7,1
     142,771	   0,0116234	-2,4
     142,801	  0,00944539	 5,9
      142,83	   0,0101969	-4,9
     142,859	   0,0116951	-2,2
     142,889	  0,00953548	 9,0
     142,918	  0,00992865	 3,2
     142,947	   0,0116517	-0,1
     142,977	  0,00994273	 7,9
     143,006	  0,00924615	 4,8
     143,035	   0,0108016	-1,8
     143,065	   0,0117574	-3,1
     143,094	   0,0114106	 2,9
     143,123	   0,0117077	 4,0
     143,152	   0,0105134	 9,1
     143,182	  0,00941416	 8,5
     143,211	  0,00948452	11,2
      143,24	  0,00993691	 5,1
      143,27	  0,00982958	 3,1
     143,299	   0,0100666	 1,1
     143,328	  0,00996827	 7,0
     143,358	   0,0100739	 5,5
     143,387	   0,0107337	 7,1
     143,416	   0,0122532	 0,8
     143,446	   0,0127333	-0,9
     143,475	    0,012174	-3,0
     143,504	    0,011053	-2,8
     143,534	   0,0104008	 8,8
     143,563	   0,0121876	 7,7
     143,592	   0,0128341	-1,2
     143,622	   0,0104663	-0,6
     143,651	   0,0119104	 8,0
      143,68	   0,0129308	 0,8
      143,71	   0,0102281	 6,1
     143,739	   0,0122996	 5,8
     143,768	   0,0124517	-4,1
     143,798	    0,010816	 6,6
     143,827	   0,0126393	-3,7
     143,856	   0,0106979	 9,6
     143,886	   0,0129328	-1,2
     143,915	    0,010814	 1,6
     143,944	   0,0127377	-4,3
     143,974	   0,0118227	 9,8
     144,003	   0,0119882	 0,2
     144,032	   0,0135006	 1,9
     144,062	   0,0110633	 6,5
     144,091	   0,0124872	-3,7
      144,12	   0,0137045	 1,6
      144,15	   0,0127672	 5,4
     144,179	   0,0111703	 6,8
     144,208	   0,0115196	 0,6
     144,238	   0,0126265	-2,6
     144,267	   0,0126268	-4,8
     144,296	   0,0135867	-3,1
     144,326	   0,0139899	-0,5
     144,355	   0,0143015	 0,6
     144,384	   0,0132218	-1,0
     144,413	   0,0136506	-2,4
     144,443	   0,0131845	 0,2
     144,472	   0,0124096	-1,1
     144,501	   0,0119328	-1,1
     144,531	   0,0123366	 8,9
      144,56	   0,0137451	 0,2
     144,589	   0,0143103	 1,8
     144,619	   0,0123684	-0,0
     144,648	   0,0124422	 5,9
     144,677	    0,013976	 3,9
     144,707	   0,0138582	-1,0
     144,736	   0,0121322	 1,1
     144,765	   0,0148084	 4,6
     144,795	    0,013172	-1,5
     144,824	   0,0135505	 7,9
     144,853	   0,0146742	-0,5
     144,883	   0,0136959	 8,6
     144,912	    0,014852	-1,9
     144,941	   0,0137158	 6,8
     144,971	    0,013714	-1,5
         145	   0,0153752	 3,7
     145,029	   0,0130356	 5,9
     145,059	   0,0154703	-2,7
     145,088	   0,0146149	 4,4
     145,117	   0,0137723	 4,1
     145,147	   0,0144103	-0,0
     145,176	   0,0155366	-2,4
     145,205	   0,0156417	 4,4
     145,235	    0,013854	 2,4
     145,264	   0,0136642	 6,2
     145,293	   0,0145234	 0,5
     145,323	   0,0147902	 0,3
     145,352	   0,0155224	-2,1
     145,381	   0,0160553	-1,9
     145,411	   0,0163118	-0,5
      145,44	   0,0168432	-0,2
     145,469	   0,0168471	-4,5
     145,499	   0,0164475	-4,4
     145,528	   0,0164996	-5,8
     145,557	   0,0160883	-5,3
     145,587	   0,0161898	-5,4
     145,616	   0,0145383	 5,8
     145,645	   0,0148949	 7,2
     145,674	    0,016627	 4,3
     145,704	   0,0172673	-2,4
     145,733	    0,015261	 2,3
     145,762	   0,0155122	 5,0
     145,792	   0,0177905	 1,1
     145,821	   0,0155701	 2,3
      145,85	   0,0162728	 7,0
      145,88	   0,0182479	 1,3
     145,909	   0,0159871	 2,6
     145,938	   0,0174039	 2,5
     145,968	   0,0163833	-4,9
     145,997	    0,017045	 4,0
     146,026	   0,0174104	-2,2
     146,056	   0,0178023	 1,8
     146,085	   0,0167451	-0,1
     146,114	   0,0183544	 3,1
     146,144	   0,0161088	-0,5
     146,173	    0,018698	-0,6
     146,202	   0,0173092	 4,8
     146,232	   0,0168585	 1,0
     146,261	   0,0196021	-3,5
      146,29	   0,0179161	 3,8
      146,32	   0,0168797	 2,4
     146,349	   0,0182006	-1,9
     146,378	   0,0194858	 0,8
     146,408	   0,0188133	 2,3
     146,437	   0,0174996	 3,2
     146,466	   0,0178242	 2,4
     146,496	     0,01888	-1,8
     146,525	   0,0199618	 1,6
     146,554	    0,020712	-2,4
     146,584	   0,0203429	 5,6
     146,613	   0,0208121	-0,4
     146,642	   0,0203025	 7,4
     146,672	    0,020671	 5,0
     146,701	   0,0209909	 4,5
      146,73	   0,0210468	 1,9
      146,76	   0,0210422	 2,7
     146,789	   0,0216399	 1,5
     146,818	   0,0211183	-3,9
     146,848	   0,0201265	-0,4
     146,877	   0,0191324	-0,7
     146,906	   0,0200414	 4,7
     146,935	   0,0221395	 4,3
     146,965	    0,021882	 1,0
     146,994	   0,0203271	 0,4
     147,023	   0,0218499	 5,1
     147,053	    0,022393	 1,8
     147,082	   0,0212168	 3,0
     147,111	   0,0233288	 2,0
     147,141	   0,0212716	 1,6
      147,17	    0,023324	 0,8
     147,199	   0,0212468	 0,3
     147,229	   0,0237721	-0,0
     147,258	   0,0214465	 5,4
     147,287	     0,02392	 0,8
     147,317	   0,0230919	 6,8
     147,346	   0,0221285	 1,5
     147,375	   0,0253318	 2,2
     147,405	   0,0228809	 5,6
     147,434	   0,0235458	 3,8
     147,463	   0,0255936	 0,2
     147,493	   0,0244455	 3,7
     147,522	   0,0232023	 1,8
     147,551	    0,024397	 2,5
     147,581	   0,0255705	-0,6
      147,61	   0,0263085	 1,6
     147,639	    0,026386	 2,3
     147,669	   0,0259505	 6,4
     147,698	   0,0255188	 4,5
     147,727	   0,0251795	 2,5
     147,757	   0,0252335	 4,2
     147,786	   0,0257337	 2,6
     147,815	    0,026232	 5,9
     147,845	   0,0266711	 4,2
     147,874	   0,0282198	 4,4
     147,903	    0,028843	 4,0
     147,933	   0,0293419	 0,9
     147,962	   0,0291515	 1,5
     147,991	   0,0274893	-1,5
     148,021	    0,027912	 3,5
      148,05	   0,0295206	 4,3
     148,079	   0,0307542	 0,9
     148,109	   0,0287487	 0,5
     148,138	   0,0303285	 4,2
     148,167	    0,031395	 0,9
     148,196	   0,0287342	-1,2
     148,226	   0,0314912	 2,0
     148,255	   0,0311651	-0,1
     148,284	   0,0315404	 3,3
     148,314	   0,0322963	 2,9
     148,343	   0,0319527	 2,6
     148,372	   0,0321634	 3,6
     148,402	   0,0336329	 5,9
     148,431	   0,0321007	 2,0
      148,46	   0,0347902	 0,9
      148,49	    0,033377	 4,7
     148,519	   0,0338603	 1,9
     148,548	   0,0365226	 1,2
     148,578	   0,0345852	 1,9
     148,607	   0,0341271	 1,8
     148,636	   0,0368104	 4,9
     148,666	   0,0377855	 6,3
     148,695	   0,0372055	 5,5
     148,724	    0,035526	 3,2
     148,754	   0,0368719	 4,2
     148,783	   0,0379591	 5,9
     148,812	   0,0390242	 3,8
     148,842	   0,0403024	 1,5
     148,871	    0,040837	 5,1
       148,9	   0,0413363	 3,5
      148,93	    0,042407	 4,7
     148,959	    0,042793	 5,0
     148,988	   0,0423302	 5,5
     149,018	   0,0424478	 5,5
     149,047	   0,0427342	 2,6
     149,076	   0,0426459	 4,4
     149,106	   0,0452764	 5,2
     149,135	   0,0465483	 3,7
     149,164	   0,0459252	 4,2
     149,194	   0,0458658	 4,9
     149,223	   0,0483935	 2,9
     149,252	   0,0485698	 3,9
     149,282	   0,0486143	 7,8
     149,311	   0,0507857	 2,9
      149,34	   0,0492638	 3,9
      149,37	    0,052118	 4,4
     149,399	   0,0523639	 6,0
     149,428	    0,053892	 6,2
     149,457	   0,0536574	 6,6
     149,487	    0,056007	 6,5
     149,516	   0,0545963	 9,0
     149,545	   0,0576194	 8,7
     149,575	   0,0579463	 6,6
     149,604	   0,0580211	 8,7
     149,633	   0,0603537	 5,9
     149,663	   0,0606735	 8,0
     149,692	   0,0605278	 5,6
     149,721	   0,0626242	 7,7
     149,751	   0,0637049	11,1
      149,78	   0,0648969	 8,4
     149,809	   0,0657747	 6,4
     149,839	   0,0666544	 9,7
     149,868	   0,0676152	 9,0
     149,897	   0,0694193	 9,3
     149,927	   0,0709326	 9,9
     149,956	   0,0723156	 9,5
     149,985	   0,0740153	 8,9
     150,015	   0,0750826	 6,8
     150,044	   0,0763732	12,9
     150,073	   0,0775643	 7,7
     150,103	   0,0787146	10,7
     150,132	   0,0807174	 8,5
     150,161	   0,0815616	 9,0
     150,191	   0,0836277	10,7
      150,22	   0,0856718	 8,5
     150,249	   0,0878662	 9,6
     150,279	   0,0883421	 9,4
     150,308	   0,0889615	11,6
     150,337	   0,0915708	13,2
     150,367	   0,0941887	 9,9
     150,396	   0,0956381	10,6
     150,425	   0,0963683	15,9
     150,455	   0,0981611	10,8
     150,484	    0,101403	14,2
