X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	003: [06-27-24 09:13]		004: [06-27-24 09:16]	
         140	  0,00504854	59,6	   0,0044297	51,6
     140,029	  0,00478342	58,8	  0,00499571	61,9
     140,059	  0,00527645	54,8	  0,00523302	62,2
     140,088	  0,00581589	60,0	  0,00573811	54,0
     140,117	  0,00567392	61,7	  0,00524657	56,9
     140,147	  0,00506819	59,8	  0,00496713	57,5
     140,176	  0,00578065	55,0	  0,00515642	61,6
     140,205	   0,0055769	56,0	  0,00555388	58,7
     140,235	  0,00529383	55,3	  0,00536239	54,8
     140,264	  0,00587692	51,2	  0,00476679	58,3
     140,293	  0,00583866	57,3	  0,00533157	55,2
     140,323	  0,00531509	62,1	  0,00549662	54,1
     140,352	  0,00547756	52,2	  0,00517222	56,9
     140,381	  0,00626581	52,3	  0,00532107	57,5
     140,411	  0,00551139	60,2	  0,00565553	56,6
      140,44	  0,00566319	54,8	  0,00499221	58,6
     140,469	  0,00583863	61,1	  0,00534856	60,4
     140,499	  0,00573335	59,8	  0,00594193	58,5
     140,528	  0,00599707	57,7	  0,00550849	62,4
     140,557	  0,00563115	62,5	  0,00540522	59,2
     140,587	  0,00557423	61,9	  0,00544503	64,6
     140,616	  0,00628375	56,0	  0,00558365	57,2
     140,645	   0,0055822	63,7	  0,00530303	62,1
     140,674	  0,00593307	58,4	  0,00575026	57,6
     140,704	  0,00604461	59,5	  0,00541218	58,6
     140,733	  0,00554385	58,9	  0,00517792	58,4
     140,762	  0,00609782	58,7	   0,0058926	53,6
     140,792	  0,00572066	60,4	  0,00530837	56,2
     140,821	  0,00596621	53,6	  0,00549326	61,3
      140,85	  0,00573313	59,1	  0,00568146	61,7
      140,88	  0,00601228	57,6	  0,00513494	63,1
     140,909	  0,00634153	55,9	  0,00588046	54,2
     140,938	  0,00555196	59,2	  0,00531837	54,3
     140,968	   0,0058992	56,8	  0,00545052	63,5
     140,997	   0,0053945	61,0	  0,00581458	55,1
     141,026	  0,00593559	55,9	  0,00540495	55,7
     141,056	  0,00574071	64,3	  0,00599778	54,1
     141,085	  0,00626282	52,4	  0,00597544	51,2
     141,114	  0,00599598	65,5	  0,00567475	57,9
     141,144	  0,00601901	56,1	  0,00577716	52,2
     141,173	  0,00592587	61,5	  0,00539979	55,2
     141,202	  0,00561558	57,6	   0,0059062	56,7
     141,232	  0,00631548	55,3	  0,00545869	59,1
     141,261	  0,00561847	51,9	  0,00601836	52,3
      141,29	  0,00620557	58,2	  0,00559368	60,2
      141,32	    0,006035	56,5	  0,00599689	59,3
     141,349	  0,00620629	57,8	  0,00566383	59,0
     141,378	  0,00600082	57,8	  0,00562447	62,4
     141,408	   0,0062257	55,4	  0,00575678	60,2
     141,437	  0,00575821	55,8	  0,00593886	54,7
     141,466	  0,00609545	58,9	  0,00582723	53,1
     141,496	  0,00585922	57,8	  0,00570081	61,9
     141,525	  0,00596627	60,2	  0,00581179	50,9
     141,554	  0,00614071	55,0	  0,00581827	60,8
     141,584	  0,00586286	57,5	  0,00598518	58,8
     141,613	  0,00668542	59,9	  0,00602427	54,3
     141,642	  0,00573617	61,9	  0,00562441	60,6
     141,672	  0,00652194	56,9	  0,00621452	62,2
     141,701	  0,00598278	58,3	  0,00608788	57,2
      141,73	  0,00605409	59,2	  0,00626663	58,6
      141,76	  0,00613881	56,3	  0,00555483	58,1
     141,789	  0,00593296	58,2	  0,00642421	59,7
     141,818	  0,00657961	53,9	  0,00596797	58,2
     141,848	  0,00578493	61,7	  0,00618801	56,0
     141,877	  0,00669367	59,0	  0,00569484	56,8
     141,906	  0,00625995	57,3	  0,00599419	52,7
     141,935	  0,00654353	58,6	  0,00592878	67,2
     141,965	  0,00650953	56,5	  0,00580913	52,8
     141,994	  0,00604492	58,8	  0,00670268	57,1
     142,023	  0,00624847	59,3	  0,00593591	59,3
     142,053	  0,00660151	55,5	  0,00643926	55,3
     142,082	  0,00613746	56,9	  0,00592298	60,8
     142,111	  0,00653992	56,7	  0,00631087	58,5
     142,141	  0,00635271	53,8	  0,00624586	56,5
      142,17	  0,00620469	61,3	   0,0059414	59,6
     142,199	  0,00686783	56,9	  0,00649455	54,1
     142,229	  0,00644346	55,3	  0,00621789	53,8
     142,258	  0,00644732	58,9	   0,0058267	62,7
     142,287	  0,00687699	57,6	  0,00677137	55,8
     142,317	  0,00664932	57,2	  0,00592889	58,5
     142,346	  0,00590441	64,7	  0,00605139	57,5
     142,375	  0,00668451	55,2	  0,00665349	52,8
     142,405	  0,00648285	57,2	  0,00598518	62,4
     142,434	  0,00632337	57,8	  0,00623039	63,1
     142,463	   0,0069854	54,6	  0,00650834	56,6
     142,493	  0,00634665	57,9	  0,00607777	62,1
     142,522	  0,00630011	56,8	  0,00627209	60,5
     142,551	  0,00659286	59,2	  0,00658352	54,0
     142,581	  0,00713815	51,7	  0,00636547	58,6
      142,61	  0,00646441	56,3	  0,00620443	58,9
     142,639	  0,00651665	57,2	  0,00686816	54,3
     142,669	  0,00658685	60,3	   0,0064329	60,8
     142,698	  0,00714162	53,6	  0,00626955	59,2
     142,727	  0,00608884	59,4	  0,00649227	56,8
     142,757	   0,0065743	57,7	  0,00668891	55,3
     142,786	  0,00706881	57,7	  0,00647001	57,5
     142,815	  0,00701231	61,1	  0,00618475	54,6
     142,845	  0,00696411	58,3	  0,00691182	55,3
     142,874	  0,00639728	55,3	  0,00658536	59,2
     142,903	  0,00677076	64,7	  0,00621467	60,9
     142,933	  0,00755938	56,2	  0,00653912	56,1
     142,962	  0,00678636	62,0	  0,00676838	56,7
     142,991	  0,00682166	57,2	  0,00694018	56,1
     143,021	  0,00675587	58,3	  0,00634932	58,6
      143,05	  0,00689414	61,3	  0,00646357	56,0
     143,079	  0,00735531	58,6	  0,00659928	58,8
     143,109	  0,00706989	54,3	   0,0071199	58,3
     143,138	  0,00645034	57,0	  0,00655766	62,0
     143,167	  0,00666218	65,2	  0,00650042	54,1
     143,196	  0,00706329	60,8	  0,00648742	57,9
     143,226	  0,00718906	56,2	  0,00681797	56,1
     143,255	  0,00737385	55,3	  0,00696143	59,6
     143,284	  0,00721567	57,0	  0,00635067	57,5
     143,314	  0,00697952	53,7	  0,00671896	58,7
     143,343	   0,0067375	59,0	  0,00667783	58,8
     143,372	  0,00696866	57,4	  0,00683961	57,7
     143,402	  0,00727871	61,4	  0,00709074	54,2
     143,431	   0,0076127	55,3	  0,00712788	53,1
      143,46	  0,00761955	55,2	  0,00667584	61,9
      143,49	  0,00747858	56,0	  0,00630207	58,6
     143,519	  0,00755869	51,5	  0,00658448	59,5
     143,548	  0,00725281	49,5	  0,00683456	54,3
     143,578	  0,00700624	58,2	  0,00705115	56,1
     143,607	  0,00708487	59,2	  0,00717183	57,0
     143,636	  0,00688437	56,4	  0,00732367	53,6
     143,666	  0,00724863	62,3	  0,00700084	59,2
     143,695	  0,00749914	56,0	  0,00651334	59,1
     143,724	  0,00752124	56,7	  0,00634263	57,9
     143,754	  0,00760822	57,1	  0,00682153	58,4
     143,783	  0,00749667	61,7	  0,00693856	57,0
     143,812	  0,00755593	58,2	   0,0074578	53,5
     143,842	  0,00767455	55,5	  0,00736283	58,6
     143,871	  0,00776795	57,7	  0,00722235	60,2
       143,9	  0,00753014	52,5	  0,00757778	55,4
      143,93	  0,00780066	56,9	  0,00750279	53,8
     143,959	  0,00767763	51,6	  0,00723661	61,0
     143,988	  0,00717841	55,0	  0,00711697	60,9
     144,018	   0,0073445	53,8	  0,00672994	57,1
     144,047	  0,00735875	55,4	  0,00685711	58,3
     144,076	  0,00736919	52,5	  0,00699346	56,3
     144,106	  0,00766475	58,9	  0,00678116	57,3
     144,135	   0,0073929	57,0	  0,00693571	59,3
     144,164	  0,00724505	57,8	  0,00697139	52,5
     144,194	   0,0075778	55,3	  0,00731485	53,4
     144,223	  0,00776155	52,0	  0,00687683	59,4
     144,252	  0,00789651	53,9	  0,00736176	52,0
     144,282	  0,00773252	58,8	  0,00753498	56,8
     144,311	   0,0077685	53,0	  0,00716886	53,5
      144,34	  0,00787777	55,9	  0,00746885	56,0
