Source File Name:	t5
Point Index:	1	[x = 0.0321152	y = 0.0231113	z = -1.23]
Component:	Root
Signal:	Time - Vib Velocity - Samples

Time	Time Signal
[ s ]	[ m/s ]
0	0.002030955
0.0001	-0.005681609
0.0002	-0.00504226
0.0003	0.05013321
0.0004	0.05011926
0.0005	0.01455666
0.0006	-0.05493425
0.0007	-0.08686041
0.0008	-0.1247457
0.0009	-0.1857934
0.001	-0.217239
0.0011	-0.1910364
0.0012	-0.1200234
0.0013	-0.09865987
0.0014	-0.05134655
0.0015	-0.01397584
0.0016	0.02843082
0.0017	0.01046703
0.0018	-0.04049297
0.0019	-0.07655682
0.002	-0.09676993
0.0021	-0.1051267
0.0022	-0.1136475
0.0023	-0.06772755
0.0024	0.005916865
0.0025	0.08178525
0.0026	0.115366
0.0027	0.1172078
0.0028	0.1240672
0.0029	0.1087557
0.003	0.07454593
0.0031	0.009718118
0.0032	-0.009909398
0.0033	0.00234369
0.0034	0.03023046
0.0035	0.06178451
0.0036	0.102814
0.0037	0.1598828
0.0038	0.1803489
0.0039	0.1653498
0.004	0.111637
0.0041	0.07643206
0.0042	0.05931182
0.0043	0.035448
0.0044	0.02184003
0.0045	0.02927628
0.0046	0.08156753
0.0047	0.1152019
0.0048	0.1328401
0.0049	0.1291655
0.005	0.1229236
0.0051	0.1010983
0.0052	0.042599
0.0053	-0.01552557
0.0054	-0.05059539
0.0055	-0.02948251
0.0056	-0.01329904
0.0057	-0.001505557
0.0058	0.01540524
0.0059	0.04303555
0.006	0.06101737
0.0061	0.03078984
0.0062	-0.005005613
0.0063	-0.04667853
0.0064	-0.068423
0.0065	-0.0969509
0.0066	-0.1216901
0.0067	-0.1087183
0.0068	-0.06840673
0.0069	-0.025675
0.007	-0.03041258
0.0071	-0.04010091
0.0072	-0.05528572
0.0073	-0.07557634
0.0074	-0.1202881
0.0075	-0.1704632
0.0076	-0.184803
0.0077	-0.1767379
0.0078	-0.149453
0.0079	-0.1344903
0.008	-0.09615595
0.0081	-0.04222045
0.0082	-0.01037113
0.0083	-0.0215664
0.0084	-0.06151218
0.0085	-0.08022998
0.0086	-0.1015313
0.0087	-0.1146958
0.0088	-0.1265317
0.0089	-0.1020054
0.009	-0.04978517
0.0091	-0.003320378
0.0092	0.02594441
0.0093	0.038949
0.0094	0.06221161
0.0095	0.04966592
0.0096	0.00328241
0.0097	-0.05311089
0.0098	-0.07427312
0.0099	-0.0608622
0.01	-0.03800869
0.0101	0.001037906
0.0102	0.04922629
0.0103	0.1198069
0.0104	0.1606669
0.0105	0.1665959
0.0106	0.1463627
0.0107	0.1268446
0.0108	0.09965866
0.0109	0.04566514
0.011	0.0124368
0.0111	0.01834398
0.0112	0.06822462
0.0113	0.1176019
0.0114	0.1526387
0.0115	0.180632
0.0116	0.1967221
0.0117	0.1880895
0.0118	0.1287931
0.0119	0.06647172
0.012	0.02431032
0.0121	0.007222124
0.0122	-0.009515832
0.0123	-0.01095093
0.0124	0.02801209
0.0125	0.08679911
0.0126	0.1363324
0.0127	0.1409655
0.0128	0.1217043
0.0129	0.08937612
0.013	0.04559662
0.0131	-0.01493865
0.0132	-0.07496402
0.0133	-0.08905986
0.0134	-0.0750063
0.0135	-0.05034998
0.0136	-0.03430305
0.0137	-0.00195727
0.0138	0.02916284
0.0139	0.03721414
0.014	0.006749011
0.0141	-0.05279744
0.0142	-0.09377231
0.0143	-0.1224004
0.0144	-0.141734
0.0145	-0.151671
0.0146	-0.1276353
0.0147	-0.07907704
0.0148	-0.04768787
0.0149	-0.03733005
0.015	-0.03946379
0.0151	-0.03656387
0.0152	-0.05639045
0.0153	-0.0954796
0.0154	-0.1437065
0.0155	-0.1650424
0.0156	-0.1469575
0.0157	-0.1263437
0.0158	-0.09970094
0.0159	-0.07070972
0.016	-0.0291106
0.0161	-0.01140887
0.0162	-0.02177498
0.0163	-0.0354359
0.0164	-0.04333095
0.0165	-0.03982104
0.0166	-0.04986454
0.0167	-0.04829195
0.0168	-0.02663485
0.0169	0.0238563
0.017	0.06178264
0.0171	0.07933567
0.0172	0.09228578
0.0173	0.0940025
0.0174	0.08568448
0.0175	0.04777885
0.0176	0.02372124
0.0177	0.02116655
0.0178	0.03863042
0.0179	0.05867108
0.018	0.06857323
0.0181	0.09823374
0.0182	0.1328993
0.0183	0.1549566
0.0184	0.1393684
0.0185	0.1179295
0.0186	0.09844942
0.0187	0.07454216
0.0188	0.05739674
0.0189	0.05269285
0.019	0.08324303
0.0191	0.1206243
0.0192	0.1473809
0.0193	0.1530575
0.0194	0.1561557
0.0195	0.1550776
0.0196	0.1247253
0.0197	0.07057605
0.0198	0.01410083
0.0199	-0.009371903
0.02	-0.01696071
0.0201	-0.01243898
0.0202	0.005538605
0.0203	0.03699159
0.0204	0.07929292
0.0205	0.08879365
0.0206	0.06572397
0.0207	0.02080722
0.0208	-0.0142936
0.0209	-0.05138715
0.021	-0.09191426
0.0211	-0.1176779
0.0212	-0.1107287
0.0213	-0.07418612
0.0214	-0.03930318
0.0215	-0.008936274
0.0216	0.009615546
0.0217	0.01535436
0.0218	-0.01161225
0.0219	-0.07154422
0.022	-0.1287515
0.0221	-0.1624974
0.0222	-0.1663485
0.0223	-0.1678186
0.0224	-0.1490742
0.0225	-0.1076555
0.0226	-0.05216476
0.0227	-0.01349774
0.0228	-0.008852579
0.0229	-0.02153425
0.023	-0.04567899
0.0231	-0.07692058
0.0232	-0.1252903
0.0233	-0.1559738
0.0234	-0.1454063
0.0235	-0.1067897
0.0236	-0.05885908
0.0237	-0.02609804
0.0238	0.01370137
0.0239	0.03934537
0.024	0.04893116
0.0241	0.02311584
0.0242	-0.01087467
0.0243	-0.03347942
0.0244	-0.04613458
0.0245	-0.04892146
0.0246	-0.03470933
0.0247	0.02118661
0.0248	0.08071027
0.0249	0.1225531
0.025	0.1369328
0.0251	0.1411059
0.0252	0.13948
0.0253	0.1160221
0.0254	0.08179264
0.0255	0.04225053
0.0256	0.04046618
0.0257	0.05041977
0.0258	0.06688074
0.0259	0.08691229
0.026	0.117951
0.0261	0.1515078
0.0262	0.1511582
0.0263	0.126114
0.0264	0.08885192
0.0265	0.06058059
0.0266	0.04061287
0.0267	0.0244696
0.0268	0.02203099
0.0269	0.03591046
0.027	0.07064623
0.0271	0.09007924
0.0272	0.1038232
0.0273	0.1105504
0.0274	0.1079846
0.0275	0.07560858
0.0276	0.02302318
0.0277	-0.01805708
0.0278	-0.04179785
0.0279	-0.03866196
0.028	-0.03777183
0.0281	-0.03194955
0.0282	-0.01654158
0.0283	-0.0004159411
0.0284	0.006193496
0.0285	-0.02419879
0.0286	-0.05251552
0.0287	-0.08207893
0.0288	-0.1088171
0.0289	-0.1372869
0.029	-0.1476767
0.0291	-0.1271632
0.0292	-0.09087528
0.0293	-0.05570782
0.0294	-0.04662155
0.0295	-0.03994999
0.0296	-0.05008802
0.0297	-0.07560067
0.0298	-0.1156328
0.0299	-0.1466221
0.03	-0.1505983
0.0301	-0.1477524
0.0302	-0.1324444
0.0303	-0.1094158
0.0304	-0.06675435
0.0305	-0.02715876
0.0306	-0.01335885
0.0307	-0.03295889
0.0308	-0.06293826
0.0309	-0.0793546
0.031	-0.09831449
0.0311	-0.1083267
0.0312	-0.1006668
0.0313	-0.05974664
0.0314	-0.01260684
0.0315	0.02443705
0.0316	0.05082319
0.0317	0.064682
0.0318	0.07187235
0.0319	0.0493953
0.032	0.01290297
0.0321	-0.02315357
0.0322	-0.02842909
0.0323	-0.01697961
0.0324	0.006079155
0.0325	0.04763285
0.0326	0.09280987
0.0327	0.1342245
0.0328	0.143875
0.0329	0.1395448
0.033	0.1224007
0.0331	0.1040143
0.0332	0.07700056
0.0333	0.03970207
0.0334	0.02811857
0.0335	0.0452366
0.0336	0.08567947
0.0337	0.1121079
0.0338	0.1343326
0.0339	0.1487957
0.034	0.1465941
0.0341	0.1215048
0.0342	0.07102528
0.0343	0.0268089
0.0344	-0.007516019
0.0345	-0.02223901
0.0346	-0.03660299
0.0347	-0.03149627
0.0348	0.003409696
0.0349	0.04002552
0.035	0.06638117
0.0351	0.06727342
0.0352	0.06032877
0.0353	0.03164597
0.0354	-0.009628268
0.0355	-0.05624167
0.0356	-0.08798657
0.0357	-0.08747149
0.0358	-0.08112792
0.0359	-0.06886543
0.036	-0.05836602
0.0361	-0.02807191
0.0362	-0.005182256
0.0363	-0.01236663
0.0364	-0.04650515
0.0365	-0.09263062
0.0366	-0.1275413
0.0367	-0.1609496
0.0368	-0.1775225
0.0369	-0.1783725
0.037	-0.1504276
0.0371	-0.109694
0.0372	-0.0819239
0.0373	-0.06324047
0.0374	-0.05305611
0.0375	-0.04809041
0.0376	-0.07003763
0.0377	-0.09912797
0.0378	-0.1252819
0.0379	-0.1318789
0.038	-0.1213809
0.0381	-0.1008758
0.0382	-0.06458422
0.0383	-0.02444483
0.0384	0.008649461
0.0385	0.008287583
0.0386	-0.007386281
0.0387	-0.02123817
0.0388	-0.03031582
0.0389	-0.04113777
0.039	-0.05179697
0.0391	-0.03959089
0.0392	-0.01056028
0.0393	0.0337999
0.0394	0.06582176
0.0395	0.08706651
0.0396	0.09824186
0.0397	0.09638669
0.0398	0.07567723
0.0399	0.04555781
0.04	0.03583724
0.0401	0.03867676
0.0402	0.05278484
0.0403	0.06813973
0.0404	0.09144812
0.0405	0.1174199
0.0406	0.1319157
0.0407	0.1306566
0.0408	0.1092743
0.0409	0.09254058
0.041	0.07106515
0.0411	0.04777811
0.0412	0.03146935
0.0413	0.0429712
0.0414	0.0751579
0.0415	0.0997514
0.0416	0.1124264
0.0417	0.1110386
0.0418	0.1095084
0.0419	0.09691979
0.042	0.06778556
0.0421	0.02336792
0.0422	-0.01280774
0.0423	-0.02742834
0.0424	-0.03805847
0.0425	-0.03459964
0.0426	-0.01945124
0.0427	0.007325501
0.0428	0.02043384
0.0429	0.01314341
0.043	-0.005284908
0.0431	-0.03421572
0.0432	-0.06036172
0.0433	-0.09222164
0.0434	-0.116394
0.0435	-0.1210246
0.0436	-0.1027264
0.0437	-0.07907611
0.0438	-0.05902058
0.0439	-0.03175984
0.044	-0.009743164
0.0441	-0.008720186
0.0442	-0.04218476
0.0443	-0.08790118
0.0444	-0.127349
0.0445	-0.1483048
0.0446	-0.1546016
0.0447	-0.156043
0.0448	-0.1348805
0.0449	-0.0993262
0.045	-0.06014665
0.0451	-0.03542527
0.0452	-0.02730888
0.0453	-0.03117914
0.0454	-0.05355884
0.0455	-0.0822104
0.0456	-0.110918
0.0457	-0.115056
0.0458	-0.09381205
0.0459	-0.05532689
0.046	-0.01273582
0.0461	0.0306259
0.0462	0.06911383
0.0463	0.0845906
0.0464	0.07594484
0.0465	0.05190245
0.0466	0.02867587
0.0467	0.004676403
0.0468	-0.01210915
0.0469	-0.01585542
0.047	0.008377852
0.0471	0.05974209
0.0472	0.1044437
0.0473	0.1324008
0.0474	0.1393356
0.0475	0.1384799
0.0476	0.1209325
0.0477	0.09230807
0.0478	0.06552488
0.0479	0.04966608
0.048	0.05112119
0.0481	0.06370937
0.0482	0.08610453
0.0483	0.1119503
0.0484	0.1433064
0.0485	0.1537611
0.0486	0.1383284
0.0487	0.1084851
0.0488	0.07769881
0.0489	0.05091421
0.049	0.02113851
0.0491	0.01262772
0.0492	0.0200615
0.0493	0.04068186
0.0494	0.05819158
0.0495	0.06697924
0.0496	0.0725421
0.0497	0.07232382
0.0498	0.06242194
0.0499	0.02679625
0.05	-0.01318517
0.0501	-0.03913146
0.0502	-0.04856668
0.0503	-0.04702274
0.0504	-0.04410988
0.0505	-0.03192598
0.0506	-0.02254557
0.0507	-0.01836751
0.0508	-0.03020052
0.0509	-0.04831467
0.051	-0.06935586
0.0511	-0.09276041
0.0512	-0.1153768
0.0513	-0.1329545
0.0514	-0.1262369
0.0515	-0.1077606
0.0516	-0.08364804
0.0517	-0.06384785
0.0518	-0.0484596
0.0519	-0.03975779
0.052	-0.0475475
0.0521	-0.06586807
0.0522	-0.09046564
0.0523	-0.09817047
