X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	002: [07-09-24 09:52]	
          42	  0,00488746	76,6
      42,002	  0,00495602	77,4
     42,0039	  0,00488718	74,4
     42,0059	  0,00477109	71,4
     42,0078	  0,00469784	82,3
     42,0098	  0,00479068	78,2
     42,0117	  0,00485958	81,4
     42,0137	  0,00483725	82,0
     42,0156	  0,00489007	72,2
     42,0176	  0,00489706	73,8
     42,0196	  0,00482227	79,1
     42,0215	  0,00480307	76,1
     42,0235	  0,00488109	79,7
     42,0254	  0,00491455	79,8
     42,0274	  0,00492404	76,4
     42,0293	  0,00493713	77,4
     42,0313	  0,00495847	77,9
     42,0332	  0,00494313	78,3
     42,0352	  0,00496823	77,5
     42,0371	  0,00493112	79,6
     42,0391	  0,00493613	77,8
     42,0411	  0,00487499	78,6
      42,043	  0,00494187	81,0
      42,045	   0,0049651	76,3
     42,0469	  0,00506406	81,5
     42,0489	  0,00503117	81,9
     42,0508	  0,00508038	78,7
     42,0528	  0,00508186	79,6
     42,0547	  0,00500873	81,8
     42,0567	  0,00499881	74,6
     42,0587	  0,00496158	77,2
     42,0606	  0,00507375	78,7
     42,0626	   0,0049983	78,1
     42,0645	  0,00505106	79,8
     42,0665	   0,0051179	81,8
     42,0684	  0,00513442	76,2
     42,0704	  0,00516731	77,2
     42,0723	  0,00518855	82,8
     42,0743	  0,00515291	77,1
     42,0762	  0,00512249	74,7
     42,0782	   0,0050957	81,6
     42,0802	  0,00516856	78,9
     42,0821	  0,00511211	74,9
     42,0841	  0,00518111	81,6
      42,086	  0,00510801	83,8
      42,088	  0,00526211	81,0
     42,0899	  0,00528831	81,0
     42,0919	   0,0051731	78,3
     42,0938	   0,0051939	77,5
     42,0958	  0,00525166	77,4
     42,0978	  0,00518751	75,8
     42,0997	  0,00523767	76,8
     42,1017	  0,00526048	82,0
     42,1036	  0,00518091	81,3
     42,1056	  0,00518464	77,9
     42,1075	  0,00524816	78,3
     42,1095	  0,00539355	79,9
     42,1114	  0,00534374	79,8
     42,1134	  0,00528635	77,1
     42,1153	  0,00524823	80,4
     42,1173	  0,00535062	76,3
     42,1193	  0,00538952	79,4
     42,1212	  0,00542856	79,1
     42,1232	  0,00532714	76,9
     42,1251	  0,00530782	75,7
     42,1271	  0,00530608	82,0
      42,129	  0,00536141	81,3
      42,131	  0,00552144	80,0
     42,1329	  0,00544645	82,0
     42,1349	  0,00543146	76,3
     42,1369	  0,00540937	75,6
     42,1388	  0,00542377	81,8
     42,1408	  0,00543522	80,5
     42,1427	  0,00546728	77,2
     42,1447	  0,00548889	79,9
     42,1466	  0,00545564	79,3
     42,1486	  0,00548657	74,0
     42,1505	  0,00553702	78,3
     42,1525	  0,00562996	82,5
     42,1544	  0,00554974	81,2
     42,1564	  0,00556986	79,5
     42,1584	  0,00556056	81,1
     42,1603	  0,00554611	78,3
     42,1623	  0,00554431	76,9
     42,1642	  0,00547515	81,6
     42,1662	  0,00556349	84,9
     42,1681	  0,00562462	76,6
     42,1701	  0,00553341	78,8
      42,172	  0,00554899	79,1
      42,174	  0,00556693	78,1
      42,176	  0,00559578	85,3
     42,1779	   0,0056369	85,0
     42,1799	  0,00572792	77,9
     42,1818	  0,00576299	78,1
     42,1838	  0,00568591	83,7
     42,1857	  0,00574546	80,0
     42,1877	  0,00575548	77,4
     42,1896	  0,00570757	85,0
     42,1916	  0,00578588	82,2
     42,1936	  0,00572484	76,9
     42,1955	   0,0057806	78,7
     42,1975	  0,00576602	80,9
     42,1994	  0,00576622	78,2
     42,2014	  0,00575134	82,2
     42,2033	  0,00570596	82,8
     42,2053	  0,00576025	84,9
     42,2072	  0,00586683	80,7
     42,2092	  0,00591485	83,8
     42,2111	  0,00599594	81,9
     42,2131	  0,00590896	79,8
     42,2151	  0,00582337	80,3
      42,217	  0,00585046	79,6
      42,219	  0,00590095	78,9
     42,2209	  0,00597819	81,7
     42,2229	  0,00588309	82,0
     42,2248	  0,00582002	78,4
     42,2268	  0,00586831	80,1
     42,2287	  0,00590128	80,5
     42,2307	  0,00596568	82,2
     42,2327	  0,00606098	79,5
     42,2346	  0,00610717	84,3
     42,2366	  0,00604367	83,7
     42,2385	  0,00597774	78,8
     42,2405	  0,00602036	80,5
     42,2424	  0,00604944	82,1
     42,2444	  0,00603296	82,7
     42,2463	  0,00605055	83,3
     42,2483	  0,00610745	82,7
     42,2502	  0,00609306	84,9
