X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	002: [07-05-24 14:58]		003: [07-05-24 15:04]	
          40	   0,0393119	71,0	   0,0441405	70,9
     40,0039	   0,0417944	70,8	   0,0440971	70,7
     40,0078	   0,0432618	70,3	    0,044068	70,5
     40,0117	   0,0436029	70,9	   0,0440046	70,7
     40,0156	   0,0437298	71,0	    0,044067	70,7
     40,0196	   0,0439058	70,6	   0,0442559	70,8
     40,0235	   0,0439104	71,2	   0,0443071	71,0
     40,0274	   0,0439786	70,8	   0,0442936	71,2
     40,0313	   0,0440045	70,6	   0,0444363	71,1
     40,0352	    0,044162	70,5	   0,0444775	70,9
     40,0391	    0,044143	70,8	   0,0445164	70,9
      40,043	   0,0440835	70,4	   0,0445408	70,9
     40,0469	    0,044376	70,8	   0,0445221	70,6
     40,0508	   0,0442999	71,0	   0,0447097	70,5
     40,0547	   0,0444007	71,0	    0,044671	71,0
     40,0587	   0,0444541	70,6	    0,044811	70,7
     40,0626	   0,0445064	70,7	   0,0449152	70,7
     40,0665	   0,0445215	70,5	    0,044828	71,1
     40,0704	   0,0445828	70,5	   0,0448816	71,0
     40,0743	   0,0446518	70,9	   0,0448741	71,2
     40,0782	   0,0447174	70,8	   0,0450051	70,8
     40,0821	   0,0447228	70,8	   0,0450871	70,9
      40,086	   0,0446489	70,9	   0,0450163	70,9
     40,0899	   0,0447633	70,7	   0,0450883	71,1
     40,0938	   0,0449235	70,5	   0,0451359	71,1
     40,0978	   0,0449336	70,7	   0,0452543	70,9
     40,1017	   0,0448995	70,8	   0,0453348	70,9
     40,1056	   0,0448954	70,7	    0,045338	70,8
     40,1095	   0,0449126	70,9	   0,0453486	70,7
     40,1134	   0,0450551	71,0	   0,0453939	71,1
     40,1173	   0,0451837	70,7	   0,0454387	71,0
     40,1212	   0,0451176	71,0	   0,0454804	70,9
     40,1251	   0,0452982	70,9	   0,0455378	71,2
      40,129	   0,0452589	70,6	   0,0456626	70,9
     40,1329	   0,0453953	70,5	   0,0457112	70,7
     40,1369	   0,0453937	70,8	   0,0456506	70,9
     40,1408	   0,0454148	70,7	   0,0458021	71,0
     40,1447	   0,0455303	70,9	   0,0458472	70,9
     40,1486	   0,0455445	70,9	    0,045873	70,9
     40,1525	   0,0456397	70,8	   0,0458761	71,2
     40,1564	   0,0457404	70,7	   0,0460293	70,9
     40,1603	   0,0457704	70,9	   0,0460696	70,8
     40,1642	   0,0456323	70,9	   0,0460513	71,0
