X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	002: [07-05-24 16:37]	
       41,25	  0,00338078	75,0
     41,2522	  0,00370999	72,9
     41,2544	  0,00369469	72,8
     41,2566	  0,00364334	74,5
     41,2588	  0,00366631	68,6
      41,261	  0,00358355	72,1
     41,2632	  0,00356253	77,0
     41,2654	  0,00378487	67,0
     41,2676	  0,00356344	73,6
     41,2698	  0,00350814	75,7
      41,272	  0,00371879	72,3
     41,2742	  0,00381973	76,2
     41,2764	  0,00354717	67,1
     41,2786	  0,00363272	75,1
     41,2808	  0,00376623	75,5
      41,283	   0,0036736	65,5
     41,2852	  0,00359466	74,0
     41,2874	  0,00357994	74,2
     41,2896	  0,00372679	68,7
     41,2918	  0,00369733	79,7
      41,294	  0,00373127	71,9
     41,2962	  0,00379132	72,0
     41,2984	  0,00379135	68,7
     41,3006	  0,00366413	72,8
     41,3028	  0,00359641	73,3
      41,305	  0,00378611	75,3
     41,3072	  0,00373308	74,9
     41,3094	  0,00375089	69,3
     41,3116	  0,00371625	72,3
     41,3138	  0,00367332	72,7
      41,316	  0,00375728	78,0
     41,3182	  0,00376821	74,7
     41,3204	   0,0037103	70,3
     41,3226	  0,00378118	73,5
     41,3248	  0,00383222	75,2
      41,327	  0,00382218	69,9
     41,3292	   0,0037702	73,5
     41,3314	  0,00364585	74,1
     41,3336	  0,00382377	70,7
     41,3358	  0,00391237	75,6
      41,338	  0,00394145	66,1
     41,3402	  0,00372814	72,4
     41,3424	  0,00380589	73,9
     41,3446	  0,00385184	72,1
     41,3468	  0,00380729	74,0
      41,349	  0,00374258	72,6
     41,3512	  0,00390062	71,0
     41,3534	  0,00393255	72,3
     41,3556	  0,00376132	73,2
     41,3578	  0,00371067	73,6
       41,36	  0,00393543	76,1
     41,3622	  0,00392683	71,6
     41,3644	  0,00394525	76,0
     41,3666	  0,00381284	70,9
     41,3688	  0,00378372	73,6
      41,371	  0,00398797	76,9
     41,3732	  0,00397014	71,8
     41,3754	  0,00376222	74,9
     41,3776	  0,00390031	75,0
     41,3798	  0,00389975	72,3
      41,382	   0,0037967	70,5
     41,3842	  0,00389663	77,0
     41,3864	  0,00395638	71,0
     41,3886	  0,00390298	73,5
     41,3908	  0,00386121	70,0
      41,393	  0,00399292	77,5
     41,3952	  0,00396592	71,4
     41,3974	  0,00393918	67,5
     41,3996	  0,00381366	81,1
     41,4018	  0,00398367	69,7
      41,404	  0,00389751	72,5
     41,4062	  0,00395589	76,9
     41,4084	  0,00399763	71,2
     41,4106	  0,00404946	73,5
     41,4128	   0,0039184	73,5
      41,415	  0,00391506	71,6
     41,4172	  0,00404144	75,6
     41,4194	  0,00403264	73,9
     41,4216	  0,00400555	73,6
     41,4238	  0,00393109	77,5
      41,426	  0,00393663	71,5
     41,4282	  0,00396682	76,2
     41,4304	  0,00402033	74,2
     41,4326	   0,0039925	69,6
     41,4347	   0,0040044	77,9
      41,437	  0,00405094	74,3
     41,4391	  0,00409217	71,2
     41,4413	  0,00404126	79,2
     41,4436	  0,00401049	72,6
     41,4457	  0,00395695	77,6
     41,4479	   0,0040603	73,1
     41,4501	  0,00409758	74,0
     41,4523	  0,00398468	75,2
     41,4545	  0,00405387	70,5
     41,4567	  0,00411746	74,6
     41,4589	  0,00412399	74,4
     41,4611	  0,00422708	71,8
     41,4633	  0,00405461	75,2
     41,4655	  0,00407339	75,4
     41,4677	   0,0041391	76,3
     41,4699	  0,00406735	70,8
     41,4721	  0,00402606	73,1
     41,4743	  0,00411747	76,1
     41,4765	  0,00415959	71,1
     41,4787	  0,00420533	74,2
     41,4809	  0,00416471	73,6
     41,4831	  0,00406153	73,6
     41,4853	  0,00414493	75,8
     41,4875	  0,00414624	76,1
     41,4897	  0,00411355	68,6
     41,4919	  0,00413685	71,4
     41,4941	  0,00427393	74,3
     41,4963	  0,00425993	77,1
     41,4985	  0,00424616	70,8
     41,5007	  0,00416396	76,2
     41,5029	  0,00408867	73,3
     41,5051	  0,00415816	75,5
     41,5073	  0,00423315	80,1
     41,5095	  0,00425413	72,2
     41,5117	  0,00416167	71,3
     41,5139	  0,00418306	78,5
     41,5161	   0,0043221	70,1
     41,5183	  0,00431175	73,4
     41,5205	  0,00422157	74,9
     41,5227	  0,00429422	70,6
     41,5249	  0,00432016	72,8
     41,5271	  0,00424057	77,9
     41,5293	  0,00427752	77,2
     41,5315	    0,004247	71,9
     41,5337	  0,00438141	78,0
     41,5359	  0,00444912	75,0
     41,5381	  0,00433769	68,1
     41,5403	  0,00420074	76,8
     41,5425	  0,00428097	75,8
     41,5447	  0,00436053	76,2
     41,5469	  0,00438438	74,2
     41,5491	  0,00434902	74,9
     41,5513	  0,00428278	75,8
     41,5535	  0,00437449	68,4
     41,5557	  0,00435581	76,2
     41,5579	  0,00442979	73,2
     41,5601	    0,004462	73,2
     41,5623	  0,00434721	77,7
     41,5645	  0,00441422	68,8
     41,5667	  0,00430225	78,9
     41,5689	    0,004413	74,0
     41,5711	  0,00449727	70,8
     41,5733	  0,00437134	77,7
     41,5755	  0,00440736	74,4
     41,5777	  0,00454713	75,8
     41,5799	  0,00445217	74,1
     41,5821	  0,00436253	78,3
     41,5843	  0,00441718	74,3
     41,5865	   0,0045395	74,6
     41,5887	  0,00452646	76,5
     41,5909	   0,0044142	69,6
     41,5931	  0,00445933	78,4
     41,5953	  0,00460812	75,9
     41,5975	  0,00456173	70,9
     41,5997	  0,00457605	76,0
     41,6019	  0,00450059	74,3
     41,6041	  0,00434499	78,0
     41,6063	  0,00445377	73,4
     41,6085	  0,00458116	79,2
     41,6107	  0,00456639	74,3
     41,6129	   0,0046376	73,0
     41,6151	  0,00465994	76,8
     41,6173	  0,00456378	71,9
     41,6195	  0,00460595	79,2
     41,6217	  0,00459698	74,7
     41,6239	  0,00454082	70,3
     41,6261	  0,00451758	73,9
     41,6283	  0,00460879	75,5
     41,6305	  0,00465067	78,5
     41,6327	  0,00457391	70,2
     41,6349	  0,00465502	76,0
     41,6371	  0,00466365	79,2
     41,6393	  0,00458137	72,9
     41,6415	  0,00463734	78,7
     41,6437	  0,00464916	78,7
     41,6459	  0,00470464	80,2
     41,6481	  0,00473561	70,9
     41,6503	  0,00474791	79,1
     41,6525	  0,00463777	75,0
     41,6547	   0,0046357	69,7
     41,6569	  0,00469553	77,6
     41,6591	  0,00467566	74,5
     41,6613	  0,00477339	77,8
     41,6635	  0,00482392	73,6
     41,6657	  0,00468353	77,4
     41,6679	  0,00464268	76,9
     41,6701	  0,00483919	73,6
     41,6723	  0,00483241	76,6
     41,6745	  0,00473302	77,3
     41,6767	  0,00482861	74,7
     41,6789	  0,00479395	70,9
     41,6811	  0,00471552	79,6
     41,6833	  0,00478639	76,8
     41,6855	  0,00492103	74,1
     41,6877	  0,00480279	77,4
     41,6899	  0,00476893	71,0
     41,6921	  0,00479513	74,8
     41,6943	   0,0048831	74,7
     41,6965	  0,00484461	80,0
     41,6987	  0,00477905	73,4
     41,7009	  0,00486589	78,2
     41,7031	  0,00487054	76,4
     41,7053	  0,00490424	71,9
     41,7075	  0,00494867	77,5
     41,7097	  0,00487621	74,4
     41,7119	  0,00491769	76,1
     41,7141	  0,00495939	76,2
     41,7163	  0,00488373	76,5
     41,7185	  0,00495554	77,1
     41,7207	   0,0049816	76,1
     41,7229	  0,00493522	72,1
     41,7251	   0,0048725	79,6
     41,7273	  0,00496421	80,9
     41,7295	  0,00518542	71,8
     41,7317	  0,00504879	77,7
     41,7339	  0,00496587	75,6
     41,7361	  0,00497344	74,3
     41,7383	  0,00495267	80,0
     41,7405	  0,00498146	79,2
     41,7427	  0,00512462	79,9
     41,7449	   0,0052043	76,5
     41,7471	  0,00513603	75,9
     41,7493	  0,00500776	71,5
     41,7515	  0,00490628	79,6
     41,7537	  0,00519099	77,7
     41,7559	  0,00518164	75,8
     41,7581	  0,00520308	76,4
     41,7603	  0,00514862	77,1
     41,7625	  0,00517587	79,2
     41,7647	  0,00518239	73,4
     41,7669	  0,00513426	77,4
     41,7691	   0,0051188	74,3
     41,7713	  0,00521144	83,4
     41,7735	  0,00532116	73,7
     41,7757	   0,0053515	78,5
     41,7779	  0,00521946	78,8
     41,7801	   0,0051646	73,9
     41,7823	  0,00520941	79,3
     41,7845	  0,00530353	74,8
     41,7867	  0,00528891	80,2
     41,7889	  0,00534034	73,5
     41,7911	  0,00530642	78,5
     41,7933	  0,00525362	76,9
     41,7955	  0,00521798	79,8
     41,7977	  0,00530893	72,1
