X-Data [Hz]	Piezo (M - Filtered) [mV]	Phase [Deg]	
	002: [07-05-24 16:37]	
       41,25	     3,73352	-102,9
     41,2522	     4,38774	-114,9
     41,2544	     4,25803	-109,1
     41,2566	      4,0093	-103,2
     41,2588	     4,27063	-120,3
      41,261	     4,03557	-109,3
     41,2632	     3,95133	-99,7
     41,2654	     4,48108	-122,8
     41,2676	     4,11179	-111,1
     41,2698	     3,87683	-101,3
      41,272	     4,27059	-114,9
     41,2742	     4,31326	-99,9
     41,2764	     4,11968	-123,8
     41,2786	     4,19876	-108,2
     41,2808	     4,22033	-100,5
      41,283	     4,35384	-125,5
     41,2852	     4,09935	-107,1
     41,2874	      4,0367	-102,9
     41,2896	     4,34963	-120,5
     41,2918	     4,34646	-102,4
      41,294	     4,14091	-105,8
     41,2962	     4,41403	-116,6
     41,2984	     4,38314	-114,6
     41,3006	     4,08613	-104,2
     41,3028	     4,27678	-114,9
      41,305	     4,42363	-104,2
     41,3072	     4,15564	-103,0
     41,3094	     4,44675	-120,3
     41,3116	     4,33473	-111,0
     41,3138	     4,31866	-116,7
      41,316	     4,38366	-105,0
     41,3182	     4,20724	-101,8
     41,3204	     4,38825	-117,8
     41,3226	     4,38243	-110,2
     41,3248	     4,26651	-102,8
      41,327	     4,51347	-119,3
     41,3292	      4,3133	-107,9
     41,3314	     4,15402	-102,0
     41,3336	     4,48092	-117,9
     41,3358	     4,39172	-103,7
      41,338	     4,68672	-124,2
     41,3402	     4,29262	-107,7
     41,3424	     4,34888	-104,5
     41,3446	     4,62437	-118,0
     41,3468	     4,35747	-105,6
      41,349	     4,14093	-109,3
     41,3512	     4,61019	-116,7
     41,3534	     4,50595	-105,3
     41,3556	     4,33206	-111,4
     41,3578	     4,43103	-113,1
       41,36	     4,37574	-100,9
     41,3622	     4,57052	-112,7
     41,3644	      4,4565	-99,4
     41,3666	      4,4819	-116,0
     41,3688	     4,43671	-114,1
      41,371	      4,4888	-99,2
     41,3732	     4,66245	-115,8
     41,3754	      4,4782	-108,8
     41,3776	     4,33854	-102,4
     41,3798	      4,5665	-113,4
      41,382	     4,56361	-114,4
     41,3842	      4,3738	-100,1
     41,3864	     4,61506	-115,6
     41,3886	     4,59226	-109,7
     41,3908	     4,66827	-120,5
      41,393	     4,57025	-101,4
     41,3952	     4,48379	-110,8
     41,3974	     4,76679	-121,6
     41,3996	     4,36972	-96,1
     41,4018	     4,64201	-113,4
      41,404	     4,68192	-115,1
     41,4062	     4,53938	-100,5
     41,4084	     4,66172	-112,8
     41,4106	     4,80119	-112,8
     41,4128	      4,4506	-102,0
      41,415	     4,63615	-116,3
     41,4172	     4,82653	-107,5
     41,4194	     4,54599	-103,9
     41,4216	     4,73175	-106,5
     41,4238	     4,46646	-99,4
      41,426	     4,71978	-117,2
     41,4282	      4,6641	-106,9
     41,4304	     4,56272	-104,2
     41,4326	     4,80235	-120,8
     41,4347	     4,66144	-100,1
      41,437	     4,68895	-107,4
     41,4391	     4,94977	-116,3
     41,4413	     4,61583	-97,0
     41,4436	     4,75347	-114,5
     41,4457	     4,55679	-99,3
     41,4479	     4,87431	-113,8
     41,4501	     4,85819	-108,5
     41,4523	     4,53041	-102,3
     41,4545	      4,8744	-118,4
     41,4567	     4,71708	-105,4
     41,4589	     4,81318	-105,2
     41,4611	      5,1134	-116,5
     41,4633	     4,60825	-103,5
     41,4655	     4,69847	-106,6
     41,4677	     4,70549	-101,3
     41,4699	     4,78362	-115,0
     41,4721	     4,87677	-111,4
     41,4743	     4,63518	-101,3
     41,4765	      4,9409	-116,6
     41,4787	     4,94132	-106,9
     41,4809	     4,82496	-105,8
     41,4831	      4,9418	-115,4
     41,4853	     4,83644	-104,4
     41,4875	     4,77809	-103,9
     41,4897	     4,99941	-120,8
     41,4919	     4,89087	-114,3
     41,4941	     5,04584	-109,8
     41,4963	     4,94267	-99,9
     41,4985	     5,14651	-119,3
     41,5007	     4,81151	-103,5
     41,5029	     4,71534	-105,1
     41,5051	     5,12569	-113,5
     41,5073	      4,8556	-97,9
     41,5095	     5,05606	-110,1
     41,5117	     5,02487	-117,3
     41,5139	     4,72883	-98,0
     41,5161	     5,22107	-119,1
     41,5183	      5,0865	-108,6
     41,5205	     4,83914	-104,2
     41,5227	     5,28956	-117,6
     41,5249	     5,09677	-112,9
     41,5271	     5,13168	-106,8
     41,5293	     4,98005	-100,1
     41,5315	     5,03385	-114,1
     41,5337	     5,27997	-105,6
     41,5359	     5,17331	-103,9
     41,5381	     5,19628	-120,8
     41,5403	     4,91675	-103,4
     41,5425	     5,07655	-104,8
     41,5447	     5,01283	-102,1
     41,5469	     5,27487	-110,9
     41,5491	     5,27635	-108,5
     41,5513	     5,03923	-103,0
     41,5535	     5,24893	-119,9
     41,5557	     5,01631	-102,8
     41,5579	     5,22184	-111,0
     41,5601	     5,42776	-111,9
     41,5623	      4,9793	-99,3
     41,5645	     5,49098	-119,4
     41,5667	     5,01494	-98,9
     41,5689	     5,20884	-109,3
     41,5711	     5,52699	-115,4
     41,5733	       5,048	-98,6
     41,5755	     5,31452	-111,5
     41,5777	     5,50354	-105,6
     41,5799	       5,144	-104,9
     41,5821	     5,09675	-98,7
     41,5843	     5,28466	-110,4
     41,5865	     5,54437	-111,4
     41,5887	      5,2207	-100,9
     41,5909	     5,43923	-118,5
     41,5931	     5,28402	-102,4
     41,5953	     5,34273	-104,1
     41,5975	      5,6268	-117,2
     41,5997	     5,36855	-102,9
     41,6019	     5,44976	-109,4
     41,6041	     4,94857	-100,2
     41,6063	     5,53519	-114,0
     41,6085	     5,37831	-99,3
     41,6107	     5,37455	-109,9
     41,6129	     5,62768	-111,6
     41,6151	      5,4749	-100,2
     41,6173	     5,55347	-115,8
     41,6195	     5,54748	-103,0
     41,6217	     5,31537	-104,6
     41,6239	     5,54199	-118,0
     41,6261	     5,41855	-110,0
     41,6283	     5,64372	-111,0
     41,6305	     5,47996	-98,4
     41,6327	     5,50388	-115,3
     41,6349	     5,70844	-108,1
     41,6371	     5,49396	-99,1
     41,6393	     5,71034	-115,6
     41,6415	     5,42008	-100,3
     41,6437	     5,72291	-106,4
     41,6459	     5,49377	-96,2
     41,6481	     5,85197	-117,3
     41,6503	       5,697	-102,6
     41,6525	     5,47909	-105,8
     41,6547	     5,71451	-117,8
     41,6569	     5,44305	-101,0
     41,6591	     5,69793	-112,2
     41,6613	     5,61524	-102,0
     41,6635	     5,76464	-109,9
     41,6657	     5,69248	-105,8
     41,6679	      5,4727	-101,0
     41,6701	     5,99336	-115,2
     41,6723	     5,65924	-103,3
     41,6745	      5,8261	-107,3
     41,6767	     5,64634	-104,3
     41,6789	      5,8575	-117,3
     41,6811	     5,64707	-99,7
     41,6833	     5,72233	-105,4
     41,6855	     6,06757	-112,7
     41,6877	     5,72589	-100,9
     41,6899	     5,77247	-115,9
     41,6921	     5,66304	-105,6
     41,6943	     6,11904	-111,9
     41,6965	     5,68481	-98,1
     41,6987	     5,95174	-113,2
     41,7009	     5,84197	-102,6
     41,7031	     5,82053	-105,8
     41,7053	     6,09439	-113,7
     41,7075	     5,82847	-101,2
     41,7097	     5,92097	-112,6
     41,7119	     5,95444	-105,9
     41,7141	     5,93409	-104,7
     41,7163	     6,06368	-109,7
     41,7185	     5,86849	-101,8
     41,7207	     6,04832	-105,8
     41,7229	     5,89333	-109,6
     41,7251	       5,995	-104,7
     41,7273	     5,92897	-97,5
     41,7295	     6,48698	-116,1
     41,7317	     6,00073	-102,3
     41,7339	     5,94839	-106,4
     41,7361	     6,20319	-111,5
     41,7383	       5,814	-98,8
     41,7405	     6,17493	-107,5
     41,7427	     6,18712	-99,3
     41,7449	     6,34476	-108,4
     41,7471	     6,32295	-106,5
     41,7493	     6,15222	-116,0
     41,7515	     5,90086	-99,7
     41,7537	     6,23443	-106,8
     41,7559	     6,36016	-107,7
     41,7581	      6,2456	-102,6
     41,7603	     6,38664	-110,7
     41,7625	     6,18427	-98,9
     41,7647	     6,34833	-112,2
     41,7669	     6,30555	-106,0
     41,7691	     6,31562	-113,8
     41,7713	     6,32969	-96,0
     41,7735	     6,59216	-111,7
     41,7757	     6,59152	-105,0
     41,7779	     6,21791	-101,0
     41,7801	     6,45909	-112,7
     41,7823	     6,21317	-98,7
     41,7845	     6,56295	-112,6
     41,7867	     6,40857	-97,8
     41,7889	     6,59092	-111,8
     41,7911	     6,47079	-105,2
     41,7933	     6,53614	-110,3
     41,7955	     6,28703	-99,7
     41,7977	     6,49586	-111,5
     41,7999	     6,58372	-103,1
     41,8021	     6,42948	-97,6
     41,8043	     6,79038	-110,1
     41,8064	     6,39933	-102,2
     41,8087	     6,71136	-108,1
     41,8109	     6,50741	-96,9
      41,813	     6,71795	-111,6
     41,8153	     6,77444	-101,1
     41,8174	     6,53867	-100,8
     41,8196	     6,59696	-97,8
     41,8218	     6,69197	-112,7
      41,824	      6,6152	-101,1
     41,8262	     6,61835	-103,0
     41,8284	     6,84053	-107,0
     41,8306	     6,56584	-99,2
     41,8328	     6,60866	-109,4
      41,835	     6,47037	-98,9
     41,8372	     6,83347	-105,2
     41,8394	     6,87971	-105,0
     41,8416	     6,85509	-109,3
     41,8438	     6,60388	-96,2
      41,846	     6,93162	-109,9
     41,8482	     6,92649	-99,2
     41,8504	     6,89129	-106,6
     41,8526	     6,99298	-109,9
     41,8548	     6,62313	-100,3
      41,857	     6,91107	-109,7
     41,8592	     6,76623	-99,4
     41,8614	     7,17481	-111,1
     41,8636	     6,93384	-94,2
     41,8658	      6,8873	-108,0
      41,868	     6,93304	-96,4
     41,8702	      7,1116	-112,3
     41,8724	     6,85153	-92,1
     41,8746	     7,24014	-107,9
     41,8768	     7,28636	-104,1
      41,879	     7,04311	-105,4
     41,8812	     7,12967	-106,9
     41,8834	     7,00485	-101,2
     41,8856	     7,35304	-111,5
     41,8878	     7,06149	-96,0
       41,89	     7,40531	-108,9
     41,8922	      7,0762	-103,8
     41,8944	     7,39847	-106,4
     41,8966	     7,03725	-96,7
     41,8988	      7,4086	-109,2
      41,901	     7,24976	-98,7
     41,9032	     7,45083	-111,0
     41,9054	     7,09087	-97,6
     41,9076	     7,28894	-107,9
     41,9098	     7,44187	-102,2
      41,912	      7,3722	-105,6
     41,9142	     7,47589	-105,0
     41,9164	     7,18376	-101,9
     41,9186	     7,37564	-96,1
     41,9208	     7,59653	-108,0
      41,923	     7,51919	-97,2
     41,9252	     7,33985	-104,9
     41,9274	     7,70067	-102,0
     41,9296	     7,47178	-101,3
     41,9318	     7,72336	-103,9
      41,934	     7,41044	-99,3
     41,9362	     7,74203	-109,3
     41,9384	     7,44495	-94,8
     41,9406	      7,5272	-104,0
     41,9428	     7,43625	-98,5
      41,945	     7,86116	-107,8
     41,9472	     7,79406	-98,8
     41,9494	     7,64352	-101,8
     41,9516	     7,66839	-96,9
     41,9538	     7,95455	-113,6
      41,956	     7,57598	-96,2
     41,9582	     7,87524	-106,2
     41,9604	     7,85044	-99,0
     41,9626	     7,99453	-106,5
     41,9648	      7,9963	-99,9
      41,967	     7,88369	-101,8
     41,9692	     8,08389	-104,5
     41,9714	     7,82853	-99,9
     41,9736	     8,04905	-104,6
     41,9758	     7,81951	-95,4
      41,978	     7,82203	-96,4
     41,9802	     8,06849	-111,3
     41,9824	     8,08035	-95,8
     41,9846	     8,22673	-101,3
     41,9868	     8,30918	-102,4
      41,989	     7,94996	-104,0
     41,9912	     8,21186	-104,4
     41,9934	     7,88999	-98,0
     41,9956	     8,30763	-104,9
     41,9978	     7,93371	-98,7
          42	     8,41388	-104,6
     42,0022	     8,10968	-92,8
     42,0044	     8,33761	-94,6
     42,0066	     8,46892	-103,3
     42,0088	     8,49859	-102,3
      42,011	     8,23169	-101,1
     42,0132	     8,35427	-100,9
     42,0154	      8,2825	-95,6
     42,0176	     8,77656	-105,2
     42,0198	      8,4535	-96,0
      42,022	       8,747	-105,2
     42,0242	     8,27361	-99,0
     42,0264	     8,60374	-107,1
     42,0286	     8,16753	-88,3
     42,0308	     8,71579	-105,7
      42,033	     8,69462	-101,9
     42,0352	     8,70856	-99,8
     42,0374	     8,80589	-101,5
     42,0396	     8,84528	-95,4
     42,0418	     8,70487	-101,7
      42,044	     8,80089	-101,0
     42,0462	     8,75442	-101,9
     42,0484	     9,04021	-97,2
     42,0506	     8,91169	-98,9
     42,0528	     9,18495	-105,3
      42,055	     8,80434	-97,1
     42,0572	     9,17685	-101,2
     42,0594	     8,87005	-93,9
     42,0616	     9,21537	-106,3
     42,0638	      8,9607	-91,4
      42,066	     9,19987	-95,9
     42,0682	     9,03331	-100,7
     42,0704	      9,1903	-97,0
     42,0726	     9,04573	-101,6
     42,0748	     9,39832	-99,3
      42,077	     8,99436	-94,5
     42,0792	     9,50322	-99,8
     42,0814	     9,16979	-98,3
     42,0836	      9,4737	-103,9
     42,0858	     9,03589	-96,1
      42,088	     9,41821	-98,5
     42,0902	     9,24243	-98,2
     42,0924	     9,52966	-97,4
     42,0946	     9,27662	-95,3
     42,0968	     9,61616	-98,4
      42,099	     9,42998	-98,4
     42,1012	      9,6559	-104,2
     42,1034	     9,31432	-97,1
     42,1056	     9,70037	-98,6
     42,1078	     9,75511	-101,0
       42,11	     9,59184	-91,1
     42,1122	     9,92802	-105,5
     42,1144	     9,49304	-93,9
     42,1166	     9,83364	-99,9
     42,1188	     9,51459	-91,9
      42,121	     10,0622	-105,8
     42,1232	     9,78582	-90,2
     42,1254	     10,0458	-99,4
     42,1276	     10,0029	-91,0
     42,1298	     10,1054	-103,3
      42,132	     9,83645	-98,3
     42,1342	     10,1321	-95,8
     42,1364	     9,85762	-94,3
     42,1386	     10,2657	-95,7
     42,1408	     10,1177	-95,5
      42,143	     10,4286	-96,5
     42,1452	     10,2085	-94,6
     42,1474	     10,4031	-93,5
     42,1496	      10,363	-101,8
     42,1518	     10,5104	-93,2
      42,154	     10,3516	-97,4
     42,1562	     10,3351	-92,6
     42,1584	     10,0947	-96,7
     42,1606	     10,5558	-98,7
     42,1628	     10,4092	-91,6
      42,165	     10,8162	-92,4
     42,1672	     10,6046	-95,6
     42,1694	     10,7088	-97,5
     42,1716	     10,6005	-98,5
     42,1738	     10,7059	-89,6
      42,176	     10,6247	-97,0
     42,1782	     10,6364	-88,7
     42,1804	     11,0008	-98,7
     42,1826	     10,6448	-92,9
     42,1847	     11,1169	-97,8
      42,187	      10,695	-88,8
     42,1891	     11,3313	-98,8
     42,1913	     10,9674	-91,0
     42,1936	     11,4535	-97,6
     42,1957	     11,0059	-87,8
     42,1979	     11,5981	-94,5
     42,2001	     11,2962	-93,7
     42,2023	      11,685	-94,7
     42,2045	     11,2294	-89,9
     42,2067	     11,4757	-93,2
     42,2089	     11,5403	-99,0
     42,2111	     11,3655	-87,5
     42,2133	     11,6909	-103,5
     42,2155	     11,3522	-86,2
     42,2177	     11,6139	-98,6
     42,2199	     11,5111	-86,9
     42,2221	     11,7972	-101,3
     42,2243	     11,6693	-89,0
     42,2265	     11,9527	-92,0
     42,2287	     11,7748	-90,3
     42,2309	     12,0028	-89,6
     42,2331	     11,8585	-95,1
     42,2353	     12,1381	-91,3
     42,2375	     12,0152	-94,3
     42,2397	     12,0431	-89,6
     42,2419	     12,0582	-93,1
     42,2441	      12,353	-93,2
     42,2463	      12,059	-88,9
     42,2485	     12,3373	-87,3
     42,2507	     12,1453	-94,5
     42,2529	     12,0261	-89,0
     42,2551	     12,5369	-92,8
     42,2573	     12,4795	-91,0
     42,2595	     12,7124	-86,8
     42,2617	     12,7513	-90,4
     42,2639	     12,8539	-88,0
     42,2661	     12,9072	-93,8
     42,2683	     12,9441	-87,1
     42,2705	     12,8957	-90,8
     42,2727	     12,9302	-84,0
     42,2749	     13,0793	-94,5
     42,2771	     13,2161	-85,5
     42,2793	     13,2786	-94,8
     42,2815	     13,0647	-79,6
     42,2837	     13,4298	-90,7
     42,2859	     13,3061	-83,7
     42,2881	     13,6394	-96,3
     42,2903	     13,4607	-94,4
     42,2925	     13,3871	-81,5
     42,2947	     13,6189	-89,3
     42,2969	     13,5557	-83,3
     42,2991	     13,7942	-92,9
     42,3013	     13,5565	-86,0
     42,3035	     13,7384	-92,1
     42,3057	     13,5987	-77,0
     42,3079	     14,1299	-89,6
     42,3101	     14,0595	-79,9
     42,3123	     14,1357	-87,2
     42,3145	     14,2192	-88,9
     42,3167	      14,256	-78,8
     42,3189	      14,396	-92,0
     42,3211	      14,372	-78,3
     42,3233	     14,7132	-90,8
     42,3255	     14,3319	-80,1
     42,3277	     14,7315	-88,1
     42,3299	     14,4995	-76,9
     42,3321	     15,0055	-90,1
     42,3343	     14,6843	-82,2
     42,3365	     14,8477	-83,9
     42,3387	     14,9909	-89,1
     42,3409	      14,856	-77,5
     42,3431	     15,1361	-88,4
     42,3453	     14,8863	-79,8
     42,3475	     15,4782	-88,8
     42,3497	     14,9764	-81,0
     42,3519	     15,4059	-85,1
     42,3541	     15,2028	-77,0
     42,3563	     15,8612	-86,2
     42,3585	     15,5529	-81,5
     42,3607	     16,0911	-81,4
     42,3629	     16,1742	-87,7
     42,3651	     15,5657	-80,0
     42,3673	     15,9819	-78,2
     42,3695	     15,8489	-80,8
     42,3717	      16,189	-79,9
     42,3739	     16,1595	-83,1
     42,3761	      16,117	-73,8
     42,3783	     16,1373	-83,4
     42,3805	     16,3525	-75,1
     42,3827	     16,5958	-86,0
     42,3849	     16,4998	-74,1
     42,3871	     16,7696	-80,8
     42,3893	     16,5114	-71,0
     42,3915	     17,1187	-77,9
     42,3937	     16,7362	-79,3
     42,3959	     17,1768	-79,3
     42,3981	     16,9538	-78,2
     42,4003	     17,2336	-70,9
     42,4025	     17,4529	-76,8
     42,4047	     17,1546	-73,6
     42,4069	     17,6184	-77,1
     42,4091	     17,3561	-81,3
     42,4113	     17,6276	-74,3
     42,4135	     17,5559	-78,4
     42,4157	     17,7611	-69,5
     42,4179	     17,8747	-79,6
     42,4201	     17,9072	-70,7
     42,4223	     18,2678	-72,4
     42,4245	      18,255	-78,7
     42,4267	     18,4172	-68,4
     42,4289	     18,5951	-75,3
     42,4311	      18,498	-66,1
     42,4333	     18,9151	-78,6
     42,4355	     18,6275	-69,5
     42,4377	     19,1268	-76,2
     42,4399	     18,8134	-69,8
     42,4421	     19,2975	-71,0
     42,4443	     19,0944	-72,2
     42,4465	     19,3906	-69,5
     42,4487	     19,6075	-70,7
     42,4509	     19,3488	-69,4
     42,4531	     19,7188	-65,9
     42,4553	     19,6588	-70,7
     42,4575	     19,6165	-64,2
     42,4597	       19,95	-72,2
     42,4619	     19,7131	-64,3
     42,4641	     20,3485	-72,2
     42,4663	     20,0078	-65,6
     42,4685	     20,3973	-60,4
     42,4707	     20,2521	-65,9
     42,4729	       20,72	-62,4
     42,4751	     20,5566	-71,6
     42,4773	     20,6383	-61,2
     42,4795	     20,9016	-66,7
     42,4817	     20,7438	-59,5
     42,4839	     21,2608	-65,7
     42,4861	     21,2492	-67,5
     42,4883	     21,0593	-61,8
     42,4905	      21,633	-64,8
     42,4927	      21,294	-60,8
     42,4949	     21,7015	-58,5
     42,4971	     21,4039	-59,2
     42,4993	     21,7262	-60,3
     42,5015	      21,677	-64,2
     42,5037	     21,8794	-59,9
     42,5059	     22,0641	-62,7
     42,5081	     21,8487	-55,0
     42,5103	     22,4378	-59,2
     42,5125	     22,1512	-57,4
     42,5147	     22,6884	-58,7
     42,5169	     22,7112	-59,6
     42,5191	     22,5019	-57,3
     42,5213	     22,9459	-56,6
     42,5235	     22,7036	-55,3
     42,5257	      22,999	-51,8
     42,5279	     23,1606	-54,9
     42,5301	     22,9856	-51,2
     42,5323	     23,6133	-57,9
     42,5345	     23,1562	-52,5
     42,5367	     23,5082	-49,9
     42,5389	     23,3003	-53,2
     42,5411	     23,3856	-45,8
     42,5433	     23,7398	-56,7
     42,5455	     23,6727	-52,4
     42,5477	     23,8839	-48,1
     42,5499	     23,9998	-54,1
     42,5521	     23,9422	-45,1
     42,5543	     24,2627	-50,5
     42,5564	     23,9414	-45,7
     42,5587	     24,4211	-45,1
     42,5609	     24,1963	-49,3
      42,563	     24,6037	-41,6
     42,5653	     24,8015	-46,2
     42,5674	     24,5957	-48,8
     42,5696	     24,8299	-43,1
     42,5718	     24,8161	-45,4
      42,574	     24,5917	-39,3
     42,5762	     25,1263	-42,5
     42,5784	     24,6873	-45,9
     42,5806	     25,0847	-39,5
     42,5828	      25,111	-46,9
      42,585	     24,9422	-37,0
     42,5872	     25,2908	-41,0
     42,5894	     25,0204	-37,9
     42,5916	     25,4575	-43,2
     42,5938	     25,1753	-42,0
      42,596	     25,5988	-36,0
     42,5982	     25,4873	-40,2
     42,6004	     25,4096	-32,2
     42,6026	     25,7587	-34,9
     42,6048	     25,3543	-37,2
      42,607	     25,3015	-33,6
     42,6092	     25,9093	-36,1
     42,6114	     25,3417	-35,7
     42,6136	      25,705	-31,8
     42,6158	     25,5386	-37,5
      42,618	     25,7134	-25,7
     42,6202	     25,7476	-32,0
     42,6224	     25,6019	-29,8
     42,6246	     25,6997	-27,9
     42,6268	     26,1258	-30,4
      42,629	     25,6975	-33,3
     42,6312	     26,0365	-29,0
     42,6334	     25,7924	-30,6
     42,6356	     26,0723	-23,2
     42,6378	     26,2219	-27,1
       42,64	     25,8653	-23,4
     42,6422	     26,3656	-25,1
     42,6444	     26,0337	-34,3
     42,6466	     26,2386	-22,7
     42,6488	     26,1174	-27,8
      42,651	     25,7856	-22,3
     42,6532	     26,2298	-24,0
     42,6554	     25,8311	-22,4
     42,6576	     25,7193	-19,4
     42,6598	     26,0919	-19,4
      42,662	     25,7771	-28,1
     42,6642	     25,8538	-21,2
     42,6664	     25,9726	-25,9
     42,6686	     25,6408	-22,2
     42,6708	     25,9921	-15,9
      42,673	      25,662	-20,7
     42,6752	      25,928	-15,8
     42,6774	     25,9115	-14,2
     42,6796	     25,6071	-18,2
     42,6818	     25,5734	-16,5
      42,684	     25,9149	-19,8
     42,6862	     25,5331	-17,1
     42,6884	     25,9957	-12,4
     42,6906	      25,532	-18,2
     42,6928	     25,5711	-11,9
      42,695	     25,6252	-14,8
     42,6972	      25,178	-15,9
     42,6994	     25,5549	-10,8
     42,7016	     25,1041	-18,7
     42,7038	     25,0806	-11,8
      42,706	      25,189	-9,9
     42,7082	     25,3374	-11,6
     42,7104	     24,8797	-13,5
     42,7126	     25,2928	-6,6
     42,7148	      25,022	-11,5
      42,717	     24,8007	-7,2
     42,7192	     25,1985	-7,6
     42,7214	     24,5888	-13,2
     42,7236	     24,9358	-7,8
     42,7258	     24,5416	-12,3
      42,728	     24,5613	-5,2
     42,7302	     24,7874	-4,8
     42,7324	     24,3516	-7,8
     42,7346	     24,5344	-4,4
     42,7368	     24,5931	-6,9
      42,739	     24,0311	-7,5
     42,7412	     24,5211	-5,5
     42,7434	     23,9732	-7,6
     42,7456	      23,803	-1,7
     42,7478	     23,8917	-3,2
       42,75	     23,8555	-6,4
     42,7522	     23,4452	-4,5
     42,7544	     23,8517	 0,7
     42,7566	     23,4441	-3,5
     42,7588	     23,4856	-0,1
      42,761	     23,7042	-2,8
     42,7632	     23,1804	-6,4
     42,7654	     23,3979	-0,1
     42,7676	     23,3225	-3,2
     42,7698	     22,9815	-4,7
      42,772	     23,3856	 3,8
     42,7742	     22,8922	 1,1
     42,7764	     23,0536	 5,8
     42,7786	     23,1091	 7,0
     42,7808	     22,9082	 1,4
      42,783	     22,7088	 3,3
     42,7852	     22,9663	 4,5
     42,7874	     22,5604	-0,4
     42,7896	     22,4945	 2,4
     42,7918	     22,6621	 1,9
      42,794	     22,1308	 0,6
     42,7962	     22,3732	 6,1
     42,7984	     22,2441	 2,2
     42,8006	     22,0363	 4,1
     42,8028	     22,2424	 6,4
      42,805	     22,2104	 6,9
     42,8072	     21,7592	 4,3
     42,8094	     22,0847	 8,5
     42,8116	     21,6942	 3,9
     42,8138	     21,5083	 6,8
      42,816	     21,7447	 9,0
     42,8182	      21,145	 5,1
     42,8204	     21,4841	12,7
     42,8226	     21,4413	 9,1
     42,8248	     21,1278	 7,7
      42,827	     21,0741	 8,8
     42,8292	     21,4405	13,9
     42,8314	     21,0808	12,0
     42,8336	     20,9642	 9,5
     42,8358	     21,1003	 9,6
      42,838	     20,4476	 7,8
     42,8402	       20,73	 9,2
     42,8424	     20,4923	10,8
     42,8446	     20,1896	10,9
     42,8468	     20,6949	15,0
      42,849	     20,2438	10,1
     42,8512	     20,2092	13,9
     42,8534	     20,2144	15,7
     42,8556	     20,1504	13,3
     42,8578	     19,7906	 8,5
       42,86	     20,1398	11,1
     42,8622	     19,7668	 7,9
     42,8644	     19,8195	11,4
     42,8666	     19,7705	13,2
     42,8688	     19,7012	10,0
      42,871	     19,2608	11,8
     42,8732	     19,6758	14,8
     42,8754	     19,3834	15,2
     42,8776	     19,1757	15,0
     42,8798	     19,4444	18,4
      42,882	      19,012	14,9
     42,8842	     19,0077	16,7
     42,8864	     19,1762	10,0
     42,8886	     19,1826	16,6
     42,8908	     18,6723	13,3
      42,893	     19,0971	17,1
     42,8952	     18,6547	12,3
     42,8974	     18,4583	15,5
