X-Data [Hz]	Piezo (M - Filtered) [mV]	Phase [Deg]	
	002: [07-05-24 16:43]	
       41,25	     40,4339	-109,4
     41,2522	     40,1727	-97,4
     41,2544	     43,1329	-116,8
     41,2566	      41,773	-112,0
     41,2588	     38,8901	-95,1
      41,261	     42,5597	-111,3
     41,2632	     43,5425	-113,0
     41,2654	     38,9285	-97,0
     41,2676	     41,9413	-113,2
     41,2698	     42,8995	-108,9
      41,272	      44,142	-116,5
     41,2742	      42,428	-111,2
     41,2764	     39,6886	-93,6
     41,2786	     42,4677	-112,7
     41,2808	     42,4644	-110,3
      41,283	     41,0835	-94,6
     41,2852	     43,0948	-116,7
     41,2874	     40,3203	-103,6
     41,2896	     40,0326	-98,6
     41,2918	     45,0812	-119,2
      41,294	     41,0515	-100,2
     41,2962	     41,1333	-107,3
     41,2984	     42,6017	-112,9
     41,3006	     42,9577	-104,1
     41,3028	     42,5331	-98,2
      41,305	     42,0986	-104,9
     41,3072	     39,7941	-105,1
     41,3094	     45,2326	-111,9
     41,3116	     42,5052	-94,2
     41,3138	     42,4907	-110,0
      41,316	     44,1852	-111,5
     41,3182	     41,8752	-96,7
     41,3204	     45,2897	-112,4
     41,3226	     43,5805	-111,4
     41,3248	     42,2634	-96,8
      41,327	     42,4469	-108,2
     41,3292	     45,0479	-111,3
     41,3314	     41,4946	-100,2
     41,3336	     42,5333	-106,9
     41,3358	     42,3291	-91,0
      41,338	     45,9486	-117,7
     41,3402	     43,1089	-107,5
     41,3424	     40,4477	-97,0
     41,3446	      46,185	-116,0
     41,3468	     45,1541	-103,7
      41,349	     41,7068	-97,8
     41,3512	     44,3695	-115,3
     41,3534	     45,9469	-101,2
     41,3556	     43,7029	-104,0
     41,3578	     45,5522	-115,5
       41,36	     43,0235	-97,4
     41,3622	     42,4709	-109,6
     41,3644	     46,1678	-107,9
     41,3666	     45,1974	-98,5
     41,3688	      44,502	-111,0
      41,371	     40,9911	-93,6
     41,3732	     44,8806	-111,2
     41,3754	     46,6931	-109,7
     41,3776	     42,7575	-94,2
     41,3798	     45,4172	-117,0
      41,382	     44,6116	-102,2
     41,3842	     42,3774	-98,1
     41,3864	     46,8306	-114,5
     41,3886	      45,494	-99,5
     41,3908	     46,3807	-110,7
      41,393	     45,6339	-98,2
     41,3952	     45,3985	-108,1
     41,3974	     45,7779	-111,6
     41,3996	     45,0037	-97,8
     41,4018	     44,2529	-108,2
      41,404	     46,7277	-109,1
     41,4062	      44,549	-98,2
     41,4084	     46,1316	-114,7
     41,4106	     46,8287	-105,8
     41,4128	     44,6364	-99,0
      41,415	     44,4118	-99,7
     41,4172	     42,7631	-97,4
     41,4194	     47,5257	-113,8
     41,4216	     45,8693	-94,4
     41,4238	     46,5159	-106,7
      41,426	     47,8812	-111,7
     41,4282	     44,8914	-95,2
     41,4304	     46,5726	-118,7
     41,4326	     45,8925	-103,2
     41,4347	     43,9576	-97,0
      41,437	     48,8827	-119,2
     41,4391	     45,5296	-98,7
     41,4413	     45,9266	-100,0
     41,4436	     48,1385	-116,8
     41,4457	     45,4961	-90,9
     41,4479	      48,307	-112,2
     41,4501	     45,2691	-101,5
     41,4523	      46,943	-111,4
     41,4545	     47,3516	-104,9
     41,4567	     47,5641	-97,2
     41,4589	     48,7894	-114,6
     41,4611	      46,225	-103,8
     41,4633	     46,9039	-96,8
     41,4655	     50,4271	-112,5
     41,4677	     47,7861	-109,1
     41,4699	     48,2886	-109,6
     41,4721	     46,5779	-92,3
     41,4743	      49,196	-116,8
     41,4765	     48,9138	-102,3
