X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	002: [07-05-24 16:54]	
       41,25	  0,00337403	79,4
     41,2522	  0,00350078	78,3
     41,2544	  0,00342819	74,0
     41,2566	  0,00336572	75,9
     41,2588	  0,00347603	80,0
      41,261	  0,00341702	77,6
     41,2632	  0,00342755	69,9
     41,2654	  0,00341104	77,8
     41,2676	  0,00337117	74,7
     41,2698	  0,00339502	72,8
      41,272	  0,00346463	78,5
     41,2742	  0,00340264	73,4
     41,2764	  0,00341575	77,2
     41,2786	  0,00341298	81,4
     41,2808	  0,00353581	71,3
      41,283	  0,00345842	76,0
     41,2852	  0,00339968	76,7
     41,2874	  0,00348748	76,7
     41,2896	  0,00351865	79,5
     41,2918	  0,00340471	74,8
      41,294	  0,00342388	75,6
     41,2962	  0,00348843	82,2
     41,2984	  0,00344091	72,7
     41,3006	  0,00345071	75,7
     41,3028	  0,00347161	79,7
      41,305	   0,0035622	72,8
     41,3072	  0,00354575	77,2
     41,3094	  0,00335924	77,2
     41,3116	  0,00340938	79,7
     41,3138	  0,00357976	82,2
      41,316	  0,00363436	70,2
     41,3182	  0,00338951	75,8
     41,3204	  0,00353274	83,6
     41,3226	  0,00352941	70,8
     41,3248	  0,00350455	79,8
      41,327	  0,00354481	77,9
     41,3292	   0,0035266	71,8
     41,3314	  0,00353127	77,6
     41,3336	  0,00352899	76,9
     41,3358	  0,00355286	77,5
      41,338	  0,00362852	71,1
     41,3402	  0,00348965	74,4
     41,3424	  0,00358869	79,4
     41,3446	  0,00359138	77,7
     41,3468	  0,00360145	73,4
      41,349	   0,0035824	79,4
     41,3512	  0,00358828	77,4
     41,3534	  0,00354393	77,8
     41,3556	  0,00357741	76,0
     41,3578	  0,00359445	79,0
       41,36	  0,00361769	73,6
     41,3622	  0,00355966	78,1
     41,3644	  0,00359356	80,9
     41,3666	  0,00360621	78,1
     41,3688	  0,00360007	74,8
      41,371	  0,00368763	71,8
     41,3732	    0,003682	81,6
     41,3754	  0,00356847	72,3
     41,3776	  0,00354322	77,9
     41,3798	  0,00363746	80,0
      41,382	  0,00370266	75,0
     41,3842	   0,0036116	75,1
     41,3864	  0,00364556	80,9
     41,3886	  0,00373252	77,7
     41,3908	  0,00366571	80,2
      41,393	  0,00367732	74,1
     41,3952	  0,00365688	74,9
     41,3974	  0,00370371	81,7
     41,3996	  0,00368015	73,1
     41,4018	  0,00363878	77,5
      41,404	  0,00357993	82,5
     41,4062	  0,00370682	75,4
     41,4084	  0,00376239	78,4
     41,4106	  0,00363882	80,4
     41,4128	  0,00371951	78,6
      41,415	  0,00366651	78,6
     41,4172	  0,00363806	76,4
     41,4194	  0,00373639	79,1
     41,4216	  0,00366404	80,2
     41,4238	  0,00374793	73,4
      41,426	  0,00369308	80,2
     41,4282	  0,00371807	78,9
     41,4304	  0,00373141	70,9
     41,4326	   0,0036102	78,4
     41,4347	  0,00366141	78,3
      41,437	  0,00379937	79,1
     41,4391	   0,0038223	76,7
     41,4413	  0,00371442	78,3
     41,4436	  0,00374286	80,1
     41,4457	  0,00369415	76,5
     41,4479	  0,00383097	79,1
     41,4501	  0,00375647	76,5
     41,4523	  0,00377393	76,4
     41,4545	  0,00379209	78,1
     41,4567	  0,00376515	73,7
     41,4589	  0,00379915	81,3
     41,4611	  0,00379608	78,9
     41,4633	  0,00383004	76,3
     41,4655	  0,00377634	82,4
     41,4677	  0,00378262	74,6
     41,4699	  0,00378072	79,9
     41,4721	  0,00380627	82,3
     41,4743	  0,00375895	71,7
     41,4765	  0,00377514	78,6
     41,4787	  0,00375783	80,2
     41,4809	  0,00385011	74,4
     41,4831	  0,00385992	81,8
