X-Data [Hz]	Piezo (M - Filtered) [mV]	Phase [Deg]	Piezo (M - Filtered) [mV]	Phase [Deg]	
	002: [07-10-24 10:42]		003: [07-10-24 10:45]	
        41,5	    0,761581	-112,0	    0,608359	-101,6
      41,502	    0,741355	-107,6	    0,763337	-111,2
     41,5039	    0,752779	-116,4	    0,732616	-107,6
     41,5059	    0,728384	-96,8	    0,770985	-113,5
     41,5078	    0,778102	-115,1	    0,699347	-95,6
     41,5098	    0,729632	-92,9	    0,753594	-111,9
     41,5117	    0,764262	-105,9	    0,740799	-95,6
     41,5137	    0,716038	-97,7	    0,739683	-103,9
     41,5156	    0,710111	-95,5	    0,757929	-101,7
     41,5176	    0,743272	-99,1	    0,727742	-92,3
     41,5196	    0,739464	-97,4	    0,769273	-107,4
     41,5215	    0,755577	-107,9	    0,727441	-99,0
     41,5235	    0,740943	-97,6	    0,780166	-118,0
     41,5254	    0,743658	-99,5	    0,783961	-109,4
     41,5274	    0,760387	-102,0	    0,755686	-109,7
     41,5293	    0,734547	-96,2	    0,794092	-114,7
     41,5313	    0,781561	-113,5	    0,734777	-98,1
     41,5332	    0,745492	-105,4	    0,777162	-113,3
     41,5352	    0,792769	-114,2	    0,725936	-96,4
     41,5371	    0,729287	-90,2	    0,755433	-105,9
     41,5391	    0,757586	-101,5	    0,751702	-94,8
     41,5411	    0,736178	-100,5	    0,736698	-95,8
      41,543	    0,735782	-96,2	    0,781456	-108,4
      41,545	    0,762839	-111,4	    0,748233	-92,7
     41,5469	    0,744577	-92,5	    0,791515	-115,3
     41,5489	    0,766907	-100,5	     0,78602	-103,2
     41,5508	    0,746389	-100,7	    0,763049	-111,7
     41,5528	    0,755865	-93,3	    0,819107	-113,7
     41,5547	      0,7912	-112,6	    0,757637	-96,1
     41,5567	    0,765962	-102,7	    0,795154	-112,7
     41,5587	    0,815457	-114,7	    0,745801	-93,7
     41,5606	    0,791679	-108,5	    0,788482	-108,6
     41,5626	    0,808407	-109,7	    0,775802	-97,0
     41,5645	    0,815587	-113,3	    0,767968	-96,0
     41,5665	     0,80716	-107,7	    0,798398	-104,4
     41,5684	    0,830349	-118,2	    0,763357	-94,5
     41,5704	    0,794307	-108,5	     0,82207	-112,5
     41,5723	    0,809434	-111,4	     0,79307	-103,2
