X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	002: [07-10-24 10:34]		003: [07-10-24 10:37]	
        41,5	  0,00543454	81,6	   0,0053333	74,9
      41,502	  0,00532645	78,7	    0,005457	77,2
     41,5039	  0,00536673	82,0	   0,0055153	84,6
     41,5059	  0,00550018	76,7	  0,00547078	80,5
     41,5078	  0,00548017	79,0	  0,00544433	76,5
     41,5098	  0,00542808	77,9	  0,00548658	79,1
     41,5117	  0,00547376	80,5	  0,00541871	75,9
     41,5137	  0,00549921	74,7	  0,00543757	81,4
     41,5156	  0,00541038	76,9	  0,00546773	80,2
     41,5176	  0,00542789	79,2	  0,00557224	78,8
     41,5196	  0,00547531	76,2	  0,00555623	79,3
     41,5215	  0,00549346	79,4	  0,00554898	76,8
     41,5235	  0,00556978	76,7	  0,00548282	80,0
     41,5254	  0,00553567	74,8	  0,00552382	77,8
     41,5274	  0,00556364	76,9	  0,00551189	82,4
     41,5293	  0,00551742	74,2	  0,00554285	76,4
     41,5313	  0,00549617	80,2	  0,00556743	75,8
     41,5332	  0,00552819	77,6	  0,00553836	77,2
     41,5352	  0,00551434	79,5	  0,00547844	76,9
     41,5371	  0,00549244	78,4	  0,00542641	82,0
     41,5391	  0,00551333	80,1	  0,00535763	77,7
     41,5411	  0,00551718	82,0	  0,00559776	76,3
      41,543	   0,0054996	82,0	  0,00559059	77,8
      41,545	  0,00553495	82,0	   0,0056651	75,6
     41,5469	  0,00564267	74,5	  0,00552948	80,0
     41,5489	  0,00557838	78,3	  0,00552497	79,2
     41,5508	   0,0055944	77,9	  0,00554186	79,1
     41,5528	   0,0055771	80,1	  0,00552409	79,6
     41,5547	  0,00557815	77,1	  0,00557294	82,1
     41,5567	  0,00557551	76,5	   0,0055691	79,5
     41,5587	   0,0056728	81,4	  0,00562397	75,5
     41,5606	  0,00572913	78,2	  0,00567148	79,7
     41,5626	  0,00557364	81,1	  0,00561009	75,1
     41,5645	  0,00564574	76,8	  0,00567652	78,9
     41,5665	  0,00561065	79,3	  0,00569231	77,1
     41,5684	  0,00564711	81,2	  0,00569638	76,9
     41,5704	   0,0057076	80,4	  0,00568036	78,5
     41,5723	  0,00569352	80,6	   0,0056394	78,1
     41,5743	  0,00557631	75,1	  0,00556246	79,6
     41,5762	  0,00558157	78,2	  0,00564846	78,3
     41,5782	   0,0056947	77,1	  0,00579495	81,0
     41,5802	  0,00571715	78,9	  0,00568351	82,0
     41,5821	  0,00573371	83,0	  0,00565319	75,3
     41,5841	  0,00570181	76,1	  0,00575254	79,7
      41,586	  0,00559527	78,5	  0,00571198	77,2
      41,588	  0,00564785	75,8	  0,00566264	77,9
     41,5899	  0,00578939	78,6	  0,00562402	79,7
     41,5919	  0,00575915	79,5	  0,00565869	74,5
     41,5938	  0,00575515	77,2	  0,00582566	81,5
     41,5958	  0,00573984	80,8	  0,00577788	76,5
     41,5978	  0,00571818	78,0	  0,00567269	75,8
     41,5997	  0,00573769	79,2	  0,00572536	79,4
     41,6017	  0,00580007	79,9	  0,00585379	78,6
     41,6036	  0,00581092	80,1	  0,00578442	81,1
     41,6056	  0,00581371	82,0	  0,00577789	78,5
     41,6075	  0,00571348	77,8	  0,00585484	80,3
     41,6095	  0,00574162	79,0	  0,00589781	80,1
     41,6114	  0,00581312	78,1	  0,00585532	82,8
     41,6134	  0,00578871	80,7	  0,00574647	81,0
     41,6153	  0,00577775	82,1	  0,00568359	76,9
     41,6173	   0,0058376	77,2	  0,00580381	79,8
     41,6193	  0,00576857	79,8	  0,00591196	77,2
     41,6212	  0,00580586	77,3	  0,00586381	79,1
     41,6232	  0,00581991	79,2	  0,00583054	81,0
     41,6251	  0,00583045	78,3	  0,00581837	75,9
     41,6271	  0,00591406	76,5	  0,00584742	79,1
      41,629	  0,00590227	79,3	  0,00590132	78,2
      41,631	  0,00584695	76,1	  0,00590328	79,1
     41,6329	  0,00577261	80,4	  0,00600523	79,8
     41,6349	  0,00586091	81,3	   0,0059787	80,4
     41,6369	  0,00592748	82,2	  0,00590352	83,7
     41,6388	  0,00587345	83,0	  0,00594319	75,5
     41,6408	  0,00583539	79,9	  0,00592462	79,3
     41,6427	  0,00592482	80,5	  0,00591964	79,6
     41,6447	  0,00587886	82,2	  0,00589305	75,6
     41,6466	  0,00596329	79,5	   0,0059606	81,5
     41,6486	  0,00600077	79,4	   0,0060037	79,6
     41,6505	  0,00596524	77,8	  0,00610248	79,9
     41,6525	  0,00596191	79,2	  0,00604943	81,2
