X-Data [Hz]	Piezo (M - Filtered) [mV]	Phase [Deg]	Piezo (M - Filtered) [mV]	Phase [Deg]	
	002: [07-09-24 17:10]		003: [07-09-24 17:13]	
        41,5	     1350,97	-24,8	     1441,92	-26,8
      41,502	     1388,03	-27,1	     1419,45	-24,9
     41,5039	     1411,07	-28,0	     1427,35	-26,3
     41,5059	     1428,11	-28,4	     1420,59	-25,1
     41,5078	     1409,41	-27,9	     1424,88	-27,3
     41,5098	        1429	-24,7	     1417,13	-25,0
     41,5117	     1435,58	-28,3	     1422,47	-28,0
     41,5137	     1449,58	-27,4	     1435,28	-26,8
     41,5156	     1436,46	-28,4	     1459,68	-29,2
     41,5176	     1447,06	-27,4	     1433,29	-27,8
     41,5196	     1451,83	-25,3	     1419,22	-27,3
     41,5215	     1442,58	-27,8	     1438,72	-27,2
     41,5235	     1450,69	-25,8	     1427,28	-25,4
     41,5254	     1453,22	-28,9	     1442,09	-29,6
     41,5274	      1461,9	-22,5	     1467,51	-25,8
     41,5293	     1453,37	-24,4	     1466,75	-25,6
     41,5313	     1460,32	-25,8	     1423,11	-24,3
     41,5332	     1441,54	-26,2	     1436,15	-25,3
     41,5352	     1468,88	-24,6	     1461,63	-28,5
     41,5371	     1478,96	-22,4	     1456,36	-26,9
     41,5391	     1469,28	-27,5	     1462,07	-26,9
     41,5411	     1449,29	-26,9	     1469,25	-28,0
      41,543	      1464,2	-28,0	     1476,35	-26,9
      41,545	     1481,45	-29,8	     1457,24	-26,2
     41,5469	     1469,59	-24,7	     1452,76	-25,9
     41,5489	      1477,9	-26,6	     1469,32	-27,9
     41,5508	     1457,96	-26,7	     1473,48	-23,4
     41,5528	     1471,95	-25,3	     1471,48	-25,2
     41,5547	     1496,12	-24,7	     1448,65	-24,5
     41,5567	     1486,34	-25,0	     1451,59	-24,7
     41,5587	     1465,24	-27,0	     1489,83	-29,0
     41,5606	     1470,93	-24,4	     1488,11	-23,0
     41,5626	     1497,59	-29,2	     1469,97	-26,2
     41,5645	     1484,81	-26,4	     1464,95	-26,8
     41,5665	     1502,31	-25,4	     1498,22	-25,8
     41,5684	     1499,46	-27,0	     1519,27	-29,6
     41,5704	     1485,03	-26,4	     1500,73	-24,6
     41,5723	     1493,59	-25,9	     1485,66	-28,1
     41,5743	     1507,11	-22,0	     1503,68	-26,5
     41,5762	     1513,52	-25,5	     1497,95	-27,6
     41,5782	     1507,35	-24,4	     1493,78	-28,1
     41,5802	     1497,65	-24,9	     1496,59	-23,4
     41,5821	     1504,41	-26,2	     1519,41	-27,3
     41,5841	     1509,75	-24,8	     1504,45	-26,4
      41,586	     1512,92	-26,8	     1508,81	-26,5
      41,588	     1506,31	-25,1	     1505,76	-29,8
     41,5899	     1526,44	-27,7	     1523,12	-23,9
     41,5919	     1543,72	-29,6	     1511,11	-26,9
     41,5938	        1519	-24,9	     1508,72	-26,0
     41,5958	     1524,72	-26,9	     1527,65	-26,1
     41,5978	     1508,13	-23,3	     1537,25	-28,4
     41,5997	     1534,51	-23,6	      1506,7	-24,1
     41,6017	     1528,64	-28,9	     1495,87	-26,9
     41,6036	     1520,86	-24,3	     1518,77	-23,9
     41,6056	     1525,62	-26,5	     1527,75	-22,8
     41,6075	     1539,94	-21,5	     1526,52	-26,0
     41,6095	     1543,55	-22,5	     1524,84	-24,7
     41,6114	     1531,84	-26,0	     1523,11	-28,7
     41,6134	     1536,69	-24,3	     1542,73	-24,9
     41,6153	     1546,69	-26,7	     1547,93	-26,2
     41,6173	     1562,74	-25,2	     1544,26	-27,0
     41,6193	     1537,12	-26,1	      1549,9	-24,8
     41,6212	     1534,36	-27,1	     1546,91	-27,9
     41,6232	     1555,74	-25,3	      1532,8	-23,1
     41,6251	     1550,34	-26,9	     1549,11	-24,2
     41,6271	     1561,47	-25,8	     1541,53	-24,1
      41,629	     1568,49	-26,2	     1538,61	-23,7
      41,631	     1557,24	-25,7	      1567,6	-28,7
