X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	002: [07-09-24 17:51]		003: [07-09-24 17:54]	
        41,5	   0,0311755	78,7	   0,0342158	77,5
      41,502	   0,0318502	78,6	   0,0342652	77,2
     41,5039	   0,0324219	78,4	   0,0342402	78,6
     41,5059	   0,0331332	78,9	   0,0343177	77,7
     41,5078	   0,0334732	78,8	    0,034417	77,9
     41,5098	   0,0338138	78,0	   0,0345643	78,5
     41,5117	   0,0339976	78,7	   0,0345451	77,8
     41,5137	   0,0339622	77,5	   0,0346159	78,2
     41,5156	   0,0339688	78,0	   0,0346502	78,3
     41,5176	   0,0341443	78,3	   0,0346919	78,5
     41,5196	   0,0342925	77,5	   0,0347911	77,9
     41,5215	   0,0342356	78,5	   0,0348364	78,1
     41,5235	   0,0343534	78,3	   0,0348275	78,4
     41,5254	   0,0344594	78,9	   0,0349505	77,8
     41,5274	   0,0346077	78,0	   0,0349486	78,6
     41,5293	   0,0345757	77,8	   0,0351144	78,0
     41,5313	    0,034602	79,5	   0,0351823	78,7
     41,5332	   0,0347142	78,3	   0,0351662	78,2
     41,5352	     0,03476	78,3	   0,0351678	77,6
     41,5371	   0,0348568	78,5	   0,0353136	78,9
     41,5391	   0,0349235	78,5	   0,0353952	78,6
     41,5411	   0,0350672	78,7	   0,0354509	79,4
      41,543	   0,0350264	78,4	   0,0355382	79,1
      41,545	   0,0350848	78,6	   0,0356426	77,8
     41,5469	   0,0349929	78,0	    0,035639	78,5
     41,5489	   0,0350211	77,8	   0,0357473	78,9
     41,5508	   0,0351402	79,1	   0,0357424	79,5
     41,5528	   0,0353379	78,9	   0,0357554	78,2
     41,5547	   0,0354386	78,9	   0,0359191	78,5
     41,5567	   0,0355423	78,6	   0,0360305	78,0
     41,5587	    0,035487	78,7	   0,0360734	77,9
     41,5606	   0,0355209	78,6	   0,0361076	79,8
     41,5626	   0,0356683	78,8	   0,0360855	79,4
     41,5645	   0,0357305	79,3	   0,0362993	79,1
     41,5665	     0,03572	78,7	   0,0363977	79,5
     41,5684	   0,0357923	79,0	   0,0363809	78,4
     41,5704	    0,035866	78,5	   0,0364067	79,2
     41,5723	   0,0359493	79,7	   0,0364578	78,8
     41,5743	   0,0360275	79,8	   0,0364547	79,3
     41,5762	   0,0360761	79,0	   0,0366282	78,8
     41,5782	     0,03609	79,5	    0,036757	78,5
     41,5802	   0,0361671	79,2	   0,0367759	78,9
     41,5821	   0,0362768	78,7	   0,0368279	78,3
     41,5841	   0,0364312	79,4	   0,0369435	79,6
      41,586	   0,0365831	79,0	   0,0369659	80,1
      41,588	   0,0365521	79,0	   0,0370785	79,0
     41,5899	   0,0365393	78,8	   0,0371631	79,5
     41,5919	   0,0366218	79,1	   0,0372274	79,0
     41,5938	   0,0367575	79,3	   0,0373152	79,7
     41,5958	   0,0368272	79,3	   0,0373762	79,4
     41,5978	   0,0367961	80,0	   0,0373674	79,7
     41,5997	   0,0368101	79,0	   0,0374888	80,2
     41,6017	   0,0368973	79,3	   0,0375472	79,1
     41,6036	   0,0369704	79,8	   0,0376121	79,2
     41,6056	   0,0371953	78,5	   0,0376441	79,7
     41,6075	   0,0372106	79,3	   0,0377524	79,4
     41,6095	   0,0372703	79,4	   0,0379213	80,6
     41,6114	   0,0372575	79,6	   0,0380172	79,6
     41,6134	   0,0373217	79,6	   0,0379367	79,8
     41,6153	   0,0374021	79,4	   0,0380057	79,5
     41,6173	   0,0375151	80,0	   0,0381688	80,4
     41,6193	   0,0376062	80,1	   0,0382542	80,4
     41,6212	   0,0376725	79,8	    0,038418	79,8
     41,6232	    0,037656	79,9	   0,0385116	80,0
     41,6251	   0,0376987	79,3	   0,0384879	79,3
     41,6271	   0,0378363	79,8	   0,0385208	79,3
      41,629	   0,0379774	79,5	   0,0385545	80,4
      41,631	   0,0380281	79,4	   0,0385817	79,8
     41,6329	   0,0380792	80,4	     0,03868	80,1
     41,6349	   0,0381771	80,2	   0,0388806	80,2
     41,6369	   0,0382108	80,3	   0,0390499	80,0
     41,6388	   0,0383358	79,9	   0,0390738	80,5
     41,6408	    0,038371	80,2	   0,0390511	79,9
     41,6427	   0,0384038	80,3	   0,0390555	80,6
     41,6447	   0,0385301	79,9	    0,039282	79,7
     41,6466	    0,038602	80,8	   0,0394081	80,0
     41,6486	    0,038771	80,8	   0,0394332	80,2
     41,6505	   0,0388244	80,0	   0,0394914	80,0
     41,6525	   0,0389176	80,6	   0,0394674	79,7
     41,6544	   0,0390163	79,9	   0,0395569	80,5
     41,6564	   0,0390727	80,2	   0,0397008	80,5
     41,6584	   0,0391271	81,1	   0,0399261	80,8
     41,6603	   0,0391466	80,5	    0,039973	80,9
     41,6623	   0,0391812	81,2	   0,0400442	80,4
     41,6642	   0,0394134	79,6	   0,0400737	80,9
     41,6662	   0,0394846	80,7	   0,0401484	80,5
     41,6681	   0,0396002	80,8	   0,0401552	80,8
     41,6701	   0,0395553	80,9	   0,0403475	81,2
      41,672	    0,039645	81,2	   0,0404403	80,8
      41,674	   0,0397838	80,6	   0,0406122	80,7
      41,676	   0,0398678	80,6	   0,0407047	80,7
     41,6779	   0,0399981	80,8	   0,0406771	81,5
     41,6799	   0,0400382	80,1	   0,0407428	81,5
     41,6818	    0,040075	82,1	   0,0409717	81,6
     41,6838	   0,0402509	81,9	   0,0410829	82,0
     41,6857	   0,0403855	81,1	    0,041123	80,7
     41,6877	   0,0404075	81,2	   0,0412055	80,9
     41,6896	   0,0404199	80,5	    0,041261	81,3
     41,6916	   0,0405697	81,1	   0,0414204	81,0
     41,6936	   0,0406994	81,3	   0,0415031	82,3
     41,6955	   0,0407655	81,1	   0,0414185	81,9
     41,6975	   0,0408402	81,5	    0,041549	81,4
     41,6994	    0,040857	81,1	   0,0416397	81,8
     41,7014	   0,0409499	81,7	   0,0418166	81,0
     41,7033	     0,04105	81,5	   0,0419398	81,7
     41,7053	   0,0411449	81,8	   0,0419452	82,1
     41,7072	     0,04132	82,2	   0,0420576	82,0
     41,7092	   0,0413984	81,5	   0,0422121	82,3
     41,7111	   0,0415404	81,5	   0,0423244	81,4
     41,7131	   0,0415449	82,1	   0,0424616	81,9
     41,7151	   0,0416611	80,9	   0,0425287	81,8
      41,717	   0,0417205	81,4	   0,0425883	82,0
      41,719	   0,0418663	82,2	   0,0427231	82,3
     41,7209	   0,0419576	81,7	   0,0428346	82,1
     41,7229	    0,041949	82,3	   0,0429999	81,9
     41,7248	   0,0420193	82,3	   0,0431431	83,0
     41,7268	    0,042135	81,7	   0,0430944	81,7
     41,7287	     0,04219	82,2	   0,0431734	81,6
     41,7307	   0,0423269	81,8	   0,0432914	82,1
     41,7327	   0,0424949	82,4	   0,0433886	82,1
     41,7346	   0,0425879	82,3	   0,0434845	83,2
     41,7366	   0,0427159	82,6	   0,0435905	82,7
     41,7385	   0,0427955	82,7	   0,0437363	82,8
     41,7405	   0,0428959	81,4	   0,0437823	82,8
     41,7424	   0,0430423	82,8	   0,0438762	81,7
     41,7444	   0,0430777	83,1	   0,0440512	82,4
     41,7463	   0,0431993	82,6	   0,0441601	82,6
     41,7483	   0,0432872	83,2	   0,0443184	83,0
     41,7502	   0,0433942	82,3	   0,0444186	83,0
     41,7522	   0,0435234	82,6	   0,0444875	82,5
     41,7542	   0,0436369	83,3	   0,0446369	82,5
     41,7561	   0,0437278	82,4	    0,044684	83,2
     41,7581	   0,0437975	82,4	   0,0448341	82,9
       41,76	    0,043948	83,2	   0,0448776	83,3
      41,762	   0,0440049	83,0	   0,0450405	83,3
     41,7639	     0,04412	83,8	   0,0451577	82,9
     41,7659	   0,0442936	82,3	   0,0452159	83,9
     41,7678	   0,0443685	82,5	   0,0453012	82,8
     41,7698	     0,04456	83,5	   0,0454796	83,5
     41,7718	   0,0446508	82,6	   0,0456192	83,9
     41,7737	   0,0447574	83,2	   0,0458117	83,4
     41,7757	   0,0448114	83,6	   0,0458415	84,2
     41,7776	   0,0448758	83,3	   0,0460538	83,4
     41,7796	   0,0449506	83,6	    0,046187	83,6
     41,7815	   0,0450242	83,2	   0,0463129	83,5
     41,7835	   0,0451336	83,7	   0,0463923	83,6
     41,7854	   0,0453058	84,2	   0,0464827	84,3
     41,7874	   0,0453981	84,0	    0,046619	84,5
     41,7893	   0,0455984	84,2	   0,0468661	84,0
     41,7913	   0,0457576	85,0	   0,0469962	84,8
     41,7933	   0,0458809	83,3	   0,0470922	85,1
     41,7952	   0,0460352	84,0	   0,0471236	83,9
     41,7972	   0,0462431	83,7	   0,0472392	84,2
     41,7991	   0,0462728	83,5	   0,0473791	83,8
     41,8011	    0,046428	85,0	   0,0475665	83,3
