X-Data [Hz]	Piezo (M - Filtered) [mV]	Phase [Deg]	Piezo (M - Filtered) [mV]	Phase [Deg]	
	002: [07-09-24 17:51]		003: [07-09-24 17:54]	
        41,5	   0,0365724	-104,4	   0,0353605	-109,8
      41,502	   0,0383467	-106,6	   0,0390645	-95,1
     41,5039	   0,0388908	-112,2	   0,0406668	-99,1
     41,5059	   0,0396002	-101,0	   0,0385476	-93,4
     41,5078	   0,0420869	-109,0	   0,0405105	-102,1
     41,5098	   0,0391496	-93,7	   0,0404378	-93,5
     41,5117	   0,0415276	-101,3	   0,0429802	-111,8
     41,5137	   0,0389849	-97,0	     0,04284	-102,4
     41,5156	   0,0396338	-93,4	   0,0419539	-108,2
     41,5176	   0,0419408	-106,0	   0,0439428	-111,7
     41,5196	   0,0401489	-93,2	   0,0407733	-95,8
     41,5215	   0,0421077	-110,2	   0,0434898	-110,3
     41,5235	   0,0405959	-101,1	   0,0428443	-108,1
     41,5254	   0,0442347	-107,9	   0,0406612	-108,0
     41,5274	   0,0419605	-111,3	   0,0440826	-111,7
     41,5293	   0,0389262	-95,1	   0,0425409	-96,0
     41,5313	   0,0444489	-108,1	   0,0446492	-104,8
     41,5332	   0,0415617	-105,2	   0,0416067	-93,0
     41,5352	   0,0431232	-103,1	    0,041923	-95,0
     41,5371	   0,0439852	-109,0	   0,0420954	-102,1
     41,5391	   0,0397792	-93,2	   0,0425652	-92,2
     41,5411	   0,0432053	-104,2	   0,0451738	-109,7
      41,543	   0,0415635	-95,6	   0,0428528	-97,9
      41,545	   0,0454448	-111,6	   0,0448551	-108,5
     41,5469	   0,0414354	-104,9	   0,0453206	-106,2
     41,5489	   0,0407799	-91,8	   0,0430132	-98,8
     41,5508	   0,0438989	-105,8	   0,0459851	-108,8
     41,5528	   0,0417451	-97,1	   0,0419083	-92,5
     41,5547	   0,0453759	-107,0	   0,0433384	-104,0
     41,5567	   0,0432202	-109,7	   0,0423282	-93,4
     41,5587	   0,0435197	-97,5	   0,0412415	-93,9
     41,5606	   0,0460384	-108,2	   0,0462334	-104,5
     41,5626	   0,0401007	-92,0	   0,0418174	-93,4
     41,5645	    0,044466	-100,2	   0,0440557	-109,2
     41,5665	   0,0414533	-96,3	   0,0469051	-103,3
     41,5684	    0,041784	-91,2	   0,0447869	-103,4
     41,5704	   0,0456582	-109,5	   0,0472311	-109,8
     41,5723	   0,0437194	-97,9	   0,0419132	-93,9
     41,5743	   0,0460217	-107,7	   0,0452457	-105,2
     41,5762	   0,0449136	-108,9	   0,0430873	-90,6
     41,5782	   0,0443912	-99,0	   0,0441023	-100,9
     41,5802	   0,0453742	-110,1	   0,0448042	-96,5
     41,5821	   0,0427694	-93,4	   0,0427815	-91,5
     41,5841	   0,0449008	-98,7	    0,046898	-107,3
      41,586	   0,0440748	-95,5	   0,0450123	-96,9
      41,588	   0,0423054	-93,5	   0,0467256	-108,3
     41,5899	   0,0466719	-107,7	   0,0468461	-103,5
     41,5919	   0,0445994	-99,3	   0,0451897	-99,6
     41,5938	   0,0467368	-109,3	   0,0469728	-108,4
     41,5958	   0,0431522	-92,7	   0,0445237	-92,5
     41,5978	   0,0458342	-96,1	   0,0461524	-105,0
     41,5997	   0,0422636	-96,8	   0,0488261	-106,1
     41,6017	   0,0447206	-91,2	   0,0448547	-97,4
     41,6036	   0,0464503	-101,0	   0,0466512	-106,3
     41,6056	   0,0429293	-91,9	   0,0453934	-93,5
     41,6075	   0,0438727	-92,5	   0,0456669	-96,6
     41,6095	   0,0456244	-101,4	   0,0469522	-98,0
     41,6114	   0,0451921	-92,4	   0,0457274	-89,2
     41,6134	   0,0477721	-109,0	   0,0490731	-106,7
     41,6153	   0,0471535	-107,5	   0,0469414	-98,0
     41,6173	   0,0460526	-101,9	   0,0485523	-107,4
     41,6193	   0,0490519	-105,1	   0,0492626	-103,9
     41,6212	   0,0430925	-92,4	   0,0464511	-97,8
     41,6232	   0,0471633	-106,9	   0,0495928	-107,2
     41,6251	   0,0442973	-94,3	   0,0448953	-94,2
     41,6271	   0,0458969	-92,9	   0,0462732	-95,4
      41,629	   0,0459536	-103,1	   0,0477734	-95,1
      41,631	   0,0439711	-93,7	   0,0464583	-90,8
     41,6329	   0,0493054	-108,7	   0,0481151	-104,5
     41,6349	   0,0469987	-98,8	   0,0467379	-93,3
     41,6369	   0,0479984	-100,6	   0,0471429	-92,3
     41,6388	    0,048836	-109,0	   0,0505374	-99,9
     41,6408	   0,0464074	-93,1	   0,0480347	-93,8
     41,6427	   0,0490884	-105,5	    0,051881	-106,6
     41,6447	   0,0454253	-92,3	   0,0473986	-92,7
     41,6466	   0,0483951	-97,2	   0,0485498	-96,8
     41,6486	   0,0517531	-108,3	   0,0485654	-96,8
     41,6505	   0,0460132	-91,9	    0,047512	-91,4
     41,6525	   0,0482239	-94,4	   0,0474877	-98,6
     41,6544	    0,045787	-98,2	   0,0489257	-94,0
     41,6564	   0,0443578	-92,4	   0,0477021	-88,8
     41,6584	   0,0497495	-105,4	   0,0521651	-102,0
     41,6603	   0,0474003	-93,2	    0,049336	-95,0
     41,6623	   0,0502964	-102,7	   0,0524064	-108,7
     41,6642	   0,0466375	-93,5	   0,0504558	-104,6
     41,6662	   0,0488156	-94,3	   0,0492718	-97,8
     41,6681	    0,050795	-105,8	   0,0518354	-109,5
     41,6701	   0,0483476	-90,0	   0,0481686	-91,3
      41,672	   0,0483587	-96,0	   0,0502279	-94,9
      41,674	   0,0478798	-95,4	   0,0526108	-100,6
      41,676	   0,0486502	-91,4	   0,0486989	-91,7
     41,6779	    0,052082	-104,6	   0,0539539	-104,4
     41,6799	   0,0499154	-100,3	   0,0509657	-96,6
     41,6818	   0,0523145	-99,2	   0,0527366	-106,2
     41,6838	   0,0533551	-105,3	   0,0539577	-102,9
     41,6857	   0,0488868	-93,9	   0,0503765	-95,6
     41,6877	   0,0508816	-99,7	     0,05334	-104,7
     41,6896	   0,0491208	-91,3	   0,0508631	-92,6
     41,6916	   0,0492845	-93,1	   0,0509568	-92,9
     41,6936	   0,0498953	-100,3	   0,0528978	-97,1
     41,6955	    0,048979	-92,4	   0,0516463	-90,3
     41,6975	   0,0525797	-105,0	   0,0552143	-105,7
     41,6994	   0,0528389	-100,6	   0,0522294	-96,6
     41,7014	   0,0517643	-96,7	   0,0523182	-92,1
     41,7033	   0,0552549	-104,8	   0,0558873	-104,4
     41,7053	    0,048674	-89,1	   0,0539429	-96,0
     41,7072	   0,0526391	-97,8	   0,0522214	-99,1
     41,7092	   0,0512502	-92,3	   0,0548822	-104,6
     41,7111	   0,0507081	-90,5	   0,0512598	-88,3
     41,7131	   0,0536601	-96,1	   0,0553832	-103,3
     41,7151	   0,0504426	-92,9	    0,053821	-96,7
      41,717	   0,0494678	-91,0	   0,0550367	-101,9
      41,719	   0,0544439	-102,3	   0,0561537	-104,8
     41,7209	   0,0512701	-92,7	   0,0524074	-91,4
     41,7229	   0,0546923	-103,8	   0,0534684	-100,1
     41,7248	   0,0547125	-106,0	   0,0560776	-103,5
     41,7268	   0,0533834	-96,8	      0,0528	-92,9
     41,7287	   0,0564014	-103,1	   0,0548677	-100,7
     41,7307	   0,0537961	-88,5	   0,0535034	-92,5
     41,7327	   0,0545885	-94,7	   0,0535627	-88,8
     41,7346	   0,0532251	-96,4	   0,0573151	-100,5
     41,7366	   0,0520603	-89,3	   0,0550091	-93,5
     41,7385	   0,0549238	-105,3	   0,0579854	-102,6
     41,7405	   0,0548022	-101,7	   0,0579631	-103,2
     41,7424	   0,0558087	-98,7	   0,0547206	-92,3
     41,7444	   0,0572691	-104,0	   0,0581606	-103,1
     41,7463	   0,0536447	-90,9	   0,0544995	-89,9
     41,7483	   0,0547616	-97,9	   0,0550894	-91,9
     41,7502	   0,0531819	-91,6	   0,0571742	-97,9
     41,7522	   0,0524687	-91,5	   0,0550189	-90,8
     41,7542	   0,0564038	-96,7	   0,0597085	-103,6
     41,7561	   0,0534308	-91,1	   0,0591563	-99,2
     41,7581	   0,0550157	-89,7	   0,0562804	-96,5
       41,76	   0,0576542	-102,6	   0,0583263	-100,9
      41,762	   0,0540006	-90,3	   0,0564561	-89,1
     41,7639	   0,0558525	-94,3	   0,0564207	-89,6
     41,7659	   0,0561483	-95,4	   0,0587443	-96,2
     41,7678	   0,0544772	-90,3	   0,0571188	-89,2
     41,7698	   0,0583099	-100,6	   0,0615019	-101,9
     41,7718	   0,0546631	-93,4	     0,06127	-95,9
     41,7737	   0,0560867	-88,4	   0,0593747	-98,7
     41,7757	   0,0570034	-101,6	   0,0608506	-102,6
     41,7776	   0,0557614	-90,8	   0,0562953	-88,8
     41,7796	   0,0606672	-100,5	   0,0567751	-89,3
     41,7815	   0,0597766	-103,4	   0,0605058	-96,5
     41,7835	   0,0574156	-93,1	   0,0600799	-89,3
     41,7854	    0,059248	-97,6	   0,0624408	-102,5
     41,7874	   0,0558684	-88,4	   0,0635082	-99,1
     41,7893	   0,0573455	-89,6	   0,0597452	-91,5
     41,7913	   0,0602212	-98,4	   0,0625003	-101,5
     41,7933	   0,0571707	-91,2	   0,0644817	-98,0
     41,7952	   0,0581155	-90,1	   0,0600445	-93,9
     41,7972	   0,0602004	-100,1	   0,0632332	-101,5
     41,7991	   0,0583733	-92,9	    0,058973	-89,3
     41,8011	   0,0621352	-99,9	   0,0606733	-90,9
      41,803	    0,058322	-88,7	   0,0641975	-98,0
      41,805	    0,060862	-89,6	   0,0615167	-94,2
     41,8069	   0,0630258	-97,0	   0,0623324	-100,1
     41,8089	   0,0594157	-89,6	   0,0606364	-89,8
     41,8109	   0,0607009	-91,1	    0,061595	-89,4
     41,8128	   0,0606784	-97,7	   0,0661065	-98,1
     41,8148	   0,0594121	-87,5	   0,0623252	-90,5
     41,8167	   0,0645572	-102,3	   0,0646471	-101,6
     41,8187	   0,0621573	-98,3	    0,065145	-97,4
     41,8206	   0,0618832	-90,7	   0,0641729	-93,4
     41,8226	   0,0648801	-95,4	   0,0660648	-98,4
     41,8245	   0,0615395	-88,5	   0,0673541	-100,4
     41,8265	   0,0625913	-91,6	   0,0610572	-90,0
