X-Data [Hz]	Piezo (M - Filtered) [mV]	Phase [Deg]	Piezo (M - Filtered) [mV]	Phase [Deg]	
	002: [07-10-24 07:54]		003: [07-10-24 07:57]	
        41,5	     492,652	-99,1	     547,003	-99,4
      41,502	     497,057	-100,6	     547,782	-100,4
     41,5039	     505,837	-98,1	     547,183	-99,0
     41,5059	     520,651	-98,3	     549,562	-100,5
     41,5078	     532,273	-99,3	     547,152	-98,8
     41,5098	     537,586	-98,9	     548,986	-99,9
     41,5117	     541,784	-101,0	     550,576	-99,2
     41,5137	     541,416	-99,7	     551,476	-98,9
     41,5156	     545,486	-100,2	     555,909	-99,9
     41,5176	     547,905	-100,0	      554,67	-98,5
     41,5196	     548,978	-99,9	     555,367	-99,6
     41,5215	     549,371	-100,6	      554,82	-98,6
     41,5235	     547,595	-99,0	      555,64	-98,7
     41,5254	     550,841	-99,5	     561,453	-99,8
     41,5274	     551,388	-98,8	     560,826	-98,8
     41,5293	     554,074	-99,2	     564,538	-100,0
     41,5313	     554,956	-99,2	     563,146	-98,8
     41,5332	     555,562	-99,0	     566,447	-99,9
     41,5352	      557,54	-99,5	     567,509	-99,8
     41,5371	     556,393	-99,0	     565,555	-99,9
     41,5391	     559,537	-100,4	     569,746	-100,6
     41,5411	     560,455	-99,2	     566,261	-98,4
      41,543	     564,755	-100,1	     568,865	-99,6
      41,545	     563,466	-99,7	     570,917	-98,6
     41,5469	     561,938	-98,5	     572,691	-99,3
     41,5489	     563,832	-100,0	     574,153	-98,7
     41,5508	     564,399	-98,8	     573,701	-98,2
     41,5528	     570,476	-99,9	     577,193	-99,1
     41,5547	      571,22	-100,1	     577,244	-98,2
     41,5567	     571,088	-98,5	     581,423	-100,0
     41,5587	      571,22	-99,1	     580,444	-99,2
     41,5606	      571,14	-98,3	     580,385	-99,4
     41,5626	     574,525	-99,8	     584,412	-99,7
     41,5645	     573,194	-98,7	     584,275	-98,8
     41,5665	     575,446	-98,1	     585,776	-99,8
     41,5684	     576,484	-99,4	     586,054	-99,3
     41,5704	     576,862	-98,1	     587,269	-99,3
     41,5723	     582,047	-99,8	     587,633	-97,7
     41,5743	     581,055	-99,0	     588,913	-98,0
     41,5762	     583,349	-99,1	     592,687	-98,6
     41,5782	     584,387	-99,5	      592,65	-97,8
     41,5802	     583,814	-98,7	     597,095	-99,1
     41,5821	     586,539	-99,4	     596,601	-98,3
     41,5841	     588,459	-97,8	     597,641	-99,0
      41,586	     590,964	-99,1	     599,681	-98,9
      41,588	     588,556	-98,0	     599,187	-98,8
     41,5899	     589,486	-98,0	     603,847	-99,3
     41,5919	     591,193	-98,8	     603,729	-98,8
     41,5938	     591,365	-97,8	     604,566	-98,7
     41,5958	     595,553	-99,3	     606,522	-98,8
     41,5978	     593,754	-98,4	     604,933	-98,5
     41,5997	     597,204	-98,7	     610,085	-99,3
     41,6017	     598,086	-98,9	     609,171	-97,4
     41,6036	      599,82	-98,0	      612,38	-98,6
     41,6056	     602,956	-99,3	     610,663	-97,8
     41,6075	     600,541	-97,3	     611,468	-97,1
     41,6095	     603,171	-98,0	     615,447	-98,7
     41,6114	     604,421	-97,8	      616,38	-97,8
     41,6134	     606,665	-97,7	     619,837	-98,4
     41,6153	     608,589	-98,6	     617,649	-97,7
     41,6173	     608,945	-97,3	     618,838	-98,3
     41,6193	     611,213	-97,8	      623,14	-98,9
     41,6212	     610,404	-98,3	     622,392	-97,6
     41,6232	      610,85	-97,3	     625,719	-98,5
     41,6251	     615,043	-98,8	     626,459	-96,6
     41,6271	     615,385	-98,1	     626,531	-97,1
      41,629	     620,674	-98,6	     629,168	-97,5
      41,631	     621,105	-98,6	     630,216	-97,2
     41,6329	     621,162	-97,7	     634,269	-98,1
     41,6349	     623,011	-98,5	     634,691	-96,6
     41,6369	      623,08	-97,4	     634,471	-97,0
     41,6388	     625,553	-97,6	     637,999	-97,4
     41,6408	     626,293	-97,1	     639,078	-97,9
     41,6427	     627,011	-96,9	     642,949	-98,7
     41,6447	     630,322	-98,1	     641,286	-96,4
     41,6466	     628,998	-97,2	     643,955	-97,3
     41,6486	     634,154	-98,4	      644,88	-97,5
     41,6505	     635,691	-98,4	     646,652	-97,4
     41,6525	     635,898	-97,1	      650,35	-97,7
     41,6544	     637,316	-97,8	     647,938	-96,6
     41,6564	     636,956	-96,8	     650,362	-97,1
     41,6584	      640,98	-97,8	     652,683	-96,3
     41,6603	     642,703	-97,8	     652,878	-95,6
     41,6623	      642,81	-96,7	     658,814	-97,7
     41,6642	     647,133	-97,9	      658,06	-96,6
     41,6662	     644,145	-96,3	     662,251	-97,6
     41,6681	     646,098	-96,2	     663,926	-97,7
     41,6701	     648,004	-97,4	     664,803	-96,3
      41,672	     650,305	-96,2	     667,776	-97,0
      41,674	     652,957	-97,9	     666,606	-96,2
      41,676	     652,525	-96,7	     668,875	-96,8
