X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	002: [07-10-24 07:33]		003: [07-10-24 07:36]	
        41,5	   0,0377909	76,9	   0,0420814	75,4
      41,502	   0,0387785	75,5	   0,0422107	75,3
     41,5039	   0,0396322	76,4	    0,042379	75,4
     41,5059	   0,0407443	75,8	    0,042424	75,7
     41,5078	   0,0411758	75,8	   0,0424424	75,9
     41,5098	   0,0415194	75,0	   0,0424157	76,0
     41,5117	   0,0415929	75,0	   0,0424501	75,7
     41,5137	   0,0417793	75,8	   0,0426362	76,2
     41,5156	   0,0419077	75,6	   0,0427812	75,8
     41,5176	   0,0420779	75,9	   0,0428068	76,1
     41,5196	   0,0421799	75,6	   0,0428748	76,2
     41,5215	   0,0423043	76,1	   0,0428122	75,8
     41,5235	    0,042268	75,9	   0,0429155	75,9
     41,5254	   0,0422293	75,7	    0,042994	75,8
     41,5274	   0,0423469	76,2	   0,0431184	76,0
     41,5293	   0,0424689	75,4	    0,043292	75,4
     41,5313	   0,0425963	76,4	   0,0433998	75,9
     41,5332	   0,0426315	76,1	    0,043361	76,1
     41,5352	   0,0426543	75,6	   0,0434181	76,0
     41,5371	   0,0426782	76,1	    0,043472	76,4
     41,5391	   0,0428699	75,6	   0,0434651	76,0
     41,5411	   0,0429347	76,2	   0,0435928	76,5
      41,543	   0,0430744	75,5	   0,0437133	76,6
      41,545	   0,0431389	75,5	   0,0437168	76,0
     41,5469	   0,0431176	75,9	   0,0438066	75,9
     41,5489	    0,043209	75,6	   0,0439342	76,1
     41,5508	   0,0433204	75,5	   0,0439744	76,5
     41,5528	   0,0433304	75,3	   0,0440873	76,0
     41,5547	   0,0433743	77,0	   0,0442204	76,0
     41,5567	   0,0434555	76,2	   0,0442205	76,4
     41,5587	   0,0435709	76,2	   0,0442408	76,2
     41,5606	   0,0435375	76,0	   0,0443316	76,9
     41,5626	   0,0436093	76,2	   0,0443975	76,3
     41,5645	   0,0438074	76,4	   0,0444536	76,8
     41,5665	   0,0438808	75,9	   0,0444234	76,5
     41,5684	   0,0438297	75,8	   0,0445721	76,1
     41,5704	   0,0439229	75,7	   0,0448206	76,7
     41,5723	   0,0439735	76,0	   0,0449258	76,5
     41,5743	   0,0441393	76,2	   0,0448641	77,0
     41,5762	   0,0441772	75,8	    0,044862	76,4
     41,5782	   0,0442194	76,5	   0,0449351	76,0
     41,5802	   0,0442357	76,2	   0,0451212	76,9
     41,5821	   0,0443187	76,8	   0,0452538	76,4
     41,5841	   0,0443503	76,9	   0,0452881	77,0
      41,586	   0,0445511	76,6	   0,0453016	76,3
      41,588	   0,0446736	76,4	   0,0453508	77,4
     41,5899	   0,0446992	75,9	   0,0454656	77,1
     41,5919	   0,0447188	76,6	   0,0456381	76,5
     41,5938	   0,0447549	76,1	   0,0457303	77,1
     41,5958	   0,0448219	76,2	   0,0457322	76,9
     41,5978	   0,0449118	76,5	   0,0457631	77,0
     41,5997	   0,0450441	76,6	   0,0459052	76,5
     41,6017	   0,0450799	76,5	   0,0459336	76,8
     41,6036	   0,0451204	76,5	   0,0461136	77,0
     41,6056	   0,0452743	76,4	   0,0461337	76,7
     41,6075	    0,045461	77,0	   0,0461517	77,4
     41,6095	   0,0455192	76,2	   0,0462345	76,7
     41,6114	   0,0454161	77,0	   0,0464095	77,3
     41,6134	    0,045536	76,4	   0,0464632	77,4
     41,6153	   0,0456616	77,1	   0,0465182	77,2
     41,6173	   0,0457862	77,4	   0,0466246	77,4
     41,6193	   0,0459211	76,7	   0,0467623	76,9
     41,6212	   0,0459225	77,2	   0,0467694	77,2
     41,6232	   0,0459693	76,6	   0,0467115	76,9
     41,6251	   0,0459823	76,9	    0,046938	76,9
     41,6271	   0,0461005	76,4	   0,0470065	77,5
      41,629	   0,0461628	77,0	   0,0471518	77,1
      41,631	   0,0462518	77,1	   0,0472783	77,3
     41,6329	    0,046298	76,8	   0,0473516	77,2
     41,6349	   0,0463552	76,8	   0,0473669	77,1
     41,6369	    0,046532	76,7	   0,0474921	77,8
     41,6388	   0,0465604	76,8	   0,0476425	77,2
     41,6408	   0,0467454	77,5	   0,0477753	77,6
     41,6427	   0,0468051	77,0	   0,0478167	77,9
     41,6447	   0,0469677	77,3	   0,0478384	77,6
     41,6466	    0,047135	76,9	   0,0478347	78,1
     41,6486	   0,0471522	77,0	   0,0478825	77,5
     41,6505	   0,0471529	77,0	   0,0479758	77,7
     41,6525	   0,0472071	76,8	   0,0481151	77,4
     41,6544	   0,0473568	78,1	   0,0483572	77,3
     41,6564	   0,0474613	77,5	   0,0484427	78,0
     41,6584	   0,0475797	77,4	   0,0484826	77,6
     41,6603	   0,0475668	77,7	   0,0485179	78,0
     41,6623	   0,0476698	77,1	   0,0487065	78,0
     41,6642	   0,0477049	77,7	   0,0487554	78,3
     41,6662	   0,0478591	77,1	   0,0488384	78,5
     41,6681	   0,0480148	77,3	   0,0488747	77,9
     41,6701	   0,0481882	77,3	   0,0489594	78,2
      41,672	    0,048143	77,2	   0,0490906	77,5
      41,674	   0,0482376	78,0	   0,0491173	77,8
      41,676	   0,0482911	77,7	   0,0492997	78,4
     41,6779	   0,0484308	77,7	   0,0494266	77,7
     41,6799	   0,0484265	77,7	   0,0495613	78,6
     41,6818	   0,0485471	77,7	   0,0495511	78,4
     41,6838	    0,048687	77,8	   0,0496993	78,4
     41,6857	    0,048909	77,5	   0,0498449	78,5
     41,6877	   0,0489919	77,2	   0,0499546	78,3
     41,6896	   0,0490584	78,0	   0,0501067	78,7
     41,6916	   0,0490964	77,5	   0,0501032	78,0
     41,6936	   0,0492022	78,7	   0,0501624	78,1
     41,6955	   0,0493213	77,8	   0,0503203	78,4
     41,6975	   0,0493445	77,8	   0,0503379	78,4
     41,6994	   0,0494215	78,1	    0,050462	78,7
     41,7014	   0,0495404	78,1	   0,0506141	78,6
     41,7033	   0,0497233	78,2	    0,050681	78,8
     41,7053	   0,0499328	77,8	   0,0506899	79,0
     41,7072	   0,0499278	77,5	   0,0508592	78,4
     41,7092	   0,0500161	78,5	   0,0510583	78,7
     41,7111	   0,0500812	78,1	   0,0512315	78,6
     41,7131	   0,0500892	78,6	   0,0512492	78,7
     41,7151	   0,0502272	78,7	   0,0512889	79,1
      41,717	   0,0503862	78,1	   0,0513846	78,6
      41,719	   0,0504409	78,5	   0,0515937	79,1
     41,7209	   0,0505324	78,3	   0,0518124	79,3
     41,7229	   0,0506928	78,7	   0,0518721	78,9
     41,7248	   0,0507446	78,0	   0,0519661	79,3
     41,7268	   0,0508428	77,9	   0,0519868	78,6
     41,7287	   0,0509478	78,9	   0,0521332	79,0
     41,7307	   0,0510558	78,6	   0,0522419	78,9
     41,7327	   0,0512061	78,5	   0,0523339	78,9
     41,7346	   0,0512722	79,0	   0,0524268	79,5
     41,7366	   0,0514675	78,3	   0,0525303	79,4
     41,7385	   0,0515738	78,6	   0,0527614	79,2
     41,7405	   0,0516269	78,3	   0,0528996	79,9
     41,7424	   0,0516149	78,6	   0,0528971	79,0
     41,7444	   0,0518047	78,8	   0,0529074	79,2
     41,7463	    0,051822	78,4	   0,0530708	79,2
     41,7483	   0,0519502	79,5	   0,0533578	79,6
     41,7502	   0,0521355	79,0	   0,0534391	79,9
     41,7522	   0,0522773	78,9	    0,053574	79,7
     41,7542	   0,0523712	79,3	   0,0535979	79,7
     41,7561	    0,052554	78,4	   0,0537211	80,0
     41,7581	   0,0526403	79,1	   0,0539504	79,4
       41,76	   0,0527609	78,8	    0,054027	80,2
      41,762	    0,052793	78,8	   0,0540755	79,8
     41,7639	   0,0529657	79,8	   0,0541309	79,7
     41,7659	    0,053087	78,9	   0,0543613	79,6
     41,7678	   0,0531893	79,7	   0,0545249	79,4
     41,7698	   0,0533523	79,4	   0,0547491	80,3
     41,7718	   0,0533801	79,1	   0,0549037	80,4
     41,7737	    0,053586	79,6	   0,0549523	80,2
     41,7757	   0,0537441	78,9	   0,0549031	80,6
     41,7776	   0,0538241	79,2	   0,0550293	80,1
     41,7796	   0,0539109	79,6	   0,0552338	80,2
     41,7815	   0,0540016	79,5	   0,0553936	80,5
     41,7835	   0,0541646	79,9	   0,0555482	80,2
     41,7854	   0,0543209	79,7	   0,0556856	80,3
     41,7874	   0,0545349	79,6	   0,0558475	79,9
     41,7893	   0,0546649	79,8	   0,0560155	80,7
     41,7913	   0,0546127	79,5	   0,0561432	80,7
     41,7933	   0,0546764	79,6	   0,0562416	80,3
     41,7952	   0,0548295	79,6	   0,0563025	81,1
     41,7972	    0,054979	79,6	   0,0564611	80,7
     41,7991	   0,0552493	80,8	   0,0565975	80,6
     41,8011	   0,0553687	80,2	   0,0567397	81,0
      41,803	   0,0554406	80,0	   0,0570136	80,3
      41,805	   0,0555051	80,5	   0,0572167	80,9
     41,8069	     0,05555	79,7	   0,0572924	80,9
     41,8089	   0,0557163	80,0	   0,0574134	80,7
     41,8109	    0,055996	80,4	   0,0575102	81,3
     41,8128	   0,0561592	80,2	   0,0576614	80,8
     41,8148	   0,0562639	80,6	   0,0577504	80,9
     41,8167	   0,0563663	80,4	   0,0579777	81,3
     41,8187	   0,0565187	80,0	   0,0581575	81,2
     41,8206	   0,0566314	80,7	   0,0583406	81,4
     41,8226	   0,0567105	80,4	   0,0584415	81,4
     41,8245	   0,0569383	80,9	   0,0585859	81,0
     41,8265	   0,0570491	81,0	   0,0586611	81,5
     41,8284	   0,0571312	80,4	   0,0588687	81,4
     41,8304	   0,0572309	80,7	   0,0590692	81,3
     41,8324	   0,0574493	80,7	   0,0592222	81,7
     41,8343	   0,0576319	81,1	   0,0593393	81,3
     41,8363	   0,0577274	81,4	   0,0595135	82,3
     41,8382	   0,0579039	80,7	   0,0597073	81,8
     41,8402	   0,0580488	80,9	   0,0598527	82,0
     41,8421	    0,058273	80,9	   0,0599458	82,3
     41,8441	   0,0583623	80,6	   0,0601425	81,3
      41,846	    0,058386	81,2	   0,0602979	81,8
      41,848	   0,0585335	80,8	   0,0605179	82,2
       41,85	   0,0587301	80,8	   0,0605735	81,9
     41,8519	    0,058934	81,5	   0,0608178	82,5
     41,8539	   0,0590669	81,2	   0,0609453	81,9
     41,8558	   0,0593537	81,8	   0,0611187	82,1
     41,8578	   0,0594996	81,9	   0,0614206	83,0
     41,8597	   0,0596038	81,2	    0,061511	82,5
     41,8617	   0,0597515	81,4	   0,0617953	82,5
     41,8636	   0,0599221	81,4	   0,0619345	83,1
     41,8656	   0,0599541	81,3	   0,0621005	82,2
     41,8675	   0,0600923	82,1	   0,0622714	82,6
     41,8695	   0,0603238	81,7	   0,0625311	82,7
     41,8715	    0,060572	82,2	   0,0627287	82,3
     41,8734	   0,0608135	81,9	   0,0629633	83,3
     41,8754	   0,0609209	81,7	    0,063015	83,1
