X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	002: [07-09-24 10:42]		003: [07-09-24 10:48]	
        40,5	    0,035901	75,2	   0,0398379	74,6
     40,5029	   0,0373015	75,1	    0,039151	73,6
     40,5059	    0,038868	74,4	   0,0397834	74,3
     40,5088	   0,0393103	74,7	   0,0398145	74,6
     40,5117	    0,039624	74,1	   0,0399861	74,6
     40,5147	   0,0396583	74,3	   0,0400067	74,5
     40,5176	   0,0397673	74,4	    0,040155	74,4
     40,5205	   0,0398223	73,9	   0,0394256	73,8
     40,5235	   0,0398023	73,9	   0,0394948	74,0
     40,5264	   0,0396503	73,4	   0,0393972	73,7
     40,5293	   0,0398947	73,9	   0,0397669	73,6
     40,5323	   0,0400937	74,5	   0,0402982	74,3
     40,5352	   0,0401332	74,3	   0,0398926	74,3
     40,5381	   0,0400936	74,5	   0,0399089	74,1
     40,5411	    0,040252	74,3	   0,0399777	74,8
      40,544	   0,0397726	73,1	   0,0402948	73,9
     40,5469	   0,0400492	74,7	   0,0404118	74,4
     40,5499	   0,0399522	74,3	   0,0405581	74,5
     40,5528	   0,0400971	74,7	    0,040593	74,2
     40,5557	   0,0400634	74,0	   0,0405381	74,4
     40,5587	   0,0402703	73,7	   0,0407032	74,7
     40,5616	   0,0404262	75,1	   0,0404554	74,3
     40,5645	   0,0406838	74,4	   0,0407298	74,4
     40,5674	   0,0404536	74,3	   0,0403523	73,2
     40,5704	   0,0402111	74,9	   0,0408883	74,5
     40,5733	   0,0405481	74,4	   0,0409214	74,5
     40,5762	   0,0406353	74,7	   0,0402309	73,4
     40,5792	   0,0406902	74,8	   0,0408262	74,4
     40,5821	   0,0405845	74,7	   0,0404554	74,5
      40,585	   0,0409045	74,8	   0,0408781	74,3
      40,588	   0,0408374	74,7	    0,040477	73,9
     40,5909	   0,0410257	74,6	   0,0402577	73,8
     40,5938	   0,0409946	74,9	    0,040431	74,1
     40,5968	   0,0411364	74,5	   0,0404728	73,9
     40,5997	   0,0412098	74,8	    0,041146	74,5
     40,6026	   0,0412235	75,0	   0,0411451	75,3
     40,6056	   0,0411883	74,5	    0,041044	74,7
     40,6085	   0,0412743	74,9	   0,0411065	74,5
     40,6114	   0,0414651	74,6	   0,0411659	74,7
     40,6144	   0,0413463	74,6	   0,0408302	73,9
     40,6173	   0,0414374	74,8	   0,0415184	75,1
     40,6202	   0,0415332	74,4	   0,0413274	75,0
     40,6232	   0,0415719	74,6	   0,0411957	74,9
     40,6261	   0,0416199	74,9	   0,0418348	74,8
      40,629	   0,0414146	74,9	   0,0417618	75,2
      40,632	   0,0416521	74,7	   0,0415878	74,4
     40,6349	   0,0416542	74,7	   0,0415142	75,4
     40,6378	   0,0418542	74,7	   0,0413747	75,0
     40,6408	   0,0417459	74,8	   0,0414035	74,6
     40,6437	   0,0419488	74,8	   0,0419973	74,9
     40,6466	   0,0416151	74,8	   0,0418522	74,7
     40,6496	   0,0419647	74,9	   0,0418226	74,5
     40,6525	   0,0419853	74,9	   0,0417565	75,3
