X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	002: [07-09-24 14:12]		003: [07-09-24 14:16]	
        40,5	    0,050158	73,0	   0,0535097	73,6
     40,5029	   0,0523562	71,7	   0,0536084	73,6
     40,5059	   0,0536372	69,2	   0,0536455	73,6
     40,5088	   0,0539783	70,2	   0,0539017	73,2
     40,5117	   0,0546787	70,7	   0,0536071	74,0
     40,5147	   0,0550271	68,9	   0,0536286	73,8
     40,5176	   0,0546626	69,6	   0,0538302	73,1
     40,5205	   0,0548811	70,4	   0,0545834	71,0
     40,5235	   0,0553391	70,9	    0,054074	71,2
     40,5264	   0,0552585	71,6	   0,0542492	73,1
     40,5293	   0,0553895	71,6	   0,0542408	73,7
     40,5323	   0,0553282	69,5	   0,0544602	73,3
     40,5352	   0,0559776	72,2	   0,0544665	73,9
     40,5381	   0,0557614	71,9	   0,0542797	73,8
     40,5411	   0,0559128	71,5	   0,0541451	73,8
      40,544	    0,056016	70,6	   0,0545774	73,9
     40,5469	   0,0558996	71,7	   0,0545554	73,3
     40,5499	   0,0561668	69,6	   0,0542436	71,8
     40,5528	   0,0563288	71,9	   0,0551588	72,4
     40,5557	   0,0559683	71,7	    0,054801	70,9
     40,5587	   0,0558479	70,9	   0,0555133	70,6
     40,5616	    0,056193	69,6	   0,0548491	71,9
     40,5645	    0,056533	71,4	   0,0556316	72,3
     40,5674	   0,0555665	68,9	   0,0559259	71,2
     40,5704	   0,0560325	69,9	   0,0563845	71,7
     40,5733	   0,0560628	68,8	   0,0551582	70,9
     40,5762	   0,0568223	70,6	    0,055828	73,6
     40,5792	   0,0558553	69,6	   0,0553953	70,9
     40,5821	   0,0563208	70,6	   0,0560014	72,5
      40,585	   0,0569584	71,6	   0,0553426	71,3
      40,588	   0,0562725	69,8	   0,0560696	73,6
     40,5909	   0,0561641	70,3	   0,0555871	71,4
     40,5938	   0,0562404	68,6	   0,0559408	73,7
     40,5968	   0,0563099	70,3	   0,0560547	71,1
     40,5997	   0,0567182	70,0	   0,0562119	71,6
     40,6026	   0,0565655	70,2	   0,0559165	71,1
     40,6056	   0,0568786	69,8	   0,0559122	72,4
     40,6085	   0,0568088	69,2	   0,0566296	71,9
     40,6114	   0,0566434	70,2	   0,0576215	73,3
     40,6144	   0,0571774	69,4	   0,0558854	74,1
     40,6173	    0,057534	70,1	   0,0562585	73,4
     40,6202	   0,0577218	71,2	   0,0563967	71,1
     40,6232	   0,0573699	67,6	   0,0568493	71,2
     40,6261	   0,0575917	69,6	   0,0568705	72,4
      40,629	   0,0580377	71,5	   0,0567162	71,3
      40,632	   0,0572594	70,2	   0,0572702	70,6
     40,6349	   0,0572996	69,4	   0,0572991	73,9
     40,6378	   0,0577151	69,1	   0,0568757	71,2
     40,6408	   0,0578404	68,4	   0,0576306	71,3
     40,6437	   0,0584103	72,7	   0,0574875	71,6
     40,6466	   0,0579017	68,7	   0,0570944	71,1
     40,6496	   0,0575425	69,4	   0,0571535	71,8
     40,6525	   0,0579954	70,5	   0,0579036	71,4
     40,6554	    0,058784	71,2	   0,0576575	71,1
     40,6584	   0,0583124	69,6	   0,0577105	71,4
     40,6613	   0,0580549	69,3	   0,0578554	71,2
     40,6642	   0,0578068	69,3	   0,0577276	71,2
     40,6672	   0,0581479	69,2	   0,0573824	71,8
     40,6701	   0,0584938	70,3	   0,0576958	71,5
      40,673	    0,058669	69,7	   0,0582895	74,1
      40,676	   0,0589282	71,1	   0,0579318	72,0
     40,6789	    0,058411	69,6	    0,059022	71,5
     40,6818	   0,0588287	71,5	   0,0582037	71,3
     40,6847	   0,0596055	73,1	   0,0584902	72,5
     40,6877	   0,0595184	71,5	   0,0583901	74,3
     40,6906	   0,0595749	71,6	    0,057861	71,4
     40,6936	   0,0598154	73,4	   0,0593909	72,7
     40,6965	   0,0589217	69,3	   0,0580724	74,1
     40,6994	   0,0588876	69,9	   0,0581489	74,3
     40,7023	   0,0599725	71,0	   0,0589194	72,0
     40,7053	   0,0587508	70,2	   0,0592642	74,2
     40,7082	   0,0588401	70,0	   0,0579678	73,6
     40,7111	   0,0600363	73,0	   0,0584313	74,4
     40,7141	   0,0592093	69,7	   0,0589276	74,3
      40,717	   0,0609611	73,5	   0,0592627	73,8
     40,7199	   0,0609659	73,6	   0,0595376	74,0
     40,7229	   0,0598414	72,2	   0,0596518	73,9
     40,7258	   0,0593422	71,0	   0,0593642	71,6
     40,7287	    0,060515	72,4	   0,0610373	72,1
     40,7317	   0,0597488	70,7	   0,0606099	74,1
