X-Data [Hz]	Piezo (M - Filtered) [mV]	Phase [Deg]	Piezo (M - Filtered) [mV]	Phase [Deg]	
	002: [07-09-24 14:12]		003: [07-09-24 14:16]	
        40,5	     56,2033	-106,8	     62,8653	-108,2
     40,5029	     58,8216	-107,5	     62,9011	-108,5
     40,5059	     60,8812	-108,1	     62,8614	-108,1
     40,5088	     61,6928	-108,0	     63,0328	-108,0
     40,5117	     62,3876	-108,2	     63,1355	-107,9
     40,5147	      62,551	-108,0	     63,1266	-107,9
     40,5176	     62,9231	-108,2	     63,3079	-108,4
     40,5205	     62,8963	-108,1	     63,4929	-108,0
     40,5235	     63,2065	-107,9	       63,62	-108,1
     40,5264	     63,1622	-108,3	     63,5936	-108,2
     40,5293	     63,4284	-108,2	     63,8727	-108,0
     40,5323	      63,565	-107,7	      63,932	-108,1
     40,5352	     63,6343	-108,1	     63,9474	-107,7
     40,5381	     63,6946	-108,0	     64,1173	-107,8
     40,5411	     63,8118	-108,0	     64,1696	-108,0
      40,544	     63,8567	-108,2	     64,4061	-107,8
     40,5469	     64,0119	-108,0	     64,4709	-108,3
     40,5499	     64,2034	-108,4	     64,5135	-107,6
     40,5528	     64,3727	-107,8	     64,7911	-107,6
     40,5557	     64,3426	-107,9	     64,5952	-107,9
     40,5587	     64,4528	-108,2	     65,0885	-107,9
     40,5616	     64,6326	-107,9	      64,894	-108,1
     40,5645	     64,8371	-108,1	     65,1975	-107,9
     40,5674	     64,8147	-108,1	     65,1689	-107,5
     40,5704	     64,9748	-107,7	     65,4696	-107,7
     40,5733	     64,9439	-107,8	     65,3645	-107,9
     40,5762	     65,3286	-107,8	     65,6425	-107,7
     40,5792	     65,1965	-107,8	     65,6742	-108,0
     40,5821	     65,6292	-107,8	     65,9962	-107,7
      40,585	     65,4747	-107,5	     65,9068	-107,4
      40,588	     65,6536	-107,7	     65,9955	-107,8
     40,5909	     65,8894	-108,0	     66,2508	-107,6
     40,5938	     65,8428	-107,9	     66,1536	-107,4
     40,5968	      66,006	-107,6	     66,4287	-107,8
     40,5997	     66,0271	-107,6	     66,5124	-107,4
     40,6026	     66,2483	-107,6	     66,7925	-107,8
     40,6056	     66,3249	-107,8	     66,6865	-107,7
     40,6085	     66,3742	-107,4	     66,9582	-107,5
     40,6114	     66,5696	-107,6	     66,9954	-107,2
     40,6144	     66,6044	-107,8	     67,0404	-107,6
     40,6173	      66,962	-107,5	      67,351	-107,2
     40,6202	     66,7552	-107,3	     67,2649	-107,7
     40,6232	     67,1319	-107,6	     67,7497	-107,5
     40,6261	     66,9191	-107,2	     67,5198	-107,6
      40,629	     67,5048	-107,5	     67,8004	-107,4
      40,632	     67,2352	-107,7	     67,7792	-107,6
     40,6349	     67,5007	-107,1	     68,1808	-107,2
     40,6378	      67,771	-107,6	     68,1108	-107,5
     40,6408	     67,6881	-107,5	     68,3757	-107,3
     40,6437	     67,9222	-107,3	     68,3444	-107,0
     40,6466	     68,0005	-107,5	     68,5462	-107,2
     40,6496	     68,0244	-107,2	      68,804	-107,3
     40,6525	     68,2578	-107,0	     68,7498	-107,0
     40,6554	     68,5119	-107,6	     68,7593	-107,4
     40,6584	     68,3734	-107,2	     69,2808	-107,4
     40,6613	     68,6508	-107,2	     68,9188	-107,0
     40,6642	     68,6908	-107,3	     69,4926	-107,4
     40,6672	      69,005	-107,0	     69,3404	-106,9
     40,6701	     69,0369	-107,0	     69,5601	-107,0
      40,673	     69,1158	-107,0	      69,562	-106,9
      40,676	     69,2778	-106,9	     69,8725	-107,0
     40,6789	     69,3095	-107,2	     69,9586	-106,8
     40,6818	      69,652	-107,4	     70,0133	-107,2
     40,6847	     69,6104	-107,4	     70,3591	-107,3
     40,6877	     69,7858	-107,4	     70,1966	-106,9
     40,6906	     69,9433	-107,2	     70,5834	-107,1
     40,6936	     69,9567	-107,1	      70,564	-107,1
     40,6965	     70,1588	-107,2	     70,8409	-106,9
     40,6994	      70,264	-107,3	     70,8112	-107,0
     40,7023	     70,4855	-107,0	     71,1561	-106,8
     40,7053	     70,5895	-107,2	     71,0462	-107,0
     40,7082	     70,8724	-107,4	      71,243	-107,2
     40,7111	     70,9212	-107,2	     71,6635	-107,2
     40,7141	     71,0191	-107,1	     71,5004	-107,0
      40,717	     71,2219	-107,2	     71,7686	-107,0
     40,7199	     71,2808	-106,8	     71,9569	-107,3
     40,7229	     71,4416	-107,1	     71,9469	-106,8
     40,7258	     71,5777	-107,3	     72,4143	-106,9
     40,7287	     71,7801	-106,7	     72,2072	-106,9
     40,7317	     72,0146	-107,1	      72,553	-106,7
     40,7346	     71,9092	-107,2	     72,6582	-106,8
     40,7375	     72,1497	-106,9	     72,6431	-106,7
     40,7405	     72,2295	-107,2	      72,989	-106,8
     40,7434	     72,4894	-107,0	     73,0256	-106,6
     40,7463	     72,4231	-106,7	     73,1638	-107,1
     40,7493	     72,6536	-106,8	      73,446	-106,4
     40,7522	     72,8134	-106,8	     73,4882	-106,5
     40,7551	     73,0152	-106,7	      73,584	-106,6
     40,7581	     73,0662	-106,9	     73,7028	-106,5
      40,761	     73,1945	-106,9	     74,0342	-106,5
     40,7639	     73,3687	-106,7	     74,1582	-106,4
     40,7669	     73,5186	-106,4	     74,0382	-106,7
     40,7698	     73,7343	-106,8	     74,3117	-106,3
     40,7727	     73,8613	-106,4	     74,5975	-106,6
     40,7757	     74,0309	-106,5	       74,71	-106,3
     40,7786	     74,0999	-106,4	     74,6494	-106,3
     40,7815	      74,303	-106,5	     74,9451	-106,6
     40,7845	     74,4747	-106,4	     75,1529	-106,7
