X-Data [Hz]	Piezo (M - Filtered) [mV]	Phase [Deg]	Piezo (M - Filtered) [mV]	Phase [Deg]	
	002: [07-08-24 08:36]		003: [07-08-24 08:41]	
          41	      876,23	78,5	     1029,44	77,2
     41,0029	     954,504	77,7	      1030,6	77,1
     41,0059	     984,954	77,1	     1035,04	77,2
     41,0088	     1005,52	77,3	     1033,74	77,1
     41,0117	     1013,11	76,9	      1039,8	77,0
     41,0147	     1019,36	77,1	      1041,7	77,4
     41,0176	     1026,08	76,9	     1041,66	77,4
     41,0205	     1026,76	77,2	     1045,91	77,2
     41,0235	      1030,9	77,0	      1046,1	77,3
     41,0264	     1033,69	77,0	     1050,05	77,4
     41,0293	     1036,62	77,2	     1050,58	77,5
     41,0323	     1038,44	77,2	      1053,3	77,3
     41,0352	     1040,64	77,1	     1055,31	77,6
     41,0381	     1043,44	77,0	     1058,76	77,4
     41,0411	     1042,91	77,0	     1061,97	77,3
      41,044	      1048,4	77,3	     1063,49	77,5
     41,0469	     1050,21	77,1	     1068,71	77,7
     41,0499	     1050,73	77,2	     1068,52	77,7
     41,0528	      1055,9	77,3	     1070,51	77,5
     41,0557	     1056,08	77,3	     1071,89	77,4
     41,0587	      1059,6	77,3	     1076,47	77,8
     41,0616	      1062,4	77,2	     1077,36	77,9
     41,0645	     1064,69	77,4	      1080,8	77,7
     41,0674	     1065,94	77,5	     1082,54	77,7
     41,0704	     1068,49	77,3	      1086,3	77,9
     41,0733	     1071,09	77,4	     1090,05	77,9
     41,0762	     1074,45	77,5	     1090,14	78,0
     41,0792	     1075,44	77,6	     1096,07	77,7
     41,0821	     1078,55	77,6	     1097,89	78,0
      41,085	     1083,14	77,5	     1098,98	78,0
      41,088	     1082,95	77,5	     1101,06	78,0
     41,0909	      1085,3	77,8	      1103,4	77,8
     41,0938	     1090,35	77,4	      1107,5	78,1
     41,0968	     1090,76	77,6	     1109,45	78,0
     41,0997	     1092,35	77,6	      1112,9	78,1
     41,1026	     1096,49	77,8	     1115,05	77,9
     41,1056	     1098,63	77,9	     1118,84	78,1
     41,1085	     1101,03	77,7	     1119,63	78,3
     41,1114	     1104,38	77,9	     1123,62	78,1
     41,1144	     1106,85	77,8	     1125,77	78,3
     41,1173	     1109,63	78,1	     1128,99	78,3
     41,1202	     1113,81	77,8	     1131,04	78,5
     41,1232	     1113,27	77,8	     1135,18	78,3
     41,1261	     1118,07	77,8	     1138,14	78,1
      41,129	     1120,76	78,1	     1142,09	78,3
      41,132	     1120,74	77,9	     1143,94	78,5
     41,1349	     1126,17	78,0	     1146,68	78,7
     41,1378	     1129,55	78,0	     1149,29	78,5
     41,1408	     1130,29	78,0	     1153,25	78,5
     41,1437	     1134,23	77,9	     1155,65	78,7
     41,1466	     1136,99	77,9	     1156,22	78,6
     41,1496	      1138,6	78,0	     1161,93	78,5
     41,1525	     1139,83	78,3	     1164,88	78,4
     41,1554	     1145,06	78,3	     1167,18	78,4
     41,1584	     1147,45	78,1	     1169,71	78,8
     41,1613	     1152,13	78,1	     1175,09	78,6
     41,1642	     1152,95	78,2	     1176,03	78,7
     41,1672	     1155,67	78,4	     1176,92	78,6
     41,1701	     1157,61	78,5	     1184,53	78,6
      41,173	     1162,95	78,3	     1184,64	78,8
      41,176	     1164,11	78,5	     1187,63	78,6
     41,1789	     1168,96	78,3	     1192,46	78,8
     41,1818	     1169,99	78,7	     1194,42	78,8
     41,1847	     1173,55	78,6	     1200,53	78,9
     41,1877	     1175,81	78,5	     1201,98	79,2
     41,1906	     1180,46	78,5	     1204,81	79,0
     41,1936	     1181,12	78,7	     1208,68	78,9
     41,1965	     1186,39	78,8	     1210,67	78,9
     41,1994	     1189,32	78,4	     1215,92	79,3
     41,2023	     1192,79	78,6	     1218,47	79,2
     41,2053	     1196,21	78,6	     1221,98	79,1
     41,2082	     1198,61	78,9	     1225,61	79,0
     41,2111	     1203,07	78,5	     1228,97	79,2
     41,2141	     1203,41	78,9	     1232,27	79,4
      41,217	     1210,14	78,8	     1236,97	79,2
     41,2199	     1211,14	78,9	     1240,38	79,2
     41,2229	     1213,78	78,9	     1242,62	79,3
     41,2258	     1217,68	78,8	     1246,77	79,5
     41,2287	     1221,89	78,8	     1250,15	79,5
     41,2317	      1224,4	78,9	     1252,89	79,4
     41,2346	     1227,22	79,0	     1258,12	79,5
     41,2375	     1231,38	79,0	     1260,91	79,5
     41,2405	     1233,29	79,0	     1266,39	79,7
     41,2434	     1236,66	78,9	     1268,32	79,9
     41,2463	     1240,35	79,0	     1272,55	79,6
     41,2493	     1245,02	79,3	     1275,43	79,6
     41,2522	     1248,33	79,4	     1280,27	79,8
     41,2551	     1251,54	79,3	     1282,73	80,0
     41,2581	     1253,68	79,2	     1288,49	79,9
      41,261	     1258,43	79,3	     1292,11	80,0
     41,2639	     1262,83	79,6	     1296,22	79,8
     41,2669	     1265,27	79,6	      1299,6	80,1
     41,2698	     1269,96	79,5	     1304,85	80,2
     41,2727	     1272,46	79,4	      1306,9	80,1
     41,2757	     1277,15	79,6	     1313,78	80,1
     41,2786	     1281,14	79,9	     1316,69	80,1
     41,2815	     1285,62	80,0	     1319,32	80,2
     41,2845	     1290,25	79,8	     1324,34	80,4
     41,2874	     1290,23	79,7	     1330,79	80,3
     41,2903	     1297,14	79,9	      1333,5	80,5
     41,2933	     1300,46	79,9	     1334,73	80,4
     41,2962	      1302,1	80,0	     1342,25	80,3
     41,2991	     1308,06	79,9	     1348,57	80,6
