X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	002: [07-08-24 08:26]		003: [07-08-24 08:30]	
          41	   0,0708577	71,8	    0,081456	72,0
     41,0029	   0,0758532	72,2	   0,0814101	71,8
     41,0059	   0,0777092	71,0	   0,0819331	72,1
     41,0088	   0,0793848	71,9	   0,0818576	72,1
     41,0117	   0,0795376	70,7	   0,0815274	71,6
     41,0147	   0,0799817	71,6	   0,0824025	72,1
     41,0176	   0,0807971	72,0	    0,082149	71,6
     41,0205	   0,0806699	71,5	   0,0823969	71,8
     41,0235	   0,0809479	71,6	   0,0823322	71,9
     41,0264	   0,0812917	71,9	   0,0828362	72,2
     41,0293	   0,0805942	70,9	       0,083	72,0
     41,0323	   0,0809268	70,9	    0,082631	71,9
     41,0352	   0,0809603	71,7	   0,0832006	72,3
     41,0381	   0,0818273	71,8	   0,0831378	71,7
     41,0411	   0,0813067	71,1	   0,0834392	72,0
      41,044	   0,0815199	72,5	   0,0832752	72,2
     41,0469	   0,0822164	72,0	   0,0834244	72,2
     41,0499	   0,0812319	71,3	   0,0840365	72,6
     41,0528	   0,0822677	71,4	   0,0834068	71,8
     41,0557	   0,0818719	71,1	    0,083731	72,1
     41,0587	    0,082832	72,0	   0,0842957	72,4
     41,0616	   0,0822908	70,9	   0,0842497	72,2
     41,0645	   0,0816745	71,9	   0,0846374	72,4
     41,0674	   0,0829791	72,3	   0,0846656	72,4
     41,0704	   0,0819273	71,6	   0,0850196	72,5
     41,0733	   0,0834727	72,1	   0,0849119	72,6
     41,0762	   0,0825595	72,7	   0,0846819	72,2
     41,0792	   0,0837703	72,4	   0,0849984	72,6
     41,0821	   0,0837809	72,1	   0,0852852	72,5
      41,085	   0,0835511	72,0	   0,0853987	72,6
      41,088	   0,0835922	73,2	   0,0859973	72,4
     41,0909	   0,0824587	71,4	    0,085891	72,3
     41,0938	   0,0834432	72,2	     0,08587	72,3
     41,0968	   0,0833881	72,3	   0,0860045	72,2
     41,0997	   0,0842048	73,6	   0,0863354	72,4
     41,1026	   0,0836546	72,9	   0,0863912	72,2
     41,1056	   0,0845276	72,4	   0,0865329	72,5
     41,1085	   0,0837724	72,7	   0,0871238	72,9
     41,1114	   0,0847148	73,0	   0,0869554	72,7
     41,1144	     0,08552	72,3	   0,0871523	72,6
     41,1173	   0,0844807	71,4	    0,087248	73,1
     41,1202	    0,085141	72,3	     0,08763	72,9
     41,1232	   0,0851689	72,6	   0,0874915	72,3
     41,1261	   0,0851242	73,7	   0,0877521	72,4
      41,129	   0,0854266	73,0	   0,0877476	72,8
      41,132	   0,0854288	73,5	   0,0880152	72,6
     41,1349	   0,0855765	72,0	   0,0881642	72,8
     41,1378	   0,0861935	72,3	   0,0886602	72,9
     41,1408	   0,0855547	71,9	   0,0886232	72,6
     41,1437	   0,0852703	71,5	   0,0889077	73,2
     41,1466	   0,0852303	73,1	   0,0886407	72,7
     41,1496	   0,0860622	74,0	    0,089005	72,5
     41,1525	   0,0854804	73,2	   0,0892323	72,9
     41,1554	   0,0863919	73,7	   0,0893376	72,6
     41,1584	   0,0865644	73,1	    0,088999	72,3
     41,1613	    0,087838	72,2	   0,0897871	72,9
     41,1642	   0,0869398	73,1	   0,0896606	73,1
     41,1672	   0,0874705	72,0	   0,0899409	72,8
     41,1701	   0,0877212	72,5	   0,0898303	73,3
      41,173	   0,0875546	72,6	   0,0902232	72,2
      41,176	   0,0870358	72,7	   0,0909564	73,2
     41,1789	   0,0879644	73,5	    0,090668	72,0
     41,1818	      0,0876	73,6	   0,0911183	72,7
     41,1847	   0,0883405	72,7	   0,0912791	72,8
     41,1877	   0,0884348	72,4	   0,0908367	72,8
     41,1906	   0,0892189	73,4	   0,0914529	73,2
     41,1936	   0,0886554	72,2	   0,0918222	73,5
     41,1965	   0,0883343	73,7	   0,0917383	73,1
     41,1994	   0,0893438	72,9	   0,0919596	72,8
     41,2023	   0,0887942	73,3	   0,0915877	72,0
     41,2053	   0,0889613	71,7	   0,0919845	72,5
     41,2082	   0,0900937	72,3	   0,0927107	73,5
     41,2111	   0,0895493	73,1	   0,0929373	73,4
     41,2141	   0,0901895	72,6	   0,0925443	73,7
      41,217	   0,0896775	72,7	   0,0931485	73,2
     41,2199	   0,0900115	73,6	   0,0933608	72,7
     41,2229	   0,0901572	72,9	   0,0930267	72,5
     41,2258	   0,0902316	72,0	   0,0941043	73,6
     41,2287	   0,0900557	73,5	    0,093618	73,2
     41,2317	   0,0912838	72,9	   0,0934665	73,3
     41,2346	   0,0907268	73,3	   0,0943731	73,7
     41,2375	   0,0908747	73,6	   0,0944022	73,6
     41,2405	   0,0915325	73,6	   0,0949719	73,8
     41,2434	   0,0912613	72,3	   0,0945373	72,7
     41,2463	   0,0925686	73,3	   0,0951488	73,5
     41,2493	   0,0904982	73,0	   0,0938546	72,3
     41,2522	   0,0919306	73,4	   0,0968951	73,4
     41,2551	   0,0926113	73,9	   0,0953449	75,1
     41,2581	   0,0930916	73,3	   0,0957258	73,0
      41,261	   0,0929993	74,3	    0,103121	72,1
     41,2639	   0,0926434	73,4	   0,0972456	80,3
     41,2669	   0,0924849	72,3	   0,0820559	71,8
     41,2698	   0,0923457	73,6	    0,131291	58,8
     41,2727	   0,0936458	74,0	    0,206711	75,6
     41,2757	   0,0942358	73,5	    0,246265	91,0
     41,2786	   0,0943658	74,1	     0,27097	102,6
     41,2815	    0,094232	73,6	    0,284964	111,5
     41,2845	   0,0953662	74,5	     0,29549	118,5
     41,2874	   0,0931421	73,9	    0,302313	123,7
