X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	002: [07-05-24 16:17]	
       41,25	  0,00339684	70,3
     41,2522	  0,00364257	77,2
     41,2544	  0,00371318	74,7
     41,2566	  0,00365941	68,8
     41,2588	  0,00357104	72,0
      41,261	  0,00367808	73,0
     41,2632	  0,00373652	71,5
     41,2654	  0,00369333	75,5
     41,2676	  0,00363672	68,5
     41,2698	  0,00356961	70,8
      41,272	  0,00365627	76,0
     41,2742	  0,00365747	72,3
     41,2764	   0,0036987	73,5
     41,2786	  0,00374058	76,2
     41,2808	  0,00371554	71,3
      41,283	  0,00363298	69,8
     41,2852	  0,00368275	75,7
     41,2874	  0,00364859	74,4
     41,2896	  0,00371456	77,0
     41,2918	  0,00376362	71,4
      41,294	  0,00369698	73,9
     41,2962	  0,00375172	73,5
     41,2984	  0,00374595	73,2
     41,3006	  0,00367549	65,8
     41,3028	  0,00370195	76,1
      41,305	  0,00379392	73,0
     41,3072	  0,00369465	67,2
     41,3094	  0,00375651	77,6
     41,3116	   0,0037105	73,8
     41,3138	   0,0038026	71,0
      41,316	  0,00386094	72,9
     41,3182	  0,00373623	68,4
     41,3204	    0,003727	74,8
     41,3226	  0,00381344	76,3
     41,3248	  0,00377598	64,1
      41,327	  0,00369481	75,4
     41,3292	   0,0037259	75,4
     41,3314	  0,00379315	68,4
     41,3336	  0,00378523	77,3
     41,3358	  0,00373189	71,7
      41,338	  0,00388809	71,1
     41,3402	  0,00380227	78,8
     41,3424	  0,00380343	71,4
     41,3446	  0,00380847	73,0
     41,3468	  0,00374755	75,6
      41,349	  0,00379988	71,0
     41,3512	  0,00391254	78,8
     41,3534	  0,00384671	70,4
     41,3556	  0,00388071	74,3
     41,3578	   0,0039489	76,7
       41,36	  0,00389955	67,8
     41,3622	  0,00384295	70,6
     41,3644	  0,00388742	74,6
     41,3666	  0,00388989	72,1
     41,3688	  0,00379949	73,6
      41,371	  0,00385327	70,9
     41,3732	  0,00394612	73,6
     41,3754	  0,00403934	78,3
     41,3776	  0,00387431	68,3
     41,3798	  0,00385615	74,7
      41,382	  0,00402091	77,6
     41,3842	  0,00397258	68,4
     41,3864	  0,00394874	73,7
     41,3886	   0,0038406	73,2
     41,3908	  0,00390781	74,1
      41,393	  0,00400561	74,0
     41,3952	  0,00392547	75,9
     41,3974	  0,00390171	71,2
     41,3996	  0,00397465	74,7
     41,4018	  0,00397017	71,2
      41,404	  0,00396109	71,4
     41,4062	  0,00386499	73,3
     41,4084	  0,00398208	71,4
     41,4106	  0,00404054	81,7
     41,4128	  0,00401873	71,3
      41,415	  0,00403421	68,8
     41,4172	  0,00390178	77,8
     41,4194	  0,00386252	68,9
     41,4216	  0,00405369	74,7
     41,4238	  0,00405274	76,9
      41,426	   0,0041378	69,8
     41,4282	  0,00408757	72,3
     41,4304	  0,00392553	70,9
     41,4326	  0,00399817	74,1
     41,4347	  0,00407307	78,0
      41,437	  0,00398282	69,0
     41,4391	  0,00397287	75,9
     41,4413	  0,00412351	78,5
     41,4436	  0,00415613	67,3
     41,4457	  0,00403194	73,4
     41,4479	  0,00390742	74,1
     41,4501	  0,00404065	77,8
     41,4523	  0,00416639	72,3
     41,4545	  0,00411197	71,1
     41,4567	  0,00400662	74,6
     41,4589	  0,00404647	71,7
     41,4611	  0,00409785	74,7
     41,4633	  0,00404721	76,0
     41,4655	  0,00412976	74,1
     41,4677	  0,00417396	71,6
     41,4699	  0,00412058	67,8
