X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	002: [07-10-24 10:51]		003: [07-10-24 10:54]	
        41,5	  0,00640562	76,2	  0,00637513	78,5
      41,502	  0,00628403	76,7	  0,00632023	78,8
     41,5039	  0,00623877	78,0	  0,00638065	74,3
     41,5059	  0,00628575	77,1	  0,00649053	73,4
     41,5078	  0,00633356	76,9	  0,00641084	82,4
     41,5098	  0,00645968	80,0	  0,00629143	77,4
     41,5117	  0,00650764	75,6	  0,00653095	78,8
     41,5137	  0,00651589	77,5	   0,0064948	77,1
     41,5156	  0,00647128	77,9	  0,00642733	79,7
     41,5176	  0,00640943	78,4	  0,00647117	76,7
     41,5196	  0,00648779	76,8	  0,00646359	78,7
     41,5215	  0,00647132	74,4	  0,00643993	80,1
     41,5235	  0,00641261	79,5	  0,00652983	73,4
     41,5254	  0,00649126	76,8	  0,00649405	79,6
     41,5274	  0,00645081	82,4	  0,00656448	74,7
     41,5293	  0,00646579	78,2	  0,00664766	79,3
     41,5313	  0,00648105	80,4	  0,00667142	76,2
     41,5332	  0,00652421	80,6	  0,00653155	77,4
     41,5352	  0,00650196	77,6	  0,00648025	79,9
     41,5371	  0,00652888	79,0	  0,00654576	75,0
     41,5391	  0,00655534	74,9	  0,00659858	80,4
     41,5411	  0,00655105	76,7	  0,00657452	78,8
      41,543	  0,00662038	76,4	  0,00655598	79,7
      41,545	  0,00662254	75,4	  0,00668988	77,8
     41,5469	  0,00658045	79,6	  0,00674352	79,5
     41,5489	  0,00653171	77,6	  0,00666056	80,2
     41,5508	  0,00664599	79,7	  0,00659441	77,5
     41,5528	  0,00664692	75,1	  0,00661959	79,9
     41,5547	  0,00665563	75,0	  0,00658494	77,6
     41,5567	   0,0066704	79,4	   0,0066467	76,3
     41,5587	  0,00669113	77,2	  0,00669657	81,0
     41,5606	  0,00663191	80,8	  0,00672306	78,9
     41,5626	  0,00667228	80,4	  0,00667237	82,2
     41,5645	  0,00665132	77,9	  0,00668075	75,7
     41,5665	  0,00660053	79,0	  0,00666925	77,5
     41,5684	  0,00675663	80,9	  0,00672824	76,5
     41,5704	  0,00687699	82,3	  0,00670563	77,3
     41,5723	  0,00682245	76,1	  0,00675444	78,8
     41,5743	  0,00673459	76,3	  0,00676772	77,4
     41,5762	  0,00662795	76,3	  0,00680555	80,7
     41,5782	  0,00663489	75,9	  0,00678128	79,1
     41,5802	  0,00679171	82,0	  0,00674885	83,0
     41,5821	  0,00681237	78,6	  0,00667459	81,3
     41,5841	  0,00677964	78,3	  0,00687367	76,6
      41,586	  0,00679468	77,7	  0,00690602	79,1
      41,588	  0,00677158	78,6	  0,00693068	79,8
     41,5899	  0,00673562	79,4	  0,00681794	81,0
     41,5919	   0,0068222	80,6	  0,00682881	75,8
     41,5938	  0,00685647	79,8	  0,00682587	78,1
     41,5958	  0,00681405	76,4	  0,00688557	79,8
     41,5978	  0,00686558	76,9	  0,00697396	76,4
     41,5997	  0,00695954	80,2	  0,00695287	81,7
     41,6017	  0,00702162	75,7	  0,00697876	79,9
     41,6036	  0,00699888	81,2	  0,00697763	80,3
     41,6056	  0,00693742	81,5	   0,0069562	82,0
     41,6075	  0,00685286	79,9	  0,00699065	77,8
     41,6095	  0,00694588	81,3	  0,00688519	80,2
     41,6114	   0,0069755	76,8	  0,00695712	76,4
     41,6134	  0,00695552	80,9	  0,00697616	78,9
     41,6153	  0,00701919	77,4	  0,00698397	79,5
     41,6173	  0,00699002	77,7	  0,00698079	77,2
     41,6193	  0,00693849	76,2	  0,00705056	80,5
     41,6212	  0,00690465	77,7	  0,00702317	79,1
     41,6232	  0,00699616	79,3	  0,00703642	81,8
     41,6251	  0,00700655	78,0	  0,00704454	81,0
     41,6271	  0,00705849	81,5	  0,00709252	76,7
      41,629	  0,00700442	81,3	  0,00715997	80,0
      41,631	  0,00703038	78,5	  0,00715595	80,9
     41,6329	  0,00708146	81,5	  0,00702475	81,3
     41,6349	  0,00700835	77,2	   0,0070332	80,7
     41,6369	  0,00702734	80,6	  0,00713258	78,1
     41,6388	  0,00707328	83,4	  0,00716026	81,6
     41,6408	  0,00714484	78,4	  0,00708784	78,5
     41,6427	  0,00712164	81,5	   0,0071427	81,0
     41,6447	  0,00713448	77,7	   0,0072712	77,0
     41,6466	  0,00712347	76,3	  0,00731595	75,5
     41,6486	  0,00719649	80,1	  0,00735201	82,4
     41,6505	   0,0072551	75,6	  0,00724485	78,8
     41,6525	  0,00722464	81,6	  0,00714859	79,5
     41,6544	    0,007125	79,0	  0,00712426	81,3
     41,6564	  0,00706493	80,1	  0,00724918	77,8
     41,6584	  0,00712141	83,3	  0,00733297	83,0
     41,6603	  0,00727336	78,6	   0,0073734	78,3
     41,6623	  0,00737955	81,2	  0,00732722	81,2
     41,6642	  0,00729966	77,9	  0,00725824	78,8
     41,6662	  0,00728558	78,5	  0,00724443	77,8
     41,6681	  0,00723042	79,5	  0,00740659	78,6
     41,6701	  0,00725112	76,3	  0,00741401	77,5
      41,672	  0,00731217	80,1	  0,00743535	82,0
      41,674	  0,00738445	79,3	  0,00738025	83,1
      41,676	  0,00734144	80,4	  0,00741356	81,8
     41,6779	  0,00727684	80,4	  0,00737013	81,9
     41,6799	    0,007329	77,6	   0,0073126	77,5
     41,6818	  0,00737835	81,8	  0,00741729	79,0
     41,6838	  0,00733216	80,7	  0,00751599	80,1
     41,6857	  0,00734905	79,4	   0,0075024	79,4
     41,6877	  0,00737785	82,3	  0,00748945	82,6
     41,6896	  0,00749774	77,2	  0,00745784	80,4
     41,6916	  0,00749007	79,5	  0,00741055	78,8
     41,6936	  0,00742135	79,7	  0,00743614	79,1
     41,6955	  0,00741119	78,7	  0,00747546	78,2
     41,6975	  0,00747617	82,2	  0,00751822	83,4
     41,6994	  0,00746575	79,5	  0,00747102	83,4
     41,7014	  0,00744322	79,8	  0,00751355	81,2
     41,7033	  0,00741903	81,9	  0,00754084	82,8
     41,7053	  0,00742224	79,6	    0,007579	76,7
     41,7072	    0,007473	81,5	   0,0076004	80,7
     41,7092	  0,00752583	81,1	  0,00758678	79,9
     41,7111	  0,00758357	80,1	  0,00764587	77,3
     41,7131	  0,00750974	83,5	  0,00760429	79,9
     41,7151	  0,00755411	78,5	  0,00765696	79,6
      41,717	  0,00761523	82,1	  0,00758839	82,5
      41,719	  0,00761138	78,5	  0,00760133	79,4
     41,7209	  0,00754113	77,1	  0,00765873	78,8
     41,7229	  0,00752255	82,7	  0,00777604	83,8
     41,7248	    0,007626	82,6	  0,00767215	81,1
     41,7268	  0,00773291	82,3	  0,00760629	80,5
     41,7287	  0,00768237	78,7	   0,0077627	77,6
     41,7307	  0,00766836	78,5	  0,00774398	78,7
     41,7327	  0,00775243	82,5	  0,00774884	81,0
     41,7346	  0,00778918	79,6	  0,00779547	77,9
     41,7366	  0,00778656	78,1	  0,00799776	82,8
     41,7385	  0,00773094	82,3	  0,00794721	83,5
     41,7405	  0,00776607	80,8	  0,00793366	81,1
     41,7424	  0,00783813	82,0	  0,00782841	84,4
     41,7444	  0,00776939	82,2	  0,00780213	80,5
     41,7463	   0,0077185	80,3	    0,007795	79,9
     41,7483	  0,00772159	82,0	  0,00792116	81,1
     41,7502	  0,00785617	79,7	  0,00793329	79,3
     41,7522	  0,00786857	82,3	  0,00790394	79,9
     41,7542	  0,00790661	80,8	  0,00786341	82,1
     41,7561	  0,00792225	79,7	  0,00781902	80,7
     41,7581	  0,00793878	82,5	  0,00794373	82,2
       41,76	  0,00791651	79,0	  0,00800051	80,3
      41,762	  0,00783394	83,5	   0,0080021	82,9
     41,7639	  0,00788883	85,5	  0,00803064	83,6
     41,7659	   0,0079503	81,7	  0,00806649	80,7
     41,7678	  0,00801232	83,4	  0,00798491	81,7
     41,7698	  0,00804097	85,7	  0,00797751	78,6
     41,7718	  0,00796731	78,6	  0,00808012	79,8
     41,7737	    0,007965	80,3	  0,00811412	82,7
     41,7757	  0,00794086	80,8	   0,0080464	81,0
     41,7776	  0,00801251	78,5	  0,00805558	83,4
     41,7796	  0,00804194	85,9	  0,00807071	82,6
     41,7815	  0,00814126	81,7	  0,00809291	79,0
     41,7835	  0,00815921	83,7	   0,0081552	84,1
     41,7854	  0,00824949	84,5	   0,0082008	81,1
     41,7874	  0,00818581	79,3	  0,00818542	82,1
     41,7893	  0,00815166	83,0	  0,00822866	83,8
     41,7913	  0,00819138	80,2	  0,00833845	79,6
     41,7933	  0,00821951	78,6	  0,00847932	81,5
     41,7952	  0,00820969	84,8	  0,00833487	82,3
     41,7972	  0,00820672	84,7	  0,00828002	80,3
     41,7991	  0,00816843	82,1	  0,00823935	84,3
     41,8011	  0,00815082	82,7	  0,00826406	82,0
      41,803	  0,00814719	79,5	  0,00825169	84,2
      41,805	  0,00817796	82,8	  0,00824148	84,3
     41,8069	  0,00831133	81,7	  0,00838109	79,6
     41,8089	  0,00832557	82,0	  0,00844446	81,5
     41,8109	  0,00836163	83,8	  0,00852509	79,1
     41,8128	  0,00834212	81,8	  0,00856306	80,3
     41,8148	  0,00835808	82,9	  0,00857404	84,2
     41,8167	  0,00832338	83,4	  0,00844733	83,1
     41,8187	  0,00831701	84,0	  0,00845801	80,1
     41,8206	  0,00834655	83,4	  0,00841118	81,2
     41,8226	  0,00837948	86,8	  0,00844331	80,4
     41,8245	  0,00839153	83,7	   0,0085656	83,5
     41,8265	  0,00845859	86,1	  0,00863078	81,7
     41,8284	  0,00847301	79,6	  0,00871462	82,6
     41,8304	  0,00849115	81,4	  0,00873876	83,3
     41,8324	  0,00853616	84,0	  0,00866819	84,7
     41,8343	  0,00854614	81,8	  0,00862767	81,7
     41,8363	  0,00849495	84,0	  0,00865491	83,6
     41,8382	  0,00854872	83,4	  0,00868032	78,5
     41,8402	  0,00857801	82,7	  0,00871425	82,9
     41,8421	  0,00866246	86,2	  0,00869938	82,8
     41,8441	  0,00877637	81,9	  0,00874515	80,0
      41,846	   0,0087198	82,1	  0,00875652	86,0
      41,848	  0,00864946	82,7	  0,00876669	81,3
       41,85	  0,00867034	84,0	  0,00885179	82,1
     41,8519	  0,00870407	85,5	  0,00890072	82,8
     41,8539	  0,00882657	85,7	  0,00887054	82,5
     41,8558	  0,00882758	84,0	  0,00888252	84,1
     41,8578	  0,00881311	82,4	  0,00873816	86,4
     41,8597	   0,0087666	83,0	  0,00880997	81,1
     41,8617	  0,00879563	82,4	  0,00898233	85,3
     41,8636	  0,00875656	85,4	  0,00900115	86,3
     41,8656	  0,00876988	82,1	  0,00903474	81,0
     41,8675	  0,00878622	82,3	  0,00900684	83,7
     41,8695	  0,00877184	85,6	  0,00896719	82,1
     41,8715	  0,00883779	84,0	  0,00894185	79,8
     41,8734	  0,00885117	81,9	  0,00890026	85,8
     41,8754	  0,00889184	84,9	  0,00894672	81,3
     41,8773	  0,00885295	82,7	  0,00902365	83,2
     41,8793	  0,00904375	84,6	  0,00901414	87,9
     41,8812	   0,0090057	84,5	  0,00894893	82,2
     41,8832	  0,00895994	82,5	  0,00898293	84,1
     41,8851	  0,00899221	82,5	  0,00898764	82,0
     41,8871	  0,00894706	85,3	  0,00911116	80,4
     41,8891	  0,00900704	84,3	  0,00921861	85,4
      41,891	   0,0090832	85,3	  0,00926125	84,2
      41,893	  0,00907427	81,8	   0,0092337	86,4
     41,8949	  0,00898269	82,0	  0,00921686	86,0
     41,8969	  0,00906085	86,7	  0,00932368	80,8
     41,8988	    0,009153	86,5	  0,00941613	83,5
     41,9008	  0,00920888	84,8	  0,00939554	85,2
     41,9027	  0,00919221	89,1	  0,00935419	82,0
     41,9047	  0,00923238	83,1	  0,00934219	85,0
     41,9066	  0,00923571	85,9	   0,0093845	84,7
     41,9086	  0,00928471	84,1	  0,00946673	83,1
     41,9106	  0,00928304	81,7	  0,00947595	84,6
     41,9125	  0,00938354	85,7	  0,00948576	81,7
     41,9145	  0,00934022	85,9	   0,0095312	82,3
     41,9164	  0,00936189	84,1	  0,00948556	85,2
     41,9184	  0,00936951	85,5	  0,00950835	82,4
     41,9203	  0,00933819	83,9	  0,00957417	84,8
     41,9223	   0,0093778	82,1	  0,00951884	89,1
     41,9242	  0,00935213	85,5	  0,00959762	82,7
     41,9262	  0,00940052	85,0	  0,00958658	83,9
     41,9282	  0,00949165	83,3	  0,00963052	86,0
     41,9301	  0,00956603	86,6	  0,00959617	84,3
     41,9321	   0,0095746	85,0	  0,00958049	87,1
      41,934	  0,00956161	84,8	  0,00958431	87,5
      41,936	  0,00950232	87,6	  0,00967612	85,2
     41,9379	  0,00951903	83,6	   0,0097673	86,9
     41,9399	  0,00955222	84,2	  0,00987965	83,5
     41,9418	  0,00958662	87,4	  0,00983566	84,6
     41,9438	  0,00961174	83,2	  0,00971379	85,2
     41,9457	  0,00957266	85,4	  0,00976459	84,5
     41,9477	  0,00963305	87,2	  0,00994292	85,9
     41,9497	  0,00970451	84,2	  0,00992824	83,7
     41,9516	  0,00976874	85,1	  0,00993611	85,0
     41,9536	  0,00975613	85,3	  0,00992591	85,1
     41,9555	  0,00979636	84,7	  0,00996634	86,0
     41,9575	  0,00979248	86,0	  0,00994285	84,0
     41,9594	   0,0098312	87,8	  0,00991164	85,2
     41,9614	  0,00989637	83,6	  0,00996832	84,5
     41,9633	  0,00989927	85,9	   0,0100189	82,8
     41,9653	  0,00991419	83,3	  0,00993725	87,7
     41,9673	  0,00987485	86,0	   0,0100689	85,9
     41,9692	  0,00992326	86,3	   0,0102935	86,8
     41,9712	  0,00993394	87,7	   0,0103672	86,5
     41,9731	   0,0100389	86,2	   0,0104387	87,9
     41,9751	  0,00999945	88,8	   0,0103793	87,4
      41,977	   0,0100694	88,6	   0,0103767	88,8
      41,979	   0,0100832	84,6	   0,0103023	84,8
     41,9809	   0,0100524	85,9	   0,0103186	85,0
     41,9829	   0,0100806	84,0	   0,0103154	86,7
     41,9848	   0,0101136	83,3	   0,0103742	84,4
     41,9868	   0,0101464	91,5	    0,010316	90,8
     41,9888	   0,0102411	89,3	   0,0103545	88,7
     41,9907	   0,0102923	86,0	   0,0104208	85,6
     41,9927	   0,0103372	89,2	    0,010526	87,8
     41,9946	   0,0103565	82,6	   0,0106284	86,1
     41,9966	   0,0102537	85,2	   0,0106018	84,3
     41,9985	   0,0103155	86,9	   0,0105398	85,5
     42,0005	   0,0104035	86,4	   0,0105751	85,4
     42,0024	   0,0105183	89,3	    0,010625	87,3
     42,0044	   0,0104904	89,3	   0,0106166	90,2
     42,0064	   0,0104595	85,8	   0,0106646	91,2
     42,0083	   0,0104984	87,0	   0,0106583	86,0
     42,0103	   0,0104571	89,2	    0,010687	88,6
     42,0122	   0,0104971	84,3	   0,0107115	85,1
     42,0142	   0,0104973	87,2	   0,0108026	84,6
     42,0161	   0,0105742	87,8	   0,0107395	87,7
     42,0181	   0,0106522	86,3	    0,010821	85,0
       42,02	   0,0106589	89,3	   0,0108975	85,9
      42,022	   0,0106846	89,1	   0,0108881	87,9
     42,0239	   0,0107328	85,5	     0,01092	85,3
     42,0259	   0,0107749	90,4	   0,0109253	85,6
     42,0279	   0,0108958	90,6	   0,0110094	90,4
     42,0298	   0,0109477	87,2	   0,0110469	88,3
     42,0318	   0,0109194	90,5	   0,0110696	90,4
     42,0337	   0,0109423	88,8	   0,0110133	89,8
     42,0357	   0,0108517	87,3	   0,0109989	84,9
     42,0376	   0,0108729	88,2	   0,0110835	85,1
     42,0396	   0,0108725	91,3	     0,01106	90,8
     42,0415	   0,0109716	85,8	   0,0110831	89,0
     42,0435	   0,0110206	89,4	   0,0112184	91,2
     42,0455	   0,0110226	89,6	   0,0112812	92,7
     42,0474	   0,0110186	89,2	   0,0113543	85,7
     42,0494	   0,0110333	90,9	   0,0113917	88,6
     42,0513	   0,0110363	92,6	   0,0113425	87,4
     42,0533	    0,011151	88,2	   0,0113542	87,6
     42,0552	   0,0112313	87,7	    0,011322	88,4
     42,0572	   0,0112444	89,3	   0,0113862	89,4
     42,0591	    0,011236	88,9	   0,0115098	89,3
     42,0611	   0,0113816	90,0	   0,0115332	91,3
      42,063	   0,0113241	91,5	   0,0116275	92,5
      42,065	   0,0113462	88,3	   0,0116602	88,4
      42,067	   0,0114011	91,1	   0,0116615	89,7
     42,0689	   0,0113853	92,6	   0,0115996	88,3
     42,0709	   0,0114699	87,9	   0,0117025	86,8
     42,0728	   0,0113934	90,6	   0,0116815	92,7
     42,0748	    0,011386	92,1	   0,0116819	91,3
     42,0767	   0,0114922	91,0	   0,0116773	89,0
     42,0787	   0,0115438	92,0	    0,011751	87,7
     42,0806	   0,0116709	91,6	   0,0118543	91,1
     42,0826	   0,0117408	90,1	    0,011971	89,3
     42,0846	   0,0117787	88,7	   0,0120212	93,6
     42,0865	   0,0117332	92,6	   0,0121089	93,2
     42,0885	   0,0116939	90,3	   0,0122302	88,1
     42,0904	   0,0116838	92,1	   0,0121798	92,4
     42,0924	   0,0117659	93,8	   0,0121327	92,9
     42,0943	   0,0117813	86,8	   0,0120582	89,7
     42,0963	   0,0118165	91,2	   0,0121583	91,5
