X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	002: [07-03-24 13:41]		003: [07-03-24 13:46]	
          24	    0,021814	81,6	   0,0270736	81,9
     24,0034	    0,023721	81,7	   0,0270646	81,7
     24,0068	   0,0251059	82,0	   0,0270391	81,8
     24,0103	   0,0257455	81,5	   0,0262712	81,5
     24,0137	   0,0263125	81,6	   0,0269541	81,9
     24,0171	   0,0265763	81,9	   0,0271827	81,8
     24,0205	   0,0265992	81,7	   0,0271411	81,8
     24,0239	   0,0268833	81,7	   0,0269972	81,8
     24,0274	   0,0270075	81,8	    0,026999	82,0
     24,0308	   0,0270555	81,8	   0,0271881	81,9
     24,0342	    0,027071	81,9	   0,0272675	81,9
     24,0376	   0,0269166	81,8	   0,0271899	82,1
     24,0411	   0,0271318	81,9	   0,0273392	82,0
     24,0445	   0,0272144	81,9	    0,027308	81,9
     24,0479	    0,027257	81,9	    0,027251	81,8
     24,0513	   0,0272202	81,8	   0,0273648	81,9
     24,0547	   0,0271798	81,7	   0,0273724	81,8
     24,0582	   0,0272558	81,7	   0,0273349	81,9
     24,0616	   0,0272947	81,9	   0,0274138	81,9
      24,065	   0,0273331	81,8	   0,0272546	81,9
     24,0684	   0,0273792	81,8	   0,0272699	82,0
     24,0718	   0,0273008	81,8	   0,0274632	82,1
     24,0753	   0,0272284	81,8	   0,0274623	82,1
     24,0787	    0,027273	81,8	   0,0275398	81,9
     24,0821	    0,027348	81,9	   0,0274815	82,0
     24,0855	   0,0274509	81,9	   0,0271292	82,0
      24,089	   0,0274407	81,8	   0,0274498	82,2
     24,0924	   0,0274586	81,8	   0,0275909	82,1
     24,0958	   0,0272975	81,8	   0,0275931	82,0
     24,0992	   0,0274271	81,8	   0,0275994	82,2
     24,1026	   0,0274706	81,9	   0,0276872	82,0
     24,1061	   0,0275743	82,0	   0,0275822	82,1
     24,1095	   0,0275995	81,9	   0,0276658	82,1
     24,1129	   0,0275946	81,8	   0,0276368	81,9
     24,1163	   0,0275435	82,0	   0,0276778	82,2
     24,1197	   0,0274358	81,9	   0,0277489	82,3
     24,1232	   0,0275785	82,0	   0,0276976	82,2
     24,1266	   0,0276959	81,8	   0,0278008	82,1
       24,13	   0,0277217	82,0	   0,0278801	82,1
     24,1334	   0,0277494	82,1	   0,0278479	82,2
     24,1369	   0,0277549	82,1	   0,0279107	82,1
     24,1403	   0,0278182	82,0	   0,0278869	82,2
     24,1437	   0,0276052	81,9	   0,0278168	82,2
     24,1471	   0,0276807	81,9	   0,0278801	82,3
     24,1505	   0,0277186	81,9	   0,0279981	82,2
      24,154	   0,0278152	82,1	   0,0280366	82,2
     24,1574	   0,0279183	82,1	    0,027963	82,2
     24,1608	   0,0279347	82,2	   0,0279525	82,3
     24,1642	   0,0279596	82,1	   0,0280585	82,2
     24,1676	   0,0280163	82,1	   0,0280964	82,3
     24,1711	   0,0277976	82,0	   0,0281142	82,2
     24,1745	   0,0278896	82,0	   0,0281734	82,3
     24,1779	   0,0277768	82,2	   0,0281368	82,3
     24,1813	    0,027833	81,9	   0,0281747	82,1
     24,1848	   0,0279504	82,2	   0,0282093	82,4
     24,1882	   0,0281195	82,1	   0,0282098	82,4
     24,1916	   0,0281108	82,3	   0,0282359	82,4
      24,195	   0,0281631	82,1	   0,0282462	82,4
     24,1984	   0,0281669	82,2	   0,0283089	82,4
     24,2019	   0,0281521	82,2	   0,0282852	82,2
     24,2053	   0,0281392	82,2	   0,0282385	82,4
     24,2087	   0,0280331	82,1	   0,0283792	82,4
     24,2121	   0,0281359	82,1	   0,0282558	82,3
