X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	002: [07-03-24 10:41]		003: [07-03-24 10:43]	
        32,5	   0,0300116	82,6	   0,0355127	82,0
     32,5029	   0,0308621	83,4	   0,0355542	82,0
     32,5059	   0,0319446	83,0	   0,0355785	82,5
     32,5088	    0,032807	83,0	   0,0355747	82,3
     32,5117	    0,033193	83,5	   0,0356208	82,0
     32,5147	   0,0339078	83,0	   0,0358137	81,8
     32,5176	   0,0343827	82,6	   0,0358746	82,5
     32,5205	   0,0347469	82,6	    0,035847	82,5
     32,5235	   0,0349848	82,8	    0,035886	82,2
     32,5264	   0,0352411	82,2	   0,0359676	82,4
     32,5293	   0,0353019	82,1	   0,0360511	82,4
     32,5323	   0,0352743	82,7	    0,036178	82,5
     32,5352	   0,0354747	82,6	   0,0362258	82,6
     32,5381	   0,0356084	82,7	   0,0362507	82,7
     32,5411	   0,0358733	82,8	   0,0362801	82,6
      32,544	   0,0359593	82,7	   0,0363839	82,2
     32,5469	   0,0359977	82,6	   0,0363822	82,7
     32,5499	   0,0360826	82,7	   0,0365304	82,5
     32,5528	    0,036082	82,8	    0,036597	82,7
     32,5557	   0,0362625	82,9	   0,0366539	82,9
     32,5587	   0,0363679	82,7	   0,0366561	83,0
     32,5616	   0,0363839	82,8	    0,036636	82,9
     32,5645	   0,0365006	82,7	   0,0367824	82,5
     32,5674	     0,03648	82,9	    0,036949	82,7
     32,5704	   0,0365783	82,8	    0,037138	82,8
     32,5733	   0,0365599	83,0	   0,0372407	82,6
     32,5762	   0,0367121	82,8	   0,0372255	83,0
     32,5792	   0,0367128	83,2	   0,0371539	83,5
     32,5821	   0,0368073	83,3	   0,0371723	82,9
      32,585	   0,0369409	83,0	   0,0372091	83,0
      32,588	   0,0369788	83,1	   0,0373101	83,2
     32,5909	   0,0370409	83,3	   0,0373581	83,2
     32,5938	   0,0371038	83,0	   0,0375201	82,9
     32,5968	   0,0371599	83,2	    0,037638	83,3
     32,5997	   0,0372831	83,5	   0,0376806	83,3
     32,6026	   0,0373148	83,4	   0,0376874	83,3
     32,6056	   0,0374195	83,1	   0,0377792	83,1
     32,6085	   0,0374871	83,6	   0,0379009	83,3
     32,6114	   0,0376015	83,2	    0,037876	83,5
     32,6144	   0,0375903	83,2	   0,0379928	82,8
     32,6173	   0,0376238	83,5	   0,0381246	83,2
     32,6202	   0,0377348	83,7	   0,0381987	83,2
     32,6232	   0,0378582	83,9	   0,0382651	83,3
     32,6261	   0,0380095	83,7	   0,0382925	83,9
      32,629	   0,0381439	83,8	   0,0383369	83,5
      32,632	    0,038176	83,6	   0,0383791	83,6
     32,6349	   0,0381403	83,3	    0,038508	83,3
     32,6378	   0,0380607	83,8	   0,0386198	83,9
     32,6408	   0,0381387	84,1	   0,0386156	83,8
     32,6437	   0,0382678	83,8	   0,0387823	83,5
     32,6466	   0,0383831	83,9	   0,0388421	84,0
     32,6496	   0,0384991	84,2	   0,0389621	83,5
     32,6525	   0,0385866	83,9	   0,0390548	83,8
     32,6554	   0,0386402	84,0	   0,0391032	83,8
     32,6584	   0,0387272	84,2	   0,0391624	84,0
     32,6613	   0,0387864	83,8	   0,0391004	84,3
     32,6642	   0,0387724	84,0	     0,03929	83,6
     32,6672	   0,0388689	84,3	    0,039273	84,7
     32,6701	   0,0389248	84,4	   0,0394126	84,3
      32,673	   0,0390881	84,2	    0,039527	84,1
      32,676	   0,0392058	84,4	    0,039647	84,1
     32,6789	   0,0393007	84,5	   0,0397648	84,5
     32,6818	   0,0394154	84,1	    0,039813	84,8
     32,6847	   0,0393821	84,1	   0,0397178	84,6
     32,6877	   0,0394156	84,6	   0,0398189	84,9
     32,6906	    0,039548	84,2	   0,0398389	84,9
     32,6936	   0,0395367	84,3	   0,0400605	84,2
     32,6965	   0,0395261	84,8	   0,0400509	85,0
     32,6994	   0,0397139	84,8	   0,0401548	84,5
     32,7023	   0,0398061	84,4	   0,0402221	85,0
     32,7053	   0,0398965	84,9	     0,04029	84,7
     32,7082	   0,0401148	85,1	   0,0405516	84,9
     32,7111	    0,040218	84,8	   0,0404078	85,3
     32,7141	   0,0403036	85,0	   0,0407942	84,9
      32,717	   0,0402901	84,8	   0,0407296	85,5
     32,7199	   0,0403118	85,0	   0,0407701	85,2
     32,7229	   0,0403556	84,9	   0,0409459	85,5
     32,7258	   0,0403907	85,2	   0,0410435	85,3
     32,7287	   0,0405432	85,1	   0,0411231	85,4
     32,7317	   0,0406576	85,2	    0,041241	85,2
