X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	002: [07-03-24 09:16]		003: [07-03-24 09:19]	
          22	   0,0175958	81,9	   0,0237083	82,2
     22,0049	   0,0187301	82,3	   0,0238639	82,3
     22,0098	   0,0202864	82,1	    0,023774	82,4
     22,0147	   0,0205832	82,3	   0,0237048	82,1
     22,0196	   0,0217048	82,3	   0,0238795	82,1
     22,0244	    0,022009	82,4	   0,0238312	82,1
     22,0293	   0,0222054	82,6	   0,0237936	82,1
     22,0342	   0,0228063	82,4	   0,0238494	82,1
     22,0391	   0,0229295	82,7	   0,0238841	82,3
      22,044	   0,0231538	82,2	   0,0238484	82,2
     22,0489	    0,023322	82,2	   0,0239855	82,1
     22,0538	   0,0233437	82,1	    0,024059	82,3
     22,0587	   0,0231952	81,9	   0,0240525	82,2
     22,0635	   0,0239617	82,0	    0,023891	82,3
     22,0684	   0,0237623	82,6	    0,023975	82,4
     22,0733	    0,023881	81,8	    0,024037	82,5
     22,0782	   0,0237201	82,6	   0,0240227	82,1
     22,0831	   0,0239258	82,2	   0,0240221	82,4
      22,088	   0,0240542	82,4	   0,0237488	82,2
     22,0929	   0,0238163	82,6	   0,0240185	82,2
     22,0978	   0,0240925	82,5	   0,0241114	82,2
     22,1026	   0,0240488	82,8	   0,0238255	82,4
     22,1075	   0,0242365	81,9	   0,0240547	82,4
     22,1124	   0,0242498	82,4	     0,02406	82,3
     22,1173	   0,0240825	83,0	   0,0240552	82,3
     22,1222	   0,0242301	82,4	   0,0242883	82,3
     22,1271	   0,0242828	82,7	   0,0238439	82,7
      22,132	   0,0244109	82,3	    0,024076	82,7
     22,1369	   0,0241625	82,0	   0,0241868	82,2
     22,1417	   0,0237989	82,7	   0,0242916	82,4
     22,1466	   0,0242011	82,4	   0,0242482	82,6
     22,1515	   0,0238613	82,3	   0,0240888	82,2
     22,1564	   0,0240692	82,6	   0,0239794	82,7
     22,1613	   0,0245087	82,4	   0,0244338	82,3
     22,1662	   0,0242965	82,4	   0,0243062	82,4
