X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	002: [06-28-24 14:43]		003: [06-28-24 14:51]	
          34	   0,0187431	109,3	   0,0203762	106,3
      34,002	   0,0196717	107,2	   0,0205426	105,0
     34,0039	   0,0201504	107,2	   0,0203223	105,6
     34,0059	   0,0202337	107,5	   0,0203157	106,7
     34,0078	   0,0202032	106,2	   0,0204275	106,0
     34,0098	   0,0201766	105,2	   0,0204541	106,1
     34,0117	    0,020422	105,2	   0,0204765	108,7
     34,0137	   0,0202159	107,0	   0,0206792	108,8
     34,0156	   0,0204592	106,8	    0,020638	108,5
     34,0176	   0,0204013	107,9	   0,0206331	108,4
     34,0196	   0,0203569	106,6	   0,0206169	107,9
     34,0215	   0,0203409	106,3	   0,0209149	108,9
     34,0235	   0,0206404	106,7	   0,0207869	107,8
     34,0254	   0,0205642	106,2	   0,0209628	107,2
     34,0274	    0,020618	108,4	   0,0208491	107,2
     34,0293	   0,0206227	108,3	   0,0210604	108,1
     34,0313	     0,02078	109,0	   0,0211018	109,1
     34,0332	   0,0209324	108,1	   0,0211431	108,6
     34,0352	    0,020764	107,1	   0,0210195	108,4
     34,0371	   0,0206679	107,2	   0,0210538	108,7
     34,0391	    0,020948	108,8	   0,0212713	108,8
     34,0411	   0,0207637	109,9	    0,021507	107,8
      34,043	   0,0208335	106,3	   0,0212994	107,3
      34,045	   0,0209144	107,0	   0,0212376	109,3
     34,0469	   0,0211015	107,7	   0,0213604	110,3
     34,0489	   0,0211785	107,7	   0,0215824	109,9
     34,0508	   0,0211485	107,6	   0,0213731	109,4
     34,0528	   0,0212971	108,3	   0,0215897	109,0
     34,0547	   0,0211255	107,6	    0,021687	109,7
     34,0567	   0,0213852	109,6	   0,0215436	109,9
     34,0587	   0,0213889	109,9	   0,0215854	110,4
     34,0606	   0,0215255	109,3	   0,0218094	110,7
     34,0626	   0,0212891	109,0	   0,0218313	109,8
     34,0645	   0,0213904	109,3	   0,0218569	108,5
     34,0665	   0,0215367	108,9	   0,0217487	109,1
     34,0684	   0,0215667	109,6	   0,0220203	108,5
     34,0704	   0,0216253	111,1	   0,0219623	109,3
     34,0723	   0,0214681	108,2	   0,0219997	109,9
     34,0743	    0,021812	108,8	   0,0219478	110,1
     34,0762	    0,021706	108,0	   0,0221215	111,8
     34,0782	   0,0218829	109,8	   0,0223784	110,6
