X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	002: [07-01-24 15:52]		003: [07-01-24 15:59]	
        33,5	   0,0135533	86,5	     0,01472	85,3
      33,502	   0,0141307	86,9	   0,0143834	88,4
     33,5039	   0,0144561	85,5	   0,0145665	84,8
     33,5059	   0,0145272	83,8	   0,0146015	85,4
     33,5078	    0,014463	86,1	   0,0145431	86,0
     33,5098	   0,0144819	85,6	   0,0146066	87,3
     33,5117	   0,0146173	86,3	    0,014555	85,3
     33,5137	    0,014609	84,8	   0,0145023	86,3
     33,5156	   0,0145305	84,8	   0,0145484	84,1
     33,5176	   0,0147811	86,0	   0,0147973	84,8
     33,5196	   0,0146069	86,0	   0,0148656	86,4
     33,5215	   0,0146768	85,0	   0,0148218	86,3
     33,5235	   0,0147462	86,0	   0,0148746	86,6
     33,5254	    0,014636	86,2	   0,0148468	86,3
     33,5274	   0,0148886	85,7	   0,0147412	86,7
     33,5293	   0,0148548	85,5	   0,0147367	85,0
     33,5313	   0,0147441	86,9	   0,0150015	86,0
     33,5332	   0,0147665	85,8	   0,0149409	87,2
     33,5352	   0,0147574	84,7	   0,0147479	85,6
     33,5371	   0,0150409	86,2	   0,0146627	86,1
     33,5391	   0,0148879	85,7	   0,0149616	87,8
     33,5411	   0,0149546	87,2	   0,0149915	87,0
      33,543	   0,0150079	86,6	   0,0150475	86,9
      33,545	   0,0151521	86,1	   0,0150466	87,3
     33,5469	   0,0151214	86,2	   0,0151215	87,3
     33,5489	   0,0150381	87,6	   0,0151187	87,7
     33,5508	   0,0151392	86,1	   0,0151306	85,4
     33,5528	   0,0150579	88,3	   0,0151365	87,6
     33,5547	   0,0151806	87,6	    0,015192	86,2
     33,5567	   0,0151702	85,9	   0,0153691	86,0
     33,5587	   0,0151895	86,8	   0,0152225	87,6
     33,5606	   0,0152757	86,6	   0,0153311	85,5
     33,5626	   0,0153237	87,0	   0,0153437	86,8
     33,5645	   0,0151836	87,5	     0,01542	87,8
     33,5665	   0,0152428	86,6	   0,0154569	87,5
     33,5684	   0,0153309	87,6	   0,0154465	86,8
     33,5704	   0,0153339	87,1	   0,0154202	87,2
     33,5723	   0,0153424	87,3	   0,0155699	87,6
     33,5743	   0,0154688	87,4	   0,0154397	87,2
     33,5762	   0,0155057	87,4	   0,0154162	87,5
     33,5782	   0,0153463	86,8	   0,0155444	87,4
     33,5802	   0,0154373	87,3	   0,0155109	86,7
     33,5821	   0,0155895	87,5	   0,0156461	88,1
     33,5841	   0,0156038	88,9	   0,0156956	87,7
      33,586	   0,0155934	87,7	   0,0155336	88,1
      33,588	   0,0155373	87,1	   0,0157616	89,4
     33,5899	   0,0156898	87,9	   0,0156335	87,3
     33,5919	   0,0156177	88,5	   0,0158275	88,4
     33,5938	   0,0156416	88,6	   0,0157845	89,3
     33,5958	   0,0157474	88,2	   0,0158721	88,4
     33,5978	    0,015855	88,2	     0,01589	88,0
     33,5997	   0,0157315	88,0	   0,0158492	87,5
     33,6017	   0,0158116	87,5	   0,0159172	87,8
     33,6036	   0,0158178	89,3	    0,015792	89,7
     33,6056	   0,0159606	88,9	   0,0159651	87,2
     33,6075	   0,0159505	87,3	   0,0160912	87,1
     33,6095	   0,0158298	88,7	   0,0161331	89,0
     33,6114	   0,0160896	89,4	   0,0160675	89,9
     33,6134	   0,0160763	89,0	   0,0161033	87,4
     33,6153	   0,0159149	89,0	   0,0161817	88,8
     33,6173	   0,0161166	87,8	   0,0161527	89,5
     33,6193	   0,0161616	88,1	   0,0162626	89,5
     33,6212	    0,016032	89,6	   0,0162018	88,5
     33,6232	   0,0161256	89,0	   0,0160512	88,5
     33,6251	   0,0162547	88,4	   0,0162726	89,5
     33,6271	   0,0162197	88,7	   0,0163231	89,8
      33,629	   0,0161439	89,3	   0,0164582	89,0
      33,631	   0,0163236	89,5	   0,0162356	90,1
     33,6329	   0,0163047	87,7	   0,0164311	89,4
     33,6349	   0,0162721	89,8	    0,016532	89,3
     33,6369	   0,0162373	90,0	   0,0164504	89,2
     33,6388	   0,0163797	89,2	    0,016513	89,4
     33,6408	   0,0165006	88,2	   0,0166141	90,2
     33,6427	   0,0163942	88,8	   0,0165736	90,6
     33,6447	   0,0164244	90,1	   0,0166106	90,3
     33,6466	   0,0164375	89,2	   0,0166781	89,2
     33,6486	   0,0165072	89,0	   0,0166463	90,2
     33,6505	    0,016632	89,9	   0,0166688	90,3
     33,6525	    0,016624	89,4	   0,0167713	90,0
     33,6544	   0,0165876	90,2	   0,0168406	90,3
     33,6564	   0,0167516	90,7	   0,0166922	90,2
     33,6584	   0,0166619	89,8	   0,0167222	91,1
     33,6603	    0,016632	89,5	   0,0169623	90,1
     33,6623	   0,0167172	89,4	   0,0169221	89,6
     33,6642	    0,016897	91,1	   0,0169218	90,1
     33,6662	   0,0168989	90,0	    0,017004	89,9
     33,6681	   0,0168246	89,5	   0,0169747	90,2
     33,6701	     0,01689	91,1	   0,0170362	90,7
      33,672	   0,0168704	91,0	   0,0171443	91,4
      33,674	   0,0169666	90,0	   0,0170966	91,1
      33,676	   0,0169477	90,8	   0,0171055	90,6
     33,6779	   0,0170621	90,3	   0,0173118	91,3
     33,6799	   0,0168806	90,3	   0,0173506	91,5
     33,6818	   0,0171224	91,9	    0,017169	91,2
     33,6838	   0,0172267	90,9	   0,0174519	90,6
     33,6857	   0,0169943	89,6	   0,0171589	92,0
     33,6877	   0,0171084	91,4	   0,0174428	91,8
     33,6896	   0,0172249	92,9	   0,0174106	92,7
     33,6916	   0,0171837	90,6	   0,0172776	91,0
     33,6936	   0,0173015	91,8	   0,0174949	92,6
     33,6955	   0,0173758	91,7	   0,0173961	92,9
     33,6975	   0,0173389	90,5	   0,0174105	93,0
     33,6994	   0,0174157	91,2	   0,0176539	91,8
     33,7014	   0,0175092	92,1	   0,0176444	91,4
     33,7033	   0,0174258	93,0	   0,0176141	92,0
     33,7053	   0,0175529	91,4	   0,0176966	93,9
     33,7072	   0,0175241	93,0	   0,0177644	93,1
     33,7092	   0,0175926	92,3	   0,0176241	91,4
     33,7111	   0,0176656	91,0	    0,017837	92,3
     33,7131	    0,017689	92,0	   0,0176074	93,5
     33,7151	   0,0176972	92,6	   0,0178491	91,6
      33,717	   0,0176347	93,1	   0,0178512	91,4
      33,719	   0,0178439	92,1	   0,0179113	93,3
     33,7209	   0,0176685	93,3	   0,0178039	93,6
     33,7229	   0,0177707	93,6	   0,0176773	93,5
     33,7248	   0,0179249	92,4	   0,0182121	93,5
     33,7268	   0,0178984	92,7	   0,0179513	92,1
     33,7287	    0,017989	93,8	   0,0181893	91,5
     33,7307	   0,0179651	94,0	   0,0179352	94,5
     33,7327	    0,018023	93,4	   0,0178625	94,1
     33,7346	   0,0180397	93,7	   0,0181297	94,3
     33,7366	   0,0180561	93,4	   0,0182637	94,1
     33,7385	   0,0182381	94,7	   0,0181644	93,3
     33,7405	   0,0182391	94,8	   0,0183472	93,5
     33,7424	   0,0181889	95,1	   0,0182297	94,4
     33,7444	   0,0179005	93,6	   0,0184126	94,8
     33,7463	   0,0181362	92,9	    0,018502	94,6
     33,7483	    0,018299	94,1	    0,018461	93,8
     33,7502	   0,0183855	94,9	   0,0184835	94,2
     33,7522	   0,0183698	93,2	   0,0185368	95,1
