X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	002: [07-01-24 18:23]	
        33,5	   0,0176966	90,9
      33,502	   0,0186876	90,7
     33,5039	   0,0191648	89,4
     33,5059	   0,0196054	91,0
     33,5078	   0,0194022	90,2
     33,5098	   0,0194874	90,4
     33,5117	   0,0198476	91,9
     33,5137	   0,0194232	90,2
     33,5156	   0,0196153	90,2
     33,5176	   0,0195154	90,4
     33,5196	   0,0198984	90,7
     33,5215	   0,0198863	91,1
     33,5235	    0,019642	91,7
     33,5254	   0,0198926	91,8
     33,5274	   0,0199078	90,0
     33,5293	   0,0198005	90,9
     33,5313	   0,0201422	90,3
     33,5332	   0,0195665	90,1
     33,5352	    0,019761	91,9
     33,5371	   0,0199699	90,9
     33,5391	   0,0199366	91,9
     33,5411	   0,0200252	91,5
      33,543	   0,0201598	91,0
      33,545	   0,0201675	92,5
     33,5469	   0,0200649	92,3
     33,5489	   0,0199517	90,6
     33,5508	   0,0200941	91,4
     33,5528	   0,0200703	92,3
     33,5547	   0,0203949	91,3
     33,5567	   0,0203536	91,8
     33,5587	   0,0201989	92,3
     33,5606	   0,0201173	91,3
     33,5626	   0,0201019	91,9
     33,5645	   0,0203839	91,8
     33,5665	   0,0202135	91,4
     33,5684	   0,0202251	91,7
     33,5704	   0,0202234	92,0
     33,5723	   0,0202691	91,2
     33,5743	    0,020578	93,6
     33,5762	   0,0205231	92,5
     33,5782	    0,020621	92,0
     33,5802	   0,0205154	93,3
     33,5821	   0,0200857	92,8
     33,5841	   0,0205179	93,4
      33,586	    0,020609	92,4
      33,588	   0,0207809	92,8
     33,5899	   0,0207082	92,7
     33,5919	   0,0209387	91,7
     33,5938	   0,0205217	93,2
     33,5958	   0,0206466	92,8
     33,5978	   0,0209736	92,9
     33,5997	   0,0206855	93,3
     33,6017	     0,02076	94,2
     33,6036	   0,0207626	92,8
     33,6056	   0,0210785	93,5
     33,6075	    0,020599	93,6
     33,6095	   0,0206733	93,5
     33,6114	   0,0208603	94,2
     33,6134	   0,0210913	94,0
     33,6153	   0,0212038	93,7
     33,6173	   0,0214652	94,2
     33,6193	   0,0213615	93,9
     33,6212	   0,0207771	93,1
     33,6232	   0,0214658	93,8
     33,6251	   0,0214614	94,5
     33,6271	   0,0214583	94,7
      33,629	   0,0212536	94,2
      33,631	   0,0214216	94,5
     33,6329	   0,0215517	94,3
     33,6349	   0,0210844	92,3
     33,6369	    0,021402	94,5
     33,6388	   0,0213234	94,5
     33,6408	    0,021645	94,9
     33,6427	   0,0217643	94,1
     33,6447	   0,0210805	94,4
     33,6466	   0,0213692	94,0
     33,6486	   0,0217252	95,0
     33,6505	   0,0215469	94,8
     33,6525	   0,0219929	94,5
     33,6544	   0,0213997	94,0
     33,6564	   0,0217431	96,6
     33,6584	   0,0217256	94,3
     33,6603	   0,0220377	95,5
     33,6623	   0,0217173	95,9
     33,6642	   0,0216658	95,2
     33,6662	   0,0219557	95,9
     33,6681	   0,0217747	96,0
     33,6701	   0,0218165	96,1
      33,672	   0,0219666	95,6
      33,674	   0,0218749	96,1
      33,676	   0,0219534	96,1
     33,6779	   0,0218539	95,2
     33,6799	   0,0219361	95,5
     33,6818	   0,0221649	96,6
     33,6838	   0,0222321	96,6
     33,6857	   0,0225157	96,4
     33,6877	   0,0222039	96,5
     33,6896	   0,0220986	96,5
     33,6916	   0,0223747	96,2
     33,6936	   0,0223072	96,0
     33,6955	   0,0222448	97,1
     33,6975	   0,0223301	95,9
     33,6994	     0,02239	96,8
     33,7014	   0,0223044	96,8
     33,7033	   0,0226764	97,6
     33,7053	    0,022724	97,7
     33,7072	   0,0224927	97,2
     33,7092	    0,022835	97,8
     33,7111	   0,0229856	98,6
     33,7131	   0,0224956	98,3
     33,7151	    0,022863	97,4
      33,717	   0,0225351	97,6
      33,719	   0,0226702	97,6
     33,7209	   0,0231241	98,4
     33,7229	    0,022936	98,6
     33,7248	   0,0231178	98,3
     33,7268	   0,0232784	98,0
     33,7287	   0,0230801	98,7
     33,7307	   0,0228395	97,8
     33,7327	   0,0231225	98,4
     33,7346	   0,0227954	98,9
     33,7366	   0,0232644	99,4
     33,7385	   0,0233247	99,7
     33,7405	   0,0229019	98,8
     33,7424	   0,0232558	97,9
     33,7444	   0,0231463	98,7
     33,7463	   0,0230355	99,2
     33,7483	   0,0233146	99,0
     33,7502	   0,0234673	99,1
     33,7522	   0,0235409	99,8
     33,7542	   0,0231166	98,2
     33,7561	     0,02309	98,7
     33,7581	    0,023289	99,9
       33,76	   0,0234664	99,9
      33,762	   0,0236759	99,8
     33,7639	    0,023825	100,0
     33,7659	   0,0234084	100,7
     33,7678	   0,0239232	99,6
     33,7698	   0,0237858	99,7
     33,7718	   0,0237204	100,4
     33,7737	   0,0238448	100,3
     33,7757	   0,0236724	99,2
     33,7776	   0,0239728	100,6
     33,7796	   0,0241571	101,6
     33,7815	   0,0241323	100,9
     33,7835	   0,0241589	100,7
     33,7854	   0,0241126	100,5
     33,7874	   0,0241901	101,4
     33,7893	   0,0241594	101,7
     33,7913	   0,0241959	100,4
     33,7933	   0,0244813	101,4
     33,7952	   0,0242318	102,0
     33,7972	   0,0243762	102,1
     33,7991	   0,0245085	101,0
     33,8011	   0,0240662	100,9
      33,803	   0,0239835	101,7
      33,805	   0,0245917	102,5
     33,8069	   0,0244724	102,0
     33,8089	   0,0242891	101,7
     33,8109	   0,0245902	103,0
     33,8128	   0,0244105	102,4
     33,8148	    0,024668	102,6
     33,8167	   0,0248897	102,7
     33,8187	   0,0249513	102,2
     33,8206	   0,0249816	103,0
     33,8226	   0,0248548	103,2
