X-Data [Hz]	Piezo (M - Filtered) [mV]	Phase [Deg]	
	002: [07-01-24 18:23]	
        33,5	     1897,26	-64,3
      33,502	     2081,13	-63,8
     33,5039	     2070,73	-66,2
     33,5059	     2148,77	-63,8
     33,5078	     2114,79	-65,8
     33,5098	     2110,19	-65,8
     33,5117	      2175,7	-62,8
     33,5137	     2125,24	-66,1
     33,5156	     2118,93	-65,4
     33,5176	     2186,35	-63,3
     33,5196	     2152,01	-65,9
     33,5215	     2156,34	-63,4
     33,5235	     2196,49	-63,0
     33,5254	     2192,31	-63,8
     33,5274	     2153,66	-65,5
     33,5293	     2229,14	-62,8
     33,5313	     2182,37	-66,1
     33,5332	     2149,81	-64,4
     33,5352	     2210,91	-62,1
     33,5371	      2160,7	-65,0
     33,5391	      2223,2	-62,2
     33,5411	     2226,17	-64,2
      33,543	     2184,24	-64,9
      33,545	     2226,49	-61,5
     33,5469	     2248,39	-61,7
     33,5489	     2210,61	-65,4
     33,5508	     2202,72	-63,8
     33,5528	     2260,66	-62,5
     33,5547	     2216,27	-64,7
     33,5567	     2225,41	-62,9
     33,5587	     2279,28	-62,0
     33,5606	     2216,83	-64,6
     33,5626	     2254,39	-61,7
     33,5645	     2265,74	-64,1
     33,5665	      2242,1	-64,0
     33,5684	     2248,06	-61,9
     33,5704	     2291,06	-62,9
     33,5723	     2251,79	-64,0
     33,5743	     2273,75	-60,8
     33,5762	     2320,98	-63,0
     33,5782	     2253,28	-63,8
     33,5802	     2287,77	-60,4
     33,5821	     2311,54	-61,4
     33,5841	     2327,82	-61,7
      33,586	     2271,27	-63,0
      33,588	     2336,08	-61,0
     33,5899	     2315,81	-62,3
     33,5919	     2294,79	-64,2
     33,5938	     2304,75	-60,9
     33,5958	     2342,98	-62,2
     33,5978	     2311,23	-62,4
     33,5997	     2346,64	-60,1
     33,6017	     2369,22	-59,8
     33,6036	     2302,77	-62,5
     33,6056	     2365,64	-60,5
     33,6075	     2362,82	-60,8
     33,6095	     2323,64	-61,9
     33,6114	     2358,32	-59,6
     33,6134	     2359,29	-61,3
     33,6153	     2332,16	-62,5
     33,6173	     2363,94	-60,8
     33,6193	     2406,74	-61,5
     33,6212	      2327,7	-61,7
