X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	002: [07-01-24 16:57]	
        33,5	   0,0206196	85,9
      33,502	   0,0217013	84,3
     33,5039	   0,0221348	83,7
     33,5059	   0,0222192	82,6
     33,5078	   0,0221218	83,5
     33,5098	   0,0223415	85,1
     33,5117	     0,02239	85,1
     33,5137	   0,0221415	85,0
     33,5156	   0,0222922	83,9
     33,5176	   0,0223104	85,8
     33,5196	   0,0222728	85,7
     33,5215	   0,0224487	84,4
     33,5235	    0,022591	84,8
     33,5254	   0,0224077	84,5
     33,5274	   0,0221888	87,2
     33,5293	   0,0223472	85,8
     33,5313	   0,0227611	83,7
     33,5332	   0,0229821	84,6
     33,5352	   0,0227082	85,7
     33,5371	   0,0228463	85,6
     33,5391	    0,022605	84,7
     33,5411	   0,0228173	85,2
      33,543	   0,0227994	86,3
      33,545	   0,0225622	84,6
     33,5469	   0,0226943	84,3
     33,5489	    0,022857	85,3
     33,5508	   0,0226446	86,1
     33,5528	   0,0229577	85,2
     33,5547	    0,023125	84,6
     33,5567	   0,0232378	86,4
     33,5587	   0,0235207	87,5
     33,5606	   0,0227205	86,1
     33,5626	   0,0229951	86,8
     33,5645	   0,0231417	88,9
     33,5665	   0,0233587	85,2
     33,5684	   0,0230726	87,3
     33,5704	   0,0227124	86,5
     33,5723	   0,0230183	87,0
     33,5743	   0,0233416	86,5
     33,5762	   0,0235232	87,0
     33,5782	    0,023341	86,8
     33,5802	   0,0231789	87,6
     33,5821	    0,023397	87,9
     33,5841	   0,0233723	88,5
      33,586	    0,023526	86,7
      33,588	   0,0232726	89,2
     33,5899	   0,0233237	88,3
     33,5919	   0,0235906	87,3
     33,5938	   0,0236029	87,9
     33,5958	   0,0231314	87,3
     33,5978	   0,0230111	90,6
     33,5997	   0,0232635	88,3
     33,6017	   0,0235744	88,8
     33,6036	   0,0238695	88,2
     33,6056	   0,0237266	87,5
     33,6075	   0,0238038	88,6
     33,6095	   0,0236111	89,4
     33,6114	   0,0234669	89,8
     33,6134	   0,0241452	90,0
     33,6153	   0,0238729	89,5
     33,6173	   0,0241425	91,2
     33,6193	   0,0242111	89,8
     33,6212	   0,0240951	89,4
     33,6232	   0,0243275	91,2
     33,6251	   0,0244191	89,6
     33,6271	   0,0246305	90,6
      33,629	   0,0244151	90,0
      33,631	   0,0242042	90,1
     33,6329	   0,0244729	90,6
     33,6349	   0,0238267	90,4
     33,6369	   0,0244118	91,2
     33,6388	    0,024522	91,4
     33,6408	   0,0245942	91,0
     33,6427	   0,0248428	91,8
     33,6447	   0,0245883	91,8
     33,6466	   0,0245545	90,8
     33,6486	   0,0243667	91,2
     33,6505	   0,0247467	92,1
     33,6525	   0,0249619	92,1
     33,6544	   0,0249417	91,6
     33,6564	   0,0249975	90,1
     33,6584	   0,0254014	90,8
     33,6603	   0,0248127	93,1
     33,6623	   0,0250245	91,6
     33,6642	   0,0253689	93,4
     33,6662	   0,0252111	92,1
     33,6681	   0,0251788	92,7
     33,6701	   0,0251517	93,6
      33,672	   0,0249875	92,1
      33,674	   0,0254459	93,4
      33,676	   0,0250777	92,3
     33,6779	   0,0254125	91,9
     33,6799	   0,0252981	94,4
     33,6818	   0,0252723	93,5
     33,6838	   0,0255111	93,2
     33,6857	   0,0256306	93,3
     33,6877	   0,0253966	94,4
     33,6896	   0,0259331	93,9
     33,6916	   0,0258235	92,9
     33,6936	   0,0260923	94,5
     33,6955	   0,0254052	94,9
     33,6975	    0,026181	93,7
     33,6994	   0,0262304	95,6
     33,7014	   0,0261663	93,6
     33,7033	   0,0261044	94,6
     33,7053	   0,0259445	94,7
     33,7072	   0,0258329	94,5
     33,7092	   0,0263282	95,7
     33,7111	   0,0260832	96,1
     33,7131	   0,0259879	95,9
     33,7151	    0,026077	94,7
      33,717	   0,0263456	95,7
      33,719	   0,0265179	96,4
     33,7209	   0,0261808	96,6
     33,7229	   0,0265668	95,9
     33,7248	   0,0268698	96,0
     33,7268	    0,026557	96,2
     33,7287	   0,0269687	96,7
     33,7307	   0,0268681	96,0
     33,7327	   0,0272349	96,6
     33,7346	    0,026659	96,4
     33,7366	    0,027027	97,1
     33,7385	   0,0272309	96,2
     33,7405	   0,0270225	97,6
     33,7424	   0,0270453	98,4
     33,7444	   0,0272769	97,2
     33,7463	   0,0272318	97,5
     33,7483	   0,0271809	97,4
     33,7502	    0,027428	97,4
     33,7522	   0,0277546	97,5
     33,7542	   0,0272858	97,5
     33,7561	    0,027126	97,6
     33,7581	   0,0277409	98,5
       33,76	   0,0277442	98,3
      33,762	    0,027547	98,4
     33,7639	   0,0278246	98,3
     33,7659	   0,0278716	98,7
     33,7678	   0,0275848	99,0
     33,7698	   0,0280635	99,2
     33,7718	   0,0281546	98,5
     33,7737	   0,0276373	99,5
     33,7757	   0,0277475	99,4
     33,7776	   0,0283275	99,7
     33,7796	   0,0282844	99,5
     33,7815	   0,0286104	99,8
     33,7835	   0,0287762	99,2
