X-Data [Hz]	Piezo (M - Filtered) [mV]	Phase [Deg]	
	002: [07-01-24 16:57]	
        33,5	     2,68636	-90,6
      33,502	     2,84489	-91,7
     33,5039	     2,92365	-92,2
     33,5059	     2,95853	-91,5
     33,5078	     2,92933	-91,5
     33,5098	     2,93424	-91,8
     33,5117	     3,01525	-91,0
     33,5137	      2,9708	-92,6
     33,5156	     2,97637	-91,3
     33,5176	     3,00032	-90,1
     33,5196	     2,97412	-91,8
     33,5215	     3,03672	-90,6
     33,5235	     3,02664	-91,6
     33,5254	     3,01255	-91,2
     33,5274	     2,99841	-92,0
     33,5293	     3,02377	-90,5
     33,5313	      3,0707	-90,6
     33,5332	     3,03532	-91,4
     33,5352	     3,07492	-89,7
     33,5371	     3,07557	-90,1
     33,5391	     3,10204	-90,3
     33,5411	      3,0703	-91,2
      33,543	     3,11675	-89,5
      33,545	     3,10227	-90,8
     33,5469	     3,10415	-90,8
     33,5489	     3,08761	-91,1
     33,5508	     3,11217	-89,5
     33,5528	      3,1459	-90,7
     33,5547	     3,14286	-89,7
     33,5567	     3,17186	-88,9
     33,5587	     3,14594	-89,9
     33,5606	     3,17402	-88,4
     33,5626	     3,17341	-89,7
     33,5645	     3,15505	-90,3
     33,5665	      3,1891	-89,5
     33,5684	     3,19271	-88,2
     33,5704	     3,23108	-89,3
     33,5723	      3,1905	-90,2
     33,5743	     3,20198	-88,9
     33,5762	     3,23934	-87,9
     33,5782	     3,19743	-89,7
     33,5802	     3,22971	-88,1
     33,5821	     3,26201	-87,8
     33,5841	     3,25103	-88,5
      33,586	     3,24951	-88,2
      33,588	     3,28793	-87,9
     33,5899	     3,30572	-88,4
     33,5919	     3,25969	-89,0
     33,5938	     3,30509	-87,1
     33,5958	     3,30682	-88,4
     33,5978	     3,28359	-89,0
     33,5997	     3,33733	-87,2
     33,6017	      3,3365	-87,3
     33,6036	     3,32121	-88,2
     33,6056	     3,32632	-88,3
     33,6075	     3,35566	-87,0
     33,6095	     3,39148	-86,9
     33,6114	     3,36378	-88,7
     33,6134	     3,38625	-86,8
     33,6153	     3,40895	-87,2
     33,6173	     3,41021	-87,4
     33,6193	     3,39769	-88,7
     33,6212	     3,40723	-87,5
     33,6232	     3,45092	-86,9
     33,6251	     3,41746	-87,1
     33,6271	     3,43241	-87,2
      33,629	     3,47385	-86,2
      33,631	     3,47787	-86,0
     33,6329	     3,44539	-87,4
     33,6349	     3,47736	-87,3
     33,6369	     3,49329	-85,8
     33,6388	     3,50721	-85,9
     33,6408	     3,51397	-85,1
     33,6427	     3,52232	-85,4
     33,6447	     3,52231	-85,6
     33,6466	     3,53388	-85,6
     33,6486	     3,52276	-86,6
     33,6505	     3,56655	-84,9
     33,6525	     3,56754	-85,1
     33,6544	     3,56044	-85,2
     33,6564	      3,5717	-86,0
     33,6584	     3,59595	-86,2
     33,6603	     3,61236	-84,7
     33,6623	     3,60715	-85,8
     33,6642	     3,59375	-85,4
     33,6662	     3,62802	-84,4
     33,6681	     3,64997	-84,0
     33,6701	     3,62458	-85,3
      33,672	      3,6494	-84,5
      33,674	     3,67411	-83,3
      33,676	      3,6605	-84,9
     33,6779	     3,69484	-84,0
     33,6799	     3,70314	-83,8
     33,6818	     3,68714	-83,1
     33,6838	     3,67884	-84,2
     33,6857	      3,6972	-84,2
     33,6877	     3,74094	-82,7
     33,6896	     3,74752	-84,0
     33,6916	     3,75128	-83,6
     33,6936	     3,78236	-82,8
     33,6955	     3,76382	-83,7
     33,6975	     3,76577	-84,1
     33,6994	     3,79683	-83,9
     33,7014	     3,80884	-82,9
     33,7033	     3,80487	-82,1
     33,7053	     3,81437	-83,0
     33,7072	     3,82698	-83,4
     33,7092	     3,82541	-82,8
     33,7111	     3,85281	-81,8
     33,7131	     3,86624	-82,3
     33,7151	     3,84997	-83,4
      33,717	     3,87152	-81,7
      33,719	     3,88937	-81,1
     33,7209	     3,90868	-81,2
     33,7229	      3,9271	-80,8
     33,7248	     3,91757	-82,5
     33,7268	     3,92858	-81,2
     33,7287	     3,94072	-79,9
     33,7307	     3,94941	-80,8
     33,7327	     3,96009	-81,3
     33,7346	     3,98919	-80,9
     33,7366	     3,99028	-79,9
     33,7385	      3,9751	-81,1
     33,7405	     4,01247	-79,7
     33,7424	     4,02877	-79,5
     33,7444	     4,03627	-79,2
     33,7463	     4,02982	-81,2
     33,7483	     4,04223	-80,3
     33,7502	     4,06164	-79,2
     33,7522	     4,07789	-79,4
     33,7542	     4,06009	-80,6
     33,7561	     4,08696	-79,6
     33,7581	     4,11334	-78,8
       33,76	     4,10787	-79,0
      33,762	     4,09922	-79,8
     33,7639	     4,14522	-78,4
     33,7659	     4,14374	-78,7
     33,7678	     4,15883	-78,7
     33,7698	     4,15104	-79,1
     33,7718	     4,17386	-77,6
     33,7737	     4,20365	-77,6
     33,7757	      4,1872	-78,9
     33,7776	     4,20142	-77,7
     33,7796	     4,24845	-77,2
     33,7815	       4,249	-77,8
     33,7835	     4,22802	-78,8
     33,7854	     4,25037	-77,9
     33,7874	       4,257	-77,9
     33,7893	     4,30488	-76,4
     33,7913	     4,30254	-76,5
     33,7933	      4,2848	-77,3
     33,7952	     4,29653	-76,5
     33,7972	     4,32315	-76,1
     33,7991	     4,32747	-75,9
     33,8011	     4,31598	-77,2
      33,803	     4,33063	-76,8
      33,805	      4,3701	-75,5
     33,8069	     4,39466	-74,9
     33,8089	     4,41173	-75,2
     33,8109	     4,40901	-75,6
     33,8128	     4,38656	-76,2
     33,8148	     4,38154	-75,8
     33,8167	     4,41958	-74,6
     33,8187	     4,46487	-74,5
     33,8206	     4,45465	-75,1
     33,8226	     4,45236	-75,1
     33,8245	     4,46838	-74,0
     33,8265	     4,50807	-74,2
     33,8284	     4,51285	-73,7
     33,8304	     4,50672	-74,5
     33,8324	     4,53592	-72,9
     33,8343	      4,5422	-74,0
     33,8363	     4,53079	-74,3
     33,8382	     4,53349	-72,5
     33,8402	     4,57407	-72,7
     33,8421	     4,58647	-72,8
     33,8441	      4,6118	-72,9
