X-Data [Hz]	Piezo (M - Filtered) [mV]	Phase [Deg]	
	002: [07-01-24 17:37]	
        33,5	     262,888	-87,0
      33,502	     275,481	-88,9
     33,5039	     279,145	-88,0
     33,5059	     286,856	-90,4
     33,5078	     264,721	-89,3
     33,5098	     285,001	-85,9
     33,5117	     282,058	-91,0
     33,5137	     277,054	-88,2
     33,5156	     290,868	-87,4
     33,5176	     283,112	-87,6
     33,5196	     289,053	-86,8
     33,5215	     283,052	-89,1
     33,5235	     283,552	-86,0
     33,5254	     290,945	-87,6
     33,5274	     284,576	-89,3
     33,5293	     288,431	-87,0
     33,5313	     290,695	-88,4
     33,5332	     285,737	-88,3
     33,5352	     292,369	-86,3
     33,5371	     291,154	-86,8
     33,5391	     295,611	-85,8
     33,5411	     293,222	-87,9
      33,543	     293,044	-86,4
      33,545	     298,039	-85,6
     33,5469	     295,978	-88,3
     33,5489	      294,11	-87,8
     33,5508	     291,373	-87,2
     33,5528	     300,404	-85,8
     33,5547	      296,46	-88,1
     33,5567	      296,32	-86,7
     33,5587	     302,183	-85,1
     33,5606	     300,952	-87,7
     33,5626	     298,759	-86,2
     33,5645	      304,64	-85,3
     33,5665	     306,437	-85,0
     33,5684	     298,265	-86,7
     33,5704	     307,437	-84,7
     33,5723	     307,036	-85,8
     33,5743	     299,887	-87,0
     33,5762	     303,844	-85,9
     33,5782	     308,342	-84,7
     33,5802	     302,636	-86,7
     33,5821	     307,229	-86,4
     33,5841	     306,101	-85,7
      33,586	     311,618	-84,3
      33,588	     306,343	-86,7
     33,5899	      311,72	-84,5
     33,5919	     313,075	-85,8
     33,5938	     308,273	-86,3
     33,5958	     314,309	-83,8
     33,5978	     316,771	-84,4
     33,5997	     315,011	-85,9
     33,6017	     318,091	-84,8
     33,6036	     313,896	-86,1
     33,6056	     318,376	-83,5
     33,6075	     319,752	-83,9
     33,6095	     316,421	-85,5
     33,6114	     317,971	-85,0
     33,6134	     320,357	-83,7
     33,6153	     324,915	-83,7
     33,6173	       319,4	-85,2
     33,6193	     319,143	-83,8
     33,6212	     326,721	-83,2
     33,6232	     322,337	-85,0
     33,6251	     322,731	-83,3
     33,6271	     330,132	-82,5
      33,629	     322,849	-85,0
      33,631	     323,481	-83,6
     33,6329	      327,43	-82,4
     33,6349	     329,048	-82,6
     33,6369	     335,049	-82,4
     33,6388	     329,349	-84,0
     33,6408	     327,536	-82,4
     33,6427	     335,077	-82,4
     33,6447	     334,285	-82,6
     33,6466	      334,32	-82,8
     33,6486	     328,719	-83,5
     33,6505	     335,072	-81,3
     33,6525	     340,885	-82,1
     33,6544	     333,169	-83,5
     33,6564	     336,793	-81,5
     33,6584	     342,883	-81,7
     33,6603	     337,593	-83,3
     33,6623	     340,014	-81,1
     33,6642	     344,935	-81,3
     33,6662	     341,859	-82,6
     33,6681	     341,011	-81,8
     33,6701	      346,11	-80,5
      33,672	      341,68	-82,8
      33,674	     346,639	-82,1
      33,676	     343,467	-82,1
     33,6779	     347,307	-80,1
     33,6799	     351,769	-80,3
     33,6818	     345,777	-82,2
     33,6838	     349,603	-80,9
     33,6857	     353,938	-79,4
     33,6877	     353,509	-79,2
     33,6896	     352,824	-81,3
     33,6916	     350,678	-80,8
     33,6936	     356,515	-79,0
     33,6955	     358,822	-79,6
     33,6975	      355,05	-81,5
     33,6994	     356,698	-79,2
     33,7014	      362,72	-79,4
     33,7033	     360,848	-79,8
     33,7053	     361,696	-80,0
     33,7072	     357,752	-80,2
     33,7092	     365,608	-77,5
     33,7111	     365,232	-78,5
     33,7131	     362,741	-79,6
     33,7151	      362,61	-79,4
      33,717	     369,737	-78,1
      33,719	      365,23	-79,5
     33,7209	     363,459	-80,0
     33,7229	     369,399	-78,4
     33,7248	     373,599	-78,2
     33,7268	     373,081	-78,9
     33,7287	      375,35	-78,4
     33,7307	     367,344	-79,5
