X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	002: [07-01-24 16:29]		003: [07-01-24 16:36]	
        33,5	   0,0206846	89,0	   0,0226807	88,2
      33,502	   0,0216707	88,6	   0,0226174	87,8
     33,5039	   0,0223022	87,6	   0,0225169	88,7
     33,5059	   0,0224531	88,2	   0,0225813	89,1
     33,5078	   0,0225736	89,1	   0,0224946	87,6
     33,5098	   0,0226205	88,1	   0,0228685	88,1
     33,5117	   0,0225738	88,8	   0,0228279	89,4
     33,5137	   0,0226512	88,5	   0,0228677	87,9
     33,5156	   0,0226361	87,8	   0,0227597	88,4
     33,5176	   0,0226937	89,0	   0,0228721	88,9
     33,5196	   0,0228231	88,7	   0,0229659	88,3
     33,5215	   0,0228801	89,0	   0,0227982	88,6
     33,5235	   0,0226791	87,6	   0,0230499	88,5
     33,5254	   0,0227863	90,2	   0,0230187	88,2
     33,5274	   0,0229614	88,2	   0,0231822	88,2
     33,5293	   0,0229947	88,7	    0,023264	88,8
     33,5313	   0,0231468	89,7	   0,0231873	88,4
     33,5332	   0,0232013	88,2	   0,0232514	89,2
     33,5352	   0,0228674	88,7	   0,0232035	88,9
     33,5371	   0,0228078	89,3	   0,0234197	89,3
     33,5391	   0,0231382	89,4	   0,0234284	89,8
     33,5411	   0,0233323	89,6	   0,0234312	89,0
      33,543	   0,0235444	90,1	   0,0234423	89,0
      33,545	   0,0237146	88,3	   0,0236037	89,7
     33,5469	   0,0231849	88,5	   0,0235521	88,8
     33,5489	   0,0231176	91,1	   0,0236257	90,0
     33,5508	   0,0235578	90,2	   0,0237347	89,5
     33,5528	   0,0235247	89,0	   0,0236365	89,6
     33,5547	   0,0236124	89,9	    0,023648	90,0
     33,5567	   0,0234979	90,4	   0,0237449	90,5
     33,5587	   0,0236642	89,8	   0,0238603	89,6
     33,5606	   0,0236305	90,6	   0,0238607	90,7
     33,5626	   0,0238307	90,0	   0,0238473	89,5
     33,5645	   0,0239296	89,9	   0,0238704	91,2
     33,5665	   0,0236201	89,3	   0,0240474	90,4
     33,5684	   0,0235082	89,9	   0,0240359	90,9
     33,5704	   0,0240847	90,3	   0,0241189	89,8
     33,5723	   0,0240902	90,9	   0,0240657	90,2
     33,5743	   0,0240422	89,3	   0,0242107	91,3
     33,5762	   0,0239182	90,7	   0,0242739	90,1
     33,5782	   0,0241385	90,6	   0,0243118	91,1
     33,5802	   0,0241698	90,7	   0,0243689	90,6
     33,5821	   0,0241674	90,6	   0,0244455	90,0
     33,5841	   0,0241571	90,8	   0,0244247	90,8
      33,586	   0,0241657	91,5	   0,0244237	91,6
      33,588	   0,0243061	90,6	   0,0245561	91,6
     33,5899	   0,0242828	90,7	    0,024543	91,1
     33,5919	   0,0243661	91,2	   0,0245349	91,5
     33,5938	    0,024409	91,2	   0,0246144	91,4
     33,5958	   0,0244067	90,8	   0,0247283	90,4
     33,5978	   0,0244765	90,8	   0,0247928	91,3
     33,5997	   0,0245792	91,6	   0,0247268	92,0
     33,6017	    0,024555	91,4	   0,0249658	91,5
     33,6036	    0,024636	91,9	   0,0250708	91,0
     33,6056	   0,0246761	92,1	   0,0249061	91,9
     33,6075	   0,0248219	91,9	   0,0249929	92,1
     33,6095	   0,0247207	90,5	   0,0252028	91,5
     33,6114	   0,0248203	92,6	   0,0252062	91,4
     33,6134	   0,0248848	92,9	   0,0253397	92,0
     33,6153	   0,0249523	91,1	   0,0251852	92,8
     33,6173	   0,0250792	91,8	   0,0252647	91,4
     33,6193	   0,0252438	92,5	   0,0254511	92,7
     33,6212	   0,0249009	91,9	   0,0253798	92,7
     33,6232	   0,0250578	92,7	   0,0255046	92,5
     33,6251	   0,0251597	92,9	   0,0255907	91,9
     33,6271	   0,0252849	92,9	   0,0255492	92,6
      33,629	   0,0252813	92,8	   0,0256099	92,6
      33,631	   0,0254044	91,6	   0,0257024	92,5
     33,6329	    0,025358	93,2	   0,0256883	92,0
     33,6349	   0,0254157	93,2	   0,0257345	93,2
     33,6369	    0,025498	92,4	   0,0258183	93,5
     33,6388	   0,0255051	93,1	     0,02594	93,0
     33,6408	   0,0256082	93,2	   0,0259286	93,2
     33,6427	   0,0257505	93,3	   0,0259262	93,3
     33,6447	   0,0257733	92,6	   0,0260509	93,6
     33,6466	    0,025753	94,2	   0,0260819	93,4
     33,6486	   0,0258364	93,4	   0,0261221	93,5
     33,6505	   0,0258142	93,2	   0,0261308	93,7
     33,6525	   0,0259272	93,6	   0,0262746	94,3
     33,6544	   0,0261111	94,2	   0,0264247	94,1
     33,6564	   0,0261007	93,1	   0,0264441	94,2
     33,6584	   0,0260938	93,8	     0,02641	94,4
     33,6603	   0,0260977	94,5	   0,0265233	94,3
     33,6623	    0,026136	94,9	   0,0266409	94,4
     33,6642	   0,0261712	94,0	   0,0265464	94,1
     33,6662	   0,0262039	94,2	   0,0266535	95,0
     33,6681	   0,0263092	95,0	   0,0266539	94,3
     33,6701	   0,0263721	94,0	   0,0267287	94,0
      33,672	   0,0263812	94,2	   0,0268281	94,8
      33,674	   0,0264007	95,1	   0,0268756	95,2
      33,676	   0,0264601	95,7	   0,0268152	95,0
     33,6779	   0,0266162	94,5	   0,0269387	95,0
     33,6799	   0,0265848	94,7	   0,0270465	95,4
     33,6818	   0,0266466	95,4	   0,0270657	94,8
     33,6838	   0,0268503	95,6	   0,0270206	95,0
     33,6857	   0,0268152	95,1	   0,0271647	96,2
     33,6877	   0,0267794	94,3	   0,0272831	95,4
     33,6896	   0,0268688	95,2	   0,0273517	95,4
     33,6916	   0,0269247	95,3	   0,0274426	95,5
     33,6936	   0,0269965	95,5	   0,0274892	97,0
     33,6955	   0,0271163	96,1	   0,0274747	95,8
     33,6975	   0,0272248	95,3	   0,0274906	96,3
     33,6994	   0,0271541	95,7	   0,0275179	96,5
     33,7014	   0,0272017	95,7	   0,0277204	96,0
     33,7033	   0,0273567	96,2	   0,0277277	96,2
     33,7053	   0,0273952	96,5	   0,0277172	97,5
     33,7072	   0,0273506	96,4	   0,0277818	96,7
     33,7092	   0,0274498	95,9	   0,0279595	96,8
     33,7111	   0,0275502	96,9	   0,0279433	97,0
     33,7131	   0,0275261	96,0	   0,0279678	97,4
     33,7151	   0,0275598	96,6	   0,0280776	96,6
      33,717	   0,0276455	97,1	    0,028163	97,1
      33,719	   0,0277293	97,4	   0,0281154	98,1
     33,7209	   0,0278316	96,9	   0,0281445	97,7
     33,7229	   0,0278486	97,7	   0,0283326	97,7
     33,7248	   0,0279418	97,6	   0,0283643	98,1
     33,7268	   0,0278659	96,8	   0,0283768	97,9
     33,7287	   0,0280358	97,6	   0,0284079	98,4
     33,7307	   0,0281188	97,9	   0,0283614	98,4
     33,7327	   0,0281947	97,5	   0,0285335	97,4
     33,7346	   0,0281116	98,3	   0,0286153	97,4
     33,7366	   0,0283197	97,8	   0,0286393	98,9
     33,7385	   0,0285365	97,6	   0,0287203	99,2
     33,7405	   0,0282751	98,4	   0,0287906	98,3
     33,7424	   0,0283391	98,7	   0,0289048	98,3
     33,7444	   0,0283319	98,4	   0,0290058	98,3
     33,7463	   0,0282887	97,1	   0,0289212	99,7
     33,7483	   0,0285881	98,6	   0,0289982	99,2
     33,7502	   0,0281864	98,3	   0,0291717	98,7
     33,7522	     0,02809	98,9	   0,0293206	99,0
     33,7542	   0,0286263	99,9	   0,0293932	99,7
     33,7561	   0,0289894	99,0	   0,0293704	99,5
     33,7581	    0,028855	98,0	   0,0293826	99,0
       33,76	   0,0286741	99,8	   0,0294678	99,3
      33,762	    0,028849	100,4	   0,0294823	100,2
     33,7639	   0,0290832	98,7	   0,0294617	100,2
     33,7659	    0,029194	99,4	   0,0296539	99,6
     33,7678	   0,0290196	100,0	   0,0295459	100,1
     33,7698	   0,0290525	100,3	   0,0295993	100,1
     33,7718	   0,0291422	98,7	   0,0297036	100,5
     33,7737	   0,0292668	99,4	   0,0298255	101,1
     33,7757	   0,0293177	100,8	    0,029958	100,7
     33,7776	   0,0294484	100,1	    0,030037	100,8
     33,7796	   0,0294991	99,7	    0,029959	101,4
     33,7815	    0,029565	100,8	   0,0299448	101,2
     33,7835	   0,0295966	101,5	    0,030154	101,2
     33,7854	   0,0295916	101,2	   0,0302299	101,0
     33,7874	   0,0295912	100,2	   0,0303629	101,1
