X-Data [Hz]	Piezo (M - Filtered) [mV]	Phase [Deg]	Piezo (M - Filtered) [mV]	Phase [Deg]	
	002: [07-01-24 16:29]		003: [07-01-24 16:36]	
        33,5	   0,0252824	-87,2	    0,027178	-91,3
      33,502	   0,0274984	-88,5	   0,0274406	-91,0
     33,5039	   0,0279933	-91,4	   0,0284837	-88,1
     33,5059	   0,0273132	-90,7	   0,0277041	-89,3
     33,5078	   0,0281741	-87,6	   0,0279549	-92,2
     33,5098	   0,0281735	-91,2	   0,0288081	-88,5
     33,5117	   0,0275291	-87,1	   0,0278704	-88,8
     33,5137	   0,0287842	-88,2	   0,0290187	-91,2
     33,5156	   0,0283371	-90,6	   0,0288823	-89,2
     33,5176	    0,027958	-88,4	   0,0286193	-87,7
     33,5196	   0,0289449	-87,4	   0,0278728	-90,8
     33,5215	   0,0294585	-89,1	   0,0288841	-88,0
     33,5235	   0,0280222	-91,6	   0,0280437	-90,1
     33,5254	     0,02833	-86,3	   0,0289181	-91,8
     33,5274	   0,0292717	-89,2	   0,0297045	-89,2
     33,5293	   0,0280369	-89,4	   0,0285374	-88,9
     33,5313	   0,0291134	-86,2	   0,0293589	-89,7
     33,5332	   0,0296071	-89,5	   0,0293925	-87,1
     33,5352	   0,0277236	-90,7	   0,0288818	-89,9
     33,5371	   0,0288169	-87,2	   0,0301791	-86,5
     33,5391	   0,0295344	-88,6	   0,0288723	-88,3
     33,5411	   0,0290371	-89,2	   0,0289035	-89,9
      33,543	   0,0295581	-87,0	   0,0299662	-87,9
      33,545	   0,0307322	-88,7	   0,0288947	-87,8
     33,5469	   0,0285435	-91,0	    0,029735	-89,8
     33,5489	   0,0288297	-85,6	    0,030324	-86,5
     33,5508	   0,0303479	-85,6	   0,0294982	-88,8
     33,5528	   0,0292079	-90,4	   0,0303353	-88,4
     33,5547	    0,030298	-85,9	   0,0306654	-86,1
     33,5567	   0,0298374	-85,1	   0,0293569	-88,7
