X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	002: [07-02-24 18:03]	
        33,5	   0,0163198	90,6
      33,502	   0,0173699	89,8
     33,5039	   0,0179296	89,1
     33,5059	   0,0181299	89,4
     33,5078	   0,0182918	88,8
     33,5098	   0,0183314	88,5
     33,5117	   0,0182858	89,0
     33,5137	   0,0183352	89,5
     33,5156	    0,018474	89,8
     33,5176	   0,0185563	89,0
     33,5196	    0,018556	88,7
     33,5215	   0,0184691	88,3
     33,5235	   0,0184549	89,3
     33,5254	   0,0185461	89,2
     33,5274	   0,0186008	89,6
     33,5293	   0,0186029	89,5
     33,5313	   0,0185831	90,0
     33,5332	   0,0187007	89,7
     33,5352	   0,0186912	89,6
     33,5371	   0,0188003	88,8
     33,5391	   0,0187093	88,5
     33,5411	   0,0186961	89,7
      33,543	   0,0187871	89,6
      33,545	   0,0189029	89,8
     33,5469	   0,0188936	89,5
     33,5489	   0,0188504	89,4
     33,5508	   0,0189223	89,0
     33,5528	   0,0188897	88,5
     33,5547	   0,0189248	89,2
     33,5567	   0,0189893	89,3
     33,5587	   0,0189335	89,5
     33,5606	    0,019069	89,7
     33,5626	   0,0191853	89,2
     33,5645	   0,0191263	89,4
     33,5665	   0,0191462	89,2
     33,5684	   0,0190947	90,1
     33,5704	   0,0190677	90,3
     33,5723	   0,0191363	89,3
     33,5743	   0,0191885	89,2
     33,5762	   0,0192356	90,0
     33,5782	   0,0192394	90,3
     33,5802	   0,0192608	89,9
     33,5821	   0,0192872	90,4
     33,5841	   0,0193042	91,0
      33,586	   0,0193357	91,1
      33,588	   0,0194006	91,1
     33,5899	   0,0194642	90,9
     33,5919	   0,0194887	90,1
     33,5938	   0,0194726	91,0
     33,5958	   0,0195377	91,4
     33,5978	   0,0195361	91,3
     33,5997	   0,0195857	90,8
     33,6017	   0,0196223	91,5
     33,6036	   0,0196431	91,0
     33,6056	   0,0196656	90,8
     33,6075	   0,0196533	91,5
     33,6095	   0,0197102	91,8
     33,6114	   0,0197626	91,1
     33,6134	   0,0196567	90,5
     33,6153	   0,0197682	90,7
     33,6173	   0,0198263	90,7
     33,6193	   0,0198686	90,7
     33,6212	   0,0198328	90,5
     33,6232	   0,0198027	91,5
     33,6251	   0,0199453	91,7
     33,6271	    0,020071	91,5
      33,629	   0,0199686	91,5
      33,631	    0,019935	91,2
     33,6329	   0,0199318	92,7
     33,6349	     0,01997	92,6
     33,6369	   0,0200523	92,0
     33,6388	   0,0200969	92,0
     33,6408	   0,0201728	92,5
     33,6427	   0,0201865	92,0
     33,6447	     0,02019	92,3
     33,6466	   0,0202065	92,4
     33,6486	   0,0202614	92,3
     33,6505	   0,0203241	92,3
     33,6525	   0,0202559	92,4
     33,6544	   0,0203259	92,8
     33,6564	   0,0203382	92,9
     33,6584	   0,0204439	92,7
     33,6603	    0,020485	92,5
     33,6623	     0,02052	92,8
     33,6642	   0,0204689	93,1
     33,6662	   0,0205149	93,1
     33,6681	   0,0206683	92,7
     33,6701	   0,0206678	92,7
      33,672	    0,020553	92,2
      33,674	   0,0205637	92,4
      33,676	    0,020626	92,3
     33,6779	   0,0206107	93,4
     33,6799	   0,0206898	93,2
     33,6818	   0,0207094	93,5
     33,6838	   0,0207788	93,4
     33,6857	   0,0207718	93,8
     33,6877	   0,0208115	93,7
     33,6896	   0,0208179	93,4
     33,6916	   0,0208975	94,2
     33,6936	   0,0209912	93,9
     33,6955	    0,021091	93,4
     33,6975	   0,0210606	93,2
     33,6994	   0,0210758	93,3
     33,7014	    0,021048	93,4
     33,7033	   0,0210643	94,0
     33,7053	   0,0211548	93,5
     33,7072	   0,0211259	93,1
     33,7092	   0,0211316	93,3
     33,7111	    0,021169	94,4
     33,7131	   0,0212623	94,3
     33,7151	   0,0213284	94,8
      33,717	   0,0213581	93,9
      33,719	   0,0213851	94,5
     33,7209	   0,0213903	94,4
     33,7229	   0,0213229	94,3
     33,7248	   0,0213447	95,5
     33,7268	   0,0214597	94,5
     33,7287	   0,0214831	94,9
     33,7307	   0,0215089	95,0
     33,7327	    0,021577	95,0
     33,7346	   0,0216163	95,3
     33,7366	   0,0215393	95,0
     33,7385	   0,0216435	94,3
     33,7405	   0,0217513	94,4
     33,7424	   0,0217327	94,6
     33,7444	   0,0217519	94,9
     33,7463	   0,0217675	95,2
     33,7483	   0,0218926	95,0
     33,7502	   0,0218204	94,7
     33,7522	    0,021844	95,2
     33,7542	   0,0219068	95,7
     33,7561	   0,0219736	95,5
     33,7581	   0,0219642	96,1
       33,76	   0,0220975	95,8
      33,762	   0,0220487	96,2
     33,7639	   0,0220633	96,5
     33,7659	   0,0221489	96,2
     33,7678	   0,0221723	95,7
     33,7698	   0,0221821	96,2
     33,7718	    0,022291	95,7
     33,7737	   0,0222255	95,8
     33,7757	   0,0221695	96,5
     33,7776	   0,0223735	96,2
     33,7796	     0,02244	96,6
     33,7815	   0,0225462	96,3
     33,7835	   0,0224957	97,0
     33,7854	   0,0225055	96,9
     33,7874	    0,022514	97,1
     33,7893	   0,0225071	97,2
     33,7913	   0,0225187	97,0
     33,7933	   0,0226128	98,0
     33,7952	   0,0227651	98,5
     33,7972	    0,022831	97,9
     33,7991	   0,0227304	97,0
     33,8011	   0,0227341	97,2
      33,803	   0,0227873	97,7
      33,805	   0,0227726	97,9
     33,8069	    0,022859	97,9
     33,8089	   0,0228664	97,7
     33,8109	   0,0228884	97,9
     33,8128	   0,0229262	98,2
     33,8148	   0,0229507	97,9
     33,8167	   0,0229504	98,2
     33,8187	   0,0231008	98,5
     33,8206	   0,0231901	97,9
     33,8226	   0,0231498	98,0
     33,8245	   0,0231366	98,4
     33,8265	   0,0232072	98,1
     33,8284	   0,0232572	98,2
     33,8304	   0,0233502	98,9
     33,8324	   0,0233405	98,3
     33,8343	   0,0233172	99,5
     33,8363	   0,0233445	99,5
     33,8382	   0,0234064	99,0
     33,8402	    0,023425	99,5
     33,8421	   0,0234535	99,8
     33,8441	   0,0234676	99,1
      33,846	   0,0234965	99,4
      33,848	   0,0236043	99,0
       33,85	   0,0236251	99,3
     33,8519	   0,0236101	99,5
