X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	002: [06-17-24 16:32]		003: [06-17-24 16:39]	
          31	   0,0112013	75,0	   0,0126334	74,0
      31,002	   0,0109589	76,5	   0,0125004	72,9
     31,0039	   0,0124814	76,0	   0,0125572	72,4
     31,0059	   0,0125827	72,2	   0,0127079	74,9
     31,0078	   0,0120528	74,6	   0,0125137	75,6
     31,0098	   0,0127757	75,1	   0,0126402	74,2
     31,0117	   0,0125878	73,5	   0,0126877	74,5
     31,0137	   0,0124735	76,1	   0,0126405	74,3
     31,0156	   0,0128376	74,5	   0,0127431	74,5
     31,0176	   0,0125536	74,7	   0,0127167	75,0
     31,0196	   0,0126628	74,8	   0,0126563	75,4
     31,0215	   0,0127982	73,9	   0,0128331	74,0
     31,0235	   0,0126558	74,3	   0,0127629	74,8
     31,0254	   0,0128454	76,1	   0,0127568	74,1
     31,0274	   0,0128103	74,3	   0,0129024	74,6
     31,0293	   0,0126867	75,4	   0,0128466	75,0
     31,0313	   0,0128969	74,5	   0,0128175	74,6
     31,0332	   0,0128817	75,4	   0,0129167	74,7
     31,0352	   0,0127949	74,3	   0,0129322	75,1
     31,0371	   0,0128127	75,3	   0,0128415	73,7
     31,0391	   0,0129394	73,4	   0,0129824	74,7
     31,0411	   0,0128521	74,4	   0,0130148	74,0
      31,043	   0,0129178	73,9	   0,0129305	74,4
      31,045	   0,0130073	74,2	   0,0129738	72,4
     31,0469	   0,0129563	74,9	   0,0130003	73,7
     31,0489	   0,0129749	75,2	   0,0130341	74,1
     31,0508	   0,0130871	74,5	   0,0130314	73,3
     31,0528	   0,0130179	74,5	   0,0129911	74,9
     31,0547	   0,0130308	73,7	   0,0130158	73,9
     31,0567	   0,0131045	74,5	   0,0131255	73,9
     31,0587	   0,0130448	74,3	   0,0130761	73,7
     31,0606	   0,0131407	73,9	   0,0131753	73,8
     31,0626	   0,0131352	73,5	   0,0131263	74,7
     31,0645	   0,0131534	73,5	   0,0131183	74,3
     31,0665	   0,0131736	74,7	   0,0132733	75,2
     31,0684	   0,0131501	75,7	   0,0132237	75,3
     31,0704	   0,0131824	74,8	   0,0132384	74,7
     31,0723	   0,0132114	75,8	   0,0132913	74,2
     31,0743	   0,0132612	74,7	   0,0132958	73,9
     31,0762	   0,0132586	75,4	   0,0133321	74,4
     31,0782	   0,0133083	74,9	    0,013266	73,8
     31,0802	   0,0132683	75,3	    0,013389	74,2
     31,0821	   0,0133184	74,8	   0,0133797	73,8
     31,0841	   0,0133813	75,3	   0,0133346	74,0
      31,086	   0,0133136	75,0	   0,0134353	73,2
