X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	002: [06-17-24 15:59]		003: [06-17-24 16:06]	
          31	   0,0102571	73,9	    0,011897	73,1
      31,002	   0,0107677	77,8	   0,0119217	74,0
     31,0039	   0,0118955	73,8	   0,0118682	72,9
     31,0059	   0,0113644	72,5	   0,0118673	73,5
     31,0078	    0,011888	75,9	   0,0119781	73,1
     31,0098	   0,0120105	72,5	   0,0118949	73,0
     31,0117	   0,0117061	75,1	   0,0119434	73,3
     31,0137	    0,012188	72,2	   0,0120302	72,7
     31,0156	   0,0118134	73,6	   0,0120112	73,8
     31,0176	   0,0120991	74,2	   0,0119874	72,2
     31,0196	   0,0121231	72,3	   0,0120588	74,3
     31,0215	   0,0118849	75,6	   0,0120753	75,1
     31,0235	   0,0122791	73,7	   0,0120145	74,3
     31,0254	   0,0119578	74,1	   0,0120945	75,3
     31,0274	   0,0120521	74,0	   0,0120925	75,2
     31,0293	   0,0121907	73,0	   0,0120539	74,6
     31,0313	   0,0120398	73,3	   0,0122004	74,3
     31,0332	    0,012201	74,2	   0,0121243	74,1
     31,0352	   0,0122129	73,2	   0,0121098	73,6
     31,0371	   0,0121096	73,8	   0,0122224	74,1
     31,0391	   0,0122352	73,3	   0,0121082	74,1
     31,0411	   0,0122359	74,0	    0,012173	73,9
      31,043	    0,012181	73,5	   0,0123089	74,3
      31,045	   0,0122596	73,7	   0,0121579	74,4
     31,0469	   0,0123002	73,9	   0,0123212	74,1
     31,0489	   0,0122391	75,0	     0,01227	74,4
     31,0508	    0,012291	75,2	   0,0122577	73,8
     31,0528	   0,0122814	73,3	   0,0122584	73,7
     31,0547	   0,0123437	74,3	   0,0122889	74,4
     31,0567	    0,012341	74,1	   0,0124701	74,9
     31,0587	   0,0123639	74,0	   0,0123091	74,8
     31,0606	   0,0123667	73,6	   0,0124506	74,3
     31,0626	   0,0123811	74,1	   0,0124808	74,0
     31,0645	   0,0123911	74,3	   0,0122865	72,2
     31,0665	   0,0124623	73,9	   0,0125287	73,0
     31,0684	   0,0124161	73,6	   0,0124795	73,1
     31,0704	   0,0124381	74,0	   0,0123626	73,4
     31,0723	   0,0124806	73,4	   0,0125738	73,2
     31,0743	   0,0124302	74,8	   0,0124626	74,0
     31,0762	   0,0125715	74,1	   0,0125055	73,2
     31,0782	    0,012556	74,2	   0,0125262	73,7
     31,0802	   0,0124932	75,1	   0,0125532	73,3
