X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	002: [06-17-24 13:19]		003: [06-17-24 13:26]	
          31	  0,00721354	71,7	   0,0085314	72,6
      31,002	  0,00805318	75,2	  0,00850595	73,6
     31,0039	   0,0084172	70,7	  0,00862251	72,2
     31,0059	   0,0081272	75,5	  0,00850418	72,9
     31,0078	  0,00870157	76,7	  0,00859637	72,4
     31,0098	  0,00843133	73,9	  0,00859294	72,3
     31,0117	  0,00861176	75,4	  0,00860521	72,8
     31,0137	  0,00868108	73,5	  0,00862092	71,5
     31,0156	  0,00850761	76,1	  0,00863489	72,6
     31,0176	  0,00870938	73,8	   0,0086141	71,5
     31,0196	   0,0085538	73,0	   0,0086342	73,0
     31,0215	  0,00868014	73,5	  0,00862172	73,0
     31,0235	  0,00865976	72,2	  0,00868697	74,0
     31,0254	   0,0087154	73,7	  0,00862256	73,2
     31,0274	  0,00868453	76,1	  0,00863763	74,2
     31,0293	  0,00866815	75,4	  0,00871983	73,7
     31,0313	  0,00870325	75,8	  0,00859294	73,7
     31,0332	  0,00876098	75,1	  0,00877375	72,6
     31,0352	  0,00863299	75,3	  0,00866528	72,6
     31,0371	  0,00882857	74,9	  0,00870078	73,1
     31,0391	  0,00870088	74,0	  0,00879072	72,3
     31,0411	  0,00874263	77,3	  0,00870194	73,6
      31,043	  0,00883419	73,6	  0,00879905	74,5
      31,045	  0,00871867	75,7	   0,0088415	75,8
     31,0469	  0,00887768	73,6	   0,0087623	75,9
     31,0489	  0,00874308	75,3	  0,00875985	75,2
     31,0508	  0,00881777	74,8	  0,00883814	74,1
     31,0528	  0,00885323	74,9	  0,00881833	74,9
     31,0547	  0,00878445	74,9	  0,00880806	73,7
     31,0567	  0,00889752	76,0	  0,00884369	72,4
     31,0587	  0,00878635	74,2	  0,00886864	73,0
     31,0606	  0,00889863	76,0	  0,00886334	73,5
     31,0626	  0,00886751	74,5	  0,00885638	74,8
     31,0645	  0,00884519	76,1	  0,00886628	75,6
     31,0665	  0,00896992	75,5	  0,00885472	75,1
     31,0684	  0,00891855	72,8	    0,008901	74,5
     31,0704	  0,00884889	72,7	  0,00892072	76,4
     31,0723	  0,00897283	74,7	  0,00890841	74,5
     31,0743	  0,00895618	72,8	  0,00896602	76,0
     31,0762	  0,00892705	73,4	  0,00890918	74,5
     31,0782	  0,00902895	73,4	  0,00893164	73,7
     31,0802	  0,00890385	74,2	  0,00900284	74,2
     31,0821	  0,00904888	74,9	  0,00903543	74,8
     31,0841	  0,00899007	73,4	  0,00895365	73,6
      31,086	  0,00897894	74,6	  0,00901827	74,4
      31,088	  0,00906274	73,4	  0,00900706	73,4
     31,0899	  0,00898675	73,9	  0,00901308	71,9
     31,0919	  0,00907095	74,3	  0,00906695	72,1
     31,0938	  0,00907277	72,4	  0,00904491	72,8
     31,0958	  0,00907248	73,8	  0,00910018	71,8
     31,0978	  0,00911029	72,8	  0,00903335	71,6
     31,0997	    0,009093	73,5	  0,00913346	71,6
     31,1017	  0,00918104	73,1	  0,00910963	75,3
