X-Data [Hz],Laser (M - Filtered) [m/s],Phase [Deg],Laser (M - Filtered) [m/s],Phase [Deg],
,002: [06-17-24 13:53],,003: [06-17-24 14:00],
          31,   0.0173028,72.1,   0.0215661,73.8
      31.002,    0.019069,76.2,   0.0216187,73.8
     31.0039,   0.0210102,72.6,   0.0217136,73.9
     31.0059,   0.0204378,74.4,   0.0216993,73.8
     31.0078,   0.0216142,75.5,   0.0217135,73.9
     31.0098,   0.0215036,73.4,   0.0217995,73.9
     31.0117,   0.0214182,75.5,   0.0217556,73.8
     31.0137,   0.0219798,73.7,    0.021786,73.5
     31.0156,    0.021462,74.6,   0.0218066,73.7
     31.0176,   0.0219243,74.4,   0.0217691,73.6
     31.0196,   0.0217524,73.5,    0.021884,73.9
     31.0215,   0.0218482,74.4,   0.0218685,73.7
     31.0235,   0.0219635,73.7,   0.0220053,73.3
     31.0254,   0.0218603,74.7,    0.021989,74.0
     31.0274,   0.0219918,74.6,   0.0220296,73.5
     31.0293,   0.0219485,74.4,    0.021987,74.0
     31.0313,   0.0219473,74.2,   0.0220338,74.7
     31.0332,   0.0219825,74.1,     0.02205,74.7
     31.0352,   0.0219971,74.1,   0.0221384,74.7
     31.0371,   0.0221179,73.8,   0.0221625,75.0
     31.0391,   0.0220952,73.6,   0.0221039,74.0
     31.0411,   0.0220952,74.5,   0.0222773,74.5
      31.043,   0.0221763,74.6,   0.0222224,74.0
      31.045,   0.0221704,74.1,   0.0222117,74.1
     31.0469,   0.0221897,75.0,   0.0222557,74.1
     31.0489,   0.0222336,74.4,   0.0222733,74.1
     31.0508,   0.0222451,75.0,   0.0223548,74.7
     31.0528,   0.0223111,74.0,   0.0224251,74.9
     31.0547,   0.0223421,74.4,    0.022436,74.3
     31.0567,     0.02236,74.0,   0.0224289,74.9
     31.0587,    0.022352,74.3,   0.0224986,74.2
     31.0606,   0.0225192,74.4,   0.0225013,74.9
     31.0626,   0.0223979,74.6,   0.0225009,74.3
     31.0645,   0.0224088,74.5,   0.0226295,74.8
     31.0665,   0.0225756,74.3,   0.0225462,75.4
     31.0684,   0.0224528,74.5,   0.0226014,74.8
     31.0704,   0.0226341,74.6,   0.0226439,75.3
     31.0723,   0.0225682,74.6,   0.0226393,73.8
     31.0743,   0.0225579,74.3,   0.0227756,73.6
     31.0762,    0.022604,74.2,   0.0227406,74.0
     31.0782,   0.0226718,74.6,   0.0226747,73.8
     31.0802,   0.0228147,74.8,   0.0228826,73.4
     31.0821,   0.0227072,73.8,   0.0228098,74.3
     31.0841,   0.0227952,73.4,   0.0228528,73.7
      31.086,   0.0228376,73.7,   0.0230246,74.7
      31.088,   0.0227797,73.8,   0.0228742,74.7
     31.0899,   0.0229446,73.7,   0.0229675,73.7
     31.0919,   0.0227836,73.7,   0.0230079,73.8
     31.0938,   0.0229519,73.5,   0.0229255,73.9
     31.0958,   0.0230156,74.0,   0.0230416,73.3
     31.0978,   0.0229582,74.1,   0.0231185,73.9
     31.0997,   0.0230609,74.5,   0.0230347,73.8
     31.1017,   0.0230733,74.3,   0.0231557,73.9
     31.1036,   0.0228304,74.3,   0.0231918,74.4
     31.1056,   0.0233158,75.8,   0.0232041,74.0
     31.1075,   0.0232539,73.8,   0.0232964,74.1
     31.1095,    0.023011,75.3,   0.0232607,74.3
     31.1114,   0.0234164,74.7,   0.0233059,75.0
     31.1134,   0.0231525,74.6,    0.023338,75.2
     31.1153,   0.0232422,75.2,    0.023373,74.8
     31.1173,   0.0234696,74.7,   0.0234384,75.2
